gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
dnaA,dnaA,PMN2A_RS02940,PMN2A_0001,Protein Homology,550495.0,551895.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293535.1,chromosomal replication initiator protein DnaA,WP_011293535.1,PMN2A_0001,550495.0,551895.0,+,CK_Pro_NATL2A_00001,dnaA,"GO:0000076,GO:0006260,GO:0006275,GO:0006270,GO:0006351,GO:0006355,GO:0008156,GO:0003677,GO:0003688",CK_00000950,F.1,DNA replication%2C recombination%2C and repair,"COG0593,bactNOG00095,cyaNOG01122","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",,,"DNA replication checkpoint,DNA replication,regulation of DNA replication,DNA replication initiation,transcription%2C DNA-templated,regulation of transcription%2C DNA-templated,negative regulation of DNA replication,DNA replication checkpoint,DNA replication,regulation of DNA replication,DNA replication initiation,transcription%2C DNA-templated,regulation of transcription%2C DNA-templated,negative regulation of DNA replication,DNA binding,DNA replication origin binding",chromosomal replication initiator protein,"TIGR00362,PF08299,PF00308,PF11638,PS01008,IPR001957,IPR013159,IPR013317,IPR024633,IPR018312","chromosomal replication initiator protein DnaA,Bacterial dnaA protein helix-turn-helix,Bacterial dnaA protein,DnaA N-terminal domain,DnaA protein signature.,Chromosomal replication control%2C initiator DnaA,Chromosomal replication initiator%2C DnaA C-terminal,Chromosomal replication initiator protein DnaA,DnaA N-terminal domain,Chromosomal replication control%2C initiator DnaA%2C conserved site",132,DNA metabolism / DNA replication%2C recombination%2C and repair
PMN2A_RS02945,,PMN2A_RS02945,PMN2A_0002,Protein Homology,551932.0,553173.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293536.1,glutathione S-transferase,WP_011293536.1,PMN2A_0002,551932.0,553173.0,-,CK_Pro_NATL2A_00002,gst,"GO:0005515,GO:0004364",CK_00000949,B.9, Thioredoxin%2C glutaredoxin and glutathione,"COG0625,bactNOG01452,bactNOG56048,cyaNOG01097","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",2.5.1.18,glutathione transferase%3B glutathione S-transferase%3B glutathione S-alkyltransferase%3B glutathione S-aryltransferase%3B S-(hydroxyalkyl)glutathione lyase%3B glutathione S-aralkyltransferase%3B glutathione S-alkyl transferase%3B GST,"protein binding,glutathione transferase activity",glutathione S-transferase,"PF13417,PF13410,PS50405,PS50404,IPR010987,IPR004045","Glutathione S-transferase%2C N-terminal domain,Glutathione S-transferase%2C C-terminal domain,Soluble glutathione S-transferase C-terminal domain profile.,Soluble glutathione S-transferase N-terminal domain profile.,Glutathione S-transferase%2C C-terminal-like,Glutathione S-transferase%2C N-terminal",86,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Glutathione and analogs
gorA,gorA,PMN2A_RS02950,PMN2A_0003,Protein Homology,553215.0,554576.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011823349.1,glutathione-disulfide reductase,WP_011293537.1,PMN2A_0003,553215.0,554576.0,+,CK_Pro_NATL2A_00003,gor,"GO:0045454,GO:0006749,GO:0055114,GO:0004362,GO:0016491,GO:0016668,GO:0050660",CK_00000948,"B.9,D.1.4"," Thioredoxin%2C glutaredoxin and glutathione,Oxidative stress","COG1249,bactNOG00149,bactNOG00235,cyaNOG01112","COG: METABOLISM [C] Energy production and conversion,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",1.8.1.7,Transferred to 1.8.1.7,"cell redox homeostasis,glutathione metabolic process,oxidation-reduction process,cell redox homeostasis,glutathione metabolic process,oxidation-reduction process,glutathione-disulfide reductase activity,oxidoreductase activity,oxidoreductase activity%2C acting on a sulfur group of donors%2C NAD(P) as acceptor,flavin adenine dinucleotide binding",glutathione reductase,"PF02852,PF07992,PF00070,PS00076,IPR012999,IPR004099,IPR023753,IPR001327","Pyridine nucleotide-disulphide oxidoreductase%2C dimerisation domain,Pyridine nucleotide-disulphide oxidoreductase,Pyridine nucleotide-disulphide oxidoreductase,Pyridine nucleotide-disulphide oxidoreductases class-I active site.,Pyridine nucleotide-disulphide oxidoreductase%2C class I%2C active site,Pyridine nucleotide-disulphide oxidoreductase%2C dimerisation domain,FAD/NAD(P)-binding domain,Description not found.",86,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Glutathione and analogs
PMN2A_RS02955,,PMN2A_RS02955,PMN2A_0004,Protein Homology,554590.0,555684.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293538.1,calcium/sodium antiporter,WP_011293538.1,PMN2A_0004,554590.0,555684.0,-,CK_Pro_NATL2A_00004,yrbG,"GO:0006811,GO:0015368,GO:0016021",CK_00001280,Q.4,Cations and iron carrying compounds,"COG0530,bactNOG00892,cyaNOG02060,cyaNOG00483","COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"ion transport,ion transport,calcium:cation antiporter activity,ion transport,calcium:cation antiporter activity,integral component of membrane",cation:H+ antiporter,"TIGR00367,PF01699,IPR004837,IPR004481","K+-dependent Na+/Ca+ exchanger homolog,Sodium/calcium exchanger protein,Sodium/calcium exchanger membrane region,Sodium/potassium/calcium exchanger",145,Transport and binding proteins / Cations and iron carrying compounds
pyrC,pyrC,PMN2A_RS02960,PMN2A_0005,Protein Homology,555833.0,556897.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293539.1,dihydroorotase,WP_011293539.1,PMN2A_0005,555833.0,556897.0,+,CK_Pro_NATL2A_00005,pyrC,"GO:0009220,GO:0004151",CK_00001279,M.4,Pyrimidine ribonucleotide biosynthesis,"COG0418,bactNOG00196,bactNOG77992,cyaNOG00188","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",3.5.2.3,dihydroorotase%3B carbamoylaspartic dehydrase%3B dihydroorotate hydrolase,"pyrimidine ribonucleotide biosynthetic process,pyrimidine ribonucleotide biosynthetic process,dihydroorotase activity",dihydroorotase%2C homodimeric type,"TIGR00856,PF01979,PS00483,IPR006680,IPR002195,IPR004721","dihydroorotase%2C homodimeric type,Amidohydrolase family,Dihydroorotase signature 2.,Amidohydrolase-related,Dihydroorotase%2C conserved site,Dihydroorotase homodimeric type",126,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Pyrimidine ribonucleotide biosynthesis
ndhL,ndhL,PMN2A_RS02970,PMN2A_0006,Protein Homology,557330.0,557599.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293540.1,NAD(P)H-quinone oxidoreductase subunit L,WP_011293540.1,PMN2A_0006,557330.0,557599.0,+,CK_Pro_NATL2A_00006,ndhL,"GO:0055114,GO:0042773,GO:0050136,GO:0048038,GO:0016655,GO:0016021,GO:0042651",CK_00000947,"G.2,J.6","Electron transport,NADH dehydrogenase","NOG08765,COG4799,COG0697,COG0843,bactNOG71836,cyaNOG07973","COG: METABOLISM [C] Energy production and conversion,COG: METABOLISM [I] Lipid transport and metabolism,COG: GER,COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.6.99.5,Transferred to 1.6.5.11,"oxidation-reduction process,ATP synthesis coupled electron transport,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,integral component of membrane,thylakoid membrane",NADH dehydrogenase I subunit NdhL,"PF10716,IPR019654","NADH dehydrogenase transmembrane subunit,NAD(P)H-quinone oxidoreductase subunit L","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
PMN2A_RS02975,,PMN2A_RS02975,PMN2A_0007,Protein Homology,557603.0,557935.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293541.1,DUF3007 family protein,WP_011293541.1,PMN2A_0007,557603.0,557935.0,+,CK_Pro_NATL2A_00007,,,CK_00037827,,,,,,,,conserved hypothetical protein,"PF11460,IPR021562","Protein of unknown function (DUF3007),Protein of unknown function DUF3007",156,Hypothetical proteins / Conserved
trpA,trpA,PMN2A_RS02980,PMN2A_0008,Protein Homology,558019.0,558834.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293542.1,tryptophan synthase subunit alpha,WP_011293542.1,PMN2A_0008,558019.0,558834.0,+,CK_Pro_NATL2A_00008,trpA,"GO:0000162,GO:0006568,GO:0004834",CK_00000945,A.1,Aromatic amino acids family (Phe%2C Trp%2C Tyr),"COG0159,bactNOG03252,cyaNOG01476","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",4.2.1.20,tryptophan synthase%3B L-tryptophan synthetase%3B indoleglycerol phosphate aldolase%3B tryptophan desmolase%3B tryptophan synthetase%3B L-serine hydro-lyase (adding indoleglycerol-phosphate)%3B L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate%2C L-tryptophan and glyceraldehyde-3-phosphate-forming],"tryptophan biosynthetic process,tryptophan metabolic process,tryptophan biosynthetic process,tryptophan metabolic process,tryptophan synthase activity",tryptophan synthase%2C alpha subunit,"TIGR00262,PF00290,PS00167,IPR018204,IPR002028","tryptophan synthase%2C alpha subunit,Tryptophan synthase alpha chain,Tryptophan synthase alpha chain signature.,Tryptophan synthase%2C alpha chain%2C active site,Tryptophan synthase%2C alpha chain",70,Amino acid biosynthesis / Aromatic amino acid family
PMN2A_RS02985,,PMN2A_RS02985,PMN2A_0009,Protein Homology,558912.0,559181.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293543.1,YciI family protein,WP_011293543.1,PMN2A_0009,558912.0,559181.0,+,CK_Pro_NATL2A_00009,,,CK_00000944,R.2,Conserved hypothetical proteins,"COG2350,bactNOG41793,bactNOG45368,bactNOG45026,cyaNOG03473","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,YCII-like domain-containing protein,"PF03795,IPR005545,IPR011008","YCII-related domain,YCII-related,Dimeric alpha-beta barrel",156,Hypothetical proteins / Conserved
PMN2A_RS02990,,PMN2A_RS02990,PMN2A_0010,Protein Homology,559157.0,559528.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293544.1,c-type cytochrome,WP_011293544.1,PMN2A_0010,559157.0,559528.0,-,CK_Pro_NATL2A_00010,petJ3,"GO:0006810,GO:0022900,GO:0015979,GO:0009055,GO:0020037",CK_00001278,"G.2,J.10","Electron transport,Soluble electron carriers","COG2010,NOG298101,bactNOG51193,bactNOG40909,cyaNOG04031","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"transport,electron transport chain,photosynthesis,transport,electron transport chain,photosynthesis,electron transfer activity,heme binding",cytochrome c553 (cytochrome c6),"PF13442,PS51007,IPR009056","Cytochrome C oxidase%2C cbb3-type%2C subunit III,Cytochrome c family profile.,Cytochrome c-like domain",112,Energy metabolism / Electron transport
