Gene Name,Protein ID,log2-fold change,p_value,adjusted p_value,Protein.names,resolved_locus_tag,resolution_method
dpsA,Q9R6T3,-3.64,4.71e-05,0.000338, DNA protection during starvation protein OS=Synechococcus elongatus (strain P,Synpcc7942_2171,tier1:Gene Name
Synpcc7942_0442,Q31R45,-2.95,0.00548,0.0155, Ammonium transporter OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=amt1 PE=3 SV=1;tr|Q8GAA3|Q8GAA,Synpcc7942_0442,locus_tag:Gene Name
SEB0018,Q935X8,-2.58,1.88e-05,0.000172, DhnA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEB0018 PE=4 SV=1,Synpcc7942_2508,tier1:Gene Name
proA.1,Q31KZ6,-2.27,0.0167,0.0416, Gamma-glutamyl phosphate reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=proA PE=3 SV=1,Synpcc7942_2243,multi:Protein ID
tr|E0IXR1|E0IXR1_ECOLW Sucrose,E0IXR1,-2.25,0.0375,0.0844,tr|E0IXR1|E0IXR1_ECOLW Sucrose permease OS=Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / NCIMB 8666 / NRRL B-766 / W) OX=566546 GN=cscB PE=4 SV=1,,unresolved
Synpcc7942_0166,Q31RX1,-2.16,4.7e-07,1.07e-05, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0166 PE=4 SV=1,Synpcc7942_0166,locus_tag:Gene Name
Synpcc7942_2425,Q31KG4,-2.15,3.26e-08,1.32e-06, Chaperon-like protein for quinone binding in photosystem II OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2425 PE=4 SV=1,Synpcc7942_2425,locus_tag:Gene Name
tr|Q31PV7|Q31PV7_SYNE7,Q31PV7,-2.15,0.00153,0.0053," Peptidase S16, lon-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0882 PE=4 SV=1",Synpcc7942_0882,multi:Protein ID
Synpcc7942_1778,Q31MB1,-2.1,5.23e-05,0.000357, Protein kinase domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1778 PE=4 SV=1,Synpcc7942_1778,locus_tag:Gene Name
Synpcc7942_2296,Q31KU3,-2.03,0.000301,0.0014, L-glutamine synthetase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2296 PE=3 SV=1,Synpcc7942_2296,locus_tag:Gene Name
