Gene Name,Protein ID,log2_FC,adjusted p_value,Protein names,resolved_locus_tag,resolution_method
lptD PP_0404,A0A140FVZ0,-0.301,0.273,LPS-assembly protein LptD,M8001_02140,tier1:Gene Name
PP_5538,A0A140FW92,1.37,0.000477,"ABC transporter, substrate-binding protein",M8001_13990,tier1:Gene Name
pydB PP_4036,A0A140FWK2,1.02,0.000737,D-hydantoinase/dihydropyrimidinase (EC 3.5.2.2),M8001_21130,tier1:Gene Name
eda,P00885,-0.401,0.459,2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase),M8001_05365,multi:Gene Name
argA PP_5185,P0A0Z9,1.31,0.00338,Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS),M8001_27200,tier1:Gene Name
dnaN PP_0011,P0A120,0.68,0.0279,Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta),M8001_00055,tier1:Gene Name
adk PP_1506,P0A136,0.366,0.201,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase),M8001_07805,tier1:Gene Name
rplL PP_0446,P0A157,1.15,9.43e-06,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12),M8001_02380,tier1:Gene Name
rpoN ntrA PP_0952,P0A171,1.45,0.000337,RNA polymerase sigma-54 factor,M8001_05015,tier1:Gene Name
PP_0396,P59351,0.0692,0.923,UPF0229 protein PP_0396,M8001_02100,tier1:Gene Name
rpsK PP_0477,P59374,0.727,0.000581,Small ribosomal subunit protein uS11 (30S ribosomal protein S11),M8001_02535,tier1:Gene Name
argG PP_1088,P59604,-0.5,0.144,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),M8001_05685,tier1:Gene Name
argJ PP_1346,P59612,-0.453,0.252,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)],M8001_06995,tier1:Gene Name
argH PP_0184,P59618,0.568,0.0579,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),M8001_00980,tier1:Gene Name
atpA PP_5415,Q88BX2,1.07,1.89e-05,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),M8001_28425,tier1:Gene Name
atpG PP_5414,Q88BX3,0.372,0.21,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),M8001_28420,tier1:Gene Name
atpD PP_5413,Q88BX4,1.08,1.16e-05,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),M8001_28415,tier1:Gene Name
hupA PP_5313,Q88C70,3.36,0.0013,DNA-binding protein HU-alpha,M8001_27870,tier1:Gene Name
ridA PP_5303,Q88C80,1.65,0.00216,Aminoacrylate/iminopropionate hydrolase/deaminase,M8001_27820,tier1:Gene Name
spoT PP_5302,Q88C81,1.44,8.11e-05,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase (EC 3.1.7.2)",M8001_27815,tier1:Gene Name
kauB PP_5278,Q88CA3,1.33,0.00443,4-guanidinobutyraldehyde dehydrogenase (EC 1.2.1.54),M8001_27700,tier1:Gene Name
glnK PP_5234,Q88CE7,1.36,0.0623,Activator of NRII(GlnL/NtrB) phosphatase,M8001_27460,tier1:Gene Name
rho PP_5214,Q88CG7,0.613,0.00993,Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho),M8001_27360,tier1:Gene Name
