seq_id,Name,gene,gene_synonym,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
NZ_CP012202.1,dnaN,dnaN,,ACZ81_RS00010,ACZ81_00010,Protein Homology,1625,2725,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_012516526.1,1100,K02338,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03030 DNA replication [PATH:ko03030];03032 DNA replication proteins [BR:ko03032];03400 DNA repair and recombination proteins [BR:ko03400];03430 Mismatch repair [PATH:ko03430];03440 Homologous recombination [PATH:ko03440],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,,dnaN,(dnaN)
NZ_CP012202.1,recF,recF,,ACZ81_RS00015,ACZ81_00015,Protein Homology,2851,3939,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_061438857.1,1088,K03629,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03440 Homologous recombination [PATH:ko03440],K03629  recF; DNA replication and repair protein RecF,Genetic Info,,recF,(recF)
NZ_CP012202.1,gyrB,gyrB,,ACZ81_RS00020,ACZ81_00020,Protein Homology,3948,6368,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_014977848.1,2420,K02470,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032];03400 DNA repair and recombination proteins [BR:ko03400],K02470  gyrB; DNA gyrase subunit B [EC:5.6.2.2],Genetic Info,,gyrB,(gyrB)
NZ_CP012202.1,ACZ81_RS00025,,,ACZ81_RS00025,ACZ81_00025,Protein Homology,6540,6983,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,hypothetical protein,WP_039234509.1,443,,,,,,Uncharacterized,,,
NZ_CP012202.1,glyS,glyS,,ACZ81_RS00030,ACZ81_00030,Protein Homology,7069,9147,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_061438859.1,2078,K01879,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09181 Protein families: metabolism;09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970];01007 Amino acid related enzymes [BR:ko01007];03016 Transfer RNA biogenesis [BR:ko03016],K01879  glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14],AA/Nucleotide,,glyS,(glyS)
NZ_CP012202.1,glyQ,glyQ,,ACZ81_RS00035,ACZ81_00035,Protein Homology,9150,10055,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014947716.1,905,K01878,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09181 Protein families: metabolism;09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970];01007 Amino acid related enzymes [BR:ko01007];03016 Transfer RNA biogenesis [BR:ko03016],K01878  glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14],AA/Nucleotide,,glyQ,(glyQ)
NZ_CP012202.1,ACZ81_RS00040,(tag),,ACZ81_RS00040,ACZ81_00040,Protein Homology,10202,10810,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_080986385.1,608,K01246,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03410 Base excision repair [PATH:ko03410],K01246  tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20],Genetic Info,,tag,(tag)
NZ_CP012202.1,ACZ81_RS00045,,,ACZ81_RS00045,ACZ81_00045,Protein Homology,10923,11384,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_049586362.1,461,,,,,,Other,,,
NZ_CP012202.1,yihI,yihI,,ACZ81_RS00050,ACZ81_00050,Protein Homology,11404,11907,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_014947719.1,503,K09894,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09894  K09894; uncharacterized protein,Uncharacterized,,K09894,
NZ_CP012202.1,ACZ81_RS00055,,,ACZ81_RS00055,ACZ81_00055,Protein Homology,12035,12736,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947720.1,class I SAM-dependent methyltransferase,WP_080986387.1,701,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00060,,,ACZ81_RS00060,ACZ81_00060,Protein Homology,13037,13660,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,cytochrome c4,WP_014947721.1,623,,,,,,Other,,,
NZ_CP012202.1,yihA,yihA,,ACZ81_RS00065,ACZ81_00065,Protein Homology,13835,14470,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975249.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_014975249.1,635,K03978,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K03978  engB; GTP-binding protein,Genetic Info,,engB,(engB)
NZ_CP012202.1,polA,polA,,ACZ81_RS00070,ACZ81_00070,Protein Homology,14887,17679,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516538.1,DNA polymerase I,WP_061438861.1,2792,K02335,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03030 DNA replication [PATH:ko03030];03032 DNA replication proteins [BR:ko03032];03400 DNA repair and recombination proteins [BR:ko03400];03410 Base excision repair [PATH:ko03410];03420 Nucleotide excision repair [PATH:ko03420];03440 Homologous recombination [PATH:ko03440],K02335  polA; DNA polymerase I [EC:2.7.7.7],Genetic Info,,polA,(polA)
