protein_id,path_id,main,sub,path,ecpath,Category,Membrane transport
WP_010179497.1,K02946,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02946  RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10",Genetic Info,
WP_010179497.1,K02946,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02946  RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10",Genetic Info,
WP_012516526.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03030 DNA replication [PATH:ko03030],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_012516526.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03430 Mismatch repair [PATH:ko03430],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_012516526.1,K02338,09120 Genetic Information Processing,09124 Replication and repair,03440 Homologous recombination [PATH:ko03440],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_012516526.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_012516526.1,K02338,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,
WP_012516568.1,K05501,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K05501  slmA, ttk; TetR/AcrR family transcriptional regulator",Genetic Info,
WP_012516568.1,K05501,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],"K05501  slmA, ttk; TetR/AcrR family transcriptional regulator",Genetic Info,
WP_012516577.1,K02913,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33",Genetic Info,
WP_012516577.1,K02913,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33",Genetic Info,
WP_012516822.1,K15727,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K15727  czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",Membrane transport,Membrane transport
WP_012516860.1,K04653,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99975 Protein processing,K04653  hypC; hydrogenase expression/formation protein HypC,Genetic Info,
WP_012516863.1,K04654,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99975 Protein processing,K04654  hypD; hydrogenase expression/formation protein HypD,Genetic Info,
WP_012516900.1,K07156,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K07156  copC, pcoC; copper resistance protein C",Membrane transport,Membrane transport
WP_012516906.1,K13638,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K13638  zntR; MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA",Genetic Info,
WP_012516916.1,K07233,09190 Not Included in Pathway or Brite,09193 Unclassified: signaling and cellular processes,99994 Others,"K07233  pcoB, copB; copper resistance protein B",Env. Info/Cellular Process,
WP_012516940.1,K05499,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K05499  cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG",Genetic Info,
WP_012516958.1,K02926,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02926  RP-L4, MRPL4, rplD; large subunit ribosomal protein L4",Genetic Info,
WP_012516958.1,K02926,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02926  RP-L4, MRPL4, rplD; large subunit ribosomal protein L4",Genetic Info,
WP_012516959.1,K02892,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02892  RP-L23, MRPL23, rplW; large subunit ribosomal protein L23",Genetic Info,
WP_012516959.1,K02892,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02892  RP-L23, MRPL23, rplW; large subunit ribosomal protein L23",Genetic Info,
WP_012516961.1,K02965,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02965  RP-S19, rpsS; small subunit ribosomal protein S19",Genetic Info,
WP_012516961.1,K02965,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02965  RP-S19, rpsS; small subunit ribosomal protein S19",Genetic Info,
WP_012516988.1,K04752,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99973 Transcription,K04752  glnK; nitrogen regulatory protein P-II 2,Genetic Info,
WP_012517074.1,K03671,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03671  trxA; thioredoxin 1,Genetic Info,
WP_012517169.1,K02888,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02888  RP-L21, MRPL21, rplU; large subunit ribosomal protein L21",Genetic Info,
WP_012517169.1,K02888,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02888  RP-L21, MRPL21, rplU; large subunit ribosomal protein L21",Genetic Info,
WP_012517170.1,K02899,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02899  RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27",Genetic Info,
WP_012517170.1,K02899,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02899  RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27",Genetic Info,
WP_012517256.1,K09117,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09117  K09117; uncharacterized protein,Uncharacterized,
WP_012517258.1,K02970,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21",Genetic Info,
WP_012517258.1,K02970,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21",Genetic Info,
WP_012517279.1,K03561,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K03561  exbB; biopolymer transport protein ExbB,Membrane transport,Membrane transport
WP_012517332.1,K03599,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],"K03599  sspA, mglA; stringent starvation protein A",Genetic Info,
WP_012517332.1,K03599,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03599  sspA, mglA; stringent starvation protein A",Membrane transport,Membrane transport
WP_012517338.1,K05808,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K05808  yhbH; putative sigma-54 modulation protein,Genetic Info,
WP_012517538.1,K07738,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],K07738  nrdR; transcriptional repressor NrdR,Genetic Info,
