Sheet 2 Classification of all Prochlorococcus MED4 CDS genes by expression level,,,,,,,,,,,,,,,
sysNamea,locus tagb,start,stop,strand,Core/Flexiblec,ExpressionLeveld,name,desc,COG,COGFun,COGDesc,,,,
PMM0001,PMED4_00001,174,1331,+,Core,VEG,dnaN,"DNA polymerase III, beta chain (NCBI)",COG592,L,DNA polymerase sliding clamp subunit (PCNA homolog),,,,
PMM0002,PMED4_00011,1333,2040,+,Core,VEG,PMM0002,conserved hypothetical protein (NCBI),,,,,,,
PMM0003,PMED4_00021,2044,4383,+,Core,MEG,purL,phosphoribosylformylglycinamidine synthetase II (NCBI),COG46,F,"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",,,,
PMM0004,PMED4_00031,4430,5890,+,Core,MEG,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase (NCBI),COG34,F,Glutamine phosphoribosylpyrophosphate amidotransferase,,,,
PMM0005,PMED4_00041,5887,8328,-,Core,MEG,PMM0005,"DNA gyrase/topoisomerase IV, subunit A (NCBI)",COG188,L,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",,,,
PMM0006,PMED4_00051,8416,9270,-,Core,VEG,PMM0006,"Flp pilus assembly protein TadD, contains TPR repeats  (Katherine Huang)",COG5010,U,"Flp pilus assembly protein TadD, contains TPR repeats",,,,
PMM0007,PMED4_00061,9275,10219,-,Core,VEG,PMM0007,Uncharacterized Fe-S protein  (Katherine Huang),COG1600,C,Uncharacterized Fe-S protein,,,,
PMM0008,PMED4_00071,10367,11104,+,Core,HEG,PMM0008,Uncharacterized conserved protein (Katherine Huang),COG2928,S,Uncharacterized conserved protein,,,,
PMM0009,PMED4_00081,11105,11734,+,Core,VEG,nusB,Antitermination protein NusB (NCBI),,,,,,,
PMM0010,PMED4_00091,11793,13115,+,Core,VEG,ftsY,signal recognition particle docking protein FtsY (NCBI),COG552,U,Signal recognition particle GTPase,,,,
PMM0011,PMED4_00101,13183,14526,+,Core,VEG,rsbU,Protein phosphatase 2C domain (NCBI),COG2208,TK,"Serine phosphatase RsbU, regulator of sigma subunit",,,,
PMM0012,PMED4_00111,14585,15964,+,Core,MEG,argH,Fumarate lyase:Delta crystallin (NCBI),COG165,E,Argininosuccinate lyase,,,,
PMM0013,PMED4_00121,16018,16683,+,Core,VEG,PMM0013,RNA-binding region RNP-1 (RNA recognition motif) (NCBI),,,,,,,
PMM0014,PMED4_00131,16680,17684,-,Core,VEG,PMM0014,tRNA-dihydrouridine synthase  (Katherine Huang),COG42,J,tRNA-dihydrouridine synthase,,,,
PMM0015,PMED4_00141,17712,18206,+,Core,MEG,PMM0015,Domain of unknown function DUF25 (NCBI),COG229,O,Conserved domain frequently associated with peptide methionine sulfoxide reductase,,,,
PMM0016,PMED4_00151,18283,19002,+,Core,HEG,grpE,Heat shock protein GrpE (NCBI),COG576,O,Molecular chaperone GrpE (heat shock protein),,,,
PMM0017,PMED4_00161,19034,20158,+,Core,MEG,dnaJ,DnaJ protein (NCBI),COG484,O,DnaJ-class molecular chaperone with C-terminal Zn finger domain,,,,
PMM0018,PMED4_00171,20155,20388,+,Core,VEG,PMM0018,conserved hypothetical protein (NCBI),,,,,,,
PMM0019,PMED4_00181,20378,21295,+,Core,VEG,PMM0019,Predicted GTPases  (Katherine Huang),COG1162,R,Predicted GTPases,,,,
PMM0020,PMED4_00191,21261,21611,-,Core,VEG,PMM0020,Uncharacterized protein conserved in bacteria (Katherine Huang),COG718,S,Uncharacterized protein conserved in bacteria,,,,
PMM0021,PMED4_00201,21634,22524,-,Core,VEG,murB,UDP-N-acetylenolpyruvoylglucosamine reductase (NCBI),COG812,M,UDP-N-acetylmuramate dehydrogenase,,,,
PMM0022,PMED4_00211,22532,23953,-,Core,LEG,murC,Probable UDP-N-acetylmuramate-alanine ligase (NCBI),COG773,M,UDP-N-acetylmuramate-alanine ligase,,,,
PMM0023,PMED4_00221,24150,25172,+,Core,VEG,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating) (NCBI),COG57,G,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,,,,
PMM0024,PMED4_00231,25173,26159,-,Core,VEG,thiL,putative thiamine-monophosphate kinase (NCBI),COG611,H,Thiamine monophosphate kinase,,,,
PMM0025,PMED4_00241,26152,27243,-,Core,VEG,PMM0025,Cyclophilin-type peptidyl-prolyl cis-trans isomerase (NCBI),COG652,O,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family,,,,
PMM0026,PMED4_00251,27287,27847,+,Core,VEG,efp,Elongation factor P (EF-P) (NCBI),COG231,J,Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),,,,
PMM0027,PMED4_00261,27847,28353,+,Core,VEG,accB,Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit (Katherine Huang),COG511,I,Biotin carboxyl carrier protein,,,,
PMM0028,PMED4_00271,28330,29370,-,Core,VEG,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA (NCBI),COG1995,H,Pyridoxal phosphate biosynthesis protein,,,,
PMM0029,PMED4_00281,29363,30250,-,Core,VEG,PMM0029,Nucleoside-diphosphate-sugar epimerases  (Katherine Huang),COG451,MG,Nucleoside-diphosphate-sugar epimerases,,,,
PMM0030,PMED4_00291,30235,30525,+,Flexible,MEG,PMM0030,possible Transcription factor TFIID (or TATA-b (NCBI),,,,,,,
PMM0031,PMED4_00301,30526,30930,-,Core,VEG,PMM0031,HNH endonuclease:HNH nuclease (NCBI),,,,,,,
PMM0032,PMED4_00311,31101,31520,-,Core,HEG,PMM0032,type II secretion system protein-like (Katherine Huang),,,,,,,
PMM0033,PMED4_00321,31579,32091,-,Core,VEG,PMM0033,conserved hypothetical protein (NCBI),,,,,,,
PMM0034,PMED4_00331,32335,32532,+,Flexible,HEG,PMM0034,conserved hypothetical protein (NCBI),,,,,,,
PMM0035,PMED4_00341,32543,33697,-,Core,HEG,DHSS,soluble hydrogenase small subunit (NCBI),COG75,E,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase,,,,
PMM0036,PMED4_00351,33758,34876,+,Core,VEG,cbiD,CbiD protein (NCBI),COG1903,H,Cobalamin biosynthesis protein CbiD,,,,
PMM0037,PMED4_00361,34925,36511,+,Core,MEG,guaA,Glutamine amidotransferase class-I:GMP synthase (NCBI),COG519,F,"GMP synthase, PP-ATPase domain/subunit",,,,
PMM0038,PMED4_00371,36556,37269,+,Flexible,VEG,PMM0038,hypothetical (NCBI),,,,,,,
PMM0039,PMED4_00381,37360,37968,+,Core,MEG,PMM0039,conserved hypothetical protein (NCBI),,,,,,,
HyPMM1,PMED4_00391,38074,38226,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
