SeqID	Localization	Score
WP_004578660.1 MULTISPECIES: c-type cytochrome [Marinobacter]	Unknown	2.50
WP_004578669.1 MULTISPECIES: ATP-binding protein [Marinobacter]	CytoplasmicMembrane	10.00
WP_004578670.1 MULTISPECIES: response regulator transcription factor [Marinobacter]	Cytoplasmic	9.97
WP_004578671.1 MULTISPECIES: cupredoxin domain-containing protein [Marinobacter]	Unknown	2.50
WP_004578676.1 MULTISPECIES: hypothetical protein [Marinobacter]	CytoplasmicMembrane	9.82
WP_004578679.1 MULTISPECIES: DUF302 domain-containing protein [Marinobacter]	Cytoplasmic	8.96
WP_004578680.1 MULTISPECIES: hypothetical protein [Marinobacter]	Cytoplasmic	8.96
WP_004578681.1 MULTISPECIES: ATP-grasp domain-containing protein [Marinobacter]	Cytoplasmic	8.96
WP_004578683.1 MULTISPECIES: isoprenylcysteine carboxylmethyltransferase family protein [Marinobacter]	CytoplasmicMembrane	10.00
WP_004578686.1 MULTISPECIES: hypothetical protein [Marinobacter]	Unknown	2.50
WP_004578687.1 MULTISPECIES: hypothetical protein [Marinobacter]	CytoplasmicMembrane	9.86
WP_004578688.1 MULTISPECIES: cation transporter [Marinobacter]	CytoplasmicMembrane	10.00
WP_004578689.1 MULTISPECIES: DUF3703 domain-containing protein [Marinobacter]	Unknown	2.00
WP_004578690.1 MULTISPECIES: cation diffusion facilitator family transporter [Marinobacter]	CytoplasmicMembrane	10.00
WP_004578691.1 MULTISPECIES: hypothetical protein [Marinobacter]	Unknown	2.50
WP_004578692.1 MULTISPECIES: DUF411 domain-containing protein [Marinobacter]	Unknown	2.50
WP_004578693.1 MULTISPECIES: cytochrome c biogenesis CcdA family protein [Marinobacter]	CytoplasmicMembrane	10.00
WP_004580743.1 MULTISPECIES: 30S ribosomal protein S10 [Marinobacteraceae]	Cytoplasmic	9.26
WP_007151838.1 MULTISPECIES: integration host factor subunit alpha [Marinobacter]	Cytoplasmic	9.97
WP_007151842.1 MULTISPECIES: 50S ribosomal protein L35 [Marinobacter]	Cytoplasmic	9.26
WP_007153157.1 MULTISPECIES: pyrroloquinoline quinone precursor peptide PqqA [Gammaproteobacteria]	Unknown	2.00
WP_007153483.1 MULTISPECIES: 30S ribosomal protein S21 [Marinobacter]	Cytoplasmic	9.26
WP_007153756.1 MULTISPECIES: cAMP-activated global transcriptional regulator CRP [Gammaproteobacteria]	Cytoplasmic	9.97
WP_007153992.1 MULTISPECIES: 30S ribosomal protein S11 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_007154005.1 MULTISPECIES: 50S ribosomal protein L14 [Gammaproteobacteria]	Cytoplasmic	9.26
WP_007154011.1 MULTISPECIES: 30S ribosomal protein S19 [Marinobacter]	Cytoplasmic	9.26
WP_007154918.1 MULTISPECIES: 30S ribosomal protein S18 [Marinobacter]	Cytoplasmic	9.26
WP_008169108.1 MULTISPECIES: phosphoribosylaminoimidazolesuccinocarboxamide synthase [Marinobacter]	Cytoplasmic	9.97
WP_008169115.1 MULTISPECIES: AI-2E family transporter [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169120.1 MULTISPECIES: peptidoglycan-associated lipoprotein Pal [Marinobacter]	OuterMembrane	9.92
WP_008169131.1 MULTISPECIES: Holliday junction branch migration DNA helicase RuvB [Marinobacter]	Cytoplasmic	9.97
WP_008169141.1 MULTISPECIES: HTH-type transcriptional repressor FabR [Marinobacter]	Cytoplasmic	9.26
WP_008169151.1 MULTISPECIES: IMP dehydrogenase [Marinobacter]	Cytoplasmic	9.97
WP_008169155.1 MULTISPECIES: cold-shock protein [Marinobacter]	Cytoplasmic	9.26
WP_008169158.1 MULTISPECIES: Lrp/AsnC family transcriptional regulator [Marinobacter]	Cytoplasmic	9.97
WP_008169170.1 MULTISPECIES: Trm112 family protein [Marinobacter]	Unknown	2.00
WP_008169179.1 MULTISPECIES: MotA/TolQ/ExbB proton channel family protein [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169186.1 MULTISPECIES: DUF2062 domain-containing protein [Marinobacter]	CytoplasmicMembrane	9.82
WP_008169200.1 MULTISPECIES: translation initiation factor IF-1 [Marinobacter]	Cytoplasmic	9.97
WP_008169202.1 MULTISPECIES: ATP-dependent Clp protease adapter ClpS [Marinobacter]	Cytoplasmic	9.26
WP_008169251.1 MULTISPECIES: N-succinylarginine dihydrolase [Marinobacter]	Cytoplasmic	9.97
WP_008169257.1 MULTISPECIES: efflux RND transporter periplasmic adaptor subunit [Marinobacter]	Unknown	2.00
WP_008169264.1 MULTISPECIES: ABC transporter permease [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169272.1 MULTISPECIES: FCD domain-containing protein [Marinobacter]	Cytoplasmic	9.97
WP_008169282.1 MULTISPECIES: GlcG/HbpS family heme-binding protein [Marinobacter]	Cytoplasmic	8.96
WP_008169283.1 MULTISPECIES: FAD-linked oxidase C-terminal domain-containing protein [Marinobacter]	Cytoplasmic	9.97
WP_008169287.1 MULTISPECIES: glycolate oxidase subunit GlcF [Marinobacter]	CytoplasmicMembrane	7.88
WP_008169290.1 MULTISPECIES: DUF4124 domain-containing protein [Marinobacter]	Unknown	2.50
WP_008169293.1 MULTISPECIES: homoserine/homoserine lactone efflux protein [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169302.1 MULTISPECIES: oxidative damage protection protein [Marinobacter]	Unknown	2.00
WP_008169307.1 MULTISPECIES: SRPBCC family protein [Marinobacter]	Unknown	2.00
WP_008169323.1 MULTISPECIES: rhodanese-like domain-containing protein [Marinobacter]	Unknown	2.00
WP_008169324.1 MULTISPECIES: protein-export chaperone SecB [Marinobacter]	Cytoplasmic	9.26
WP_008169329.1 MULTISPECIES: conjugal transfer protein TraF [Marinobacter]	Unknown	2.50
WP_008169334.1 MULTISPECIES: SufE family protein [Marinobacter]	Cytoplasmic	9.97
WP_008169336.1 MULTISPECIES: putative Fe-S cluster assembly protein SufT [Marinobacter]	Cytoplasmic	8.96
WP_008169339.1 MULTISPECIES: HesB/IscA family protein [Marinobacter]	Cytoplasmic	9.97
WP_008169342.1 MULTISPECIES: Fe-S cluster assembly protein SufD [Marinobacter]	Cytoplasmic	8.96
WP_008169344.1 MULTISPECIES: Fe-S cluster assembly ATPase SufC [Marinobacter]	Cytoplasmic	9.97
WP_008169346.1 MULTISPECIES: Fe-S cluster assembly protein SufB [Marinobacter]	Cytoplasmic	8.96
WP_008169352.1 MULTISPECIES: beta-ketoacyl-ACP synthase I [Marinobacter]	Cytoplasmic	9.97
WP_008169354.1 MULTISPECIES: bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase [Marinobacter]	Cytoplasmic	9.97
WP_008169509.1 MULTISPECIES: GNAT family N-acetyltransferase [Marinobacter]	Unknown	2.00
WP_008169514.1 MULTISPECIES: YnfA family protein [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169529.1 MULTISPECIES: amino acid ABC transporter permease [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169533.1 MULTISPECIES: amino acid ABC transporter permease [Marinobacter]	CytoplasmicMembrane	10.00
WP_008169535.1 MULTISPECIES: transporter substrate-binding domain-containing protein [Marinobacter]	Periplasmic	9.76
