seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_018692.1,dnaA,dnaA,AMBLS11_RS00005,AMBLS11_00005,Protein Homology,706,2364,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975239.1,chromosomal replication initiator protein DnaA,WP_014996758.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",,AMBLS11_00005,
NC_018692.1,dnaN,dnaN,AMBLS11_RS00010,AMBLS11_00010,Protein Homology,2397,3497,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_012516526.1,"GO:0006260,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA,,AMBLS11_00010,2.7.7.7
NC_018692.1,recF,recF,AMBLS11_RS00015,AMBLS11_00015,Protein Homology,3623,4711,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_014996759.1,"GO:0006281,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA",DNA repair|0006281||IEA,,AMBLS11_00015,
NC_018692.1,gyrB,gyrB,AMBLS11_RS00020,AMBLS11_00020,Protein Homology,4720,7140,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_014996760.1,"GO:0006265,GO:0003918,GO:0009330",DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) complex|0009330||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,DNA topological change|0006265||IEA,,AMBLS11_00020,5.6.2.2
NC_018692.1,AMBLS11_RS00025,,AMBLS11_RS00025,AMBLS11_00025,Protein Homology,7305,7748,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,hypothetical protein,WP_048832179.1,,,,,,AMBLS11_00025,
NC_018692.1,glyS,glyS,AMBLS11_RS00030,AMBLS11_00030,Protein Homology,7832,9910,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_014996762.1,"GO:0006426,GO:0004820,GO:0009345",glycine-tRNA ligase complex|0009345||IEA,glycine-tRNA ligase activity|0004820||IEA,glycyl-tRNA aminoacylation|0006426||IEA,,AMBLS11_00030,6.1.1.14
NC_018692.1,glyQ,glyQ,AMBLS11_RS00035,AMBLS11_00035,Protein Homology,9913,10818,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014996763.1,"GO:0006426,GO:0004820,GO:0009345",glycine-tRNA ligase complex|0009345||IEA,glycine-tRNA ligase activity|0004820||IEA,glycyl-tRNA aminoacylation|0006426||IEA,,AMBLS11_00035,6.1.1.14
NC_018692.1,AMBLS11_RS00040,,AMBLS11_RS00040,AMBLS11_00040,Protein Homology,10965,11573,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_014996764.1,,,,,,AMBLS11_00040,3.2.2.20
NC_018692.1,AMBLS11_RS00045,,AMBLS11_RS00045,AMBLS11_00045,Protein Homology,11691,12152,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_014996765.1,,,,,,AMBLS11_00045,
NC_018692.1,yihI,yihI,AMBLS11_RS00050,AMBLS11_00050,Protein Homology,12171,12674,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_014996766.1,,,,,,AMBLS11_00050,
