gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags
BSR22_RS09320,,BSR22_RS09320,BSR22_00005,GeneMarkS-2+,1,594,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_198025628.1,,,,,BSR22_00005
BSR22_RS00010,,BSR22_RS00010,BSR22_00010,GeneMarkS-2+,828,1250,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_025947413.1,,,,,BSR22_00010
BSR22_RS00015,,BSR22_RS00015,BSR22_00015,GeneMarkS-2+,1551,1826,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142411.1,,,,,BSR22_00015
BSR22_RS00020,,BSR22_RS00020,BSR22_00020,Protein Homology,2070,2333,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294704.1,hypothetical protein,WP_025932116.1,,,,,BSR22_00020
BSR22_RS00025,,BSR22_RS00025,BSR22_00025,Protein Homology,2346,2570,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818685.1,hypothetical protein,WP_077142410.1,,,,,BSR22_00025
BSR22_RS00030,,BSR22_RS00030,BSR22_00030,GeneMarkS-2+,2622,2825,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142409.1,,,,,BSR22_00030
BSR22_RS00035,,BSR22_RS00035,BSR22_00035,Protein Homology,2955,3140,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820591.1,hypothetical protein,WP_077142408.1,,,,,BSR22_00035
BSR22_RS09325,,BSR22_RS09325,BSR22_RS09325,Protein Homology,3141,3290,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820552.1,hypothetical protein,WP_198025629.1,,,,,
BSR22_RS00040,,BSR22_RS00040,BSR22_00040,GeneMarkS-2+,3343,3483,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_225866692.1,,,,,BSR22_00040
BSR22_RS00045,,BSR22_RS00045,BSR22_00045,Protein Homology,3682,5475,+,,,COORDINATES: protein motif:HMM:NF024816.6,tetratricopeptide repeat protein,WP_077142406.1,,,,,BSR22_00045
BSR22_RS00050,,BSR22_RS00050,BSR22_00050,Protein Homology,5478,5879,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824366.1,DUF6165 family protein,WP_077142405.1,,,,,BSR22_00050
BSR22_RS00055,,BSR22_RS00055,BSR22_00055,Protein Homology,5907,6707,-,,,COORDINATES: protein motif:HMM:NF012888.6,sulfotransferase domain-containing protein,WP_077142404.1,"GO:0015016,GO:0016787",,"heparan sulfate N-sulfotransferase activity|0015016||IEA,hydrolase activity|0016787||IEA",,BSR22_00055
BSR22_RS09330,,BSR22_RS09330,BSR22_00060,Protein Homology,7169,7423,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805423.1,high light inducible protein,WP_077142403.1,,,,,BSR22_00060
BSR22_RS00065,,BSR22_RS00065,BSR22_00065,Protein Homology,7424,7651,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863216.1,hypothetical protein,WP_077142402.1,,,,,BSR22_00065
rluF,rluF,BSR22_RS00075,BSR22_00075,Protein Homology,8086,8808,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805473.1,23S rRNA pseudouridine(2604) synthase RluF,WP_077142401.1,"GO:0001522,GO:0003723,GO:0009982",,"RNA binding|0003723||IEA,pseudouridine synthase activity|0009982||IEA",pseudouridine synthesis|0001522||IEA,BSR22_00075
BSR22_RS00080,,BSR22_RS00080,BSR22_00080,Protein Homology,8959,9204,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818690.1,DUF1651 domain-containing protein,WP_077142400.1,,,,,BSR22_00080
BSR22_RS00085,,BSR22_RS00085,BSR22_00085,Protein Homology,9237,9875,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007986.1,SOS response-associated peptidase,WP_077142399.1,"GO:0009432,GO:0003697,GO:0008233",,"single-stranded DNA binding|0003697||IEA,peptidase activity|0008233||IEA",SOS response|0009432||IEA,BSR22_00085
