alt_id,locus_tag,source_col,source_csv,paper
BSR22_00020,BSR22_00020,Gene ID,supp table s1.csv,Labban 2022
BSR22_00055,BSR22_00055,Gene ID,supp table s1.csv,Labban 2022
BSR22_00120,BSR22_00120,Gene ID,supp table s1.csv,Labban 2022
BSR22_00125,BSR22_00125,Gene ID,supp table s1.csv,Labban 2022
BSR22_00170,BSR22_00170,Gene ID,supp table s1.csv,Labban 2022
BSR22_00315,BSR22_00315,Gene ID,supp table s1.csv,Labban 2022
BSR22_00330,BSR22_00330,Gene ID,supp table s1.csv,Labban 2022
BSR22_00335,BSR22_00335,Gene ID,supp table s1.csv,Labban 2022
BSR22_00340,BSR22_00340,Gene ID,supp table s1.csv,Labban 2022
BSR22_00355,BSR22_00355,Gene ID,supp table s1.csv,Labban 2022
BSR22_00370,BSR22_00370,Gene ID,supp table s1.csv,Labban 2022
BSR22_00390,BSR22_00390,Gene ID,supp table s1.csv,Labban 2022
BSR22_00455,BSR22_00455,Gene ID,supp table s1.csv,Labban 2022
BSR22_00565,BSR22_00565,Gene ID,supp table s1.csv,Labban 2022
BSR22_00590,BSR22_00590,Gene ID,supp table s1.csv,Labban 2022
BSR22_00595,BSR22_00595,Gene ID,supp table s1.csv,Labban 2022
BSR22_00895,BSR22_00895,Gene ID,supp table s1.csv,Labban 2022
BSR22_00970,BSR22_00970,Gene ID,supp table s1.csv,Labban 2022
BSR22_01065,BSR22_01065,Gene ID,supp table s1.csv,Labban 2022
BSR22_01075,BSR22_01075,Gene ID,supp table s1.csv,Labban 2022
BSR22_01165,BSR22_01165,Gene ID,supp table s1.csv,Labban 2022
BSR22_01185,BSR22_01185,Gene ID,supp table s1.csv,Labban 2022
BSR22_01260,BSR22_01260,Gene ID,supp table s1.csv,Labban 2022
BSR22_01280,BSR22_01280,Gene ID,supp table s1.csv,Labban 2022
BSR22_01305,BSR22_01305,Gene ID,supp table s1.csv,Labban 2022
BSR22_01335,BSR22_01335,Gene ID,supp table s1.csv,Labban 2022
BSR22_01360,BSR22_01360,Gene ID,supp table s1.csv,Labban 2022
BSR22_01375,BSR22_01375,Gene ID,supp table s1.csv,Labban 2022
BSR22_01385,BSR22_01385,Gene ID,supp table s1.csv,Labban 2022
BSR22_01455,BSR22_01455,Gene ID,supp table s1.csv,Labban 2022
BSR22_01490,BSR22_01490,Gene ID,supp table s1.csv,Labban 2022
BSR22_01520,BSR22_01520,Gene ID,supp table s1.csv,Labban 2022
BSR22_01525,BSR22_01525,Gene ID,supp table s1.csv,Labban 2022
BSR22_01555,BSR22_01555,Gene ID,supp table s1.csv,Labban 2022
BSR22_01600,BSR22_01600,Gene ID,supp table s1.csv,Labban 2022
BSR22_01715,BSR22_01715,Gene ID,supp table s1.csv,Labban 2022
BSR22_01755,BSR22_01755,Gene ID,supp table s1.csv,Labban 2022
BSR22_01830,BSR22_01830,Gene ID,supp table s1.csv,Labban 2022
BSR22_01870,BSR22_01870,Gene ID,supp table s1.csv,Labban 2022
BSR22_01895,BSR22_01895,Gene ID,supp table s1.csv,Labban 2022
BSR22_01930,BSR22_01930,Gene ID,supp table s1.csv,Labban 2022
BSR22_01940,BSR22_01940,Gene ID,supp table s1.csv,Labban 2022
BSR22_01950,BSR22_01950,Gene ID,supp table s1.csv,Labban 2022
BSR22_02080,BSR22_02080,Gene ID,supp table s1.csv,Labban 2022
BSR22_02100,BSR22_02100,Gene ID,supp table s1.csv,Labban 2022
BSR22_02110,BSR22_02110,Gene ID,supp table s1.csv,Labban 2022
