alt_id,locus_tag,source_col,source_csv,paper
PMM0001,PMM0001,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0001,PMM0001,GENE,medExpression.1.csv,Tolonen 2006
PMM0001,PMM0001,locus_tag,DE_genes_3h_post_starvation.csv,Read 2017
PMM0001,PMM0001,locus_tag,DE_genes_12h_post_starvation.csv,Read 2017
PMM0001,PMM0001,locus_tag,DE_genes_24h_post_starvation.csv,Read 2017
PMM0002,PMM0002,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0002,PMM0002,GENE,medExpression.1.csv,Tolonen 2006
PMM0003,PMM0003,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0003,PMM0003,GENE,medExpression.1.csv,Tolonen 2006
PMM0004,PMM0004,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0004,PMM0004,GENE,medExpression.1.csv,Tolonen 2006
PMM0005,PMM0005,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0005,PMM0005,GENE,medExpression.1.csv,Tolonen 2006
PMM0006,PMM0006,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0006,PMM0006,GENE,medExpression.1.csv,Tolonen 2006
PMM0007,PMM0007,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0007,PMM0007,GENE,medExpression.1.csv,Tolonen 2006
PMM0008,PMM0008,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0008,PMM0008,Locus tag2,de_genes_gas_shock_vs_air.csv,Bagby and Chisholm 2015
PMED4_00071,PMM0008,Alternative locus tag,de_genes_gas_shock_vs_air.csv,Bagby and Chisholm 2015
MED4_ARR_0008_x_at,PMM0008,Probeset,de_genes_gas_shock_vs_air.csv,Bagby and Chisholm 2015
PMM0008,PMM0008,GENE,medExpression.1.csv,Tolonen 2006
PMM0008,PMM0008,locus_tag,DE_genes_3h_post_starvation.csv,Read 2017
PMM0008,PMM0008,locus_tag,DE_genes_12h_post_starvation.csv,Read 2017
PMM0008,PMM0008,locus_tag,DE_genes_24h_post_starvation.csv,Read 2017
PMM0009,PMM0009,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0009,PMM0009,GENE,medExpression.1.csv,Tolonen 2006
PMM0010,PMM0010,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0010,PMM0010,GENE,medExpression.1.csv,Tolonen 2006
PMM0011,PMM0011,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0011,PMM0011,GENE,medExpression.1.csv,Tolonen 2006
PMM0012,PMM0012,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0012,PMM0012,GENE,medExpression.1.csv,Tolonen 2006
PMM0013,PMM0013,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0013,PMM0013,GENE,medExpression.1.csv,Tolonen 2006
PMM0013,PMM0013,locus_tag,DE_genes_3h_post_starvation.csv,Read 2017
PMM0013,PMM0013,locus_tag,DE_genes_12h_post_starvation.csv,Read 2017
PMM0013,PMM0013,locus_tag,DE_genes_24h_post_starvation.csv,Read 2017
PMM0014,PMM0014,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0014,PMM0014,ORF ,supp table 3.csv,Lindell 2007
PMM0014,PMM0014,GENE,medExpression.1.csv,Tolonen 2006
PMM0015,PMM0015,Synonym,de_genes_med4_t20h.csv,Aharonovich 2016
PMM0015,PMM0015,gene ID,supp table s1.csv,Steglich 2006
PMM0015,PMM0015,GENE,medExpression.1.csv,Tolonen 2006
PMM0015,PMM0015,locus_tag,DE_genes_3h_post_starvation.csv,Read 2017
