seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
NZ_CP006882.1,dnaN,dnaN,Syncc8109_RS00005,Syncc8109_0001,Protein Homology,2111429.0,2112586.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006850986.1,DNA polymerase III subunit beta,WP_006850986.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,Syncc8109_0001,1.0,1071.0,+,CK_Syn_WH8109_00001,dnaN,"GO:0006260,GO:0034061,GO:0003677,GO:0003887,GO:0008408,GO:0009360",CK_00000364,F.1,DNA replication%2C recombination%2C and repair,"COG0592,bactNOG00989,cyaNOG01040","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",2.7.7.7,Description not found.,"Description not found.,DNA replication,Description not found.,Description not found.,Description not found.,Description not found.,DNA replication,DNA polymerase activity,DNA binding,DNA-directed DNA polymerase activity,3'-5' exonuclease activity,Description not found.",DNA polymerase III%2C beta subunit,"TIGR00663,PF00712,PF02768,PF02767,IPR022634,IPR022635,IPR022637,IPR001001","DNA polymerase III%2C beta subunit,DNA polymerase III beta subunit%2C N-terminal domain,DNA polymerase III beta subunit%2C C-terminal domain,DNA polymerase III beta subunit%2C central domain,DNA polymerase III%2C beta sliding clamp%2C N-terminal,DNA polymerase III%2C beta sliding clamp%2C C-terminal,DNA polymerase III%2C beta sliding clamp%2C central,DNA polymerase III%2C beta sliding clamp",132,DNA metabolism / DNA replication%2C recombination%2C and repair,,2.7.7.7
NZ_CP006882.1,Syncc8109_RS00010,,Syncc8109_RS00010,Syncc8109_0003,Protein Homology,1073.0,1828.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011358847.1,hypothetical protein,WP_025361975.1,,,,,Syncc8109_0003,1160.0,1828.0,+,CK_Syn_WH8109_00003,,,CK_00000363,R.2,Conserved hypothetical proteins,"COG0243,NOG45784,NOG237203,bactNOG55577,bactNOG31844,cyaNOG05837,cyaNOG03657","COG: METABOLISM [C] Energy production and conversion,COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
NZ_CP006882.1,purL,purL,Syncc8109_RS00015,Syncc8109_0004,Protein Homology,1869.0,4175.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011363047.1,phosphoribosylformylglycinamidine synthase subunit PurL,WP_025361976.1,"GO:0006189,GO:0004642",,phosphoribosylformylglycinamidine synthase activity|0004642||IEA,'de novo' IMP biosynthetic process|0006189||IEA,Syncc8109_0004,1905.0,4175.0,+,CK_Syn_WH8109_00004,purL,"GO:0009152,GO:0006541,GO:0006189,GO:0006164,GO:0004642",CK_00000362,M.3,Purine ribonucleotide biosynthesis,"COG0046,bactNOG00968,cyaNOG01049","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",6.3.5.3,Description not found.,"Description not found.,Description not found.,Description not found.,Description not found.,purine ribonucleotide biosynthetic process,glutamine metabolic process,'de novo' IMP biosynthetic process,purine nucleotide biosynthetic process,Description not found.",phosphoribosylformylglycinamidine synthase%2C synthetase domain,"TIGR01736,PF02769,PF00586,IPR010918,IPR000728,IPR010074","phosphoribosylformylglycinamidine synthase II,AIR synthase related protein%2C C-terminal domain,AIR synthase related protein%2C N-terminal domain,PurM-like%2C C-terminal domain,Description not found.,Phosphoribosylformylglycinamidine subunit PurL",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis,,6.3.5.3
NZ_CP006882.1,purF,purF,Syncc8109_RS00020,Syncc8109_0005,Protein Homology,4237.0,5694.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817481.1,amidophosphoribosyltransferase,WP_006850418.1,"GO:0009113,GO:0004044",,amidophosphoribosyltransferase activity|0004044||IEA,purine nucleobase biosynthetic process|0009113||IEA,Syncc8109_0005,4255.0,5694.0,+,CK_Syn_WH8109_00005,purF,"GO:0009113,GO:0006189,GO:0009116,GO:0006541,GO:0004044,GO:0016757,GO:0005829",CK_00000361,M.3,Purine ribonucleotide biosynthesis,"COG0034,bactNOG03208,cyaNOG00619","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",2.4.2.14,Description not found.,"Description not found.,'de novo' IMP biosynthetic process,Description not found.,glutamine metabolic process,purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,Description not found.,Description not found.,purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,amidophosphoribosyltransferase activity,transferase activity%2C transferring glycosyl groups,Description not found.",amidophosphoribosyltransferase,"TIGR01134,PF13522,PF00156,PS51278,IPR005854,IPR017932,IPR000836","amidophosphoribosyltransferase,Glutamine amidotransferase domain,Phosphoribosyl transferase domain,Glutamine amidotransferase type 2 domain profile.,Amidophosphoribosyltransferase,Glutamine amidotransferase type 2 domain,Phosphoribosyltransferase domain",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis,,2.4.2.14
NZ_CP006882.1,Syncc8109_RS00025,,Syncc8109_RS00025,Syncc8109_0006,Protein Homology,5702.0,8170.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006851139.1,DNA topoisomerase (ATP-hydrolyzing) subunit A,WP_006851139.1,,,,,Syncc8109_0006,5702.0,8170.0,-,CK_Syn_WH8109_00006,,"GO:0006265,GO:0003677,GO:0003916,GO:0005524,GO:0003918,GO:0005694",CK_00008107,F.1,DNA replication%2C recombination%2C and repair,"COG0188,bactNOG02571,cyaNOG00631","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",,,"Description not found.,DNA topological change,DNA binding,Description not found.,Description not found.,Description not found.,DNA topological change,DNA binding,DNA topoisomerase activity,ATP binding,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,Description not found.",DNA gyrase/topoisomerase IV%2C subunit A family protein,"PF03989,PF00521,IPR006691,IPR002205","DNA gyrase C-terminal domain%2C beta-propeller,DNA gyrase/topoisomerase IV%2C subunit A,DNA gyrase/topoisomerase IV%2C subunit A%2C C-terminal repeat,DNA topoisomerase%2C type IIA%2C subunit A/C-terminal",132,DNA metabolism / DNA replication%2C recombination%2C and repair,,
NZ_CP006882.1,Syncc8109_RS00030,,Syncc8109_RS00030,Syncc8109_0007,Protein Homology,8216.0,9079.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006850214.1,tetratricopeptide repeat protein,WP_006850214.1,,,,,Syncc8109_0007,8216.0,9079.0,-,CK_Syn_WH8109_00007,,GO:0005515,CK_00000360,,,"COG0457,COG4783,bactNOG76554,bactNOG08761,bactNOG55327,cyaNOG00333","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,Description not found.,tetratricopeptide repeat family protein,"PF13414,PF00515,PS50005,PS50293,IPR019734,IPR001440,IPR013026","TPR repeat,Tetratricopeptide repeat,TPR repeat profile.,TPR repeat region circular profile.,Tetratricopeptide repeat,Tetratricopeptide repeat 1,Tetratricopeptide repeat-containing domain",157,Unknown function / General,,
NZ_CP006882.1,queG,queG,Syncc8109_RS00035,Syncc8109_0008,Protein Homology,9117.0,10082.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006850893.1,tRNA epoxyqueuosine(34) reductase QueG,WP_006850893.1,"GO:0008033,GO:0008616,GO:0051539,GO:0052693",,"4 iron%2C 4 sulfur cluster binding|0051539||IEA,epoxyqueuosine reductase activity|0052693||IEA","tRNA processing|0008033||IEA,queuosine biosynthetic process|0008616||IEA",Syncc8109_0008,9117.0,10082.0,-,CK_Syn_WH8109_00008,queG,"GO:0008616,GO:0008033,GO:0008616,GO:0051539,GO:0016491,GO:0051536",CK_00000359,K.3,tRNA and rRNA base modification,"COG1600,bactNOG03610,cyaNOG01006","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.17.99.6,Description not found.,"Description not found.,Description not found.,queuosine biosynthetic process,queuosine biosynthetic process,tRNA processing,queuosine biosynthetic process,Description not found.,Description not found.,Description not found.",epoxyqueuosine reductase,"TIGR00276,PF13484,PF08331,PS00198,PS51379,IPR004453,IPR017900,IPR013542,IPR017896","epoxyqueuosine reductase,4Fe-4S double cluster binding domain,Domain of unknown function (DUF1730),4Fe-4S ferredoxin-type iron-sulfur binding region signature.,4Fe-4S ferredoxin-type iron-sulfur binding domain profile.,Epoxyqueuosine reductase QueG,4Fe-4S ferredoxin%2C iron-sulphur binding%2C conserved site,Domain of unknown function DUF1730,4Fe-4S ferredoxin-type%2C iron-sulphur binding domain",168,Protein synthesis / tRNA and rRNA base modification,,1.17.99.6
NZ_CP006882.1,Syncc8109_RS00040,,Syncc8109_RS00040,Syncc8109_0009,Protein Homology,10119.0,10766.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011358853.1,HpsJ family protein,WP_006850479.1,,,,,Syncc8109_0009,10119.0,10766.0,+,CK_Syn_WH8109_00009,,GO:0016020,CK_00001353,R.2,Conserved hypothetical proteins,"COG2233,NOG39927,COG1196,bactNOG62626,cyaNOG06037","COG: METABOLISM [F] Nucleotide transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,COG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,Description not found.,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
NZ_CP006882.1,Syncc8109_RS00045,,Syncc8109_RS00045,Syncc8109_0010,Protein Homology,10817.0,11551.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006849770.1,DUF502 domain-containing protein,WP_006849770.1,,,,,Syncc8109_0010,10817.0,11551.0,+,CK_Syn_WH8109_00010,,GO:0016020,CK_00000358,R.2,Conserved hypothetical proteins,"COG2928,bactNOG10288,bactNOG40793,cyaNOG00102","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,uncharacterized conserved membrane protein (DUF502),"PF04367,IPR007462","Protein of unknown function (DUF502),Protein of unknown function DUF502",156,Hypothetical proteins / Conserved,,
NZ_CP006882.1,nusB,nusB,Syncc8109_RS00050,Syncc8109_0011,Protein Homology,11555.0,12190.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011363054.1,transcription antitermination factor NusB,WP_006851958.1,GO:0006353,,,DNA-templated transcription termination|0006353||IEA,Syncc8109_0011,11555.0,12190.0,+,CK_Syn_WH8109_00011,nusB,"GO:0006351,GO:0006353,GO:0006355,GO:0005515,GO:0003723,GO:0005737,GO:0005829",CK_00000357,P,Transcription,"COG0781,COG1318,bactNOG98581,bactNOG89653,bactNOG99065,bactNOG89531,bactNOG100385,cyaNOG02614","COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"Description not found.,Description not found.,Description not found.,transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,protein binding,Description not found.,transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,protein binding,RNA binding,Description not found.,cytosol",transcription antitermination protein NusB,"TIGR01951,PF01029,IPR006027,IPR011605","transcription antitermination factor NusB,NusB family,NusB/RsmB/TIM44,NusB antitermination factor",133,Transcription / Other,,
