Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light + 100 nM 1,Light + 100 nM 2,Light + 100 nM 3,Light + 5mM 1,Light + 5mM 2,Light + 5mM 3,Darkness 1,Darkness 2,Darkness 3,Dark + 100 nM 1,Dark + 100 nM 2,Dark + 100 nM 3,Dark + 5mM 1,Dark + 5mM 2,Dark + 5mM 3,Light1,Light2,Light3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Description.1,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D,resolved_locus_tag,resolution_method
E4PMP0,2,2,8.621661901,DNA-directed RNA polymerase subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoA PE=3 SV=1,55522.79401,12925.44752,16872.47747,203109.1232,301003.0765,426461.6216,197608.7719,55797.44063,19588869.85,24958.55562,156444.7596,10058.29056,32527.56129,414343.8212,9785567.415,63245.34053,40656.06901,10267119.52,0.00084,0.00012,0.00028,0.00112,0.00112,0.00242,0.00106,0.00023,0.0561,0.00039,0.00108,0.00016,0.00027,0.002,0.03967,0.00056,0.00033,0.0385,DNA-directed RNA polymerase subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoA PE=3 SV=1,0.00041197,0.001552,0.01913288,0.00054379,0.01397879,0.01313105,3.77,46.44,25.71,24.15,0.085,0.21,0.206,0.216,1.91456452349394,5.537296067090842,4.684257705058932,4.593951283948411,HP15_404,tier1:Description
E4PN89,5,5,18.67987823,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,999754.9602,790572.132,823198.4139,26628843.2,15823665.65,15985747.01,52578705.06,17530847.72,86738931.85,1088829.583,1105536.723,589810.6266,17729486.8,22932457.87,15927894.38,24158603.06,14665287.42,61497156.2,0.01514,0.00707,0.01364,0.14693,0.05877,0.09061,0.28224,0.07331,0.24843,0.01682,0.00766,0.00947,0.14473,0.11074,0.06457,0.21501,0.11979,0.23059,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,0.01195119,0.0987688,0.20132827,0.01131833,0.10667885,0.18846441,8.26,16.85,9.43,16.65,0.033,0.047,0.023,0.017,3.0461417816447205,4.074676686294496,3.237257770900372,4.0574502721839,HP15_2958,locus_tag:Description
E4PLZ2,2,2,6.49124217,30S ribosomal protein S19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsS PE=3 SV=1,0.0,0.0,12917.21652,8471.844589,184.9664035,78630.69853,12315.10842,90749.89737,1054704.366,0.0,0.0,17570.40487,3929.071944,27712.00065,558859.7915,7023.422882,92882.34465,704129.281,0.0,0.0,0.00021,4.7e-05,6.9e-07,0.00045,6.6e-05,0.00038,0.00302,0.0,0.0,0.00028,3.2e-05,0.00013,0.00227,6.3e-05,0.00076,0.00264,30S ribosomal protein S19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsS PE=3 SV=1,7.14e-05,0.0001644,0.00115547,9.41e-05,0.00081049,0.00115381,2.3,16.19,8.61,12.26,0.159,0.169,0.188,0.13,1.2016338611696504,4.0170310805278415,3.1060132376221192,3.6158870739160567,HP15_384,tier1:Description
E4PIW6,4,4,11.27317381,Isocitrate dehydrogenase [NADP] OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3800 PE=3 SV=1,42133.59095,33089.12998,157089.7669,159656.585,172334.5934,411663.8219,180555.3489,403713.8261,4470232.084,11060.69074,133360.7981,12724.07821,29743.76188,239619.5906,2842323.484,19087.80455,17890.54542,912375.1965,0.00064,0.0003,0.0026,0.00088,0.00064,0.00233,0.00097,0.00169,0.0128,0.00017,0.00092,0.0002,0.00024,0.00116,0.01152,0.00017,0.00015,0.00342,Isocitrate dehydrogenase [NADP] OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3800 PE=3 SV=1,0.00117924,0.0012848,0.00515358,0.00043318,0.00430749,0.0012457,1.09,4.37,9.94,2.88,0.317,0.166,0.204,0.287,0.1243281350022017,2.127633279725874,3.3132458517875616,1.5260688116675876,HP15_3800,locus_tag:Description
E4PM07,3,3,9.578733921,50S ribosomal protein L15 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplO PE=3 SV=1,257374.0118,341683.3606,74565.69016,250068.8268,1644404.693,340451.4903,466708.9562,7452101.547,188536.1699,130227.4706,279722.3907,388361.722,160305.9095,780653.8779,981979.1875,147476.656,56821.248,461004.7527,0.0039,0.00306,0.00124,0.00138,0.00611,0.00193,0.00251,0.03116,0.00054,0.00201,0.00194,0.00624,0.00131,0.00377,0.00398,0.00131,0.00046,0.00173,50S ribosomal protein L15 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplO PE=3 SV=1,0.00272976,0.0031389,0.01140319,0.00339622,0.00301971,0.00116842,1.15,4.18,0.89,0.34,0.412,0.233,0.391,0.098,0.2016338611696504,2.063502942306158,-0.1681227588083269,-1.5563933485243853,HP15_399,tier1:Description
E4PF84,2,2,5.965266466,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,36145.94243,213697.0271,79898.02539,239588.2094,2115323.908,4181991.022,585991.11,2537669.158,594143.2304,33984.52083,363355.8406,256459.6603,231307.4556,148257.0232,927672.7011,231233.025,238973.2451,571028.5416,0.00055,0.00191,0.00132,0.00132,0.00786,0.0237,0.00315,0.01061,0.0017,0.00052,0.00252,0.00412,0.00189,0.00072,0.00376,0.00206,0.00195,0.00214,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,0.0012611,0.0109609,0.00515323,0.00238763,0.00212161,0.00205037,8.69,4.09,0.89,0.86,0.137,0.129,0.399,0.386,3.119356177039676,2.032100843167024,-0.1681227588083269,-0.2175914350726268,HP15_2200,locus_tag:Description
E4PLY4,2,2,6.335348845,30S ribosomal protein S7 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsG PE=3 SV=1,186100.2323,163894.9057,132544.0443,799605.1513,934532.1744,937322.1324,1073364.466,1020097.394,4064142.2,350991.3021,308773.9213,87518.0748,625770.29,299926.2791,2309388.414,515305.8245,408448.8129,3382798.179,0.00282,0.00147,0.0022,0.00441,0.00347,0.00531,0.00576,0.00427,0.01164,0.00542,0.00214,0.00141,0.00511,0.00145,0.00936,0.00459,0.00334,0.01268,30S ribosomal protein S7 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsG PE=3 SV=1,0.00216024,0.0043985,0.00722265,0.00298913,0.00530622,0.00686895,2.04,3.34,1.78,2.3,0.019,0.074,0.249,0.205,1.0285691521967708,1.7398481026993275,0.8318772411916731,1.2016338611696504,HP15_376,tier1:Description
E4PLZ0,2,2,4.655305743,50S ribosomal protein L23 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplW PE=3 SV=1,36203.15657,7548.068154,16735.10749,78096.71072,638134.8544,202312.2915,126507.987,481296.9649,85798.13446,19514.15907,61602.54155,107276.4379,71216.6601,140600.6656,265938.3891,113634.5969,91596.36915,128530.8851,0.00055,6.8e-05,0.00028,0.00043,0.00237,0.00115,0.00068,0.00201,0.00025,0.0003,0.00043,0.00172,0.00058,0.00068,0.00108,0.00101,0.00075,0.00048,50S ribosomal protein L23 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplW PE=3 SV=1,0.00029768,0.0013159,0.0009792,0.0008172,0.00077946,0.00074716,4.42,3.29,0.95,0.91,0.142,0.197,0.456,0.459,2.144046369616707,1.7180875839605168,-0.0740005814437769,-0.1360615495760283,HP15_382,tier1:Description
E4PIW1,4,4,18.34487891,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3795 PE=3 SV=1",92564.51716,267082.9822,186318.7158,784968.9622,2407966.209,518760.6405,650251.5414,3778336.545,1039365.555,102567.314,545493.0883,135145.6177,342575.0496,469448.0601,1284720.348,455059.9783,313267.7053,1292742.932,0.0014,0.00239,0.00309,0.00433,0.00894,0.00294,0.00349,0.0158,0.00298,0.00158,0.00378,0.00217,0.0028,0.00227,0.00521,0.00405,0.00256,0.00485,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3795 PE=3 SV=1",0.002293,0.0054048,0.00742274,0.00251195,0.00342385,0.00381873,2.36,3.24,1.36,1.52,0.125,0.173,0.281,0.205,1.2387868595871163,1.6959938131099002,0.4436066514756148,0.6040713236688608,HP15_3795,locus_tag:Description
E4PG14,2,2,6.790127516,Response regulator receiver domain protein (CheY) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3514 PE=4 SV=1,76337.98273,26718.21462,65875.69469,43073.199,139644.4433,115958.0882,1076617.057,449764.7297,122261.8507,103603.4316,126781.5501,184371.9919,165932.8747,146899.4882,376329.8722,805033.8901,164896.0367,232153.7201,0.00116,0.00024,0.00109,0.00024,0.00052,0.00066,0.00578,0.00188,0.00035,0.0016,0.00088,0.00296,0.00135,0.00071,0.00153,0.00716,0.00135,0.00087,Response regulator receiver domain protein (CheY) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3514 PE=4 SV=1,0.0008289,0.0004712,0.00267011,0.00181355,0.0011965,0.00312739,0.57,3.22,0.66,1.72,0.206,0.179,0.136,0.309,-0.8109661756099832,1.6870606883398924,-0.5994620704162712,0.7824085649273732,HP15_3514,locus_tag:Description
E4PLZ6,2,2,8.530266762,50S ribosomal protein L29 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpmC PE=3 SV=1,1655.788441,72459.82401,2423.907971,2901.996989,386722.6576,1007.426178,38608.80642,451083.6094,21612.36707,0.0,41085.09256,460.6156324,1428.607788,26280.30653,182021.3414,24943.32894,12295.97111,37759.76896,2.5e-05,0.00065,4e-05,1.6e-05,0.00144,5.7e-06,0.00021,0.00189,6.2e-05,0.0,0.00028,7.4e-06,1.2e-05,0.00013,0.00074,0.00022,0.0001,0.00014,50S ribosomal protein L29 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpmC PE=3 SV=1,0.00023782,0.000486,0.00071852,9.74e-05,0.00029216,0.00015467,2.04,3.02,3.0,1.59,0.228,0.167,0.274,0.344,1.0285691521967708,1.5945485495503542,1.584962500721156,0.6690267655096307,HP15_388,tier1:Description
E4PFQ6,2,2,6.673972845,Acyl carrier protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=acpP PE=3 SV=1,21426.21056,27286.43162,949.707719,9641.240939,25079.38482,18170.9981,13383.3803,337836.0587,40340.61979,12457.16212,11297.69653,58391.27521,24652.42454,31626.87557,45060.77793,7058.872906,33003.70326,59365.48376,0.00032,0.00024,1.6e-05,5.3e-05,9.3e-05,0.0001,7.2e-05,0.00141,0.00012,0.00019,7.8e-05,0.00094,0.0002,0.00015,0.00018,6.3e-05,0.00027,0.00022,Acyl carrier protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=acpP PE=3 SV=1,0.00019475,8.31e-05,0.0005334,0.0004029,0.00017888,0.000185,0.43,2.74,0.44,0.46,0.2,0.256,0.244,0.249,-1.217591435072627,1.4541758931858022,-1.1844245711374275,-1.1202942337177118,HP15_2212,tier1:Description
