Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Marinobacter_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,FC G nM/L,FC GmM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O
E4PMG3,2,2,4.75616,Phosphoglycerate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pgk PE=3 SV=1,3821.98,25970.4,1293.82,1352.96,7379.21,5811.84,59963.1,5371.15,4685.32,263120,73895,213506,1112573,1310.83,29540.1,532.879,720.25,955.24,389481,30347.6,7577.54,487.555,3105.98,11599.5,12123.7,68768.1,390681,4.70E-06,7.70E-07,4.70E-06,5.80E-06,5.10E-06,1.20E-06,0.00019,6.60E-05,0.00047,1.50E-06,1.10E-06,1.70E-06,3.60E-05,5.80E-07,9.00E-06,1.20E-05,0.00011,0.00063,Phosphoglycerate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pgk PE=3 SV=1,3.40E-06,4.00E-06,0.00024,1.40E-06,1.50E-05,0.00025,1.19,72.21,10.49,173.71,0.38,0.06,0.13,0.13
E4PK76,2,2,6.72815,Argininosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=argH PE=3 SV=1,2768.07,1710.91,3.65986,277.373,0,24875.8,11813.9,5401.21,11271.9,146744,63755.6,259.471,275249,883.925,12332.5,0,2552.08,2959.29,23094.3,4721.22,1658.13,189.753,6629.17,1239.53,7041.26,127686,18902.8,3.40E-06,2.20E-09,0,2.50E-05,5.10E-06,3.00E-06,0.00011,8.10E-08,0.00012,9.80E-07,0,5.40E-06,5.60E-06,2.30E-07,9.60E-07,6.80E-06,0.0002,3.10E-05,Argininosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=argH PE=3 SV=1,1.10E-06,1.10E-05,7.50E-05,2.10E-06,2.30E-06,8.00E-05,9.62,66.2,1.06,37.96,0.12,0.06,0.48,0.14
E4PRP0,2,2,17.869,"Cold shock, CspA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3373 PE=4 SV=1",1117271,1384253,499948,146295,1175608,2101525,5908286,354521,3374219,8.60E+07,7489943,2.10E+07,4.50E+07,353388,508492,152137,799051,258757,5255831,393368,2623326,285311,1444173,402820,7238827,3021300,4415980,0.00137,0.0003,0.00074,0.00208,0.00033,0.00089,0.06344,0.00649,0.01914,0.00039,0.00032,0.00047,0.00046,0.00034,0.00031,0.00697,0.00482,0.00713,"Cold shock, CspA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3373 PE=4 SV=1",0.0008,0.0011,0.02969,0.0004,0.00037,0.0063,1.37,36.93,0.94,15.93,0.32,0.08,0.36,0
E4PH03,2,2,6.23444,Outer membrane chaperone Skp (OmpH) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1175 PE=3 SV=1,2185.45,0,0,1741.32,0,30682.2,0,0,15198.2,0,6090.5,111591,144956,5318.27,0,0,13535.2,0,0,0,13823,2188.86,0,0,16649.7,42961.1,183095,2.70E-06,0,0,3.00E-05,0,4.00E-06,0,3.50E-05,6.10E-05,5.90E-06,0,0,0,2.60E-06,0,1.60E-05,6.90E-05,0.0003,Outer membrane chaperone Skp (OmpH) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1175 PE=3 SV=1,8.90E-07,1.10E-05,3.20E-05,2.00E-06,8.70E-07,0.00013,12.83,35.75,0.44,64.19,0.17,0.08,0.32,0.11
E4PLY0,3,3,18.415,50S ribosomal protein L7/L12 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplL PE=3 SV=1,28064.9,883149,261738,166640,66754.5,566514,1047926,123657,13296.4,7138083,1288597,5718241,2548786,246029,807115,119278,69742.9,145129,264166,270978,2158987,82224.4,53154.8,385886,658620,186197,2751427,3.40E-05,0.00016,4.20E-05,0.00056,0.00012,3.50E-06,0.00528,0.00177,0.00108,0.00027,0.00025,0.00026,0.00032,9.80E-05,0.0003,0.00063,0.0003,0.00444,50S ribosomal protein L7/L12 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplL PE=3 SV=1,7.70E-05,0.00023,0.00271,0.00026,0.00024,0.00179,2.93,35.02,0.91,6.79,0.22,0.06,0.37,0.16
E4PHN8,3,3,17.5642,Phosphoribosylformylglycinamidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purL PE=3 SV=1,1275.49,45149.4,1086.89,1479.45,15819.7,1553.54,46051.9,2233.87,29635.5,202042,62939.5,100733,550507,234.16,11578.6,1265.65,8893.06,2912.87,27667,744.482,59764.4,2294.9,2658.19,3158.29,29025.2,64444.2,43955.2,1.60E-06,6.50E-07,1.00E-05,1.50E-06,2.10E-06,7.80E-06,0.00015,3.10E-05,0.00023,2.60E-07,2.70E-06,5.30E-06,8.80E-07,2.70E-06,2.40E-06,2.80E-05,0.0001,7.10E-05,Phosphoribosylformylglycinamidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purL PE=3 SV=1,4.10E-06,3.80E-06,0.00014,2.70E-06,2.00E-06,6.70E-05,0.94,33.85,0.74,24.47,0.47,0.04,0.33,0.02
E4PGF9,2,2,7.68866,Uracil phosphoribosyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=upp PE=3 SV=1,2925.59,6225.69,1984.64,560.171,0,11391.8,2263.02,5985.83,3601.31,7928.61,6640.73,0,343469,3328.83,52283.5,2412.36,1492.49,533.521,21854.5,1729.66,0,29497.6,808.902,2505.86,13604.6,18594.7,4339.54,3.60E-06,1.20E-06,0,1.10E-05,5.60E-06,9.50E-07,5.90E-06,0,0.00015,3.70E-06,5.10E-06,9.70E-07,2.00E-06,3.50E-05,1.90E-06,1.30E-05,3.00E-05,7.00E-06,Uracil phosphoribosyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=upp PE=3 SV=1,1.60E-06,6.00E-06,5.00E-05,3.30E-06,1.30E-05,1.70E-05,3.75,31.65,4,5.07,0.12,0.18,0.21,0.06
E4PHR9,3,3,17.092,Sigma 54 modulation protein/ribosomal protein S30EA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2443 PE=4 SV=1,20298.1,9031.2,206.312,1708.73,323.73,4762.82,32467.6,0,636.443,678248,25444.2,15356,687293,691.98,228.968,3.25722,925.854,875.611,30632.7,1506.59,3125.63,23.0115,745.46,2491.08,17176.8,48717.2,81.3272,2.50E-05,1.20E-07,2.00E-07,4.70E-06,0,1.70E-07,0.0005,4.80E-06,0.00029,7.70E-07,7.00E-09,1.60E-06,1.80E-06,2.80E-08,1.90E-06,1.70E-05,7.80E-05,1.30E-07,Sigma 54 modulation protein/ribosomal protein S30EA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2443 PE=4 SV=1,8.40E-06,1.60E-06,0.00027,7.90E-07,1.20E-06,3.10E-05,0.19,31.59,1.58,39.92,0.23,0.07,0.29,0.13
E4PNT9,3,3,10.7148,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gpmI PE=3 SV=1",11224.1,137028,27675.1,40914.3,36364.5,61067.6,245841,62415.9,31799.4,763669,221053,1637565,1147385,29323.6,112171,9616.46,12406.6,36786.2,17802.7,15763.4,16672.9,11927.6,30578.9,32937.3,461572,448965,128470,1.40E-05,1.60E-05,2.30E-05,6.00E-05,5.90E-05,8.40E-06,0.00057,0.00051,0.00048,3.30E-05,2.10E-05,6.70E-05,1.90E-05,1.40E-05,2.50E-05,0.00044,0.00072,0.00021,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=gpmI PE=3 SV=1",1.80E-05,4.30E-05,0.00052,4.00E-05,1.90E-05,0.00046,2.4,29.28,0.49,11.41,0.11,0,0.11,0.02
E4PL28,2,2,8.68881,YjgF-like protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_306 PE=3 SV=1,47076.4,62116.4,4401.33,2226.69,2594.93,95866.5,190974,2386.69,2873.97,500821,441182,9627.32,3263515,290.79,5501.74,110.441,1844.51,1097.39,16288.4,1424.51,2431.91,0,4413.52,11299,1607565,147901,250.335,5.80E-05,2.60E-06,1.60E-06,9.50E-05,2.30E-06,7.60E-07,0.00037,3.00E-06,0.00138,3.20E-07,2.40E-07,2.00E-06,1.70E-06,0,8.70E-06,0.00155,0.00024,4.00E-07,YjgF-like protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_306 PE=3 SV=1,2.10E-05,3.30E-05,0.00058,8.50E-07,3.50E-06,0.00059,1.58,28.25,4.09,699.76,0.38,0.12,0.2,0.14
