Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,extracted_gn,resolved_locus_tag,resolution_method
Q7TU44,PMM1436,36,36,0.007260389,0.004810411,0.033467823,0.006562207,0.00366326,0.029461987,0.004315285,0.007455248,0.005984541,0.003645924,0.002203423,0.047897226,0.003328429,0.002410295,0.029767585,0.004593766,0.008574857,0.007462671,0.015179541,0.013229151,0.005918358,0.017915524,0.011835436,0.006877098,0.440730333,0.871511962,0.185905151,0.38989045,0.209626864,0.660624614,0.25188924,0.383862495,60 kDa chaperonin 2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=groL2 PE=3 SV=1,-0.1984076285861507,-1.3588592771776546,-0.5980973713520392,-1.3813384852644353,groL2,PMM1436,locus_tag:KEGG
Q7V006,PMM1485,33,33,0.004688016,0.003042213,0.011324991,0.006247311,0.003165994,0.012928536,0.002988946,0.005091113,0.005171909,0.003753988,0.002471422,0.010649487,0.00278339,0.002772749,0.014850454,0.002180597,0.004270556,0.015358382,0.00635174,0.00744728,0.004417323,0.005624966,0.006802198,0.007269845,0.394671316,1.172478746,0.251450597,0.695450799,0.264119077,1.209286962,0.374876092,1.292424853,DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rpoB PE=3 SV=1,0.2295617706567983,-0.5239796427359915,0.2741566346034176,0.3700803986400128,rpoB,PMM1485,locus_tag:KEGG
Q7V2D0,PMM0550,26,26,0.019674437,0.02006586,0.032398239,0.029973884,0.015835608,0.032279317,0.012565607,0.027927062,0.01142582,0.026523468,0.006042826,0.033851867,0.018270597,0.006541216,0.043411943,0.008840041,0.016170272,0.021641193,0.024046179,0.026029603,0.017306163,0.022139387,0.022741252,0.015550502,0.389759186,1.082483977,0.187735123,0.719705323,0.458761339,1.027185246,0.25478793,0.702390796,Ribulose bisphosphate carboxylase large chain OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=cbbL PE=3 SV=1,0.1143456702418628,-0.4745217662037435,0.0386963855367359,-0.5096541547011013,cbbL,PMM0550,locus_tag:KEGG
Q7UZY6,PMM1509,25,25,0.015643521,0.013011686,0.017134998,0.016193012,0.014207695,0.017681568,0.011410483,0.012132823,0.012847807,0.009824118,0.010180273,0.015972745,0.011066099,0.009734941,0.017678013,0.009424726,0.014288103,0.013320119,0.015263401,0.016027425,0.012130371,0.011992379,0.012826351,0.012344316,0.326004674,1.05005591,0.034932662,0.794735749,0.165024492,1.069541854,0.447133881,1.029346721,Elongation factor G OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=fusA PE=3 SV=1,0.0704661459221665,-0.3314528533339425,0.0969929400782365,0.0417290156750324,fusA,PMM1509,locus_tag:KEGG
Q7V008,PMM1483,23,23,0.006901803,0.006524805,0.010687439,0.007767116,0.005812695,0.011208945,0.005738192,0.011356845,0.008899559,0.00394365,0.003755613,0.008742694,0.004707956,0.003193982,0.011419727,0.004851477,0.008351257,0.01018286,0.008038016,0.008262919,0.008664865,0.005480652,0.006440555,0.007795198,0.459213789,1.027979868,0.390107987,1.077985593,0.207297787,1.175143883,0.18186363,1.42231212,DNA-directed RNA polymerase subunit beta' OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rpoC2 PE=3 SV=1,0.0398120110094525,0.108337896971359,0.232837409200648,0.5082380926402069,rpoC2,PMM1483,locus_tag:KEGG
Q7V3D2,PMM0144,21,21,0.00376058,0.003221059,0.004701202,0.003971907,0.003709238,0.005189395,0.001660619,0.003216988,0.001795518,0.0032685,0.002071185,0.004665554,0.003372254,0.001890347,0.005278572,0.001515229,0.003204128,0.003076287,0.003894281,0.00429018,0.002224375,0.00333508,0.003513725,0.002598548,0.281452923,1.101661801,0.032254353,0.571190229,0.261064628,1.053565403,0.23537251,0.779156226,"Phytoene desaturase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=pds,crtD PE=4 SV=1",0.1396813991310191,-0.8079567946061593,0.0752798762387264,-0.3600154676553541,"pds,crtD",PMM0144,locus_tag:KEGG
Q7V049,PMM1438,21,21,0.004328891,0.001920512,0.026587134,0.005310514,0.001954413,0.027612434,0.002843917,0.002306918,0.004249939,0.002747528,0.001757255,0.02946255,0.001783258,0.001842947,0.026904452,0.001675279,0.002703743,0.006476905,0.010945512,0.011625787,0.003133592,0.011322444,0.010176886,0.003618643,0.477334079,1.06215102,0.188622137,0.286290071,0.137283464,0.898824073,0.22454908,0.319599051,ATP synthase subunit beta OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=atpD PE=3 SV=1,0.086988907681807,-1.8044504586662573,-0.153889330480098,-1.6456649704751225,atpD,PMM1438,locus_tag:KEGG
Q7V0R5,PMM1191,20,20,0.006670637,0.002837468,0.012403551,0.006230797,0.00245775,0.014557868,0.002400135,0.003559041,0.001650315,0.002591155,0.001621225,0.015097064,0.002735042,0.001676973,0.014316032,0.001551036,0.003043097,0.003329936,0.007303885,0.007748805,0.002536497,0.006436481,0.006242682,0.002641356,0.463226988,1.060915442,0.083938011,0.347280498,0.289186582,0.96989054,0.217279021,0.410372676,Polyribonucleotide nucleotidyltransferase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=pnp PE=3 SV=1,0.085309673907088,-1.5258266983587316,-0.0441061582164311,-1.284993420257291,pnp,PMM1191,locus_tag:KEGG
Q7UZF5,PMM1712,19,19,0.002604345,0.001626081,0.003793856,0.004537143,0.001409308,0.00443847,0.002176452,0.001841552,0.00261075,0.002515566,0.000735994,0.00384264,0.002316031,0.000734617,0.004835138,0.00127377,0.002086623,0.003163447,0.002674761,0.00346164,0.002209585,0.002364734,0.002628595,0.002174613,0.274338535,1.294186835,0.261430949,0.826086793,0.274278184,1.11158209,0.432769026,0.919601895,UvrABC system protein A OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=uvrA PE=3 SV=1,0.3720459067203422,-0.2756347281911424,0.1526144948901015,-0.120918655903599,uvrA,PMM1712,locus_tag:KEGG
Q7UZY7,PMM1508,19,19,0.013199258,0.009779163,0.043620437,0.020637411,0.009022965,0.047609452,0.006524557,0.012049249,0.014771827,0.011052339,0.003834749,0.05083177,0.008356204,0.004243713,0.049820253,0.005508967,0.008038393,0.018372371,0.022199619,0.02575661,0.011115211,0.021906286,0.020806723,0.01063991,0.415907364,1.160227532,0.185817385,0.50069377,0.172601505,0.94980606,0.248963484,0.485701245,Elongation factor Tu OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=tuf PE=3 SV=1,0.2144077597481112,-0.9979995904263936,-0.0742951339068866,-1.0418589104548526,tuf,PMM1508,locus_tag:KEGG
