Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D
E4PPE1,2.0,2.0,6.67236376,Acyl-CoA synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1864 PE=4 SV=1,298.524635,0.0,0.0,1569.59393,0.0,5635.25043,644.207002,14399.0231,16798.5092,0.0,288.00853,0.0,0.0,1137.21893,0.0,0.0,520.240311,17101.5483,4.51e-06,0.0,0.0,1.77e-05,0.0,3.26e-05,1.6e-06,3.71e-05,3.13e-05,0.0,3.49e-06,0.0,0.0,1.43e-05,0.0,0.0,1.35e-06,6.1e-05,Acyl-CoA synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1864 PE=4 SV=1,1.5e-06,1.68e-05,2.33e-05,1.16e-06,4.78e-06,2.08e-05,11.17,15.51,4.11,17.85,0.124,0.111,0.211,0.222,3.48155728070859,3.955126781261366,2.0391383939069585,4.157852169141737
E4PIS7,2.0,2.0,5.63762713,Lipoprotein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2564 PE=4 SV=1,823.640226,4742.61235,2374.70293,330.780871,2661.74914,2441.23734,6636.11809,290861.177,2482.09418,14262.8464,1295.81404,17554.7241,623.784999,644.457139,5137.17535,2787.98,13115.7135,1353.56822,1.24e-05,2.38e-05,1.36e-05,3.74e-06,3.69e-05,1.41e-05,1.65e-05,0.000749518,4.62e-06,0.000105744,1.57e-05,0.000175227,8.55e-06,8.13e-06,4.69e-05,8.71e-06,3.41e-05,4.82e-06,Lipoprotein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2564 PE=4 SV=1,1.66e-05,1.82e-05,0.000256876,9.89e-05,2.12e-05,1.59e-05,1.1,15.46,0.21,0.16,0.41,0.213,0.082,0.135,0.13750352374993502,3.950468414150123,-2.2515387669959646,-2.643856189774725
E4PJE8,2.0,2.0,7.36483502,Orotidine 5'-phosphate decarboxylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pyrF PE=3 SV=1,0.0,159.047033,5838.74464,2993.64413,308.23739,10075.2396,1876.61561,27779.4373,130098.855,101.202634,249.226192,2304.04426,0.0,632.516361,0.0,22661.7709,25354.3721,39748.0844,0.0,7.98e-07,3.35e-05,3.38e-05,4.27e-06,5.83e-05,4.66e-06,7.16e-05,0.000242021,7.5e-07,3.02e-06,2.3e-05,0.0,7.98e-06,0.0,7.08e-05,6.59e-05,0.000141687,Orotidine 5'-phosphate decarboxylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pyrF PE=3 SV=1,1.14e-05,3.22e-05,0.00010609,8.92e-06,2.66e-06,9.28e-05,2.81,9.28,0.3,10.4,0.074,0.128,0.27,0.02,1.4905701304462013,3.2141248053528475,-1.7369655941662063,3.37851162325373
E4PP67,3.0,3.0,9.94874764,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pfp PE=3 SV=1,218.869145,6199.44683,4396.99749,5662.971,1264.661,17995.0445,10232.2171,125778.211,73924.1577,2356.77089,21745.5897,742.594228,605.588051,20714.1048,31.4115626,1062.17815,4000.65725,31900.0591,3.31e-06,3.11e-05,2.52e-05,6.4e-05,1.75e-05,0.000104205,2.54e-05,0.000324117,0.00013752,1.75e-05,0.000263543,7.41e-06,8.3e-06,0.00026122,2.87e-07,3.32e-06,1.04e-05,0.000113712,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pfp PE=3 SV=1,1.99e-05,6.19e-05,0.000162356,9.61e-05,8.99e-05,4.25e-05,3.11,8.17,0.94,0.44,0.138,0.108,0.046,0.331,1.6369145803558778,3.0303360783709588,-0.08926733809708741,-1.1844245711374275
E4PLX9,2.0,2.0,12.777314,50S ribosomal protein L10 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplJ PE=3 SV=1,4902.64515,10704.9574,29524.2325,13405.7855,8127.85325,14819.8589,305896.072,21736.8862,856906.136,10264.6813,2932.14518,11953.4557,5508.22706,4306.00081,7726.91766,225230.929,20905.5012,273360.554,7.41e-05,5.37e-05,0.00016945,0.000151558,0.000112531,8.58e-05,0.000760245,5.6e-05,0.001594093,7.61e-05,3.55e-05,0.000119317,7.55e-05,5.43e-05,7.05e-05,0.000703785,5.44e-05,0.000974427,50S ribosomal protein L10 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplJ PE=3 SV=1,9.91e-05,0.000116636,0.00080345,7.7e-05,6.68e-05,0.000577522,1.18,8.11,0.87,7.5,0.381,0.114,0.331,0.091,0.23878685958711648,3.0197019144425483,-0.2009126939259964,2.9068905956085187
E4PNY1,2.0,2.0,5.18147469,"Lysine 2,3-aminomutase-like protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3047 PE=4 SV=1",696.104265,3495.15659,754.722036,357.159594,4289.90064,2287.03354,44795.3715,18325.0153,27170.9577,109460.099,8536.56793,719.175025,3385.93601,4932.71397,600.384148,926.104851,21096.0298,10828.6605,1.05e-05,1.75e-05,4.33e-06,4.04e-06,5.94e-05,1.32e-05,0.00011133,4.72e-05,5.05e-05,0.000811532,0.000103458,7.18e-06,4.64e-05,6.22e-05,5.48e-06,2.89e-06,5.48e-05,3.86e-05,"Lysine 2,3-aminomutase-like protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3047 PE=4 SV=1",1.08e-05,2.56e-05,6.97e-05,0.00030739,3.8e-05,3.21e-05,2.37,6.46,0.12,0.1,0.205,0.056,0.196,0.206,1.2448870591235344,2.6915341649192004,-3.0588936890535687,-3.321928094887362
E4PPW9,2.0,2.0,10.6756656,50S ribosomal protein L25 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplY PE=3 SV=1,3558.13565,587.311776,9059.35504,4335.29896,1637.46229,3702.25119,1784.46698,10604.5533,353949.407,10886.2894,752.062046,5405.34384,1621.1155,632.980203,3901.00838,685.343004,1166.62514,229448.706,5.37e-05,2.95e-06,5.2e-05,4.9e-05,2.27e-05,2.14e-05,4.43e-06,2.73e-05,0.000658448,8.07e-05,9.11e-06,5.4e-05,2.22e-05,7.98e-06,3.56e-05,2.14e-06,3.03e-06,0.000817898,50S ribosomal protein L25 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplY PE=3 SV=1,3.62e-05,3.1e-05,0.00023007,4.79e-05,2.19e-05,0.000274358,0.86,6.35,0.46,5.72,0.377,0.224,0.133,0.245,-0.2175914350726268,2.6667565918848033,-1.1202942337177118,2.5160151470036647
E4PQS0,2.0,2.0,6.2598505,Lipoprotein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2026 PE=4 SV=1,645.94303,6414.26238,3134.18434,2140.16849,2735.92123,4643.98422,2985.8698,17314.4574,158447.814,10229.4152,10495.3576,0.0,1969.48444,7832.45428,2570.7465,2734.2681,17100.6033,1177.1936,9.76e-06,3.22e-05,1.8e-05,2.42e-05,3.79e-05,2.69e-05,7.42e-06,4.46e-05,0.000294759,7.58e-05,0.000127197,0.0,2.7e-05,9.88e-05,2.35e-05,8.54e-06,4.45e-05,4.2e-06,Lipoprotein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2026 PE=4 SV=1,2e-05,2.97e-05,0.000115599,6.77e-05,4.97e-05,1.91e-05,1.48,5.79,0.73,0.28,0.031,0.201,0.246,0.106,0.5655971758542251,2.533563348214512,-0.4540316308947075,-1.8365012677171204
E4PKC6,3.0,3.0,9.3687377,Metal dependent phosphohydrolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1459 PE=4 SV=1,0.0,11622.6352,277.828424,0.0,144.649344,0.0,3362.77598,102677.3,31545.0311,0.0,60.459916,1875.32896,0.06661768,145.519885,426.081346,3279.61835,21055.7677,33416.2544,0.0,5.83e-05,1.59e-06,0.0,2e-06,0.0,8.36e-06,0.000264588,5.87e-05,0.0,7.33e-07,1.87e-05,9.13e-10,1.84e-06,3.89e-06,1.02e-05,5.47e-05,0.000119116,Metal dependent phosphohydrolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1459 PE=4 SV=1,2e-05,6.68e-07,0.000110543,6.48e-06,1.91e-06,6.14e-05,0.03,5.54,0.29,9.46,0.203,0.134,0.234,0.085,-5.058893689053568,2.4698859762744636,-1.7858751946471527,3.2418401835646704
E4PKZ5,3.0,3.0,9.21439171,Polyamine aminopropyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=speE PE=3 SV=1,1679.94451,6831.76756,4952.38961,3126.00894,0.44777041,2278.73204,43101.4368,54044.5449,107169.447,10923.9294,4031.34265,1008.50328,1299.67586,725.21876,3593.62859,36713.1797,54049.8214,14189.9023,2.54e-05,3.43e-05,2.84e-05,3.53e-05,6.2e-09,1.32e-05,0.00010712,0.000139267,0.000199366,8.1e-05,4.89e-05,1.01e-05,1.78e-05,9.15e-06,3.28e-05,0.000114719,0.000140526,5.06e-05,Polyamine aminopropyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=speE PE=3 SV=1,2.94e-05,1.62e-05,0.000148584,4.66e-05,1.99e-05,0.000101942,0.55,5.06,0.43,2.19,0.206,0.023,0.203,0.047,-0.862496476250065,2.339137384919585,-1.2175914350726267,1.1309308698264486
