Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light + 100 nM 1,Light + 100 nM 2,Light + 100 nM 3,Light + 5mM 1,Light + 5mM 2,Light + 5mM 3,Darkness 1,Darkness 2,Darkness 3,Dark + 100 nM 1,Dark + 100 nM 2,Dark + 100 nM 3,Dark + 5mM 1,Dark + 5mM 2,Dark + 5mM 3,Light1,Light2,Light3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_BL107,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O
A0A359K9X1,2,2,5.232373714,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1,1191.343227,1317.3987,2183.26815,141551.8195,126951.1794,16076.88707,156324.2215,379921.1015,4238704.22,1982.74347,191.5228955,841.4792841,4976.214661,15797.59851,1892638.39,3420.77571,6672.050885,891506.7717,2.90E-06,3.39E-06,8.01E-06,0.000187585,0.000498354,2.80E-05,0.000628347,0.004104294,0.005689342,4.18E-06,2.94E-07,7.74E-06,1.03E-05,2.75E-05,0.002171914,3.00E-05,3.69E-05,0.001592861,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1,4.77E-06,0.000237981,0.003473994,4.07E-06,0.000736589,0.000553273,49.9,728.48,180.93,135.9,0.118,0.073,0.207,0.2
A0A359JZP2,2,2,6.662873983,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,5515.233188,30575.59282,7795.483346,399832.7969,108912.3699,247598.7581,598178.9521,510636.9604,687108.6613,2968.891683,4202.156685,5208.215681,186200.5774,306560.8677,216713.0082,264625.3761,228362.212,189484.1178,1.34E-05,7.87E-05,2.86E-05,0.000529861,0.000427541,0.000431288,0.002404389,0.005516419,0.000922262,6.25E-06,6.45E-06,4.79E-05,0.000386958,0.000533882,0.000248691,0.002321833,0.001264512,0.000338552,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,4.03E-05,0.000462897,0.00294769,2.02E-05,0.000389844,0.001308299,11.5,73.23,19.29,64.74,0.007,0.081,0.03,0.079
A0A359K9N3,4,4,11.2592175,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1,181345.1378,300361.0191,142866.1951,6955724.551,764146.2733,7157832.206,9103812.523,1054071.752,19776040.01,246941.9736,252212.4895,50394.35791,3235781.548,10012649.86,14350145.49,2277033.424,3525165.059,14580703.03,0.000441696,0.000773193,0.000524374,0.00921777,0.002999697,0.012468091,0.036592904,0.011387153,0.026544115,0.000520145,0.000387041,0.000463724,0.006724538,0.017437218,0.016467633,0.019978773,0.019519932,0.026051436,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1,0.000579754,0.008228519,0.024841391,0.00045697,0.01354313,0.021850047,14.19,42.85,29.64,47.82,0.058,0.041,0.032,0.005
A0A359K825,2,2,6.050005674,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,25840.08584,85253.93384,68267.40565,2244505.114,304252.4789,763960.8519,2029259.609,189692.4705,2485433.768,54681.92627,403692.3074,90710.78804,927308.8973,956521.5183,1552017.502,478064.1872,273144.5057,1181703.823,6.29E-05,0.000219462,0.000250567,0.002974432,0.001194359,0.001330729,0.008156638,0.002049251,0.003336039,0.000115179,0.000619499,0.000834711,0.001927115,0.0016658,0.001781031,0.004194552,0.001512486,0.002111358,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,0.000177656,0.001833173,0.004513976,0.00052313,0.001791316,0.002606132,10.32,25.41,3.42,4.98,0.06,0.076,0.022,0.087
A0A359K612,2,2,5.285048246,Stringent starvation protein A (Fragment) OS=Alteromonas sp. OX=232 GN=sspA PE=4 SV=1,25762.96392,101141.4114,118574.3101,2229872.259,156129.6998,616756.65,152724.4479,986518.7013,3677318.262,18746.65051,21012.11468,103688.5996,984487.1209,925435.5314,2921621.73,597159.1625,156592.944,2320777.337,6.28E-05,0.00026036,0.000435213,0.002955041,0.000612895,0.001074317,0.000613878,0.010657377,0.004935829,3.95E-05,3.22E-05,0.000954132,0.002045942,0.001611663,0.003352732,0.005239496,0.000867104,0.004146548,Stringent starvation protein A (Fragment) OS=Alteromonas sp. OX=232 GN=sspA PE=4 SV=1,0.000252774,0.001547418,0.005402361,0.000341954,0.002336779,0.003417716,6.12,21.37,6.83,9.99,0.124,0.107,0.007,0.067
A0A359K4B6,3,3,9.698592424,Transaldolase (Fragment) OS=Alteromonas sp. OX=232 GN=tal PE=3 SV=1,669572.3457,740009.2007,556955.1068,12698555.68,1523181.702,8359051.8,3150253.692,1101780.112,65294052.73,485090.2397,699203.5136,577783.4787,2658158.132,8805723.513,40997088.76,1389932.388,5000918.513,35691021.15,0.001630854,0.001904942,0.002044238,0.016828207,0.00597933,0.014560472,0.012662489,0.011902548,0.087640037,0.001021768,0.001072984,0.005316702,0.005524133,0.015335333,0.047046563,0.012195316,0.027691637,0.063769378,Transaldolase (Fragment) OS=Alteromonas sp. OX=232 GN=tal PE=3 SV=1,0.001860011,0.012456003,0.037401691,0.002470485,0.022635343,0.034552111,6.7,20.11,9.16,13.99,0.044,0.146,0.106,0.074
A0A359JZI0,2,2,6.27735877,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,208668.9292,147383.343,398886.6139,4121030.517,639937.8945,5371524.797,7116513.653,523098.2534,7344706.808,157628.9373,501237.0472,96892.14391,2552451.938,5147481.21,4811567.225,2876316.394,2597411.526,6876126.406,0.000508248,0.000379396,0.001464066,0.005461216,0.00251211,0.009356556,0.028604928,0.005651039,0.009858331,0.000332021,0.000769189,0.000891591,0.005304456,0.008964435,0.005521555,0.025236903,0.014382673,0.01228562,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,0.000783903,0.005776627,0.014704766,0.000664267,0.006596816,0.017301732,7.37,18.76,9.93,26.05,0.048,0.095,0.017,0.029
A0A2D5LH71,2,2,4.563604832,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,236401.5232,223359.8594,467488.1394,2639863.685,330450.095,1618703.339,9009694.407,301060.0491,9674837.605,366326.0502,384612.0521,569381.4138,1480063.631,2616997.571,3248391.8,867373.4262,1752070.768,6470416.123,0.000575795,0.000574976,0.00171586,0.003498364,0.001297199,0.002819588,0.036214595,0.003252356,0.012985917,0.00077161,0.000590218,0.005239387,0.00307584,0.00455755,0.00372772,0.007610365,0.009701759,0.011560734,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,0.000955544,0.002538384,0.017484289,0.002200405,0.003787037,0.009624286,2.66,18.3,1.72,4.37,0.072,0.118,0.216,0.007
A0A359K6Q5,2,2,8.009628296,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Alteromonas sp. OX=232 GN=sucD PE=3 SV=1,400969.5651,560215.5106,589783.5203,4615864.881,#################,7784670.987,3666363.634,2937888.536,27093907.8,226555.553,793172.6896,249174.0812,2636673.996,8746303.146,20064923.8,1951133.476,1709669.647,################,0.000976628,0.001442114,0.002164731,0.006116973,0.005464412,0.013559969,0.014737001,0.031738055,0.036366422,0.000477205,0.001217188,0.002292874,0.005479485,0.015231851,0.023025676,0.017119315,0.009466971,0.025253509,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Alteromonas sp. OX=232 GN=sucD PE=3 SV=1,0.001527824,0.008380451,0.027613826,0.001329089,0.014579004,0.017279932,5.49,18.07,10.97,13,0.048,0.027,0.05,0.032
A0A359K5U3,2,2,8.204830766,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,51091.5377,98653.54218,28941.3634,43713.57938,11166.68718,128552.5516,305152.7354,215792.6937,2288250.999,40252.49083,40589.89221,64572.17832,64407.15803,86815.84691,3924586.21,142765.8662,60926.62469,774671.7348,0.000124442,0.000253955,0.000106226,5.79E-05,4.38E-05,0.000223923,0.001226566,0.002331212,0.003071373,8.48E-05,6.23E-05,0.000594186,0.00013385,0.000151191,0.004503693,0.001252633,0.00033737,0.001384111,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,0.000161541,0.000108563,0.002209717,0.000247087,0.001596245,0.000991371,0.67,13.68,6.46,4.01,0.316,0.031,0.201,0.051
