Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 2.1,Light 3.1,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness 1.1,Darkness 2.1,Darkness 3.1,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_WH7803,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D,extracted_gn,resolved_locus_tag,resolution_method
E4PNH8,2.0,2.0,5.295399904,Acetolactate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_532 PE=3 SV=1,0.0,0.0,391.4666587,0.0,0.0,0.0,2387.128661,1342.668524,40579.26221,0.0,1656.095307,0.0,89.11520398,2186.799218,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-06,0.0,0.0,0.0,1.4e-05,1.8e-05,0.00014,0.0,1.5e-05,0.0,9.2e-07,1.7e-05,0.0,0.0,0.0,0.0,Acetolactate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_532 PE=3 SV=1,1.3e-06,0.0,5.88e-05,4.97e-06,6.13e-06,0.0,0.0,44.92,1.23,0.0,0.211,0.151,0.131,0.211,,5.489286022625876,0.2986583155645151,,HP15_532,HP15_532,locus_tag:extracted_gn
E4PLX7,2.0,2.0,4.597303867,50S ribosomal protein L11 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplK PE=3 SV=1,2158.335236,3066.599589,7527.600936,2101.588587,1715.075498,13372.21283,406195.9279,69788.64156,680596.3674,110670.8627,10551.7297,1561.364926,6099.41603,238538.3747,8684.966489,1115829.309,40974.51277,2010992.021,3.1e-05,6.7e-05,7.5e-05,2.8e-05,2.2e-05,0.00011,0.00231,0.00095,0.00242,0.00114,9.5e-05,3.1e-05,6.3e-05,0.00191,0.00014,0.0044,0.00061,0.00538,50S ribosomal protein L11 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplK PE=3 SV=1,5.8e-05,5.48e-05,0.001894914,0.000422556,0.000704355,0.003465061,0.95,32.87,1.67,8.2,0.459,0.031,0.384,0.081,-0.0740005814437769,5.0386995513055854,0.7398481026993274,3.035623909730721,rplK,HP15_369,tier1:extracted_gn
E4PIK2,2.0,2.0,6.574836493,Valine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=valS PE=3 SV=1,269.6600426,0.0,131.0765886,2784.606441,1396.18295,34.6863524,5596.474539,563.5488415,32342.5719,0.0,579.7110148,3.618958864,3669.584688,0.121066653,0.0,88.4280915,81.34308973,18822.51671,3.8e-06,0.0,1.3e-06,3.7e-05,1.8e-05,3e-07,3.2e-05,7.6e-06,0.00012,0.0,5.2e-06,7.1e-08,3.8e-05,9.7e-10,0.0,3.5e-07,1.2e-06,5e-05,Valine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=valS PE=3 SV=1,1.7e-06,1.84e-05,5.16e-05,1.76e-06,1.26e-05,1.73e-05,10.74,30.05,7.16,9.82,0.116,0.133,0.254,0.233,3.424922088210688,4.909293085823824,2.839959587489532,3.2957230245399685,valS,HP15_1313,tier1:extracted_gn
E4PNY0,2.0,2.0,7.39464426,Pyruvate dehydrogenase E1 component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3046 PE=4 SV=1,92.25359718,551.0332802,0.0,580.2218958,28.85743695,299.7281745,33294.09158,1052.782284,36106.00751,2.427458193,1929.987693,0.0,0.0,418.530613,92.1022535,37286.97086,354.3066388,315.5293732,1.3e-06,1.2e-05,0.0,7.7e-06,3.8e-07,2.6e-06,0.00019,1.4e-05,0.00013,2.5e-08,1.7e-05,0.0,0.0,3.3e-06,1.5e-06,0.00015,5.3e-06,8.4e-07,Pyruvate dehydrogenase E1 component OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3046 PE=4 SV=1,4.4e-06,3.54e-06,0.000110868,5.8e-06,1.62e-06,5.11e-05,0.8,24.99,0.28,8.8,0.442,0.096,0.244,0.234,-0.3219280948873623,4.643278996311979,-1.8365012677171204,3.137503523749935,HP15_3046,HP15_3046,locus_tag:extracted_gn
E4PNC8,5.0,5.0,15.51503992,Glutamate synthase subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_482 PE=3 SV=1,429.8184514,574.9563213,12043.32539,0.0,3660.201217,12215.68356,96308.43565,9377.721783,412475.7228,672.6993222,21433.96705,2260.419796,125.2772844,2685.932626,12104.17216,214658.9143,7094.013096,496471.0815,6.1e-06,1.3e-05,0.00012,0.0,4.8e-05,0.0001,0.00055,0.00013,0.00147,6.9e-06,0.00019,4.4e-05,1.3e-06,2.1e-05,0.0002,0.00085,0.00011,0.00133,Glutamate synthase subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_482 PE=3 SV=1,4.6e-05,5.07e-05,0.000715069,8.14e-05,7.44e-05,0.000760505,1.09,15.39,0.91,9.34,0.407,0.103,0.474,0.117,0.1243281350022017,3.9439213265534856,-0.1360615495760283,3.2234225499349374,HP15_482,HP15_482,locus_tag:extracted_gn
E4PLZ6,2.0,2.0,8.351523995,50S ribosomal protein L29 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpmC PE=3 SV=1,17418.47045,12046.87813,11070.7972,11942.02385,4093.05526,11959.18041,489927.4763,125492.3049,1394276.75,21433.89981,26014.50362,2007.253694,8762.303784,6735.534183,39409.83497,708432.0508,133883.2948,1840908.999,0.00025,0.00026,0.00011,0.00016,5.3e-05,0.0001,0.00279,0.0017,0.00497,0.00022,0.00023,3.9e-05,9.1e-05,5.4e-05,0.00065,0.00279,0.00199,0.00493,50S ribosomal protein L29 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpmC PE=3 SV=1,0.00021,0.000104519,0.00315299,0.000164942,0.000265681,0.003239239,0.5,15.23,1.61,19.64,0.11,0.05,0.366,0.041,-1.0,3.928844036712568,0.6870606883398924,4.295723024539968,rpmC,HP15_388,tier1:extracted_gn
E4PEW2,2.0,2.0,6.614273548,Beta-lactamase domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_903 PE=4 SV=1,1136.280529,495.0312857,0.0,2152.148764,628.860947,640.4084473,4042.991699,6438.296767,50240.14685,1415.924446,1412.207868,0.0,1902.20881,0.0,368.7996674,6876.657077,550.2706604,138913.6697,1.6e-05,1.1e-05,0.0,2.8e-05,8.2e-06,5.5e-06,2.3e-05,8.7e-05,0.00018,1.5e-05,1.3e-05,0.0,2e-05,0.0,6.1e-06,2.7e-05,8.2e-06,0.00037,Beta-lactamase domain protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_903 PE=4 SV=1,9e-06,1.4e-05,9.64e-05,9.11e-06,8.59e-06,0.000135759,1.56,10.74,0.94,14.9,0.181,0.111,0.47,0.205,0.6415460290875237,3.424922088210688,-0.0892673380970874,3.8972404255748,HP15_903,HP15_903,locus_tag:extracted_gn
E4PNI4,2.0,2.0,5.649121761,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,583.6288657,0.0,839.4975367,105.5743534,437.3740167,877.8033376,18544.00021,410.3840637,16253.18195,7.314714652,4236.284397,982.7471271,516.4809936,883.9446034,281.0490659,23508.73804,0.0,21121.86518,8.3e-06,0.0,8.4e-06,1.4e-06,5.7e-06,7.5e-06,0.00011,5.6e-06,5.8e-05,7.5e-08,3.8e-05,1.9e-05,5.3e-06,7.1e-06,4.7e-06,9.3e-05,0.0,5.7e-05,2-isopropylmalate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuA PE=3 SV=1,5.6e-06,4.86e-06,5.64e-05,1.92e-05,5.68e-06,4.98e-05,0.87,10.12,0.3,2.6,0.432,0.098,0.164,0.252,-0.2009126939259964,3.339137384919585,-1.7369655941662063,1.3785116232537298,leuA,HP15_538,tier1:extracted_gn
E4PGK3,3.0,3.0,7.869784117,N5-carboxyaminoimidazole ribonucleotide synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purK PE=3 SV=1,2416.121673,1798.703045,778.3943787,1427.685792,2540.095773,344.257075,32365.56717,11227.29224,109466.4455,1027.810292,13891.38246,3901.343313,1283.559782,168.3043153,6021.795247,79017.05476,5764.978943,147208.1617,3.4e-05,3.9e-05,7.8e-06,1.9e-05,3.3e-05,2.9e-06,0.00018,0.00015,0.00039,1.1e-05,0.00013,7.6e-05,1.3e-05,1.3e-06,0.0001,0.00031,8.6e-05,0.00039,N5-carboxyaminoimidazole ribonucleotide synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purK PE=3 SV=1,2.7e-05,1.83e-05,0.000242169,7.07e-05,3.81e-05,0.000263884,0.67,8.93,0.54,3.73,0.059,0.063,0.276,0.119,-0.5777669993169522,3.158660175346498,-0.888968687611256,1.899175630480513,purK,HP15_2350,tier1:extracted_gn
E4PL20,3.0,3.0,8.933389664,Orotate phosphoribosyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pyrE PE=3 SV=1,3772.626115,2085.922277,1101.325556,7339.564306,891.8821286,1016.049303,75414.42575,4737.931181,136974.778,6439.872187,2848.049856,1527.398069,14039.08733,489.8330309,2402.076543,92196.54384,3685.31851,133727.507,5.4e-05,4.5e-05,1.1e-05,9.7e-05,1.2e-05,8.7e-06,0.00043,6.4e-05,0.00049,6.6e-05,2.6e-05,3e-05,0.00015,3.9e-06,4e-05,0.00036,5.5e-05,0.00036,Orotate phosphoribosyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pyrE PE=3 SV=1,3.7e-05,3.91e-05,0.000327291,4.07e-05,6.29e-05,0.000258845,1.07,8.92,1.55,6.36,0.462,0.086,0.265,0.074,0.0976107966264223,3.15704371014558,0.632268215499513,2.669026765509631,pyrE,HP15_298,tier1:extracted_gn
