Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
Q060Q0,NA,20,20,0.016592839,0.011868558,0.012734644,0.005369168,0.011374698,0.003197485,0.008821162,0.014334837,0.004796759,0.01460781,0.001856428,0.006913811,0.012088369,0.002622475,0.003935595,0.012553944,0.004146541,0.004082851,0.013732013,0.006647117,0.009317586,0.007792683,0.00621548,0.006927779,0.033704178,0.484059894,0.115177402,0.678530205,0.378126253,0.797604594,0.430801768,0.88901072,Ribulose bisphosphate carboxylase large chain OS=Synechococcus sp. BL107 OX=313625 GN=cbbL PE=3 SV=1
Q063T6,NA,19,19,0.02576023,0.027929878,0.025572786,0.028087387,0.038101472,0.03177871,0.040174951,0.033892724,0.043554104,0.025453709,0.018162028,0.026470835,0.030465727,0.035847765,0.014937319,0.038615945,0.042767642,0.039644015,0.026420965,0.032655856,0.03920726,0.023362191,0.027083604,0.040342534,0.053954487,1.235982743,0.006012398,1.483945051,0.306469348,1.159292126,0.002120294,1.726830082,Cysteine synthase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15750 PE=3 SV=1
Q05ZA4,NA,19,19,0.074792455,0.117624172,0.08696237,0.089288225,0.086766051,0.082239712,0.041661315,0.071854046,0.090023934,0.088015862,0.110590405,0.077094269,0.090012018,0.086017932,0.09205804,0.070634018,0.084817383,0.102383531,0.093126332,0.086097996,0.067846432,0.091900179,0.089362663,0.085944977,0.307523797,0.924529015,0.127149768,0.728541863,0.406288469,0.972388354,0.340692427,0.935199241,C-phycoerythrin class I alpha chain OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08911 PE=3 SV=1
Q05Z96,NA,18,18,0.369177102,0.286274093,0.35992884,0.408608401,0.303633264,0.332698833,0.157724141,0.251853861,0.247795756,0.368286934,0.411563825,0.392433169,0.326960955,0.322287374,0.287606433,0.23628699,0.323313443,0.258978703,0.338460012,0.3483135,0.219124586,0.390761309,0.312284921,0.272859712,0.410586861,1.029112708,0.02089868,0.64741647,0.005618756,0.799170525,0.007564572,0.698277198,C-phycoerythrin class II alpha chain OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08951 PE=3 SV=1
Q05Z86,NA,17,17,0.004909743,0.004370907,0.011875619,0.004073619,0.007203997,0.007460664,0.011456922,0.007058212,0.01188198,0.003838595,0.002161311,0.006753013,0.003981698,0.00656605,0.008329889,0.006103564,0.005560388,0.009512652,0.00705209,0.006246093,0.010132371,0.004250973,0.006292546,0.007058868,0.388118325,0.885708127,0.171553176,1.436789907,0.164957353,1.480260155,0.099333698,1.660529964,Phycobilisome linker polypeptide OS=Synechococcus sp. BL107 OX=313625 GN=BL107_09001 PE=3 SV=1
Q05Z95,NA,17,17,0.203370912,0.188606843,0.151409185,0.190643818,0.188902963,0.199679595,0.23625866,0.105744529,0.161043325,0.214318683,0.199527066,0.165178075,0.228954375,0.200496674,0.25695441,0.183099797,0.188038613,0.201045282,0.18112898,0.193075458,0.167682171,0.193007941,0.22880182,0.190727897,0.246037984,1.065955646,0.379295553,0.925761144,0.088376389,1.185452878,0.445113519,0.988186786,C-phycoerythrin class II beta chain OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08956 PE=4 SV=1
Q05ZA5,NA,16,16,0.060575719,0.080124203,0.069579885,0.043023591,0.076843011,0.061539265,0.02965564,0.056495609,0.038244147,0.069150898,0.049424502,0.050913569,0.061474781,0.05849138,0.116539551,0.044794878,0.031622721,0.031074616,0.070093269,0.060468623,0.041465132,0.056496323,0.078835238,0.035830738,0.221026498,0.862688004,0.021102523,0.591570811,0.162319548,1.395404747,0.028179445,0.634213626,C-phycoerythrin class I beta chain OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08906 PE=3 SV=1
Q065D8,NA,15,15,0.003681919,0.003395401,0.002694478,0.003924168,0.004850137,0.002710897,0.012011247,0.006311924,0.007575164,0.003574097,0.00430145,0.002994544,0.004679516,0.003270696,0.002565739,0.008157881,0.005967337,0.006528396,0.003257266,0.003828401,0.008632778,0.003623364,0.003505317,0.006884538,0.225753021,1.175341752,0.018706389,2.650314244,0.439470242,0.967420584,0.006310357,1.900040385,Ferredoxin--NADP reductase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15315 PE=3 SV=1
Q065B0,NA,15,15,0.008330323,0.006651899,0.006202506,0.007982094,0.009692266,0.006970035,0.011700557,0.01148897,0.007742363,0.007447209,0.004867823,0.00776881,0.011170793,0.0076291,0.004808961,0.011478024,0.011209362,0.008489009,0.007061576,0.008214799,0.01031063,0.006694614,0.007869618,0.010392132,0.161716857,1.163309538,0.0434764,1.460103267,0.29918258,1.175514841,0.024616841,1.552312277,Inositol-5-monophosphate dehydrogenase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15455 PE=4 SV=1
Q05YH2,NA,14,14,0.001034635,0.002061531,0.001555346,0.001943274,0.001505051,0.002029475,0.005130793,0.003523098,0.003379143,0.001466346,0.000631499,0.000822845,0.00126666,0.001960311,0.001075452,0.002326753,0.002371154,0.002568222,0.001550504,0.001825933,0.004011011,0.000973563,0.001434141,0.002422043,0.230437153,1.177638362,0.008954959,2.586907893,0.139913258,1.473084578,0.002657669,2.487812544,Transaldolase OS=Synechococcus sp. BL107 OX=313625 GN=tal PE=3 SV=1
