Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,resolved_locus_tag,resolution_method
A5GM21,SynWH7803_1560,19,19,0.007111692,0.009872747,0.010429851,0.006327566,0.008298494,0.010265875,0.007245369,0.009083796,0.010915618,0.005342385,0.0065894,0.011094093,0.006928133,0.007724336,0.011540715,0.00760133,0.007876741,0.011696787,0.009138097,0.008297312,0.009081594,0.007675293,0.008731061,0.009058286,0.087772104,0.907991221,0.447727227,0.993816831,0.042961459,1.137554183,0.051244766,1.180187693,Ferredoxin--NADP reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=petH PE=3 SV=1,-0.1392497461387846,-0.0089481197183821,0.1859352641541635,0.2390163191014453,SynWH7803_1560,locus_tag:KEGG
A5GND6,SynWH7803_2025,19,19,0.002201873,0.002971059,0.003063271,0.002402308,0.002813469,0.003403579,0.002273534,0.002150121,0.002335675,0.002898572,0.003650585,0.002936278,0.00284846,0.003734246,0.003453608,0.002228567,0.002518974,0.002662362,0.002745401,0.002873119,0.00225311,0.003161812,0.003345438,0.002469968,0.239887441,1.046520637,0.112176283,0.820685223,0.19792462,1.058076302,0.053971417,0.781187446,Anchor polypeptide LCM OS=Synechococcus sp. (strain WH7803) OX=32051 GN=apcE PE=3 SV=1,0.0656007612868868,-0.2850991180692772,0.0814436695575598,-0.3562593301724796,SynWH7803_2025,locus_tag:KEGG
A5GJ13,SynWH7803_0502,18,18,0.017280123,0.009970759,0.015529337,0.018601807,0.00979673,0.014082466,0.016520943,0.008360234,0.011874863,0.019751652,0.008965826,0.008741922,0.018862196,0.009827378,0.0104217,0.019206631,0.008768434,0.013156169,0.014260073,0.014160334,0.012252013,0.012486467,0.013037091,0.013710411,0.456095817,0.993005752,0.072208436,0.859183093,0.271498334,1.044097719,0.261919845,1.098021693,"Phycobilisome linker polypeptide, C-phycoerythrin-associated OS=Synechococcus sp. (strain WH7803) OX=32051 GN=mpeD PE=3 SV=1",-0.0101260202778814,-0.2189624906294978,0.0622567426733797,0.1349065571430818,SynWH7803_0502,locus_tag:KEGG
A5GJV3,SynWH7803_0792,18,18,0.002938216,0.002141582,0.00277181,0.002678547,0.002283184,0.002432787,0.002579457,0.001627094,0.002444054,0.002982735,0.002400881,0.002527722,0.002573237,0.002468359,0.00268236,0.002848695,0.002114831,0.002326231,0.002617203,0.002464839,0.002216868,0.002637113,0.002574652,0.002429919,0.206714997,0.941783724,0.01009906,0.847037282,0.377865061,0.976314618,0.021106363,0.921431452,Catalase-peroxidase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=katG PE=3 SV=1,-0.0865323048336841,-0.2395026242994276,-0.0345819627896855,-0.1180512513732886,SynWH7803_0792,locus_tag:KEGG
A5GMR9,SynWH7803_1808,17,16,0.007218072,0.002995466,0.003828498,0.007044719,0.002538363,0.003063743,0.007614333,0.003771394,0.014076392,0.007852621,0.003353819,0.007102039,0.00721775,0.003861875,0.007366543,0.008871957,0.004693841,0.015981887,0.004680679,0.004215608,0.008487373,0.006102826,0.006148722,0.009849228,0.056262002,0.900640323,0.179461588,1.813278193,0.453515672,1.007520494,0.141020094,1.613879839,"ABC-type Fe3+ transport system, periplasmic component OS=Synechococcus sp. (strain WH7803) OX=32051 GN=futA PE=4 SV=1",-0.1509770241697956,0.8586002802241404,0.0108091849482387,0.6905331671335223,SynWH7803_1808,locus_tag:KEGG
A5GM52,SynWH7803_1591,17,17,0.006233018,0.001303383,0.003064739,0.005684442,0.001329359,0.001918138,0.005280794,0.001671173,0.004749779,0.004767485,0.001604078,0.004629048,0.00583783,0.000945825,0.004563127,0.006331791,0.002035504,0.005292626,0.003533714,0.002977313,0.003900582,0.00366687,0.003782261,0.004553307,0.120984985,0.842545102,0.338731589,1.103819558,0.420581423,1.031468439,0.062114606,1.241742054,IMP dehydrogenase/GMP reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=guaB PE=4 SV=1,-0.2471741781001364,0.1425043532257163,0.0446996781368657,0.3123655148915406,SynWH7803_1591,locus_tag:KEGG
A5GKU2,SynWH7803_1131,17,17,0.002954813,0.003800698,0.004362989,0.002296862,0.004089877,0.004280392,0.002635776,0.003716947,0.00422428,0.00226916,0.005367158,0.004728071,0.002305697,0.004291082,0.005823427,0.002736541,0.00428092,0.004440613,0.003706167,0.003555711,0.003525668,0.004121463,0.004140069,0.003819358,0.319886437,0.959403784,0.063148505,0.951297596,0.489509267,1.004514345,0.285012805,0.926699574,Dihydroxy-acid dehydratase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ilvD PE=3 SV=1,-0.0597899651798675,-0.0720313625178531,0.0064981666720906,-0.1098263864015065,SynWH7803_1131,locus_tag:KEGG
Q08087,SynWH7803_0485,16,16,0.088009263,0.075161824,0.10090398,0.084104416,0.104554397,0.097209907,0.104536888,0.089320955,0.083560975,0.098458254,0.109487252,0.048915552,0.098840304,0.112522889,0.059997692,0.091977122,0.078770965,0.068881116,0.088025022,0.095289573,0.092472939,0.085620353,0.090453628,0.079876401,0.289448617,1.082528249,0.361580228,1.050530145,0.135919257,1.056450074,0.366292826,0.932913706,C-phycoerythrin class 1 subunit beta OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cpeB PE=3 SV=1,0.1144046731371741,0.0711175607906137,0.0792245896159262,-0.1001844561292811,SynWH7803_0485,locus_tag:KEGG
A5GMK5,SynWH7803_1744,16,16,0.003001945,0.00355604,0.002964013,0.002835788,0.003059092,0.002487578,0.002750478,0.001774447,0.003006576,0.003171505,0.003877168,0.004927179,0.003323478,0.004128311,0.004860153,0.002759411,0.003037809,0.004094132,0.003173999,0.002794153,0.002510501,0.003991951,0.004103981,0.003297117,0.035507013,0.88032559,0.180730797,0.790958216,0.177778718,1.028064024,0.019498263,0.825941392,Dihydrolipoyl dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=lpdA PE=3 SV=1,-0.1838908890886202,-0.3383266115190165,0.0399301130056222,-0.2758886818513602,SynWH7803_1744,locus_tag:KEGG
Q08086,SynWH7803_0486,15,15,0.15817573,0.171832813,0.168870909,0.209273025,0.133405199,0.154917056,0.148602924,0.110168031,0.11212265,0.166291105,0.117433099,0.183397379,0.19780326,0.091468979,0.147067493,0.150082449,0.123521504,0.120173547,0.166293151,0.165865093,0.123631202,0.155707195,0.145446577,0.131259167,0.494335087,0.997425884,0.061976268,0.74345336,0.337413067,0.934103126,0.177009568,0.842987165,C-phycoerythrin class 1 subunit alpha OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cpeA PE=3 SV=2,-0.003718452307538,-0.4276858561836731,-0.0983462610597243,-0.2464174294754203,SynWH7803_0486,locus_tag:KEGG
A5GN62,SynWH7803_1951,13,13,0.001984038,0.00097795,0.001866037,0.002227771,0.001135743,0.001486055,0.005029073,0.001556173,0.026836956,0.002165293,0.00103503,0.001743418,0.002152125,0.001020742,0.001561727,0.007402689,0.002095531,0.044761953,0.001609341,0.001616523,0.011140734,0.001647913,0.001578198,0.018086724,0.486994395,1.004462473,0.171955688,6.922542137,0.169587413,0.957694649,0.171586965,10.97553064,Probable cytosol aminopeptidase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=pepA PE=3 SV=1,0.0064236655862572,2.791301930196528,-0.062362353951917,3.456218787102659,SynWH7803_1951,locus_tag:KEGG
A5GIP1,SynWH7803_0380,13,13,0.003825859,0.003440355,0.003108421,0.003764914,0.003512668,0.003527504,0.005452863,0.004708625,0.006301321,0.003417335,0.0032085,0.005152979,0.003054534,0.003554785,0.005035458,0.00501525,0.005225225,0.007551708,0.003458211,0.003601695,0.005487603,0.003926271,0.003881592,0.005930728,0.21076605,1.041490783,0.037663033,1.58683276,0.424884837,0.988620448,0.006525254,1.51052411,Elongation factor G OS=Synechococcus sp. (strain WH7803) OX=32051 GN=fusA PE=3 SV=1,0.0586500718518855,0.6661500871948163,-0.0165113483094215,0.5950492116062971,SynWH7803_0380,locus_tag:KEGG
A5GIP0,SynWH7803_0379,13,13,0.005708538,0.002957728,0.004464952,0.006468542,0.003812077,0.002782341,0.006691901,0.002367692,0.004977362,0.009576964,0.00300393,0.006098803,0.00592586,0.00297404,0.006655763,0.0072941,0.003434571,0.008702183,0.004377073,0.00435432,0.004678985,0.006226565,0.005185221,0.006476951,0.490314333,0.994801872,0.291839701,1.068975832,0.255830544,0.832757868,0.437853734,1.040212542,Elongation factor Tu OS=Synechococcus sp. (strain WH7803) OX=32051 GN=tuf PE=3 SV=1,-0.0075188724928006,0.0962292361754362,-0.2640310151610075,0.056878337944001,SynWH7803_0379,locus_tag:KEGG
A5GLA9,SynWH7803_1298,13,13,0.002674165,0.001791489,0.001544121,0.002660746,0.00182909,0.001928061,0.002677545,0.001222902,0.00203939,0.002588015,0.001985395,0.001588812,0.002307035,0.002385433,0.001344153,0.002796664,0.001795107,0.002563408,0.002003258,0.002139299,0.001979946,0.002054074,0.002012207,0.00238506,0.194788438,1.06790983,0.473225954,0.98836282,0.433673442,0.979617437,0.217506006,1.16113618,Glucose-1-phosphate adenylyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=glgC PE=3 SV=1,0.0947898368159842,-0.016887354162495,-0.0297096410655668,0.2155371838221481,SynWH7803_1298,locus_tag:KEGG
A5GJR8,SynWH7803_0757,13,13,0.00524736,0.005351886,0.007196053,0.004459363,0.004323042,0.006687756,0.003977611,0.005618748,0.007120492,0.005968645,0.005250339,0.011807979,0.004912442,0.007030291,0.014843358,0.005470831,0.005851522,0.011325266,0.005931766,0.00515672,0.005572284,0.007675654,0.008928697,0.007549206,0.017829308,0.869339789,0.260464621,0.93939701,0.204625667,1.16324899,0.380677786,0.983526092,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0757 PE=4 SV=1,-0.2020079177429963,-0.0901930932280437,0.2181599344644925,-0.0239647685658763,SynWH7803_0757,locus_tag:KEGG
A5GJ03,SynWH7803_0492,13,13,0.184969083,0.218150068,0.196805143,0.154440183,0.237316005,0.256539601,0.131222008,0.199657719,0.144764638,0.191669487,0.271986504,0.186296133,0.169774928,0.276117719,0.188400828,0.148941978,0.199493666,0.130083147,0.199974765,0.216098596,0.158548122,0.216650708,0.211431158,0.159506264,0.299855542,1.080629332,0.034460753,0.792840646,0.298023044,0.975907997,0.010966361,0.736236984,C-phycoerythrin class II alpha chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=mpeA PE=3 SV=1,0.1118717473191616,-0.3348971688419165,-0.0351829496896397,-0.4417578712544727,SynWH7803_0492,locus_tag:KEGG
A5GJE5,SynWH7803_0634,12,11,0.001444443,0.000889588,0.001415943,0.001389064,0.000846395,0.00118592,0.002475925,0.00184951,0.003891039,0.00122415,0.000847143,0.00146262,0.001491536,0.001436629,0.001894862,0.001854385,0.001367562,0.003215397,0.001249992,0.00114046,0.002738824,0.001177971,0.001607676,0.002145781,0.105592876,0.912373794,0.047283873,2.191074173,0.021889574,1.364783786,0.066618821,1.821590745,Transaldolase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=tal PE=3 SV=1,-0.1323030859940011,1.1316383237658325,0.4486724122639,0.8651988666703293,SynWH7803_0634,locus_tag:KEGG
P27289,SynWH7803_0480,12,12,0.01436672,0.006095147,0.008929408,0.011065497,0.005818988,0.008552914,0.023127407,0.011061129,0.019435394,0.010056278,0.005678681,0.008720191,0.011890787,0.003024079,0.00735744,0.018761551,0.01464859,0.013736141,0.009797092,0.008479133,0.017874643,0.008151717,0.007424102,0.015715427,0.157660951,0.865474518,0.019314099,1.824484651,0.3201046,0.910740916,0.013653335,1.927867176,R-phycocyanin beta chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpcB PE=3 SV=3,-0.2084367516631272,0.8674890138879584,-0.1348873947157475,0.9470056578297398,SynWH7803_0480,locus_tag:KEGG
A5GJB6,SynWH7803_0605,12,12,0.001137531,0.001092053,0.000927675,0.000864176,0.001142815,0.000852226,0.001216349,0.001346656,0.002022624,0.00080132,0.00134005,0.000903056,0.000750865,0.001256179,0.000967392,0.001141497,0.001615172,0.001516621,0.00105242,0.000953072,0.001528543,0.001014809,0.000991479,0.00142443,0.201345904,0.905600708,0.134104618,1.452408221,0.327504413,0.977010567,0.02925369,1.40364389,Inorganic pyrophosphatase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ppa PE=4 SV=1,-0.1430530088159662,0.5384470012947985,-0.0335539289311073,0.4891769646334037,SynWH7803_0605,locus_tag:KEGG
A5GJ96,SynWH7803_0585,12,12,0.007580643,0.006723932,0.006827839,0.006208021,0.005282473,0.005898005,0.007326725,0.005347731,0.006444617,0.006698128,0.005171759,0.010094222,0.005313017,0.005799822,0.008706653,0.006775575,0.006384742,0.007237454,0.007044138,0.005796166,0.006373024,0.00732137,0.006606497,0.006799257,0.008051321,0.822835435,0.099434413,0.904727377,0.199280809,0.902358073,0.354356417,0.92868646,Cysteine synthase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cysK PE=3 SV=1,-0.2813241707401347,-0.1444449668935489,-0.1482280587111681,-0.106736493923915,SynWH7803_0585,locus_tag:KEGG
A5GMK3,SynWH7803_1742,12,12,0.061678923,0.062302947,0.063063683,0.059493426,0.044763085,0.060659303,0.049631577,0.058283544,0.058192673,0.057842679,0.054435367,0.08863907,0.055345566,0.065715044,0.084889926,0.051564333,0.06138372,0.066984101,0.062348518,0.054971938,0.055369264,0.066972372,0.068650179,0.059977385,0.141876572,0.88168796,0.055645884,0.888060635,0.380369212,1.025052219,0.243237056,0.895554133,Superoxide dismutase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=sodB PE=3 SV=1,-0.181659935944672,-0.1712699106235448,0.035697406485251,-0.159147454356474,SynWH7803_1742,locus_tag:KEGG
A5GM95,SynWH7803_1634,11,11,0.000368776,0.000162494,0.000260582,0.000631246,0.000140028,0.000215544,0.000416989,0.000225983,0.00082389,0.001105544,0.000171603,0.000264115,0.001162426,0.000335257,0.000344159,0.000362871,0.000524197,0.000630403,0.000263951,0.000328939,0.000488954,0.000513754,0.000613947,0.000505823,0.289405257,1.246215302,0.157494535,1.852444038,0.045359775,1.19502259,0.492369183,0.984563741,Thioredoxin reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=trxB PE=3 SV=1,0.317553336656044,0.8894299596326598,0.2570378903172675,-0.0224434851568626,SynWH7803_1634,locus_tag:KEGG
A5GND8,SynWH7803_2027,11,11,0.01393078,0.008410394,0.007064512,0.010198982,0.008536672,0.008130136,0.017524841,0.013331996,0.014489358,0.00978331,0.00602153,0.006152469,0.012662489,0.004667472,0.004485929,0.019950608,0.014124059,0.009384576,0.009801895,0.008955263,0.015115399,0.007319103,0.007271963,0.014486414,0.311176465,0.913625664,0.020943734,1.542089385,0.488633806,0.993559349,0.036671274,1.979260865,Allophycocyanin beta chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=apcB PE=3 SV=1,-0.1303249179108856,0.6248863914259714,-0.0093219472909723,0.98496177097033,SynWH7803_2027,locus_tag:KEGG
A5GKW3,SynWH7803_1152,11,11,0.001481845,0.001181746,0.001453651,0.001263174,0.001206535,0.001321505,0.001488083,0.001432034,0.002251078,0.00131518,0.00089444,0.001813604,0.001254178,0.001281788,0.001568597,0.001658805,0.00168605,0.001667851,0.001372414,0.001263738,0.001723732,0.001341075,0.001368188,0.001670902,0.133358676,0.920813832,0.135980479,1.255985108,0.44921712,1.020217429,0.17362899,1.245942323,3-isopropylmalate dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=leuB PE=3 SV=1,-0.1190185898186903,0.3288193585432994,0.0288766525021541,0.3172372848564377,SynWH7803_1152,locus_tag:KEGG
