Accession,Peptide count,Unique peptides,Confidence score,Description,Control Light 1,Control Light 2,Control Light 3,Light+100 nM glucose 1,Light+100 nM glucose 2,Light+100 nM glucose 3,Light+5 mM glucose 1,Light+5 mM glucose 2,Light+5 mM glucose 3,Control Dark 1,Control Dark 2,Control Dark 3,Dark + 100 nM glucose 1,Dark + 100 nM glucose 2,Dark + 100 nM glucose 3,Dark + 5 mM glucose 1,Dark + 5 mM glucose 2,Dark + 5 mM glucose 3,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_8102,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,t.test G nM/L,FC G nM/L,t.test G mM/L,FC G mM/L,t.test G nM/D,FC G nM/D,t.test G mM/D,FC G mM/D,Alteromonas_8102.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359K844,3,3,12.74705124,"(2R,3S)-2-methylisocitrate dehydratase OS=Alteromonas sp. OX=232 GN=DEH24_16585 PE=4 SV=1",289058.95417591,471137.951283493,302165.437151567,5485272.02820127,9711026.58854525,424906.130575964,6623024.24157058,17474626.7276435,1293339.92108143,654544.211981466,337941.503223388,148817.381924753,7829675.42347094,17043984.5343199,1822.753999,7402552.47870136,19081082.2147678,1272270.56394405,0.000307847,0.000606784,0.000178419,0.003189135,0.004221556,0.000342771,0.003111672,0.004970694,0.001775118,0.000600849,0.00033159,0.000132293,0.004079789,0.006273551,2.29441e-05,0.003813548,0.00585632,0.001778402,"(2R,3S)-2-methylisocitrate dehydratase OS=Alteromonas sp. OX=232 GN=DEH24_16585 PE=4 SV=1",0.00036435,0.002584487,0.003285828,0.000354911,0.003458761,0.00381609,0.084,7.09,0.034,9.02,0.11,9.75,0.046,10.75,"(2R,3S)-2-methylisocitrate dehydratase OS=Alteromonas sp. OX=232 GN=DEH24_16585 PE=4 SV=1",DEH24_16585,2.8257856274647914,3.1731274334806563,3.2854022188622483,3.426264754702098,0.084,0.034,0.11,0.046
A0A359KB39,3,3,12.84841037,10 kDa chaperonin OS=Alteromonas sp. OX=232 GN=groES PE=3 SV=1,257999.3358,302544.907,188243.6792,7615250.08,10694785.56,219151.5594,6503399.75,14706956.49,1576124.845,402084.2568,177586.3238,406051.9436,16080941.34,40302045.37,11492.46848,11529500.94,9366557.864,1084490.201,0.000274768,0.000389651,0.000111152,0.004427503,0.004649213,0.000176789,0.00305547,0.004183424,0.002163243,0.000369099,0.000174249,0.000360965,0.008379255,0.014834381,0.000144662,0.005939615,0.002874762,0.00151592,10 kDa chaperonin OS=Alteromonas sp. OX=232 GN=groES PE=3 SV=1,0.000258524,0.003084502,0.003134045,0.000301438,0.007786099,0.003443432,0.089,11.93,0.015,12.12,0.112,25.83,0.068,11.42,10 kDa chaperonin OS=Alteromonas sp. OX=232 GN=groES PE=3 SV=1,,3.576522137920503,3.599317793698226,4.690975738343275,3.513490745588118,0.089,0.015,0.112,0.068
A0A359K8N9,2,2,6.321400166,2-dehydro-3-deoxy-phosphogluconate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_16780 PE=3 SV=1,209229.8737,107454.2644,25930.873,4332894.848,3681532.366,19989.64338,6763720.837,13449663.12,848248.1879,232885.3433,176577.525,2147650.477,6331888.866,7842815.636,942.9741373,6492410.197,16307074.46,395165.4708,0.000222829,0.000138392,1.53114e-05,0.002519143,0.001600427,1.61256e-05,0.003177775,0.003825784,0.001164227,0.000213781,0.000173259,0.001909179,0.003299341,0.002886784,1.18698e-05,0.003344673,0.005004928,0.000552369,2-dehydro-3-deoxy-phosphogluconate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_16780 PE=3 SV=1,0.000125511,0.001378565,0.002722595,0.000765406,0.002065998,0.002967324,0.101,10.98,0.037,21.69,0.251,2.7,0.178,3.88,2-dehydro-3-deoxy-phosphogluconate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_16780 PE=3 SV=1,DEH24_16780,3.456806149230474,4.43895814789755,1.4329594072761063,1.956056652412403,0.101,0.037,0.251,0.178
A0A359K307,2,2,5.160903692,2-dehydro-3-deoxyphosphooctonate aldolase OS=Alteromonas sp. OX=232 GN=kdsA PE=3 SV=1,50887.49876,23998.4647,21270.46754,170825.4544,186999.4462,28824.65352,428567.7862,817911.4777,119548.2605,45628.40555,20858.45091,22528.09441,441304.6029,511249.6594,44.70736345,340133.5494,529966.8345,73999.38265,5.4195e-05,3.09079e-05,1.25595e-05,9.93178e-05,8.1292e-05,2.32528e-05,0.000201353,0.000232657,0.000164081,4.18853e-05,2.04664e-05,2.00266e-05,0.000229949,0.000188181,5.62757e-07,0.000175225,0.000162656,0.000103438,2-dehydro-3-deoxyphosphooctonate aldolase OS=Alteromonas sp. OX=232 GN=kdsA PE=3 SV=1,3.25541e-05,6.79542e-05,0.000199363,2.74594e-05,0.000139564,0.000147106,0.052,2.09,0.005,6.12,0.116,5.08,0.011,5.36,2-dehydro-3-deoxyphosphooctonate aldolase OS=Alteromonas sp. OX=232 GN=kdsA PE=3 SV=1,,1.063502942306158,2.613531652917927,2.344828496997441,2.4222330006830477,0.052,0.005,0.116,0.011
A0A359KBM7,4,4,16.56744337,2-isopropylmalate synthase OS=Alteromonas sp. OX=232 GN=leuA PE=3 SV=1,1647835.61,600836.3819,1051184.025,2371188.604,2363577.161,1141814.274,8666511.671,5641045.731,1459083.162,2079752.003,826686.1241,672762.6266,5576632.195,5043616.697,1729.949726,5375928.929,4648373.483,1743866.757,0.001754938,0.000773824,0.000620691,0.001378608,0.001027489,0.000921101,0.004071757,0.001604607,0.002002602,0.00190914,0.000811149,0.00059806,0.002905801,0.001856455,2.17759e-05,0.002769499,0.001426668,0.002437608,2-isopropylmalate synthase OS=Alteromonas sp. OX=232 GN=leuA PE=3 SV=1,0.001049818,0.001109066,0.002559655,0.001106116,0.001594677,0.002211258,0.406,1.06,0.037,2.44,0.228,1.44,0.049,2.0,2-isopropylmalate synthase OS=Alteromonas sp. OX=232 GN=leuA PE=3 SV=1,,0.08406426478847455,1.2868811477881617,0.5260688116675876,1.0,0.406,0.037,0.228,0.049
A0A359KA63,2,2,11.38707614,2-methylisocitrate lyase OS=Alteromonas sp. OX=232 GN=prpB PE=3 SV=1,15221.32276,5530.647643,14759.73897,383557.5292,600042.5072,17543.30945,383714.9154,710953.0969,66554.38135,8774.333459,15185.03637,132680.8745,618534.1866,514023.9992,319.8313829,230616.6327,313659.1462,46912.26458,1.62106e-05,7.12298e-06,8.71516e-06,0.000223,0.000260849,1.41522e-05,0.000180279,0.000202232,9.13464e-05,8.05453e-06,1.48996e-05,0.000117948,0.000322298,0.000189202,4.0259e-06,0.000118806,9.62675e-05,6.55748e-05,2-methylisocitrate lyase OS=Alteromonas sp. OX=232 GN=prpB PE=3 SV=1,1.06829e-05,0.000166,0.000157953,4.69675e-05,0.000171842,9.35494e-05,0.089,15.54,0.024,14.79,0.213,3.66,0.226,1.99,2-methylisocitrate lyase OS=Alteromonas sp. OX=232 GN=prpB PE=3 SV=1,,3.957914598632985,3.886550147324343,1.8718436485093177,0.9927684307689242,0.089,0.024,0.213,0.226
A0A359JZQ9,3,3,16.31554818,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Alteromonas sp. OX=232 GN=dapD PE=3 SV=1",480742.6649,196610.7427,389376.0259,2423745.479,12957874.3,473361.9532,6160321.31,31653882.09,1235225.802,596413.7024,599956.0932,577801.3078,17171617.34,23788027.81,29929.3078,15255541.65,26119699.75,670678.505,0.000511989,0.000253217,0.000229914,0.001409164,0.005633018,0.000381861,0.002894282,0.009004012,0.001695356,0.000547487,0.00058868,0.000513643,0.008947571,0.0087559,0.000376737,0.007859147,0.008016596,0.000937486,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Alteromonas sp. OX=232 GN=dapD PE=3 SV=1",0.000331707,0.002474681,0.004531217,0.000549937,0.006026736,0.00560441,0.16,7.46,0.104,13.66,0.095,10.96,0.08,10.19,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Alteromonas sp. OX=232 GN=dapD PE=3 SV=1",,2.899175630480513,3.771885578515366,3.454175893185802,3.349082146391089,0.16,0.104,0.095,0.08
A0A359K3H7,2,2,7.5812819,3-dehydroquinate synthase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07875 PE=4 SV=1,55738.02533,42989.22865,37816.28578,110209.8497,1419669.115,57119.60175,335166.8064,2047479.496,2180538.387,43514.20938,49066.48872,56401.95677,816210.4174,1961661.705,4923.743364,598948.5706,2200339.611,4143919.286,5.93608e-05,5.53663e-05,2.23293e-05,6.4076e-05,0.000617155,4.60783e-05,0.00015747,0.00058241,0.002992805,3.99445e-05,4.81443e-05,5.01392e-05,0.000425301,0.000722049,6.1978e-05,0.000308558,0.000675323,0.005792444,3-dehydroquinate synthase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07875 PE=4 SV=1,4.56855e-05,0.000242437,0.001244228,4.6076e-05,0.000403109,0.002258775,0.197,5.31,0.156,27.23,0.102,8.75,0.169,49.02,3-dehydroquinate synthase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07875 PE=4 SV=1,DEH24_07875,2.408711861029429,4.767125077269071,3.1292830169449664,5.615298579092115,0.197,0.156,0.102,0.169
A0A359K585,2,2,5.54294157,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Alteromonas sp. OX=232 GN=fabA PE=3 SV=1,321470.313,457871.6435,322020.5972,849237.5912,2870463.662,444636.3259,1275209.045,3493807.608,196230.0064,323009.2162,485143.526,103363.9042,648352.7664,1697315.264,3476.315326,883330.8058,2799403.707,154872.8608,0.000342365,0.000589698,0.000190143,0.000493746,0.001247842,0.000358688,0.000599127,0.000993821,0.000269327,0.000296511,0.000476026,9.18865e-05,0.000337836,0.000624748,4.37584e-05,0.000455063,0.000859186,0.000216484,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Alteromonas sp. OX=232 GN=fabA PE=3 SV=1,0.000374068,0.000700092,0.000620758,0.000288141,0.000335447,0.000510244,0.094,1.87,0.06,1.66,0.247,1.16,0.056,1.77,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Alteromonas sp. OX=232 GN=fabA PE=3 SV=1,,0.903038270112912,0.7311832415721999,0.21412480535284734,0.8237493603082727,0.094,0.06,0.247,0.056
A0A359K9E8,3,3,18.3546927,3-isopropylmalate dehydrogenase OS=Alteromonas sp. OX=232 GN=leuB PE=3 SV=1,109313.0701,635352.8292,328240.4802,1281131.554,1996217.053,502350.7809,5028239.963,7041336.742,1122736.484,182110.0873,302511.9314,224533.3915,5193224.046,6038275.148,18392.71002,4439523.428,5840037.334,733060.0543,0.000116418,0.000818278,0.000193816,0.000744849,0.000867791,0.000405246,0.0023624,0.002002923,0.001540964,0.000167171,0.000296827,0.000199602,0.00270602,0.002222569,0.00023152,0.002287095,0.00179241,0.001024684,3-isopropylmalate dehydrogenase OS=Alteromonas sp. OX=232 GN=leuB PE=3 SV=1,0.000376171,0.000672629,0.001968762,0.0002212,0.001720036,0.001701396,0.114,1.79,0.02,5.23,0.093,7.78,0.029,7.69,3-isopropylmalate dehydrogenase OS=Alteromonas sp. OX=232 GN=leuB PE=3 SV=1,,0.8399595874895318,2.3868109464722167,2.9597701552114675,2.942983598187102,0.114,0.02,0.093,0.029
