Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359K6J3,2.0,2.0,6.207920551,Phosphoribulokinase OS=Alteromonas sp. OX=232 GN=DEH24_13850 PE=3 SV=1,0.0,0.017873923,130.8151026,3.994068639,9.924523765,446.9298807,0.0,0,45663.23352,36.52987242,311.8923796,123.6265029,9.722322082,64.22927301,234.3676662,0,54.63959371,19558.51101,0.0,6.4e-10,3.5e-06,1.6e-07,4.6e-07,1.3e-05,0.0,0.0,0.00039,8.3e-07,1.3e-05,5.3e-06,4.3e-07,2.6e-06,8.7e-06,0.0,1.4e-06,0.00025,Phosphoribulokinase OS=Alteromonas sp. OX=232 GN=DEH24_13850 PE=3 SV=1,1.18e-06,4.64e-06,0.000131,6.49e-06,3.93e-06,8.23e-05,3.9,111.2,0.6,12.7,0.194,0.211,0.302,0.227,DEH24_13850,1.9634741239748859,6.797012977836145,-0.7369655941662062,3.6667565918848033,0.194,0.211,0.302,0.227
A0A359K8B9,3.0,3.0,14.57284069,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,1686.926193,755.1309429,516.0678773,193.5870511,357.391709,1631.981661,109101.8307,739.2927378,862641.9946,11249.30407,3255.164821,240.2991288,367.0159066,2629.063917,1571.930273,36949.73344,9564.727259,449148.2325,9.18e-05,2.7e-05,1.4e-05,7.7e-06,1.6e-05,4.9e-05,0.00199,2.1e-05,0.00742,0.00026,0.00014,1e-05,1.6e-05,0.00011,5.9e-05,0.00074,0.00025,0.00564,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,4.42e-05,2.42e-05,0.0031462,0.00013482,6.07e-05,0.00221043,0.5,71.1,0.5,16.4,0.311,0.149,0.239,0.182,,-1.0,6.151777654732053,-1.0,4.035623909730721,0.311,0.149,0.239,0.182
A0A359K885,3.0,3.0,14.66284037,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,958.60471,3477.608271,842.2677382,1726.414185,4840.259133,1969.082937,93953.10054,6410.793212,436932.2126,26244.18217,3636.636367,1501.629959,7569.776993,5369.009349,3475.327021,56361.70836,4167.656388,160371.0449,5.22e-05,0.00012,2.3e-05,6.9e-05,0.00022,5.9e-05,0.00172,0.00019,0.00376,0.0006,0.00016,6.5e-05,0.00033,0.00022,0.00013,0.00113,0.00011,0.00201,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,6.64e-05,0.00011665,0.0018877,0.0002718,0.00022774,0.00108502,1.8,28.4,0.8,4.0,0.089,0.115,0.362,0.152,,0.8479969065549501,4.82781902461732,-0.3219280948873623,2.0,0.089,0.115,0.362,0.152
A0A359K9S0,2.0,2.0,5.849550486,TonB-dependent receptor OS=Alteromonas sp. OX=232 GN=DEH24_19305 PE=3 SV=1,2134.734052,148.7001065,40.88930691,0.0,915.1866455,1537.615088,784.1670466,251.0896149,345433.1929,152.1541622,0.0,0.0,953.324867,187.2714834,333.9120031,11848.77159,454.493249,343399.6247,0.00011613,5.3e-06,1.1e-06,0.0,4.2e-05,4.6e-05,1.4e-05,7.3e-06,0.00297,3.5e-06,0.0,0.0,4.2e-05,7.7e-06,1.2e-05,0.00024,1.2e-05,0.00431,TonB-dependent receptor OS=Alteromonas sp. OX=232 GN=DEH24_19305 PE=3 SV=1,4.09e-05,2.93e-05,0.0009979,1.15e-06,2.07e-05,0.00152009,0.7,24.4,18.0,1320.9,0.423,0.221,0.09,0.195,DEH24_19305,-0.5145731728297583,4.608809242675524,4.169925001442312,10.367305534770686,0.423,0.221,0.09,0.195
A0A359KBP7,7.0,7.0,29.05978656,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1,9663.252345,################,45473.45974,47315.59986,57406.39233,33289.1231,1479334.992,52249.04268,4078721.783,130456.7098,178055.4816,20355.32447,33852.1969,126424.9945,26806.35709,##################,104800.7815,2806449.948,0.00052571,0.00161,0.00123,0.00188,0.00264,0.00099,0.02705,0.00151,0.03509,0.00296,0.00759,0.00088,0.00149,0.00516,0.001,0.02996,0.00275,0.03523,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1,0.00112041,0.00183823,0.0212192,0.00381074,0.00255307,0.02264534,1.6,18.9,0.7,5.9,0.139,0.095,0.116,0.129,,0.6780719051126377,4.24031432933371,-0.5145731728297583,2.560714954474479,0.139,0.095,0.116,0.129
A0A2D5LGS0,5.0,5.0,25.86294985,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,28203.58556,51591.60345,114723.5966,62146.20359,55428.66661,75823.90928,2270754.69,50556.13069,8322376.153,213591.126,144377.6757,67606.06979,95511.55787,224798.8982,70857.94206,2437865.633,93537.52355,4614646.61,0.00153435,0.00185,0.0031,0.00247,0.00255,0.00226,0.04152,0.00147,0.07161,0.00485,0.00616,0.00292,0.00422,0.00918,0.00264,0.04899,0.00246,0.05792,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,0.00215919,0.0024268,0.0381975,0.00464069,0.00534785,0.03645716,1.1,17.7,1.2,7.9,0.339,0.107,0.303,0.11,,0.13750352374993502,4.145677455195635,0.2630344058337938,2.9818526532897405,0.339,0.107,0.303,0.11
A0A2D5LH71,4.0,4.0,19.27469778,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,29658.01013,44061.41425,142157.9684,127944.2493,38987.3124,164523.2898,1355758.654,50026.94558,8608286.369,122455.7508,73334.32558,62774.24703,31258.40632,64996.92216,97756.33935,1386468.182,91589.27307,1471950.304,0.00161347,0.00158,0.00384,0.00509,0.00179,0.0049,0.02479,0.00145,0.07407,0.00278,0.00313,0.00271,0.00138,0.00266,0.00365,0.02786,0.00241,0.01848,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,0.00234269,0.00392809,0.0334354,0.00287194,0.00256049,0.01624818,1.7,14.3,0.9,5.7,0.123,0.136,0.346,0.109,,0.765534746362977,3.8379432418910273,-0.15200309344504995,2.5109619192773796,0.123,0.136,0.346,0.109
A0A359K8U3,3.0,3.0,11.05226707,Glutamine synthetase OS=Alteromonas sp. OX=232 GN=glnA PE=3 SV=1,27531.38598,73383.35034,63133.37823,46478.51943,60845.81362,57217.38411,504612.0097,461149.801,3708397.38,124761.5897,81923.23239,28239.74549,38881.27952,104764.961,25114.22436,698595.0338,333686.9205,2403494.516,0.00149778,0.00263,0.0017,0.00185,0.0028,0.0017,0.00923,0.01336,0.03191,0.00283,0.00349,0.00122,0.00172,0.00428,0.00094,0.01404,0.00876,0.03017,Glutamine synthetase OS=Alteromonas sp. OX=232 GN=glnA PE=3 SV=1,0.00194251,0.00211729,0.0181658,0.00251456,0.00231111,0.01765698,1.1,9.4,0.9,7.0,0.115,0.074,0.373,0.084,,0.13750352374993502,3.232660756790275,-0.15200309344504995,2.807354922057604,0.115,0.074,0.373,0.084
A0A359K683,2.0,2.0,11.12191749,Tyrosine--tRNA ligase OS=Alteromonas sp. OX=232 GN=tyrS PE=3 SV=1,1057.732537,10689.81881,4386.417801,632.153026,2046.427944,5125.532857,8117.199919,59612.18311,339290.5285,2264.784434,9298.340261,2778.381992,386.2959044,5333.225934,3029.982046,18023.59333,11054.83903,260705.5333,5.75e-05,0.00038,0.00012,2.5e-05,9.4e-05,0.00015,0.00015,0.00173,0.00292,5.1e-05,0.0004,0.00012,1.7e-05,0.00022,0.00011,0.00036,0.00029,0.00327,Tyrosine--tRNA ligase OS=Alteromonas sp. OX=232 GN=tyrS PE=3 SV=1,0.00018613,9.06e-05,0.0015984,0.00018929,0.00011598,0.00130827,0.5,8.6,0.6,6.9,0.217,0.107,0.151,0.194,,-1.0,3.1043366598147357,-0.7369655941662062,2.786596361890807,0.217,0.107,0.151,0.194
A0A359K6L5,2.0,2.0,8.327286005,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1,5934.854532,4474.657437,3888.486878,20031.34175,7688.688701,5641.770737,109178.5188,4271.061916,313397.8317,10212.16287,15054.06182,2457.726813,5762.717804,23000.84922,10528.70732,82610.99722,5741.751971,160854.0277,0.00032287,0.00016,0.0001,0.0008,0.00035,0.00017,0.002,0.00012,0.0027,0.00023,0.00064,0.00011,0.00025,0.00094,0.00039,0.00166,0.00015,0.00202,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1,0.00019598,0.00043966,0.0016055,0.0003266,0.00052892,0.00127667,2.2,8.2,1.6,3.9,0.091,0.104,0.077,0.162,,1.1375035237499351,3.035623909730721,0.6780719051126377,1.9634741239748859,0.091,0.104,0.077,0.162
