 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SputW3181_0533,yniC,18.6,8.1,25.6,0.44,1.38,3.16,2-deoxyglucose-6-phosphate hydrolase YniC,DNA metabolism,"DNA replication, recombination, and repair",2-phosphoglycolate salvage,Cytoplasm,Crp,Sputw3181_0533,locus_tag_ci: Locus tag
SputW3181_3341,,73.5,503.8,406.8,6.85,5.53,0.81,surface-associated serine protease,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Amino acid utilization,Extracelllular,,Sputw3181_3341,locus_tag_ci: Locus tag
SputW3181_3692,,8.4,56.7,5.6,6.77,0.67,0.1,aspartyl/asparaginyl beta-hydroxylase family protein,Central intermediary metabolism,Amino acids and amines,Antibiotic biosynthesis,Cytoplasm,,Sputw3181_3692,locus_tag_ci: Locus tag
SputW3181_3691,,6.5,43.2,0.0,6.64,0.02,0.0,phytanoyl-CoA dioxygenase domain protein,Unknown function,Enzymes of unknown specificity,Antibiotic biosynthesis,Cytoplasm,,,unresolved
SputW3181_3690,,8.4,55.4,5.6,6.61,0.67,0.1,conserved hypothetical protein,Unknown function,General,Antibiotic biosynthesis,Cytoplasm,,Sputw3181_3690,locus_tag_ci: Locus tag
SputW3181_3860,argC,134.0,445.7,192.2,3.33,1.43,0.43,N-acetyl-gamma-glutamyl-phosphate reductase ArgC,Amino acid biosynthesis,Glutamate family,Arginine metabolism,Cytoplasm,ArgR,Sputw3181_3860,tier1:Gene abbreviation
SputW3181_1531,sapSH,18.6,71.6,74.5,3.85,4.0,1.04,extracellular serine alkaline protease SapSH,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Arginine metabolism,Extracelllular,ArgR,Sputw3181_1531,locus_tag_ci: Locus tag
SputW3181_0230,,12.1,45.9,22.4,3.8,1.85,0.49,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,Arginine metabolism,Inner Membrane (2 transmembrane spans),ArgR,Sputw3181_0230,locus_tag_ci: Locus tag
SputW3181_2481,B,50.2,21.6,18.4,0.43,0.37,0.85,LambdaSo-like portal protein B,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2481,locus_tag_ci: Locus tag
SputW3181_2522,dam,17.7,5.4,3.2,0.31,0.18,0.59,LambdaSo-like type II restriction-modification system DNA N-6-adenine-methyltransferase Dam,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2522,locus_tag_ci: Locus tag
SputW3181_2472,G,19.5,5.4,55.2,0.28,2.83,10.23,LambdaSo-like minor tail protein G,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2472,locus_tag_ci: Locus tag
SputW3181_2470,H,30.7,12.2,25.6,0.4,0.83,2.11,LambdaSo-like tail length tape meausure protein H,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2470,locus_tag_ci: Locus tag
SputW3181_2457,I,33.5,12.2,31.2,0.36,0.93,2.57,LambdaSo-like tail assembly protein I,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2457,locus_tag_ci: Locus tag
SputW3181_2456,J,21.4,10.8,8.8,0.5,0.41,0.82,LambdaSo-like tail fiber protein J,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2456,locus_tag_ci: Locus tag
SputW3181_2463,L,32.6,12.2,4.0,0.37,0.12,0.33,LambdaSo-like minor tail protein L,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2463,locus_tag_ci: Locus tag
SputW3181_2468,M,26.1,9.5,9.6,0.36,0.37,1.02,LambdaSo-like minor tail protein M,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2468,locus_tag_ci: Locus tag
SputW3181_2501,P,9.3,4.1,12.0,0.44,1.29,2.96,LambdaSo-like replication protein P,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2501,locus_tag_ci: Locus tag
SputW3181_2489,R,55.8,25.7,66.5,0.46,1.19,2.59,LambdaSo-like lysozyme R,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Periplasm,,Sputw3181_2489,locus_tag_ci: Locus tag
SputW3181_2473,V,29.8,9.5,36.0,0.32,1.21,3.81,LambdaSo-like major tail protein V,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2473,locus_tag_ci: Locus tag
SputW3181_2465,,29.8,10.8,24.0,0.36,0.81,2.22,LambdaSo-like  RNA-directed DNA polymerase (Reverse transcriptase),Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2465,locus_tag_ci: Locus tag
SputW3181_2475,,26.1,5.4,7.2,0.21,0.28,1.33,LambdaSo-like protein HK97-gp10 family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,,,Sputw3181_2475,locus_tag_ci: Locus tag
SputW3181_2476,,29.8,10.8,28.0,0.36,0.94,2.59,LambdaSo-like phage head-tail joining protein,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2476,locus_tag_ci: Locus tag
SputW3181_2477,,60.5,20.3,0.0,0.33,0.0,0.01,LambdaSo-like head-tail connector protein HK97-gp6 family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2477,locus_tag_ci: Locus tag
SputW3181_2479,,97.7,40.5,63.3,0.41,0.65,1.56,LambdaSo-like major capsid protein,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,Sputw3181_2479,locus_tag_ci: Locus tag
SputW3181_2480,,45.6,17.6,44.0,0.39,0.97,2.51,LambdaSo-like head maturation protease,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,,,Sputw3181_2480,locus_tag_ci: Locus tag
SputW3181_2485,,26.1,9.5,0.0,0.36,0.0,0.01,LambdaSo-like endonuclease HNH family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2485,locus_tag_ci: Locus tag
SputW3181_2495,,8.4,4.1,2.4,0.48,0.29,0.59,LambdaSo-like integrase,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2495,locus_tag_ci: Locus tag
SputW3181_2464,,35.4,14.9,0.0,0.42,0.0,0.01,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2464,locus_tag_ci: Locus tag
SputW3181_2467,,43.7,16.2,48.0,0.37,1.1,2.96,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,,,Sputw3181_2467,locus_tag_ci: Locus tag
SputW3181_2469,,59.5,25.7,11.2,0.43,0.19,0.44,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2469,locus_tag_ci: Locus tag
SputW3181_2471,,27.9,5.4,0.0,0.19,0.0,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,,,Sputw3181_2471,locus_tag_ci: Locus tag
SputW3181_2474,,32.6,13.5,28.0,0.41,0.86,2.07,LambdaSo-like protein of unknown function DUF3168,Unknown function,General,Bacteriophage; LambdaSo-like,,,Sputw3181_2474,locus_tag_ci: Locus tag
SputW3181_2482,,34.4,14.9,0.0,0.43,0.0,0.01,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,,,Sputw3181_2482,locus_tag_ci: Locus tag
SputW3181_2486,,27.0,10.8,8.8,0.4,0.33,0.82,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2486,locus_tag_ci: Locus tag
SputW3181_2490,,130.3,47.3,79.3,0.36,0.61,1.68,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2490,locus_tag_ci: Locus tag
