 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_2484,A,40.9,21.6,12.8,0.53,0.31,0.59,LambdaSo-like terminase A,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_3315,aaiD,10.2,44.6,26.4,4.35,2.58,0.59,acyl-homoserine lactone acylase AaiD,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Quorum signal disruption,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_1961,abnA,11.2,8.1,22.4,0.73,2.01,2.77,arabinan endo-15-alpha-L-arabinosidase AbnA,Central intermediary metabolism,Sugars,Arabinose degradation,Periplasm,,,,unresolved
SputW3181_1978,acdS,107.9,44.6,295.5,0.41,2.74,6.63,butyryl-CoA dehydrogenase AcdS,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA,,,unresolved
SputW3181_2865,aceA,44.7,70.2,871.2,1.57,19.51,12.4,isocitrate lyase AceA,Energy metabolism,TCA cycle,Glyoxylate bypass,Cytoplasm,"HexR, LiuR, PsrA, TyrR, and PdhR",,,unresolved
SputW3181_2866,aceB,24.2,51.3,1240.3,2.12,51.27,24.16,malate synthase A AceB,Energy metabolism,TCA cycle,Glyoxylate bypass,Cytoplasm,"HexR, LiuR, PsrA, TyrR, and PdhR",,,unresolved
SputW3181_0526,aceE,219.6,175.6,95.3,0.8,0.43,0.54,pyruvate dehydrogenase E1 component AceE,Energy metabolism,Pyruvate dehydrogenase,Pyruvate metabolism,Cytoplasm,PdhR,,,unresolved
SputW3181_0527,aceF,448.5,475.5,148.9,1.06,0.33,0.31,dihydrolipoamide acetyltransferase AceF,Energy metabolism,Pyruvate dehydrogenase,Pyruvate metabolism,Cytoplasm,PdhR,,,unresolved
SputW3181_3786,acnD,14.9,17.6,35.2,1.18,2.37,2.01,2-methyl citrate dehydratase Fe-S dependent AcnD,Energy metabolism,Fermentation,Methylcitrate degradation,Cytoplasm,PrpR,,,unresolved
SputW3181_1659,acsA,124.7,255.3,568.5,2.05,4.56,2.23,acetyl-coenzyme A synthetase AcsA,Energy metabolism,Glycolysis/gluconeogenesis,Pyruvate metabolism,Cytoplasm,,,,unresolved
