Table S1. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance under all co-culture conditions (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A0730,cimA,49.64,22.98,15.7,0.46,0.32,0.68,(R)-citramalate synthase CimA,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosynthesis,Cytoplasm,
SYNPCC7002_A2354,leuB,7.01,17.87,14.13,2.56,2.00,0.79,3-isopropylmalate dehydrogenase LeuB,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosynthesis,Cytoplasm,
SYNPCC7002_A1246,serA,90.64,1554.86,624.73,16.67,6.67,0.40,D-3-phosphoglycerate dehydrogenase SerA,Amino acid biosynthesis,Serine family,Serine biosynthesis,Cytoplasm,
SYNPCC7002_A1642,dapF,7.01,15.32,14.13,2.17,2.00,0.92,diaminopimelate epimerase DapF,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,
SYNPCC7002_A0579,murI,79.85,158.29,191.5,2.00,2.38,1.21,glutamate racemase MurI,Amino acid biosynthesis,Glutamate family,D-glutamine/D-glutamate metabolism,Cytoplasm,
SYNPCC7002_A0706,,53.95,137.87,113.02,2.56,2.08,0.82,histidinol-phosphate phosphatase,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,
SYNPCC7002_A2308,mtnA,8.09,17.87,17.27,2.22,2.13,0.97,methylthioribose-1-phosphate isomerase MtnA,Amino acid biosynthesis,Aspartate family,Methionine salvage,Cytoplasm,
SYNPCC7002_A1919,proC,14.03,51.06,32.96,3.70,2.33,0.65,pyrroline-5-carboxylate reductase ProC,Amino acid biosynthesis,Glutamate family,Arginine degradation (L-arginine deiminase pathway),Cytoplasm,
SYNPCC7002_A1730,aroE,4.32,10.21,10.99,2.38,2.56,1.08,shikimate 5-dehydrogenase AroE,Amino acid biosynthesis,Aromatic amino acid family,Aromatic amino acid biosynthesis,Cytoplasm,
SYNPCC7002_A2517,aroK,18.88,56.17,51.8,2.94,2.78,0.92,shikimate kinase AroK,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,
SYNPCC7002_A0562,trpA,18.34,53.62,37.67,2.94,2.04,0.70,tryptophan synthase alpha subunit TrpA,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,TrpR
SYNPCC7002_A0105,murC,41,107.23,83.19,2.63,2.04,0.78,UDP-N-acetylmuramate-L-alanine ligase MurC,Amino acid biosynthesis,Glutamate family,D-glutamine/D-glutamate metabolism,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0498,pyrR,4.32,15.32,14.13,3.57,3.23,0.92, 5-amino-6-(5-phosphoribosylamino)uracil reductase PyrR,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD",Riboflavin (B2) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_G0021,sybE,59.35,2.55,1.57,0.04,0.03,0.61,"1,3-diaminopropane monooxygenase SybE","Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A1284,dncH,5.4,104.68,103.6,20.00,20.00,0.99,"1,4-dihydroxy-2-naphthoyl-CoA thioesterease DncH","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin K (menaquinone) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0670,vte1,3.24,17.87,7.85,5.56,2.44,0.44,"2-methyl-6-phytyl-1,4-benzoquinone cyclase Vte1","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin E (tocopherol) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A1829,panB,6.47,17.87,15.7,2.78,2.44,0.88,3-methyl-2-oxobutanoate hydroxymethyltransferase PanB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A1400,plqA,16.19,7.66,7.85,0.47,0.49,1.02,4-hydroxybenzoate solanesyltransferase PlqA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Plastoquinone biosynthesis,Inner Membrane (9 transmembrane span),
SYNPCC7002_A1561,cobP,5.93,17.87,12.56,3.03,2.13,0.70,bifunctional adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase CobP,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A2346,,199.09,48.51,89.47,0.24,0.45,1.84,conserved hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur
SYNPCC7002_A2831,,7.01,20.43,14.13,2.94,2.00,0.69,coproporphyrinogen III oxidase HemN-like,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Cytoplasm,
SYNPCC7002_A1811,sufS,173.73,56.17,78.48,0.32,0.45,1.40,cysteine desulfurase SufS,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,SufR
SYNPCC7002_A2714,coaE,18.88,316.59,237.02,16.67,12.50,0.75,dephospho-CoA kinase CoaE,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A2727,bioD,9.17,51.06,21.98,5.56,2.38,0.43,dethiobiotin synthetase BioD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Biotin,Biotin (B7) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_G0025,sybA,40.46,17.87,6.28,0.44,0.16,0.35,diaminobutyrate-2-oxoglutarate aminotransferase SybA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_G0155,,30.75,12.77,12.56,0.41,0.41,0.98,formylglycine-generating sulfatase enzyme,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,,Cytoplasm,
SYNPCC7002_A1147,gshB,7.55,28.08,17.27,3.70,2.27,0.61,glutathione synthetase GshB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Cytoplasm,
SYNPCC7002_A1161,ctaA1,149.45,20.43,56.51,0.14,0.38,2.77,heme A synthase cytochrome oxidase biogenesis protein CtaA1,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (8 transmembrane span),
SYNPCC7002_A1160,ctaB,83.63,40.85,31.39,0.49,0.38,0.77,heme O synthase protoheme IX farnesyltransferase CtaB,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (6 transmembrane span),
SYNPCC7002_G0024,sybB,26.44,5.11,3.14,0.19,0.12,0.61,"L-2,4-diaminobutyrate decarboxylase SybB","Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A2347,chlL,235.23,84.25,48.66,0.36,0.21,0.58,light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein ChlL,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur
SYNPCC7002_A1652,chlB,404.65,137.87,164.81,0.34,0.41,1.20,light-independent protochlorophyllide reductase subunit B ChlB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,PedR
