Table S2. List of Shewanella W3-18-1 genes displaying ≥2-fold change in relative mRNA abundance under all co-culture conditions (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SputW3181_1999,ald,232.6,771.3,554.9,3.32,2.39,0.72,alanine dehydrogenase Ald,Central intermediary metabolism,Amino acids and amines,,Cytoplasm,
SputW3181_4000,hutI,8.4,4.1,0,0.48,0.01,0.03,imidazolonepropionase HutI,Central intermediary metabolism,Amino acids and amines,Histidine degradation,Cytoplasm,HutC
SputW3181_1301,,500.6,143.2,112.1,0.29,0.22,0.78,amine oxidase,Central intermediary metabolism,Amino acids and amines,Oxidative stress - singlet oxygen,Cytoplasm,
SputW3181_0089,arcD,44.7,5.4,0,0.12,0,0.02,arginine:ornithine antiporter ArcD,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (12 transmembrane spans),MetJ
SputW3181_1619,gltS,27.9,8.1,2.4,0.29,0.09,0.3,sodium:glutamate symporter GltS,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (11 transmembrane spans),
SputW3181_1499,lysW,53,109.4,142.5,2.06,2.69,1.3,lysine transporter LysW,Transport and binding proteins,"Amino acids, peptides and amines",Lysine biosynthesis,Inner Membrane (13 transmembrane spans),Lysine riboswitch
SputW3181_3252,metT,197.3,16.2,21.6,0.08,0.11,1.33,methionine:proton antiporter MetT,Transport and binding proteins,"Amino acids, peptides and amines",Methionine biosynthesis,Inner Membrane (11 transmembrane spans),MetJ
SputW3181_1878,,18.6,2.7,0,0.15,0.01,0.05,putative amino acid efflux permease RhtB family,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (6 transmembrane spans),
SputW3181_2987,pheA,76.3,23,36,0.3,0.47,1.57,multifunctional chorismate mutase P/prephenate dehydratase/DAHP synthetase PheA,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,
SputW3181_1600,trpA,269.8,97.3,135.3,0.36,0.5,1.39,tryptophan synthase alpha subunit TrpA,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SputW3181_1601,trpB,259.6,43.2,112.1,0.17,0.43,2.59,tryptophan synthase beta subunit TrpB,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SputW3181_1602,trpCF,234.5,39.2,74.5,0.17,0.32,1.9,bifunctional indole-3-glycerolphosphate synthetase/phosphoribosylanthranilate isomerase TrpCF,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SputW3181_1603,trpD,295,51.3,68.9,0.17,0.23,1.34,anthranilate phosphoribosyltransferase TrpD,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SputW3181_1605,trpE,285.7,47.3,63.3,0.17,0.22,1.34,anthranilate synthase component I TrpE,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SputW3181_1604,trpG,244.7,28.4,73.7,0.12,0.3,2.6,anthranilate synthase component II glutamine amido-transferase TrpG,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SputW3181_1565,asd,1214.3,347.1,422.8,0.29,0.35,1.22,aspartate semialdehyde dehydrogenese Asd,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,
SputW3181_3722,lysA,195.4,72.9,74.5,0.37,0.38,1.02,diaminopimelate decarboxylase LysA,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,
SputW3181_3491,lysC,23.3,51.3,72.9,2.21,3.13,1.42,lysine-sensitive aspartokinase III LysC,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,lysine riboswitch
SputW3181_2706,metA,1023.5,125.6,82.5,0.12,0.08,0.66,homoserine O-succinyltransferase MetA,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
SputW3181_3554,metB,241,14.9,11.2,0.06,0.05,0.75,cystathionine gamma-synthase MetB,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
SputW3181_2289,metC,64.2,16.2,11.2,0.25,0.17,0.69,cystathionine beta-lyase MetC,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetR
SputW3181_0771,metE,94,5.4,13.6,0.06,0.14,2.52,B12-independent 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ and MetR
SputW3181_3552,metF,733.2,28.4,42.4,0.04,0.06,1.5,"5,10-methylenetetrahydrofolate reductase MetF",Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
SputW3181_0982,metH,131.2,12.2,16.8,0.09,0.13,1.38,B12-dependent 5-methyltetrahydrofolate--homocysteine methyltransferase MetH,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
SputW3181_3553,metL,388.9,44.6,11.2,0.11,0.03,0.25,bifunctional aspartokinase II/homoserine dehydrogenase methionine-sensitive MetL,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
SputW3181_3244,metY,528.5,47.3,68.9,0.09,0.13,1.46,O-acetylhomoserine (thiol)-lyase MetY,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
