SeqID	Localization	Score
WP_004588585.1 MULTISPECIES: hypothetical protein [Alteromonadales]	Unknown	2.00
WP_006991848.1 MULTISPECIES: hydrogenase expression/formation C-terminal domain-containing protein [Alteromonadaceae]	Cytoplasmic	8.96
WP_010179497.1 MULTISPECIES: 30S ribosomal protein S10 [Alteromonadaceae]	Cytoplasmic	9.97
WP_012516526.1 MULTISPECIES: DNA polymerase III subunit beta [Alteromonas]	Cytoplasmic	9.97
WP_012516568.1 MULTISPECIES: nucleoid occlusion factor SlmA [Alteromonas]	Cytoplasmic	9.97
WP_012516577.1 MULTISPECIES: 50S ribosomal protein L33 [Alteromonadaceae]	Cytoplasmic	9.26
WP_012516741.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516807.1 MULTISPECIES: NYN domain-containing protein [Alteromonas]	Unknown	2.00
WP_012516819.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516822.1 MULTISPECIES: efflux RND transporter periplasmic adaptor subunit [Alteromonas]	Unknown	4.90
WP_012516824.1 MULTISPECIES: M56 family metallopeptidase [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516826.1 MULTISPECIES: tyrosine-type recombinase/integrase [Alteromonas]	Cytoplasmic	8.96
WP_012516831.1 MULTISPECIES: DUF411 domain-containing protein [Alteromonas]	Periplasmic	9.84
WP_012516840.1 MULTISPECIES: YybH family protein [Alteromonas]	Unknown	4.90
WP_012516842.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_012516843.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_012516845.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.00
WP_012516846.1 MULTISPECIES: hypothetical protein [Alteromonas]	Unknown	2.50
WP_012516848.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Periplasmic	9.84
WP_012516849.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Unknown	2.00
WP_012516859.1 MULTISPECIES: hypothetical protein [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516861.1 MULTISPECIES: hydrogenase maturation nickel metallochaperone HypA/HybF [Alteromonas]	Unknown	2.00
WP_012516865.1 MULTISPECIES: hydrogenase expression/formation protein HypE [Alteromonas]	Cytoplasmic	8.96
WP_012516868.1 MULTISPECIES: cupredoxin domain-containing protein [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516876.1 MULTISPECIES: hypothetical protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_012516879.1 MULTISPECIES: hypothetical protein [Alteromonas]	Cytoplasmic	8.96
