RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
fig.6666666.52381.peg.10,SY28_RS00050,Amino acid metabolism,Lysine biosynthesis,lysine biosynthesis via alpha-aminoadipate (AAA pathway),alpha-aminoadipate--LysW ligase LysX,lysX,0,,3,G,217.000772,234.3670807,185.539297,212.3023833
fig.6666666.52381.peg.100,SY28_RS00500,Unknown function,General,,hypothetical protein,,0,,3,G,18.56341433,23.06968074,14.12952973,18.5875416
fig.6666666.52381.peg.1000,SY28_RS04985,Unknown function,General,,hypothetical protein,,0,,3,G,6.476015094,6.470211423,31.61178341,14.85266997
fig.6666666.52381.peg.1001,SY28_RS04990,Unknown function,General,,hypothetical protein,,0,,3,G,79.18512259,44.63350765,25.82449141,49.88104055
fig.6666666.52381.peg.1002,SY28_RS04995,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,isoleucine biosynthesis from threonine and pyruvate,threonine ammonia-lyase IlvA,ilvA,0,,3,G,29.06476207,13.74593782,36.72706167,26.51258719
fig.6666666.52381.peg.1003,SY28_RS05000,Intracellular trafficking_ assembly_ and processing,Peptidases,,M28 family peptidase,,0,,3,G,85.02754498,50.88758299,62.42216313,66.11243037
fig.6666666.52381.peg.1004,SY28_RS05005,Unknown function,General,,hypothetical protein,,4,C,4,H,146.1639897,79.39999267,34.45219065,86.67205766
fig.6666666.52381.peg.1005,SY28_RS05010,Unknown function,General,,hypothetical protein,,4,C,4,H,61.97343201,16.31701184,7.146030441,28.47882476
fig.6666666.52381.peg.1007,SY28_RS05020,Transport and binding proteins,Unknown substrate,,ABC-type transport system ATPase component,,0,,3,G,25.59381121,35.42881655,14.86068165,25.29443647
fig.6666666.52381.peg.1008,SY28_RS05025,Intracellular trafficking_ assembly_ and processing,Enzyme assembly,cytochrome c biogenesis system II,c-type cytochrome biogenesis protein CcdA,ccdA,0,,3,G,18.32373875,64.50829628,45.33932833,42.72378779
fig.6666666.52381.peg.101,SY28_RS00505,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,,cytochrome oxidase biogenesis copper metallochaperone PrrC,prrC,1,D,3,G,264.8675655,304.9471522,382.8064878,317.5404018
fig.6666666.52381.peg.1010,SY28_RS05035,Fatty acid and lipid metabolism,Biosynthesis of unsaturated fatty acids,fatty acid biosynthesis_ elongation,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,1,D,3,G,37.74367087,15.867737,30.24657623,27.95266137
fig.6666666.52381.peg.1011,SY28_RS05040,Unknown function,Enzymes of unknown specificity,,GCN5 family N-acetyltransferase,,1,D,3,G,106.370958,78.22423984,103.0035162,95.86623801
fig.6666666.52381.peg.1012,SY28_RS05045,Intracellular trafficking_ assembly_ and processing,Peptidases,,S41 family peptidase,,4,C,4,H,357.2204038,218.6390842,203.2456397,259.7017092
fig.6666666.52381.peg.1013,SY28_RS05050,Intracellular trafficking_ assembly_ and processing,Peptidases,,S41 family peptidase,,1,D,4,H,243.0185708,264.5625488,227.5940818,245.0584005
fig.6666666.52381.peg.1014,SY28_RS05055,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis from acetyl-CoA,beta-ketoacyl-acyl-carrier-protein synthase II FabF,fabF,1,D,3,G,207.5396218,171.4437836,161.7462235,180.2432096
fig.6666666.52381.peg.1015,SY28_RS05060,Regulatory functions,DNA interactions,,YebC/PmpR family transcriptional regulator,,1,D,1,E,205.083006,254.831921,262.22773,240.714219
fig.6666666.52381.peg.1016,SY28_RS05065,Amino acid metabolism,Cysteine and methionine metabolism,cysteine biosynthesis,serine O-acetyltransferase CysE,cysE,1,D,2,F,42.88613765,107.177297,133.2109872,94.42480727
fig.6666666.52381.peg.1017,SY28_RS05070,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,S-adenosylmethionine:tRNA ribosyltransferase-isomerase QueA,queA,1,D,3,G,21.97794228,19.01747005,26.43333215,22.47624816
fig.6666666.52381.peg.1018,SY28_RS05075,Unknown function,General,,hypothetical protein,,1,D,3,G,57.34398593,128.346641,165.7086256,117.1330842
fig.6666666.52381.peg.1019,SY28_RS05080,Unknown function,General,,hypothetical protein,,1,D,4,H,95.88304958,144.4066189,134.1243566,124.804675
fig.6666666.52381.peg.102,SY28_RS00510,Amino acid metabolism,Lysine biosynthesis,lysine biosynthesis via diaminopimelate (DAP) utilizing ammonia and NADPH,diaminopimelate decarboxylase LysA,lysA,0,,3,G,29.85827727,48.74326323,56.06336157,44.88830069
fig.6666666.52381.peg.1020,SY28_RS05085,Unknown function,General,,TPR repeat domain protein,,0,,3,G,19.24290611,41.3102456,37.1535555,32.56890241
fig.6666666.52381.peg.1021,SY28_RS05090,Unknown function,General,,hypothetical protein,,2,B,2,F,50.43582052,54.07494534,105.8592381,70.12333467
fig.6666666.52381.peg.1022,SY28_RS05091,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L32 RpmF,rpmF,2,B,3,G,1277.38521,1239.668489,1654.082217,1390.378638
fig.6666666.52381.peg.1023,SY28_RS05095,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis_ initiation,3-oxoacyl-[acyl-carrier-protein] synthase III FabH,fabH,4,C,1,E,172.7612164,107.2936708,113.2892294,131.1147055
fig.6666666.52381.peg.1024,SY28_RS05100,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis_ initiation,malonyl CoA-acyl carrier protein transacylase FabD,fabD,3,A,1,E,120.350652,128.11497,72.10609216,106.857238
fig.6666666.52381.peg.1025,SY28_RS05105,Fatty acid and lipid metabolism,Biosynthesis of unsaturated fatty acids,fatty acid biosynthesis_ elongation,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,4,C,4,H,114.1891551,83.11006258,55.91191872,84.40371215
fig.6666666.52381.peg.1026,SY28_RS05110,Fatty acid and lipid metabolism,Biosynthesis,,acyl carrier protein AcpP,acpP,2,B,2,F,1079.600322,1041.518175,1391.546406,1170.888301
fig.6666666.52381.peg.1027,SY28_RS05115,Transcription,Transcription factors,cold shock,CspA family cold shock protein,,3,A,1,E,408.0555669,991.3058084,420.1364093,606.4992615
fig.6666666.52381.peg.1028,SY28_RS05120,Transport and binding proteins,Amino acids_ peptides and amines,polar amino acid transport system PA,ABC-type polar amino acid uptake system substrate-binding component,,3,A,3,G,138.1453999,300.8292296,158.7448812,199.2398369
fig.6666666.52381.peg.103,SY28_RS00515,Intracellular trafficking_ assembly_ and processing,Peptidases,,C26 family peptidase,,0,,3,G,56.856222,63.54369552,78.97636956,66.45876236
fig.6666666.52381.peg.1030,SY28_RS05130,Defense and invasion systems,General,,GTP-binding protein LepA,lepA,0,,3,G,67.29568684,72.50114482,109.2685862,83.02180596
fig.6666666.52381.peg.1031,SY28_RS05135,Cell motility and adherance,Surface structures and assembly platforms,,pilin protein,,0,,3,G,2.00354182,10.94406644,15.57100523,9.506204496
fig.6666666.52381.peg.1034,SY28_RS05150,Unknown function,General,,hypothetical protein,,0,,3,G,51.97133356,38.57857976,11.70393933,34.08461755
fig.6666666.52381.peg.1035,SY28_RS05155,Signal transduction,Two-component systems,,two component signal transduction system LuxR family response regulator,,0,,3,G,8.44986901,11.25639522,12.16293537,10.62306653
fig.6666666.52381.peg.104,SY28_RS00520,Unknown function,General,,hypothetical protein,,0,,3,G,62.9620919,46.22461385,65.22718026,58.137962
fig.6666666.52381.peg.1043,SY28_RS05205,Transport and binding proteins,Cations and iron carrying compounds,,potassium transporter,cvrA,0,,3,G,8.374364987,9.849661801,4.491338214,7.571788334
fig.6666666.52381.peg.1044,SY28_RS05210,Unknown function,Enzymes of unknown specificity,,2-hydroxyhepta-2_4-diene-1_7-dioate isomerase,,0,,1,E,103.3098858,129.4836311,126.235753,119.6764233
fig.6666666.52381.peg.1045,SY28_RS05220,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S6 RpsF,rpsF,4,C,1,E,4428.735796,4061.555639,4037.788243,4176.026559
fig.6666666.52381.peg.1046,SY28_RS05225,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA replication initiation factors,single-strand DNA-binding protein Ssb,ssb,3,A,1,E,2313.406242,2772.49463,2449.737158,2511.879344
fig.6666666.52381.peg.1047,SY28_RS05230,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S18 RpsR,rpsR,1,D,1,E,1059.012503,1120.53418,1235.355987,1138.30089
fig.6666666.52381.peg.1048,SY28_RS05235,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protien L9 RplI,rplI,1,D,2,F,1304.063446,1943.286762,1916.410416,1721.253541
fig.6666666.52381.peg.1049,SY28_RS05240,Prosthetic groups_ cofactors_ and carriers,Sulfur relay system,,molybdenum cofactor biosysynthesis protein,,0,,3,G,18.7887909,11.9647117,41.87071686,24.20807315
fig.6666666.52381.peg.105,SY28_RS00525,Transport and binding proteins,Unknown substrate,,ABCB-type export system hybrid permease / ATPase component,,0,,3,G,25.51205908,39.23930437,31.00295431,31.91810592
fig.6666666.52381.peg.1051,SY28_RS05245,Unknown function,General,,hypothetical protein,,0,,3,G,8.457109686,53.14483818,53.23341682,38.2784549
fig.6666666.52381.peg.1052,SY28_RS05250,Prosthetic groups_ cofactors_ and carriers,Biotin and lipoate metabolism,lipoic acid metabolism,lipoate synthase LipA,lipA,0,,3,G,123.8111364,147.977117,115.1465883,128.9782806
fig.6666666.52381.peg.1053,SY28_RS05255,Prosthetic groups_ cofactors_ and carriers,Biotin and lipoate metabolism,lipoic acid metabolism,lipoate-protein ligase LipB,lipB,0,,4,H,37.38151687,63.52680557,63.24946981,54.71926408
fig.6666666.52381.peg.1054,SY28_RS05260,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,,cobalamin biosynthesis protein CobW,,0,,2,F,42.21514899,32.83995691,54.46470158,43.17326916
fig.6666666.52381.peg.1055,SY28_RS05265,Carbohydrate metabolism,Galactose metabolism,,UDP-glucose 4-epimerase,,0,,2,F,58.95657459,80.28106309,98.1456982,79.12777863
fig.6666666.52381.peg.1056,SY28_RS05270,Amino acid metabolism,Glycine_ serine_ and threoine metabolism,,glycine C-acetyltransferase Kbl,kbl,0,,3,G,70.15724871,45.57492443,38.87676793,51.53631369
fig.6666666.52381.peg.1058,SY28_RS05280,Intracellular trafficking_ assembly_ and processing,Protein modification and repair,lipoprotein system lgt/lsp/lnt,phosphatidylglycerol:prolipoprotein diacylglycerol transferase Lgt,lgt,0,,3,G,26.49115711,46.53546314,48.43361602,40.48674542
fig.6666666.52381.peg.1059,SY28_RS05285,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,UDP-N-acetylglucosamine biosynthesis from fructose-6-phosphate,bifunctional glucosamine-1-phosphate N-acetyltransferase / UDP-N-acetylglucosamine diphosphorylase GlmU,glmU,0,,3,G,26.99892706,37.88659017,27.84632901,30.91061541
fig.6666666.52381.peg.106,SY28_RS00530,Transport and binding proteins,Unknown substrate,,ABCB-type export system hybrid permease / ATPase component,,0,,3,G,15.97765358,36.06204412,35.8873658,29.30902117
fig.6666666.52381.peg.1061,SY28_RS05295,Unknown function,General,,PSP1 domain-containing protein,,0,,3,G,69.10077713,79.24028875,69.82341017,72.72149202
fig.6666666.52381.peg.1063,SY28_RS05305,Unknown function,Enzymes of unknown specificity,,phosphatase,,1,D,3,G,45.65313985,100.3848202,114.7468132,86.92825775
fig.6666666.52381.peg.1064,SY28_RS05310,Unknown function,General,,hypothetical protein,,0,,3,G,48.29729575,48.16546336,16.75771207,37.74015706
fig.6666666.52381.peg.1065,SY28_RS05315,Unknown function,General,,hypothetical protein,,4,C,3,G,220.4682295,156.7514852,164.6361986,180.6186378
fig.6666666.52381.peg.1066,SY28_RS05320,Transport and binding proteins,Unknown substrate,type II toxins: membrane damaging toxins_ pore forming,Hly III family permease,,4,C,4,H,415.7391631,198.6615029,230.0637257,281.4881306
fig.6666666.52381.peg.1068,SY28_RS05330,Translation,Transfer RNA biogenesis,tRNA aminoacylation,glutaminyl-tRNA synthetase GlnS,glnS,0,,3,G,138.1398228,110.3776662,129.5502615,126.0225835
fig.6666666.52381.peg.107,SY28_RS00535,Unknown function,General,,hypothetical protein,,4,C,4,H,130.2788064,115.1474945,51.79052564,99.07227552
fig.6666666.52381.peg.1072,SY28_RS05350,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,D-xylose uptake system XylFGH,ABC-type D-xylose uptake system substrate-binding component XylF,xylF,4,C,1,E,484.8858654,295.4810111,137.6713369,306.0127378
fig.6666666.52381.peg.1073,SY28_RS05355,Unknown function,General,,ASPIC/UnbV domain-containing protein,,4,C,4,H,31.96120636,11.60870101,8.862896126,17.47760117
fig.6666666.52381.peg.1074,SY28_RS05360,Unknown function,Enzymes of unknown specificity,,phosphoesterase PA-phosphatase-like protein,,4,C,4,H,50.27417876,68.46291946,74.05715789,64.26475203
fig.6666666.52381.peg.1075,SY28_RS05365,Unknown function,Enzymes of unknown specificity,,oxidoreductase,,4,C,4,H,46.55950781,45.05833428,50.75774443,47.45852884
fig.6666666.52381.peg.1076,SY28_RS05370,Unknown function,General,,DUF336 domain protein of unknown function,,1,D,4,H,21.06383047,33.25198247,85.0369681,46.45092701
fig.6666666.52381.peg.1077,SY28_RS05375,Defense and invasion systems,Anti-microbial compounds,,isopenicillin-N epimerase CefD,cefD,4,C,2,F,70.82461192,44.85617592,43.56460481,53.08179755
fig.6666666.52381.peg.1078,SY28_RS05390,Transport and binding proteins,Anions,,CIC family chloride channel,,4,C,1,E,27.63282899,12.58987655,12.3454901,17.52273188
