RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions
N/A,tll0002,Intracellular trafficking_ assembly_ and processing,Peptidases,periplasmic stress response system,heat shock peptidase HtrA,htrA,4,H,555.4227617,566.545507,686.9478,602.9720229
N/A,tll0007,Carbohydrate metabolism,Starch and sucrose metabolism,cellulose biosynthesis,UDP-forming cellullose synthase catalytic subunit CelA,celA,4,H,563.0905966,660.2898688,821.9839707,681.7881454
N/A,tll0008,Unknown function,General,gliding motility,membrane PIN/TRAM domain protein YCF81,ycf81,4,H,14972.92088,20097.34046,25233.13111,20101.13082
N/A,tll0009,Unknown function,General,None,hypothetical protein,,4,H,2369.980879,3712.564038,5848.126231,3976.890383
N/A,tll0013,Intracellular trafficking_ assembly_ and processing,Peptidases,None,N-acyl-L-amino acid amidohydrolase Ama,ama,4,H,1941.329926,2146.17015,2512.322313,2199.940796
N/A,tll0014,Regulatory functions,Small molecule interactions,None,adenylate cyclase,,4,H,1627.296157,2109.378943,2559.477487,2098.717529
N/A,tll0015,Terpenoids and polyketides metabolism,Carotenoid metabolism,carotenoid cleavage,all-trans-8'-apo-beta-carotenal 15_15'-oxygenase Diox1,diox1,4,H,3054.468869,3716.945398,4293.799293,3688.40452
N/A,tll0016,Transport and binding proteins,Cofactors and prosthetic groups,folic acid uptake,folate transporter Fbp,fbp,4,H,2422.46009,3272.737997,3822.080642,3172.426243
N/A,tll0019,Unknown function,General,None,protein of unknown function DUF212,,3,G,3262.627003,2729.837035,2158.177715,2716.880585
N/A,tll0020,Terpenoids and polyketides metabolism,Terpenoid backbone biosynthesis,C10-C20 isoprenoid biosynthesis,geranylgeranyl diphosphate synthase type II CrtE,crtE,3,G,8841.589636,7833.903133,7004.788314,7893.427027
N/A,tll0021,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,folic acid biosynthesis,bifunctional methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase FolD,folD,3,G,4458.50464,3682.317883,3211.18653,3784.003018
N/A,tll0022,Unknown function,General,None,hypothetical protein,,4,H,928.7558185,915.4311666,1089.566526,977.9178372
N/A,tll0024,Unknown function,General,None,pentapeptide repeat protein,,2,F,238.2347736,173.8490278,208.9267915,207.003531
N/A,tll0025,Regulatory functions,DNA interactions,Iron homeostasis,Fur family transcriptional regulator,,3,G,1241.02303,1005.586757,969.1326447,1071.914144
N/A,tll0026,Transport and binding proteins,Cations and iron carrying compounds,None,CAC2 family Ca2::H+ antiporter,,2,F,410.9085718,372.9567583,423.3121475,402.3924925
N/A,tll0030,Unknown function,General,None,hypothetical protein,,4,H,1245.822214,1323.876399,1791.313129,1453.670581
N/A,tll0032,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,KDO(2)-lipid A (Re LPS) biosynthesis and delivery,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD,lpxD,3,G,2588.127024,2337.56693,1971.493917,2299.062623
N/A,tll0037,Unknown function,Enzymes of unknown specificity,phosphate homeostasis,phosphate starvation-inducible ATPase PhoH,phoH,2,F,695.5565255,638.9563818,669.3929356,667.9686143
N/A,tll0039,Unknown function,General,None,KH domain RNA binding protein YlqC,ylqC,3,G,3196.705563,3006.1723,2382.446607,2861.774824
N/A,tll0043,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle_ Embden-Meyerhof pathway,glyceraldehyde 3-phosphate dehydrogenase GapA,gapA,1,E,7558.878731,8033.145476,7582.592313,7724.872173
N/A,tll0044,Unknown function,Enzymes of unknown specificity,None,rhodanese-like domain-containing protein,,1,E,8077.685813,10666.4627,9501.083759,9415.077424
N/A,tll0045,Energy metabolism,Oxidative phosphorylation,NAD(P)H:quinone oxidoreductase (complex I) NdhABCDEFGHIJKLMNOPQS,NADH-plastoquinone oxidoreductase subunit NdhB,ndhB,1,E,21521.78168,26903.17301,20620.55304,23015.16924
N/A,tll0046,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan recycling,muramoyltetrapeptide carboxypeptidase IdcA,idcA,3,G,672.2614894,583.9263162,535.2116723,597.1331593
N/A,tll0047,Unknown function,General,None,hypothetical protein,,0,,536.0060681,530.7192945,554.7291354,540.4848327
N/A,tll0048,Regulatory functions,DNA interactions,Iron homeostasis,Fe2+-responsive transcriptional regulator of iron homeostasis Fur,fur,3,G,8017.315097,6900.135097,6956.899307,7291.449833
N/A,tll0049,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan biosynthesis,bifunctional peptidoglycan transglycosylase / transpeptidase McrB,mrcB,3,G,3142.94716,2871.393364,2809.980002,2941.440175
N/A,tll0054,Nucleic acid metabolism,Purine metabolism,guanine ribonucleotide biosynthesis from IMP,guanylate kinase Gmk,gmk,3,G,453.7679206,343.0930328,300.6749964,365.8453166
N/A,tll0060,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA Repair,putative DNA repair protein RAD32,,4,H,1331.092824,1323.166229,1685.060412,1446.439822
N/A,tll0061,Regulatory functions,Protein interactions,None,NmrA family protein,,4,H,3001.034284,4008.366971,5199.593927,4069.665061
N/A,tll0062,Translation,tRNA and rRNA base modification,tRNA N6-threonylcarbamoyladenosine modification,tRNA threonylcarbamoyl adenosine modification protein YeaZ,yeaZ,1,E,5129.11117,5411.165094,4205.683036,4915.319767
N/A,tll0064,Terpenoids and polyketides metabolism,General,hopanoid biosynthesis,hopanoid biosynthesis associated glycosyl transferase protein HpnI,hpnI,4,H,914.7114261,950.867754,1000.237963,955.2723812
N/A,tll0065,Prosthetic groups_ cofactors_ and carriers,Thiamine metabolism,thiamine: hydroxyethylthiazole from 1-deoxy-D-xylulose-5-phosphate_ cysteine_ either Tyr or Gly,thiazole synthase ThiG,thiG,3,G,4378.798601,3537.841598,2629.066024,3515.235408
N/A,tll0070,Unknown function,General,None,protein of unknown function DUF1838,,2,F,1874.888804,1717.097541,1837.055937,1809.680761
N/A,tll0071,Unknown function,General,None,uncharacterized protein,,3,G,3254.624294,2984.926369,2807.38703,3015.645898
N/A,tll0072,Transport and binding proteins,Unknown substrate,None,UPF0118 family permease,,4,H,2285.699194,2509.450162,2542.379911,2445.843089
N/A,tll0073,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan biosynthesis,UDP-N-acetylmuramoylalanine--D-glutamate ligase MurD,murD,3,G,1736.381555,1614.327989,1495.391499,1615.367015
N/A,tll0075,Unknown function,General,None,SH3 domain protein,,4,H,3416.640941,4224.310904,4519.411363,4053.454403
N/A,tll0076,Unknown function,Enzymes of unknown specificity,None,AAA family ATPase Ycf46,ycf46,4,H,1633.637158,1769.223824,1885.777324,1762.879436
N/A,tll0077,Unknown function,General,None,protein of unknown function DUF177 YceD,yceD,3,G,6040.780532,4597.83065,3835.520956,4824.710712
N/A,tll0078,Signal transduction,General,pixDE light intensity sensor,flavin-binding BLUF protein PixD,pixD,3,G,3340.694557,3199.954372,3157.129368,3232.592765
N/A,tll0079,Unknown function,General,None,protein of unknown function DUF2752,,1,E,522.5621444,588.3480496,469.3773786,526.7625242
N/A,tll0080,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,tRNA-guanine transglycosylase Tgt,tgt,3,G,3431.96989,2666.179325,1799.254408,2632.467874
N/A,tll0113,Regulatory functions,Protein interactions,redox regulatory system FtrCV,ferredoxin-thioredoxin reductase beta subunit FtrC,ftrC,3,G,4196.101221,3156.046103,2765.621485,3372.589603
N/A,tll0118,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,None,DnaJ domain-containing protein,,4,H,1713.077725,2054.684223,2302.816593,2023.52618
N/A,tll0119,None,None,None,None,None,4,H,2772.016477,3771.370671,5439.46624,3994.284462
N/A,tll0120,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pilus complex,type IV fimbrial assembly protein PilC,pilC,4,H,8815.947589,9210.168283,10706.86681,9577.660895
N/A,tll0121,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pilus complex,pilin retraction protein PilT,pilT,4,H,17202.85475,17822.08363,18393.76778,17806.23539
N/A,tll0122,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pilus complex,type IV fimbrial assembly ATPase PilB,pilB,1,E,12426.77648,14314.19512,13367.52896,13369.50019
N/A,tll0126,Unknown function,General,None,hypothetical protein,,3,G,13183.02004,13142.45296,10401.6446,12242.37253
N/A,tll0128,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA Repair,SbcC-like exonuclease,,4,H,1649.437953,1663.872824,2203.244697,1838.851825
N/A,tll0130,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,phylloquinone biosynthesis via SEPHCHC,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase MenD,menD,3,G,716.1880674,565.7816821,455.1717761,579.0471752
N/A,tll0131,Defense and invasion systems,Protein_ prosthetic group_ membrane repair,FtsH2-FtsH3 photosystem II repair complex,ATP-dependent metalloprotease FtsH3,ftsH3,4,H,10620.5098,14858.45872,15306.68377,13595.21743
N/A,tll0133,Amino acid metabolism,Histidine metabolism,histidine biosynthesis from ribose-5-phosphate,imidazoleglycerol-phosphate dehydratase HisB,hisB,3,G,15828.55485,14208.06252,13882.91625,14639.84454
N/A,tll0135,Unknown function,General,None,periplasmic protein of unknown function,,3,G,15262.86345,13730.53427,10105.20082,13032.86618
N/A,tll0138,Unknown function,General,None,protein of unknown function DUF2062,,3,G,1607.476678,1417.149646,1447.347039,1490.657788
N/A,tll0139,Transport and binding proteins,Unknown substrate,None,multidrug efflux transporter MFS family,,3,G,1353.304775,1133.223439,987.6201233,1158.049446
N/A,tll0141,Unknown function,General,None,uncharacterized protein,,4,H,929.1529338,1057.758591,1475.558386,1154.156637
N/A,tll0142,Unknown function,General,None,hypothetical protein,,2,F,2637.263016,2208.798207,2368.130725,2404.730649
N/A,tll0145,Transport and binding proteins,Anions,None,CIC family chloride carrier/channel,,4,H,1263.666977,1914.544296,2673.423523,1950.544932
N/A,tll0146,Terpenoids and polyketides metabolism,Carotenoid metabolism,lycopene biosynthesis from isopentyl pyrophosphate (IPP),zeta-carotene isomerase nnrU,nnrU,3,G,7808.696466,6941.090632,5970.276589,6906.687896
N/A,tll0150,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,chlorophyll biosynthesis from chlorophyllide a,geranylgeranyl reductase ChlP,chlP,1,E,29641.62427,34053.01934,29063.0391,30919.22757
N/A,tll0153,Transport and binding proteins,Unknown substrate,None,cation-transporting ATPase E1-E2 family,,2,F,1203.743966,1143.618727,1177.315951,1174.892882
N/A,tll0154,Defense and invasion systems,General,DNA damage response,universal stress protein UspA family,,3,G,2519.682383,1877.247227,1624.800137,2007.243249
N/A,tll0155,None,None,None,None,None,4,H,169.9043465,184.2610039,233.0764825,195.7472776
N/A,tll0156,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTe12 transposase OrfA TnpA_ISTel2,tnpA_ISTel2,3,G,434.520968,294.5793663,217.8195138,315.6399494
N/A,tll0158,Transport and binding proteins,Cations and iron carrying compounds,None,CPA1 family Na:H antiporter,,3,G,560.3224223,532.1289461,480.6507383,524.3673689
N/A,tll0161,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,heat shock,co-chaperone GrpE,grpE,4,H,542.4543972,691.154148,871.377817,701.6621207
N/A,tll0162,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,multiple sugar uptake system,ABC-type multiple sugar uptake system ATPase component,,2,F,1346.908373,1086.515861,1440.657321,1291.360519
N/A,tll0165,Regulatory functions,Protein interactions,Glutamate inactivation,glutamine synthetase inactivating factor IF17 GifB,gifB,4,H,7507.643646,9274.856684,16736.21675,11172.90569
N/A,tll0167,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L21 RplU,rplU,3,G,129347.1894,115432.1504,95494.74773,113424.6959
N/A,tll0168,Unknown function,General,None,putative phosphopeptide binding protein,,4,H,118.7143947,169.257115,195.0840874,161.0185324
N/A,tll0169,Regulatory functions,DNA interactions,iron-sulfur cluster assembly_ ISC system,transcriptional repressor of Fe-S cluster biogenesis system IscR,iscR,4,H,515.5925005,637.1872628,897.2393197,683.3396943
N/A,tll0170,Natural products biosynthesis,Anti-microbial compounds,bacteriocin,FMN-dependent non-ribosomal peptide synthetase,,4,H,631.4673258,641.971033,725.6441563,666.3608384
N/A,tll0172,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,coenzyme B12 biosynthesis upper pathway,precorrin-6Y C5_15-methyltransferase (decarboxylating) CobL,cobL,0,,275.6173362,271.2696104,268.2908398,271.7259288
N/A,tll0173,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,coenzyme B12 biosynthesis upper pathway,precorrin-8X methylmutase CobH,cobH,4,H,580.2932913,627.725468,753.8464574,653.9550722
N/A,tll0175,Regulatory functions,DNA interactions,None,YebC family transcriptional regulator,,4,H,3515.798544,3554.083533,3776.776543,3615.552873
N/A,tll0178,Prosthetic groups_ cofactors_ and carriers,Folate biosynthesis,tetrahydrofolate biosynthesis from GTP and PABA,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase FolK,folK,4,H,624.3677669,883.7685627,830.1586619,779.4316638
N/A,tll0180,Amino acid metabolism,Histidine metabolism,histidine biosynthesis from ribose-5-phosphate,ATP phosphoribosyltransferase catalytic subunit HisG,hisG,4,H,2002.376705,2127.410365,2561.063263,2230.283444
N/A,tll0181,Regulatory functions,Protein interactions,histidine biosynthesis,ATP phosphoribosyltransferase regulatory subunit HisZ,hisZ,4,H,2667.782135,3094.814505,3668.071611,3143.556084
N/A,tll0182,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,None,TPR repeat domain protein with DnaJ domain,,3,G,6347.962572,4643.400705,4563.341878,5184.901718
N/A,tll0183,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,None,formyltetrahydrofolate deformylase PurU,purU,3,G,1650.707424,1314.607466,1165.938612,1377.084501
N/A,tll0184,Nucleic acid metabolism,DNA replication_ recombination_ and repair,Nucleotide excision repair,excinuclease ABC subunit UvrA,uvrA,0,,837.7555682,834.4039747,877.5540041,849.9045157
N/A,tll0185,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,chaperone system: GroEL/GroES,chaperonin GroEL,groEL1,3,G,88013.91413,85050.40656,59406.91979,77490.41349
N/A,tll0186,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,chaperone system: GroEL/GroES,chaperonin GroES,groES,3,G,88350.67718,88869.3554,55660.12053,77626.7177
