gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
dnaN,dnaN,AKG35_RS00005,PMT0001,Protein Homology,174.0,1340.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006850986.1,DNA polymerase III subunit beta,WP_011129380.1,"PMT0001,PMT_0001,RG24_RS00005",174.0,1340.0,+,CK_Pro_MIT9313_00001,dnaN,"GO:0006260,GO:0034061,GO:0003677,GO:0003887,GO:0008408,GO:0009360",CK_00000364,F.1,DNA replication%2C recombination%2C and repair,"COG0592,bactNOG00989,cyaNOG01040","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",2.7.7.7,DNA-directed DNA polymerase%3B DNA polymerase I%3B DNA polymerase II%3B DNA polymerase III%3B DNA polymerase alpha%3B DNA polymerase beta%3B DNA polymerase gamma%3B DNA nucleotidyltransferase (DNA-directed)%3B deoxyribonucleate nucleotidyltransferase%3B deoxynucleate polymerase%3B deoxyribonucleic acid duplicase%3B deoxyribonucleic acid polymerase%3B deoxyribonucleic duplicase%3B deoxyribonucleic polymerase%3B deoxyribonucleic polymerase I%3B DNA duplicase%3B DNA nucleotidyltransferase%3B DNA polymerase%3B DNA replicase%3B DNA-dependent DNA polymerase%3B duplicase%3B Klenow fragment%3B sequenase%3B Taq DNA polymerase%3B Taq Pol I%3B Tca DNA polymerase,"DNA replication,DNA replication,DNA polymerase activity,DNA binding,DNA-directed DNA polymerase activity,3'-5' exonuclease activity,DNA replication,DNA polymerase activity,DNA binding,DNA-directed DNA polymerase activity,3'-5' exonuclease activity,DNA polymerase III complex",DNA polymerase III%2C beta subunit,"TIGR00663,PF00712,PF02768,PF02767,IPR022634,IPR022635,IPR022637,IPR001001","DNA polymerase III%2C beta subunit,DNA polymerase III beta subunit%2C N-terminal domain,DNA polymerase III beta subunit%2C C-terminal domain,DNA polymerase III beta subunit%2C central domain,DNA polymerase III%2C beta sliding clamp%2C N-terminal,DNA polymerase III%2C beta sliding clamp%2C C-terminal,DNA polymerase III%2C beta sliding clamp%2C central,DNA polymerase III%2C beta sliding clamp",132,DNA metabolism / DNA replication%2C recombination%2C and repair
AKG35_RS00010,,AKG35_RS00010,PMT0002,Protein Homology,1344.0,2120.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011358847.1,hypothetical protein,WP_041384224.1,"PMT0002,PMT_0002,RG24_RS00010",1344.0,2120.0,+,CK_Pro_MIT9313_00002,PMT0002,,CK_00000363,R.2,Conserved hypothetical proteins,"COG0243,NOG45784,NOG237203,bactNOG55577,bactNOG31844,cyaNOG05837,cyaNOG03657","COG: METABOLISM [C] Energy production and conversion,COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
purL,purL,AKG35_RS00015,PMT0003,Protein Homology,2178.0,4562.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824693.1,phosphoribosylformylglycinamidine synthase subunit PurL,WP_011129382.1,"PMT0003,PMT_0003,RG24_RS00015",2178.0,4562.0,+,CK_Pro_MIT9313_00003,purL,"GO:0009152,GO:0006541,GO:0006189,GO:0006164,GO:0004642",CK_00000362,M.3,Purine ribonucleotide biosynthesis,"COG0046,bactNOG00968,cyaNOG01049","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",6.3.5.3,phosphoribosylformylglycinamidine synthase%3B phosphoribosylformylglycinamidine synthetase%3B formylglycinamide ribonucleotide amidotransferase%3B phosphoribosylformylglycineamidine synthetase%3B FGAM synthetase%3B FGAR amidotransferase%3B 5'-phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)%3B 2-N-formyl-1-N-(5-phospho-D-ribosyl)glycinamide:L-glutamine amido-ligase (ADP-forming),"purine ribonucleotide biosynthetic process,glutamine metabolic process,'de novo' IMP biosynthetic process,purine nucleotide biosynthetic process,purine ribonucleotide biosynthetic process,glutamine metabolic process,'de novo' IMP biosynthetic process,purine nucleotide biosynthetic process,phosphoribosylformylglycinamidine synthase activity",phosphoribosylformylglycinamidine synthase%2C synthetase domain,"TIGR01736,PF02769,PF00586,IPR010918,IPR000728,IPR010074","phosphoribosylformylglycinamidine synthase II,AIR synthase related protein%2C C-terminal domain,AIR synthase related protein%2C N-terminal domain,PurM-like%2C C-terminal domain,Description not found.,Phosphoribosylformylglycinamidine subunit PurL",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis
purF,purF,AKG35_RS00020,PMT0004,Protein Homology,4622.0,6079.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824694.1,amidophosphoribosyltransferase,WP_011129383.1,"PMT0004,PMT_0004,RG24_RS00020",4622.0,6079.0,+,CK_Pro_MIT9313_00004,purF,"GO:0009113,GO:0006189,GO:0009116,GO:0006541,GO:0004044,GO:0016757,GO:0005829",CK_00000361,M.3,Purine ribonucleotide biosynthesis,"COG0034,bactNOG03208,cyaNOG00619","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",2.4.2.14,amidophosphoribosyltransferase%3B phosphoribosyldiphosphate 5-amidotransferase%3B glutamine phosphoribosyldiphosphate amidotransferase%3B alpha-5-phosphoribosyl-1-pyrophosphate amidotransferase%3B 5'-phosphoribosylpyrophosphate amidotransferase%3B 5-phosphoribosyl-1-pyrophosphate amidotransferase%3B 5-phosphororibosyl-1-pyrophosphate amidotransferase%3B glutamine 5-phosphoribosylpyrophosphate amidotransferase%3B glutamine ribosylpyrophosphate 5-phosphate amidotransferase%3B phosphoribose pyrophosphate amidotransferase%3B phosphoribosyl pyrophosphate amidotransferase%3B phosphoribosylpyrophosphate glutamyl amidotransferase%3B 5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating),"purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,amidophosphoribosyltransferase activity,transferase activity%2C transferring glycosyl groups,purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,amidophosphoribosyltransferase activity,transferase activity%2C transferring glycosyl groups,cytosol",amidophosphoribosyltransferase,"TIGR01134,PF13522,PF00156,PS51278,IPR005854,IPR017932,IPR000836","amidophosphoribosyltransferase,Glutamine amidotransferase domain,Phosphoribosyl transferase domain,Glutamine amidotransferase type 2 domain profile.,Amidophosphoribosyltransferase,Glutamine amidotransferase type 2 domain,Phosphoribosyltransferase domain",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis
AKG35_RS00025,,AKG35_RS00025,PMT0005,Protein Homology,6115.0,8604.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129384.1,DNA gyrase/topoisomerase IV subunit A,WP_011129384.1,"PMT0005,PMT_0005,RG24_RS00025",6115.0,8604.0,-,CK_Pro_MIT9313_00005,PMT0005,"GO:0006265,GO:0003677,GO:0003916,GO:0005524,GO:0003918,GO:0005694",CK_00008107,F.1,DNA replication%2C recombination%2C and repair,"COG0188,bactNOG02571,cyaNOG00631","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",,,"DNA topological change,DNA topological change,DNA binding,DNA topoisomerase activity,ATP binding,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,DNA topological change,DNA binding,DNA topoisomerase activity,ATP binding,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,chromosome",DNA gyrase/topoisomerase IV%2C subunit A family protein,"PF03989,PF00521,IPR006691,IPR002205","DNA gyrase C-terminal domain%2C beta-propeller,DNA gyrase/topoisomerase IV%2C subunit A,DNA gyrase/topoisomerase IV%2C subunit A%2C C-terminal repeat,DNA topoisomerase%2C type IIA%2C subunit A/C-terminal",132,DNA metabolism / DNA replication%2C recombination%2C and repair
AKG35_RS00030,,AKG35_RS00030,PMT0006,Protein Homology,8682.0,9575.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129385.1,tetratricopeptide repeat protein,WP_011129385.1,"PMT0006,PMT_0006,RG24_RS00030",8682.0,9575.0,-,CK_Pro_MIT9313_00006,PMT0006,GO:0005515,CK_00000360,,,"COG0457,COG4783,bactNOG76554,bactNOG08761,bactNOG55327,cyaNOG00333","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,protein binding,tetratricopeptide repeat family protein,"PF13414,PF00515,PS50005,PS50293,IPR019734,IPR001440,IPR013026","TPR repeat,Tetratricopeptide repeat,TPR repeat profile.,TPR repeat region circular profile.,Tetratricopeptide repeat,Tetratricopeptide repeat 1,Tetratricopeptide repeat-containing domain",157,Unknown function / General
queG,queG,AKG35_RS00035,PMT0007,Protein Homology,9585.0,10559.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129386.1,tRNA epoxyqueuosine(34) reductase QueG,WP_011129386.1,"PMT0007,PMT_0007,RG24_RS00035",9585.0,10559.0,-,CK_Pro_MIT9313_00007,queG,"GO:0008616,GO:0008033,GO:0008616,GO:0051539,GO:0016491,GO:0051536",CK_00000359,K.3,tRNA and rRNA base modification,"COG1600,bactNOG03610,cyaNOG01006","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.17.99.6,epoxyqueuosine reductase%3B oQ reductase%3B queG (gene name)%3B queH (gene name),"queuosine biosynthetic process,tRNA processing,queuosine biosynthetic process,queuosine biosynthetic process,tRNA processing,queuosine biosynthetic process,4 iron%2C 4 sulfur cluster binding,oxidoreductase activity,iron-sulfur cluster binding",epoxyqueuosine reductase,"TIGR00276,PF13484,PF08331,PS00198,PS51379,IPR004453,IPR017900,IPR013542,IPR017896","epoxyqueuosine reductase,4Fe-4S double cluster binding domain,Domain of unknown function (DUF1730),4Fe-4S ferredoxin-type iron-sulfur binding region signature.,4Fe-4S ferredoxin-type iron-sulfur binding domain profile.,Epoxyqueuosine reductase QueG,4Fe-4S ferredoxin%2C iron-sulphur binding%2C conserved site,Domain of unknown function DUF1730,4Fe-4S ferredoxin-type%2C iron-sulphur binding domain",168,Protein synthesis / tRNA and rRNA base modification
AKG35_RS00040,,AKG35_RS00040,PMT0008,Protein Homology,10646.0,11260.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129387.1,HpsJ family protein,WP_011129387.1,"PMT0008,PMT_0008,RG24_RS00040",10646.0,11260.0,+,CK_Pro_MIT9313_00008,PMT0008,GO:0016020,CK_00001353,R.2,Conserved hypothetical proteins,"COG2233,NOG39927,COG1196,bactNOG62626,cyaNOG06037","COG: METABOLISM [F] Nucleotide transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,COG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved
AKG35_RS00045,,AKG35_RS00045,PMT0009,Protein Homology,11330.0,12082.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129388.1,DUF502 domain-containing protein,WP_041384225.1,"PMT0009,PMT_0009,RG24_RS00045",11333.0,12082.0,+,CK_Pro_MIT9313_00009,PMT0009,GO:0016020,CK_00000358,R.2,Conserved hypothetical proteins,"COG2928,bactNOG10288,bactNOG40793,cyaNOG00102","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,uncharacterized conserved membrane protein (DUF502),"PF04367,IPR007462","Protein of unknown function (DUF502),Protein of unknown function DUF502",156,Hypothetical proteins / Conserved
nusB,nusB,AKG35_RS00050,PMT0010,Protein Homology,12112.0,12747.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618001.1,transcription antitermination factor NusB,WP_041384226.1,"PMT0010,PMT_0010,RG24_RS00050",12112.0,12747.0,+,CK_Pro_MIT9313_00010,nusB,"GO:0006351,GO:0006353,GO:0006355,GO:0005515,GO:0003723,GO:0005737,GO:0005829",CK_00000357,P,Transcription,"COG0781,COG1318,bactNOG98581,bactNOG89653,bactNOG99065,bactNOG89531,bactNOG100385,cyaNOG02614","COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,protein binding,RNA binding,transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,protein binding,RNA binding,cytoplasm,cytosol",transcription antitermination protein NusB,"TIGR01951,PF01029,IPR006027,IPR011605","transcription antitermination factor NusB,NusB family,NusB/RsmB/TIM44,NusB antitermination factor",133,Transcription / Other
