NCBI ID,NCBI ID_2,NCBI ID_3,"Axenic, 36 hours","Axenic, 40 hours","Axenic, 48 hours","Co-culture, 36 hours","Co-culture, 40 hours","Co-culture, 48 hours",Gene Name,Genbank Annotation,RAST annotation,Response of Synechococcus elongatus PCC7942 homolog to darkness (ppGpp)a
NATL2_00001,PMN2A_RS00015,PMN2A_1328,0.113,-0.456,-6.818***,0.213,-0.137,-2.617***,dnaN,DNA polymerase III subunit beta,DNA polymerase III beta subunit (EC 2.7.7.7),
NATL2_00011,PMN2A_RS00020,PMN2A_1329,-0.297,-2.371***,-7.914***,0.387,0.143,-2.057***,,hypothetical protein,RNA metabolism-related protein,
NATL2_00021,PMN2A_RS00025,PMN2A_1330,-0.598,-0.481,-3.587***,-0.155,-0.247,-1.99***,purL,phosphoribosylformylglycinamidine synthase subunit PurL,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)",
NATL2_00031,PMN2A_RS00030,PMN2A_1331,-0.712,-0.088,-6.055***,-0.236,0.206,-0.934***,purF,amidophosphoribosyltransferase,Amidophosphoribosyltransferase (EC 2.4.2.14),
NATL2_00041,PMN2A_RS00035,PMN2A_1332,0.73,2.805***,1.167***,1.037,1.362***,-0.752,gyrA,topoisomerase IV,DNA gyrase subunit A (EC 5.99.1.3),
NATL2_00051,PMN2A_RS00040,PMN2A_1333,0.04,-5.392***,0,0.627,0.46,-1.589***,,hypothetical protein,FIG00940173: hypothetical protein,
NATL2_00061,PMN2A_RS00045,PMN2A_1334,0.174,1.08***,-6.985***,0.276,0.544,-1.151***,queG,epoxyqueuosine reductase,Epoxyqueuosine (oQ) reductase QueG,
NATL2_00071,PMN2A_RS00050,PMN2A_1335,1.128***,1.724***,1.304***,0.654,1.661***,-0.262,,hypothetical protein,Transporter,
NATL2_00081,PMN2A_RS00055,PMN2A_1336,0.264,0.652,4.128***,-0.67,0.807,-0.612,nusB,transcription antitermination protein NusB,Transcription termination protein NusB,
NATL2_00091,PMN2A_RS00060,PMN2A_1337,-0.298,0.345,-7.307***,0.166,0.628***,-1.245***,ftsY,cell division protein FtsY,Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1),
NATL2_00101,PMN2A_RS00065,PMN2A_1338,-0.531,0.112,0.084,-0.257,-0.286,-2.049***,rsbU,serine phosphatase,"Serine phosphatase RsbU, regulator of sigma subunit",
NATL2_00111,PMN2A_RS00070,PMN2A_1339,0.492,0.144,0.902,0.641,1.322,-2.156***,argH,argininosuccinate lyase,Argininosuccinate lyase (EC 4.3.2.1),
NATL2_00121,PMN2A_RS00075,PMN2A_1340,0.694***,1.745***,2.312***,0.681,0.977***,1.576***,ssb,RNA-binding protein,Single-stranded DNA-binding protein,
NATL2_00131,PMN2A_RS00080,PMN2A_1341,0.026,0.659,3.283***,-0.276,0.312,0.173,,tRNA-dihydrouridine synthase A,tRNA dihydrouridine synthase A,
NATL2_00141,PMN2A_RS00085,PMN2A_1342,-0.063,-1.319***,-4.857***,0.222,-0.294,-0.091,msrB,methionine sulfoxide reductase B,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12),
NATL2_00151,PMN2A_RS00090,PMN2A_1343,1.545***,0.939***,3.099***,1.403***,0.304,2.209***,grpE,protein GrpE,Heat shock protein GrpE,
NATL2_00161,PMN2A_RS00095,PMN2A_1344,1.116***,0.129,3.472***,0.508,0.176,2.19***,dnaJ,molecular chaperone DnaJ,Chaperone protein DnaJ,
NATL2_00171,PMN2A_RS00100,PMN2A_1345,0.974,4.517***,4.165***,1.507,0.474,2.451***,,hypothetical protein,FIG00940904: hypothetical protein,
NATL2_00191,PMN2A_RS00110,PMN2A_1347,-0.234,-1.922***,-5.824***,0.168,-0.437,-1.299***,,nucleoid-associated protein,FIG00940521: hypothetical protein,
