RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster,resolved_locus_tag,resolution_method
2,MIT1002_0002 ,contig00001_998_213,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8),Y,,coculture_LD,MIT1002_04007,tier1:Locus ID
7,MIT1002_0007 ,contig00001_3963_2851,hypothetical protein,Y,,coculture_LD,MIT1002_04003,tier1:Locus ID
10,MIT1002_0010 ,contig00001_4467_6419,Glutathione-regulated potassium-efflux system ATP-binding protein,Y,,coculture_LD,MIT1002_04001,tier1:Locus ID
11,MIT1002_0011 ,contig00001_6406_6909,hypothetical protein,Y,,coculture_LD,MIT1002_04000,tier1:Locus ID
12,MIT1002_0012 ,contig00001_6930_7964,"Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase",Y,,coculture_LD,MIT1002_03999,tier1:Locus ID
16,MIT1002_0016 ,contig00001_9613_11238,Glucans biosynthesis protein G precursor,Y,,coculture_LD,MIT1002_03996,tier1:Locus ID
24,MIT1002_0024 ,contig00001_18708_19763,Arylsulfatase (EC 3.1.6.1),Y,,coculture_LD,MIT1002_03988,tier1:Locus ID
32,MIT1002_0032 ,contig00001_26504_25878,General secretion pathway protein H,Y,,coculture_LD,MIT1002_03980,tier1:Locus ID
46,MIT1002_0046 ,contig00001_44943_44038,"Phosphoribulokinase (EC 2.7.1.19) homolog, function unknown",Y,,coculture_LD,MIT1002_03965,tier1:Locus ID
59,MIT1002_0057 ,contig00001_56191_57810,amidotransferase-related protein,Y,,coculture_LD,MIT1002_03954,tier1:Locus ID
63,MIT1002_0061 ,contig00001_60824_60531,hypothetical protein,Y,,coculture_LD,MIT1002_03950,tier1:Locus ID
64,MIT1002_0062 ,contig00001_61676_61047,Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),Y,,coculture_LD,MIT1002_03949,tier1:Locus ID
65,MIT1002_0063 ,contig00001_61818_61669,Zn-ribbon protein,Y,,coculture_LD,MIT1002_03948,tier1:Locus ID
66,MIT1002_0064 ,contig00001_62047_62334,hypothetical protein,Y,,coculture_LD,ALT831_RS19425,tier1:Locus ID
68,MIT1002_0066 ,contig00001_64690_64953,hypothetical protein,Y,,coculture_LD,MIT1002_03946,tier1:Locus ID
69,MIT1002_0067 ,contig00001_65446_65006,hypothetical protein,Y,,coculture_LD,MIT1002_03945,tier1:Locus ID
70,MIT1002_0068 ,contig00001_66641_65697,hypothetical protein,Y,,coculture_LD,MIT1002_03944,tier1:Locus ID
74,MIT1002_0072 ,contig00001_69342_68902,3-dehydroquinate dehydratase II (EC 4.2.1.10),Y,,coculture_LD,MIT1002_03941,tier1:Locus ID
98,MIT1002_0097 ,contig00001_100777_100595,hypothetical protein,Y,,coculture_LD,MIT1002_03918,tier1:Locus ID
111,MIT1002_0111 ,contig00001_116918_118828,Biosynthetic arginine decarboxylase (EC 4.1.1.19),Y,,coculture_LD,MIT1002_03905,tier1:Locus ID
113,MIT1002_0113 ,contig00001_120320_121762,ADA regulatory protein,Y,,coculture_LD,MIT1002_03903,tier1:Locus ID
116,MIT1002_0116 ,contig00001_124682_123261,GGDEF domain protein,Y,,coculture_LD,MIT1002_03900,tier1:Locus ID
133,MIT1002_0133 ,contig00001_146238_145672,hypothetical protein,Y,,coculture_LD,MIT1002_03884,tier1:Locus ID
134,MIT1002_0134 ,contig00001_146788_146261,Cytochrome B561,Y,,coculture_LD,MIT1002_03883,tier1:Locus ID
138,MIT1002_0138 ,contig00001_148740_149174,hypothetical protein,Y,,coculture_LD,MIT1002_03879,tier1:Locus ID
146,MIT1002_0146 ,contig00001_156190_157029,hypothetical protein,Y,,coculture_LD,MIT1002_03871,tier1:Locus ID
147,MIT1002_0147 ,contig00001_157019_157540,hypothetical protein,Y,,coculture_LD,MIT1002_03870,tier1:Locus ID
163,MIT1002_0163 ,contig00001_175125_174949,hypothetical protein,Y,,coculture_LD,,unresolved
179,MIT1002_0179 ,contig00001_195936_197423,Na+/H+ antiporter NhaC,Y,,coculture_LD,MIT1002_03839,tier1:Locus ID
220,MIT1002_0220 ,contig00001_248282_247809,Zinc uptake regulation protein ZUR,Y,,coculture_LD,MIT1002_03799,tier1:Locus ID
233,MIT1002_0233 ,contig00001_261075_262226,HflK protein,Y,,coculture_LD,MIT1002_03786,tier1:Locus ID
236,MIT1002_0236 ,contig00001_265222_266301,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)",Y,,coculture_LD,MIT1002_03783,tier1:Locus ID
237,MIT1002_0237 ,contig00001_266395_266796,hypothetical protein,Y,,coculture_LD,MIT1002_03782,tier1:Locus ID
238,MIT1002_0238 ,contig00001_266939_267823,conserved hypothetical protein,Y,,coculture_LD,MIT1002_03781,tier1:Locus ID
239,MIT1002_0239 ,contig00001_267975_269615,Acetolactate synthase large subunit (EC 2.2.1.6),Y,,coculture_LD,MIT1002_03780,tier1:Locus ID
240,MIT1002_0240 ,contig00001_269648_271078,Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),Y,,coculture_LD,MIT1002_03779,tier1:Locus ID
243,MIT1002_0242 ,contig00001_271687_272439,3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64),Y,,coculture_LD,MIT1002_03777,tier1:Locus ID
249,MIT1002_0248 ,contig00001_277347_276439,Homocysteine S-methyltransferase (EC 2.1.1.10),Y,,coculture_LD,MIT1002_03772,tier1:Locus ID
250,MIT1002_0249 ,contig00001_278547_277375,"Transcriptional regulator FrcR for fructose utilization, ROK family",Y,,coculture_LD,MIT1002_03771,tier1:Locus ID
252,MIT1002_0251 ,contig00001_280478_279903,Translation elongation factor P-related protein,Y,,coculture_LD,MIT1002_03769,tier1:Locus ID
253,MIT1002_0252 ,contig00001_282266_280581,ATP-dependent DNA ligase (EC 6.5.1.1) LigC,Y,,coculture_LD,MIT1002_03768,tier1:Locus ID
254,MIT1002_0253 ,contig00001_283282_282266,mRNA 3-end processing factor,Y,,coculture_LD,MIT1002_03767,tier1:Locus ID
255,MIT1002_0254 ,contig00001_284405_283557,hypothetical protein,Y,,coculture_LD,MIT1002_03766,tier1:Locus ID
257,MIT1002_0256 ,contig00001_286040_288673,FIG003033: Helicase domain protein,Y,,coculture_LD,MIT1002_03764,tier1:Locus ID
258,MIT1002_0257 ,contig00001_288714_289418,FIG006285: hypothetical protein,Y,,coculture_LD,MIT1002_03763,tier1:Locus ID
283,MIT1002_0282 ,contig00002_34613_35050,hypothetical protein,Y,,coculture_LD,MIT1002_01210,tier1:Locus ID
298,MIT1002_0297 ,contig00002_51471_51596,hypothetical protein,Y,,coculture_LD,MIT1002_01226,tier1:Locus ID
301,MIT1002_0300 ,contig00002_53374_54471,Chorismate synthase (EC 4.2.3.5),Y,,coculture_LD,MIT1002_01229,tier1:Locus ID
307,MIT1002_0305 ,contig00002_61535_60954,Superoxide dismutase [Fe] (EC 1.15.1.1),Y,,coculture_LD,MIT1002_01234,tier1:Locus ID
333,MIT1002_0330 ,contig00002_87635_89017,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",Y,,coculture_LD,MIT1002_01260,tier1:Locus ID
334,MIT1002_0331 ,contig00002_89114_91129,Excinuclease ABC subunit B,Y,,coculture_LD,MIT1002_01261,tier1:Locus ID
349,MIT1002_0346 ,contig00002_108004_106499,Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter,Y,,coculture_LD,MIT1002_01275,tier1:Locus ID
367,MIT1002_0364 ,contig00002_133821_134348,Phosphohistidine phosphatase SixA,Y,,coculture_LD,MIT1002_01292,tier1:Locus ID
376,MIT1002_0374 ,contig00002_147346_147738,hypothetical protein,Y,,coculture_LD,MIT1002_01301,tier1:Locus ID
377,MIT1002_0375 ,contig00002_147773_149029,Lysophospholipase (EC 3.1.1.5),Y,,coculture_LD,MIT1002_01302,tier1:Locus ID
378,MIT1002_0376 ,contig00002_152352_149236,RND multidrug efflux transporter; Acriflavin resistance protein,Y,,coculture_LD,MIT1002_01303,tier1:Locus ID
379,MIT1002_0377 ,contig00002_153403_152345,Probable Co/Zn/Cd efflux system membrane fusion protein,Y,,coculture_LD,MIT1002_01304,tier1:Locus ID
380,MIT1002_0378 ,contig00002_155343_153535,Lipid A export ATP-binding/permease protein MsbA,Y,,coculture_LD,MIT1002_01305,tier1:Locus ID
388,MIT1002_0385 ,contig00002_159184_159813,hypothetical protein,Y,,coculture_LD,MIT1002_01312,tier1:Locus ID
392,MIT1002_0389 ,contig00002_164614_163433,Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51),Y,,coculture_LD,MIT1002_01316,tier1:Locus ID
397,MIT1002_0394 ,contig00002_168615_169055,hypothetical protein,Y,,coculture_LD,MIT1002_01321,tier1:Locus ID
400,MIT1002_0397 ,contig00002_171950_173347,Putative sensor-like histidine kinase YfhK,Y,,coculture_LD,MIT1002_01324,tier1:Locus ID
403,MIT1002_0400 ,contig00002_175842_175357,FOG: GGDEF domain,Y,,coculture_LD,MIT1002_01327,tier1:Locus ID
407,MIT1002_0405 ,contig00002_179270_179788,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),Y,,coculture_LD,MIT1002_01331,tier1:Locus ID
417,MIT1002_0415 ,contig00002_188137_189174,Quinolinate synthetase (EC 2.5.1.72),Y,,coculture_LD,MIT1002_01344,tier1:Locus ID
435,MIT1002_0433 ,contig00002_208542_209156,"Transcriptional regulator, TetR family",Y,,coculture_LD,MIT1002_01361,tier1:Locus ID
439,MIT1002_0437 ,contig00002_216764_215616,Membrane fusion protein of RND family multidrug efflux pump,Y,,coculture_LD,MIT1002_01365,tier1:Locus ID
444,MIT1002_0442 ,contig00002_221924_222304,hypothetical protein,Y,,coculture_LD,MIT1002_01370,tier1:Locus ID
445,MIT1002_0443 ,contig00002_223719_222322,Asparaginyl-tRNA synthetase (EC 6.1.1.22),Y,,coculture_LD,MIT1002_01371,tier1:Locus ID
446,MIT1002_0444 ,contig00002_224045_224533,hypothetical protein,Y,,coculture_LD,MIT1002_01372,tier1:Locus ID
