RAST_region_ID,1hr extended darkness (dark/diel),5hr extended darkness (dark/diel),RAST_Annotation,resolved_locus_tag,resolution_method
contig00001_17088_18476,-3.75,-1.11,Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24),MIT1002_03989,tier1:RAST_region_ID
contig00001_49601_48309,-0.78,-0.64,Phosphoribosylamine--glycine ligase (EC 6.3.4.13),MIT1002_03961,tier1:RAST_region_ID
contig00001_56191_57810,-2.01,-1.5,amidotransferase-related protein,MIT1002_03954,tier1:RAST_region_ID
contig00001_66641_65697,-2.54,-1.27,hypothetical protein,MIT1002_03944,tier1:RAST_region_ID
contig00001_72457_70571,-1.29,-1.08,"Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)",MIT1002_03939,tier1:RAST_region_ID
contig00001_100777_100595,-2.22,-2.82,hypothetical protein,MIT1002_03918,tier1:RAST_region_ID
contig00001_150259_150675,-1.29,-0.63,Hypothetical protein YaeJ with similarity to translation release factor,MIT1002_03877,tier1:RAST_region_ID
contig00001_209146_206783,1.71,1.95,TonB-dependent receptor,MIT1002_03834,tier1:RAST_region_ID
contig00001_247819_247355,-1.63,-1.14,Chemotaxis protein CheX,MIT1002_03800,tier1:RAST_region_ID
contig00001_248282_247809,-1.07,-1.12,Zinc uptake regulation protein ZUR,MIT1002_03799,tier1:RAST_region_ID
contig00001_265222_266301,-2.01,-0.82,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)",MIT1002_03783,tier1:RAST_region_ID
contig00001_266395_266796,-2.64,-1.5,hypothetical protein,MIT1002_03782,tier1:RAST_region_ID
contig00001_277347_276439,-1.44,-1.21,Homocysteine S-methyltransferase (EC 2.1.1.10),MIT1002_03772,tier1:RAST_region_ID
contig00001_288714_289418,-1.7,-3.13,FIG006285: hypothetical protein,MIT1002_03763,tier1:RAST_region_ID
contig00002_34613_35050,-1.8,-1.22,hypothetical protein,MIT1002_01210,tier1:RAST_region_ID
contig00002_87635_89017,-2.3,-1.56,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",MIT1002_01260,tier1:RAST_region_ID
contig00002_134470_134664,-2.28,-2.32,hypothetical protein,MIT1002_01293,tier1:RAST_region_ID
contig00002_152352_149236,-1.04,-1.28,RND multidrug efflux transporter,MIT1002_01303,tier1:RAST_region_ID
contig00002_153403_152345,-2.05,-1.49,Probable Co/Zn/Cd efflux system membrane fusion protein,MIT1002_01304,tier1:RAST_region_ID
contig00002_155343_153535,-1.65,-1.12,Lipid A export ATP-binding/permease protein MsbA,MIT1002_01305,tier1:RAST_region_ID
contig00002_198264_197140,0.65,0.52,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),MIT1002_01352,tier1:RAST_region_ID
contig00002_225685_224717,-1.46,-0.83,"Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter",MIT1002_01373,tier1:RAST_region_ID
contig00002_236678_235956,-1.71,-1.57,Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),MIT1002_01383,tier1:RAST_region_ID
contig00002_247093_245273,-1.96,-1.32,Lipid A export ATP-binding/permease protein MsbA,MIT1002_01394,tier1:RAST_region_ID
contig00003_2424_3329,-2.16,-0.99,hypothetical protein,MIT1002_00911,tier1:RAST_region_ID
contig00003_7304_8407,-3.09,-1.56,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,MIT1002_00915,tier1:RAST_region_ID
contig00003_129951_129796,-1.29,-0.68,hypothetical protein,MIT1002_01025,tier1:RAST_region_ID
contig00004_54412_53615,-1.77,-0.76,Zn-dependent protease with chaperone function PA4632,MIT1002_03052,tier1:RAST_region_ID
