original_rast_id,genbank_id,assembly_coordinates
fig|226.6.peg.1,MIT1002_0001 ,contig00001_48_170 
fig|226.6.peg.2,MIT1002_0002 ,contig00001_998_213 
fig|226.6.peg.3,MIT1002_0003 ,contig00001_1196_2128 
fig|226.6.peg.4,MIT1002_0004 ,contig00001_2138_2386 
fig|226.6.peg.5,MIT1002_0005 ,contig00001_2496_2383 
fig|226.6.peg.6,MIT1002_0006 ,contig00001_2670_2828 
fig|226.6.peg.7,MIT1002_0007 ,contig00001_3963_2851 
fig|226.6.peg.8,MIT1002_0008 ,contig00001_3955_4077 
fig|226.6.peg.9,MIT1002_0009 ,contig00001_4348_4142 
fig|226.6.peg.10,MIT1002_0010 ,contig00001_4467_6419 
fig|226.6.peg.11,MIT1002_0011 ,contig00001_6406_6909 
fig|226.6.peg.12,MIT1002_0012 ,contig00001_6930_7964 
fig|226.6.peg.13,MIT1002_0013 ,contig00001_8013_8249 
fig|226.6.peg.14,MIT1002_0014 ,contig00001_8857_8303 
fig|226.6.peg.15,MIT1002_0015 ,contig00001_8991_8878 
fig|226.6.peg.16,MIT1002_0016 ,contig00001_9613_11238 
fig|226.6.peg.17,MIT1002_0017 ,contig00001_11219_13210 
fig|226.6.peg.18,MIT1002_0018 ,contig00001_13910_13326 
fig|226.6.peg.19,MIT1002_0019 ,contig00001_14883_14038 
fig|226.6.peg.20,MIT1002_0020 ,contig00001_15450_14887 
fig|226.6.peg.21,MIT1002_0021 ,contig00001_15522_16235 
fig|226.6.peg.22,MIT1002_0022 ,contig00001_16262_16807 
fig|226.6.peg.23,MIT1002_0023 ,contig00001_17088_18476 
fig|226.6.peg.24,MIT1002_0024 ,contig00001_18708_19763 
fig|226.6.peg.25,MIT1002_0025 ,contig00001_21255_19822 
fig|226.6.peg.26,MIT1002_0026 ,contig00001_22110_21355 
fig|226.6.peg.27,MIT1002_0027 ,contig00001_22586_22107 
fig|226.6.peg.28,MIT1002_0028 ,contig00001_23782_22583 
fig|226.6.peg.29,MIT1002_0029 ,contig00001_24828_23782 
fig|226.6.peg.30,MIT1002_0030 ,contig00001_25451_24825 
fig|226.6.peg.31,MIT1002_0031 ,contig00001_25881_25453 
fig|226.6.peg.32,MIT1002_0032 ,contig00001_26504_25878 
fig|226.6.peg.33,MIT1002_0033 ,contig00001_26947_26510 
fig|226.6.peg.34,MIT1002_0034 ,contig00001_28173_26947 
fig|226.6.peg.35,MIT1002_0035 ,contig00001_29739_28174 
fig|226.6.peg.36,MIT1002_0036 ,contig00001_31792_29741 
fig|226.6.peg.37,MIT1002_0037 ,contig00001_32805_31888 
fig|226.6.peg.38,MIT1002_0038 ,contig00001_32935_33339 
fig|226.6.peg.39,MIT1002_0039 ,contig00001_33363_34262 
fig|226.6.peg.40,MIT1002_0040 ,contig00001_34708_36270 
fig|226.6.peg.41,MIT1002_0041 ,contig00001_36489_38912 
fig|226.6.peg.42,MIT1002_0042 ,contig00001_39054_40226 
fig|226.6.peg.43,MIT1002_0043 ,contig00001_41572_40253 
fig|226.6.peg.44,MIT1002_0044 ,contig00001_42430_41708 
fig|226.6.peg.45,MIT1002_0045 ,contig00001_43883_42738 
fig|226.6.peg.46,MIT1002_0046 ,contig00001_44943_44038 
fig|226.6.peg.47,MIT1002_0047 ,contig00001_46001_45066 
fig|226.6.peg.48,MIT1002_0048 ,contig00001_46159_46920 
fig|226.6.peg.49,MIT1002_0049 ,contig00001_47842_47090 
fig|226.6.peg.50,MIT1002_0050 ,contig00001_49601_48309 
fig|226.6.peg.51,MIT1002_0051 ,contig00001_50444_49629 
fig|226.6.peg.52,MIT1002_0052 ,contig00001_52399_50756 
fig|226.6.peg.53,MIT1002_0053 ,contig00001_52730_52437 
fig|226.6.peg.54,MIT1002_0054 ,contig00001_53759_52761 
fig|226.6.peg.55,MIT1002_0055 ,contig00001_55008_54130 
fig|226.6.peg.56,MIT1002_0056 ,contig00001_55300_56061 
fig|226.6.peg.57,MIT1002_0057 ,contig00001_56191_57810 
fig|226.6.peg.58,MIT1002_0058 ,contig00001_58151_58939 
fig|226.6.peg.59,MIT1002_0059 ,contig00001_58951_59712 
fig|226.6.peg.60,MIT1002_0060 ,contig00001_59709_60347 
fig|226.6.peg.61,MIT1002_0061 ,contig00001_60824_60531 
fig|226.6.peg.62,MIT1002_0062 ,contig00001_61676_61047 
fig|226.6.peg.63,MIT1002_0063 ,contig00001_61818_61669 
fig|226.6.peg.64,MIT1002_0064 ,contig00001_62047_62334 
fig|226.6.peg.65,MIT1002_0065 ,contig00001_62452_64587 
fig|226.6.peg.66,MIT1002_0066 ,contig00001_64690_64953 
fig|226.6.peg.67,MIT1002_0067 ,contig00001_65446_65006 
fig|226.6.peg.68,MIT1002_0068 ,contig00001_66641_65697 
fig|226.6.peg.69,MIT1002_0069 ,contig00001_67037_66873 
fig|226.6.peg.70,MIT1002_0070 ,contig00001_68408_67065 
fig|226.6.peg.71,MIT1002_0071 ,contig00001_68887_68423 
fig|226.6.peg.72,MIT1002_0072 ,contig00001_69342_68902 
fig|226.6.peg.73,MIT1002_0073 ,contig00001_70614_69646 
fig|226.6.peg.74,MIT1002_0074 ,contig00001_72457_70571 
fig|226.6.peg.75,MIT1002_0075 ,contig00001_72835_72521 
fig|226.6.peg.76,MIT1002_0076 ,contig00001_73050_73574 
fig|226.6.peg.77,MIT1002_0077 ,contig00001_73852_74142 
fig|226.6.peg.78,MIT1002_0078 ,contig00001_74183_75820 
fig|226.6.peg.79,MIT1002_0079 ,contig00001_82040_75903 
fig|226.6.peg.80,MIT1002_0080 ,contig00001_85072_82139 
fig|226.6.peg.81,MIT1002_0081 ,contig00001_86542_85220 
fig|226.6.peg.82,MIT1002_0082 ,contig00001_87285_86542 
fig|226.6.peg.83,MIT1002_0083 ,contig00001_87802_88209 
fig|226.6.peg.84,MIT1002_0084 ,contig00001_88360_89301 
fig|226.6.peg.85,MIT1002_0085 ,contig00001_89304_91292 
fig|226.6.peg.86,MIT1002_0086 ,contig00001_91289_91906 
fig|226.6.peg.87,MIT1002_0087 ,contig00001_91906_92277 
fig|226.6.peg.88,MIT1002_0088 ,contig00001_92474_93370 
fig|226.6.peg.89,MIT1002_0089 ,contig00001_94011_93499 
fig|226.6.peg.91,MIT1002_0091 ,contig00001_94198_94479 
fig|226.6.peg.92,MIT1002_0092 ,contig00001_95319_94573 
fig|226.6.peg.93,MIT1002_0093 ,contig00001_96601_95495 
fig|226.6.peg.94,MIT1002_0094 ,contig00001_97133_96594 
fig|226.6.peg.95,MIT1002_0095 ,contig00001_97474_97307 
fig|226.6.peg.96,MIT1002_0096 ,contig00001_97473_100559 
fig|226.6.peg.97,MIT1002_0097 ,contig00001_100777_100595 
fig|226.6.peg.98,MIT1002_0098 ,contig00001_103269_100942 
