NCBI ID,NCBI ID_2,NCBI ID_3,Gene Name,Annotation,"Consistently in extended darkness axenic cultures, 72-144 hours","Consistently in extended darkness co-cultures, 72-144 hours",Unique to axenic cultures,Unique to co-cultures,darkness_cluster,resolved_locus_tag,resolution_method
NATL2_00021,PMN2A_RS00025,PMN2A_1330,,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)",X,,X,,darkness_axenic+unique_axenic,PMN2A_1330,tier1:NCBI ID_2
NATL2_00121,PMN2A_RS00075,PMN2A_1340,,Single-stranded DNA-binding protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1340,tier1:NCBI ID_2
NATL2_00151,PMN2A_RS00090,PMN2A_1343,grpE,Heat shock protein GrpE,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1343,tier1:NCBI ID_2
NATL2_00221,PMN2A_RS00125,PMN2A_1350,gapA,NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),X,,X,,darkness_axenic+unique_axenic,PMN2A_1350,tier1:NCBI ID_2
NATL2_00331,PMN2A_RS00180,PMN2A_1361,spt,Serine--glyoxylate aminotransferase (EC 2.6.1.45),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1361,tier1:NCBI ID_2
NATL2_00661,,PMN2A_1392,,hypothetical protein,X,,X,,darkness_axenic+unique_axenic,,empty
NATL2_00961,PMN2A_RS00460,PMN2A_1906,,hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,,unresolved
NATL2_01021,PMN2A_RS00485,PMN2A_1420,,Chromosome segregation ATPase,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1420,tier1:NCBI ID_2
NATL2_01051,PMN2A_RS00505,PMN2A_1423,accC,Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1423,tier1:NCBI ID_2
NATL2_01081,PMN2A_RS00520,PMN2A_1426,,FIG00940178: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_1426,tier1:NCBI ID_2
NATL2_01181,PMN2A_RS00570,PMN2A_1436,sufB,Iron-sulfur cluster assembly protein SufB,,X,,X,darkness_coculture+unique_coculture,PMN2A_1436,tier1:NCBI ID_2
