Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1580213	RefSeq	NC_005071.1	2356158	2357453	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
1580213	RefSeq	NZ_CP138943.1	2439461	2440756	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. MIT 1313	MIT 1313	GCF_047303155.1
1580213	RefSeq	NZ_CP138944.1	680282	681577	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. MIT 1312	MIT 1312	GCF_047303165.1
1580213	RefSeq	NZ_CP138946.1	680457	681752	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. MIT 1227	MIT 1227	GCF_047303345.1
1580213	RefSeq	NZ_CP138947.1	2321907	2323202	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. MIT 1201	MIT 1201	GCF_047303415.1
1580213	RefSeq	NZ_CP138958.1	617150	618445	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. MIT 1318	MIT 1318	GCF_047304505.1
1580213	RefSeq	NZ_CP138972.1	276806	278101	+	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. MIT 1327	MIT 1327	GCF_047304785.1
1580213	RefSeq	NZ_JABBYP010000045.1	128952	130247	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. P1361	150NLHA	GCF_012933585.1
1580213	RefSeq	NZ_JABBYQ010000064.1	93950	95245	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp.P1363	150SLHA	GCF_012933595.1
1580213	RefSeq	NZ_JABBYR010000087.1	93956	95251	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. P1344	150SLHB	GCF_012933605.1
1580213	RefSeq	NZ_LVHM01000050.1	128121	129416	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCF_001632005.1
1580213	RefSeq	NZ_LVHN01000013.1	608596	609891	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCF_001632065.1
1580213	RefSeq	NZ_LVHO01000027.1	203749	205044	+	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCF_001632045.1
1580213	RefSeq	NZ_LVHR01000034.1	580362	581657	-	WP_011131593.1	urea ABC transporter substrate-binding protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCF_001632125.1
1580213	INSDC	BX548175.1	2356158	2357453	-	CAE22403.1	putative urea ABC transporter, substrate binding protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
1580213	INSDC	CATFFZ010000023.1	1288	2583	+	CAI8203851.1	Aliphatic amidase expression-regulating protein	Prochlorococcus marinus str. MIT 9313	MIT 9313	GCA_949511955.1
1580213	INSDC	LVHM01000050.1	128121	129416	-	KZR64766.1	Aliphatic amidase expression-regulating protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCA_001632005.1
1580213	INSDC	LVHN01000013.1	608596	609891	-	KZR68880.1	Aliphatic amidase expression-regulating protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCA_001632065.1
1580213	INSDC	LVHO01000027.1	203749	205044	+	KZR70881.1	Aliphatic amidase expression-regulating protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCA_001632045.1
1580213	INSDC	LVHR01000034.1	580362	581657	-	KZR79331.1	Aliphatic amidase expression-regulating protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCA_001632125.1
1580213	INSDC	JAKUPE010000005.1	29858	31153	+	MCH2565192.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. ALOHA_A2.0_51		GCA_022450905.1
1580213	INSDC	JAZAJA010000419.1	1276	2571	-	MED5469601.1	urea ABC transporter substrate-binding protein	Cyanobacteriota bacterium		GCA_036230525.1
1580213	INSDC	JABBYR010000087.1	93956	95251	-	NMO84957.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. P1344	150SLHB	GCA_012933605.1
1580213	INSDC	JABBYP010000045.1	128952	130247	-	NMP07258.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp. P1361	150NLHA	GCA_012933585.1
1580213	INSDC	JABBYQ010000064.1	93950	95245	-	NMP14599.1	urea ABC transporter substrate-binding protein	Prochlorococcus sp.P1363	150SLHA	GCA_012933595.1
