function category,Gene Name,Gene ID,Score,Log2 fold change,resolved_locus_tag,resolution_method
Phosphate acquisition,SYNW1019,possible transcriptional regulator ,15.38,1.32,SYNW1019,locus_tag:Gene Name
Phosphate acquisition,SYNW1018,ABC transporter substrate binding protein phosphate,12.26,2.54,SYNW1018,locus_tag:Gene Name
Phosphate acquisition,SYNW2390,putative alkaline phosphatase/5'nucleotidase,11.01,2.64,SYNW2390,locus_tag:Gene Name
Phosphate acquisition,SYNW0196,putative alkaline phosphatase,7.76,1.84,SYNW0196,locus_tag:Gene Name
Phosphate acquisition,SYNW2391,putative alkaline phosphatase,7.6,2.18,SYNW2391,locus_tag:Gene Name
Phosphate acquisition,SYNW0762,"conserved hypothetical, possible phytase",6.12,1.46,SYNW0762,locus_tag:Gene Name
Phosphate acquisition,SYNW1271,putative phosphate ABC transporter,5.6,0.57,SYNW1271,locus_tag:Gene Name
Phosphate acquisition,SYNW1286,ABC transporter substrate binding protein component possibly phosphate,5.33,0.5,SYNW1286,locus_tag:Gene Name
Phosphate acquisition,SYNW1815,ABC transporter substrate binding protein phosphate,4.84,0.68,SYNW1815,locus_tag:Gene Name
Phosphate acquisition,SYNW1270,putative phosphate ABC transporter,4.78,0.31,SYNW1270,locus_tag:Gene Name
Phosphate acquisition,SYNW1946,PhoH family protein,3.84,0.7,SYNW1946,locus_tag:Gene Name
Zinc transport,SYNW2480,ABC transporter ATP binding component possibly zinc transport,13.04,1.95,SYNW2480,locus_tag:Gene Name
Zinc transport,SYNW2479,ABC transporter component possibly Zn transport,6.09,1.58,SYNW2479,locus_tag:Gene Name
Zinc transport,SYNW2481,putative zinc transport system substrate-binding protein ,4.93,1.14,SYNW2481,locus_tag:Gene Name
Transporters,SYNW0800,multidrug efflux transporter MFS family,7.37,0.42,SYNW0800,locus_tag:Gene Name
Transporters,SYNW0958,similar to leukotoxin secretion protein ,6.16,1.23,SYNW0958,locus_tag:Gene Name
Transporters,SYNW0959,putative multidrug efflux  ABC transporter ,4.9,0.61,SYNW0959,locus_tag:Gene Name
Transporters,SYNW1683,putative ABC transporter oligopeptides,4.6,0.21,SYNW1683,locus_tag:Gene Name
Transporters,SYNW2486,putative cyanate ABC transporter,4.54,0.39,SYNW2486,locus_tag:Gene Name
Transporters,SYNW2485,putative cyanate ABC transporter,4.04,0.34,SYNW2485,locus_tag:Gene Name
Transporters,SYNW0620,possible ABC transporter involved in polysaccharide efflux,3.58,0.22,SYNW0620,locus_tag:Gene Name
Transporters,SYNW2455,sodium:solute transporter family possible urea transporter,3.45,0.38,SYNW2455,locus_tag:Gene Name
Proteases,SYNW1083,possible Zn-dependent peptidase,9.11,0.38,SYNW1083,locus_tag:Gene Name
Proteases,SYNW2409,putative hemolysin-type calcium-binding protein; similar to HlyA,7.21,1.07,SYNW2409,locus_tag:Gene Name
Proteases,SYNW2304,possible secreted protease,4.62,1.06,SYNW2304,locus_tag:Gene Name
Proteases,SYNW1099,putative peptidase U32 family protein,3.57,0.26,SYNW1099,locus_tag:Gene Name
Proteases,SYNW0787,putative type 4 prepilin peptidase,3.35,0.36,SYNW0787,locus_tag:Gene Name
Glycosyltransferases,SYNW0460,Putative glycosyltransferase family 4 protein,10.17,0.55,SYNW0460,locus_tag:Gene Name
Glycosyltransferases,SYNW0455,Possible glycosyltransferase,8.56,0.85,SYNW0455,locus_tag:Gene Name
Glycosyltransferases,SYNW0456,Possible glycosyltransferase ,8.41,1.27,SYNW0456,locus_tag:Gene Name
Glycosyltransferases,SYNW0458,possible glycosyltransferase group I,5.64,0.69,SYNW0458,locus_tag:Gene Name
Glycosyltransferases,SYNW0453,Possible glycosyltransferase ,4.11,0.75,SYNW0453,locus_tag:Gene Name
Glycosyltransferases,SYNW0175,Possible glycosyltransferase ,4.07,0.37,SYNW0175,locus_tag:Gene Name
Glycosyltransferases,SYNW0645,putative glycosyltransferase family 2 protein,4.06,0.41,SYNW0645,locus_tag:Gene Name
Glycosyltransferases,SYNW0454,Possible glycosyltransferase ,3.86,0.61,SYNW0454,locus_tag:Gene Name
