,Table S2.  List of significantly down-regulated genes in WH8102 when grown with V. parahaemolyticus compared to WH8102 monocultures.  Higher absolute scores from the SAM analysis reflect stronger statistical significance.  Genes are grouped based on their probable function.,,,
,,,,
function category,Gene Name,Gene ID,Score,Log2 fold change
Transporters,SYNW0319,ABC transporter membrane component,-7.14,-0.96
Transporters,SYNW1299,possible  ABC transporter  ,-5.87,-0.39
Transporters,SYNW0329,ABC transporter ATP binding protein,-5.79,-0.63
Transporters,SYNW0320,ABC transporter ATP-binding component,-5.44,-0.82
Transporters,SYNW2234,possible ABC transporter ATP-binding component,-5.08,-1.61
Transporters,SYNW0086,preprotein translocase SecA subunit ,-4.67,-0.42
Transporters,SYNW2175,ABC transporter ATP binding component ,-4.4,-0.24
Transporters,SYNW0211,possible ABC transporter ATP-binding component,-4.25,-0.22
Transporters,SYNW0706,possible multidrug efflux transporter MFS family,-4,-0.29
Transporters,SYNW1114,possible heme transporter,-3.96,-0.73
Transporters,SYNW1874,possible ABC transporter ATP binding protein ,-3.81,-0.35
Transporters,SYNW2463,nitrate transporter MFS family,-3.54,-0.73
Transporters,SYNW0321,ABC transporter membrane component,-3.24,-0.4
Transporters,SYNW1023,ABC transporter multidrug efflux family,-3.23,-0.34
Transporters,SYNW0664,multidrug efflux transporter MFS family,-3.1,-0.52
Transporters,SYNW1839,protein secretion component Tat family,-3.82,-0.22
Transporters,SYNW2187,putative RND family outer membrane efflux protein,-3.55,-0.41
Transporters,SYNW0507,putative CaCA family calcium/proton exchanger,-3.17,-0.15
,,,,
,,,,
Two-component systems ,SYNW2289,two-component response regulator ,-14.82,-1.42
Two-component systems ,SYNW0808,two-component response regulator ,-6.28,-0.85
Two-component systems ,SYNW2236,two-component response regulator ,-5.67,-0.81
Two-component systems ,SYNW0807,two-component sensor histidine kinase,-4.9,-0.93
,,,,
,,,,
Proteases,SYNW0938,endopeptidase Clp ATP-binding chain C,-7.76,-1.7
Proteases,SYNW1649,ATP-dependent Clp protease proteolytic subunit 3 ,-7.41,-1.34
Proteases,SYNW1648,ATP-dependent Clp protease proteolytic subunit  4,-6.83,-1.54
Proteases,SYNW2176,possible serine protease,-6.52,-1.16
Proteases,SYNW1503,endopeptidase Clp ATP-binding chain B ,-6.45,-1.41
Proteases,SYNW1300,FtsH ATP-dependent protease homolog,-5.79,-2.18
Proteases,SYNW0064,ATP-dependent Clp protease proteolytic subunit 2,-5.72,-0.87
Proteases,SYNW1884,signal peptide peptidase SppA (protease IV),-4.87,-0.51
Proteases,SYNW1909,Band 7 family protein,-4.82,-0.38
Proteases,SYNW2140,ATP-dependent protease La (LON) domain ,-4.69,-0.8
Proteases,SYNW1627,Possible  peptidase S26 family protein,-3.65,-0.28
Proteases,SYNW0323,putative peptidase ,-3.29,-0.18
Proteases,SYNW1301,ATP-dependent Clp protease proteolytic subunit 1,-3.21,-0.43
Proteases,SYNW1476,possible endolysin,-4.22,-0.42
,,,,
,,,,
Glycosyltransferases,SYNW1089,possible glycosyltransferase,-5.14,-0.18
Glycosyltransferases,SYNW1370,putative glycosyltransferase family 2 ,-3.63,-0.57
,,,,
,,,,
Cell wall biosynthesis,SYNW1843,putative prolipoprotein diacylglyceryl transferase,-5.21,-0.5
Cell wall biosynthesis,SYNW0555,chloroplast outer envelope membrane protein homolog ,-4.52,-0.32
,,,,
,,,,
Amino acid biosynthesis and metabolism,SYNW1075,serine:pyruvate/alanine:glyoxylateaminotransferase,-9.3,-0.74
Amino acid biosynthesis and metabolism,SYNW1238,putative methionine synthase,-9.22,-0.99
Amino acid biosynthesis and metabolism,SYNW2280,Tryptophan synthase betachain:Pyridoxal-5'-phosphate-dependent,-7.33,-0.64
Amino acid biosynthesis and metabolism,SYNW1586,ornithine carbamoyltransferase ,-7.32,-0.91
Amino acid biosynthesis and metabolism,SYNW1073,Glutamine synthetase glutamate--ammonia ligase,-7.21,-0.9
Amino acid biosynthesis and metabolism,SYNW0259,serine hydroxymethyltransferase (SHMT),-7.09,-0.88
Amino acid biosynthesis and metabolism,SYNW0819,dihydrodipicolinate reductase ,-5.08,-0.25
Amino acid biosynthesis and metabolism,SYNW2492,glutamine amidotransferase-phosphoribosylanthranilate transf...,-4.74,-0.28
Amino acid biosynthesis and metabolism,SYNW0936,diaminopimelate decarboxylase ,-4.03,-0.4
Amino acid biosynthesis and metabolism,SYNW0119,putative adenosylhomocysteinase,-3.85,-1.04
Amino acid biosynthesis and metabolism,SYNW1877,aminotransferase ,-3.77,-0.29
Amino acid biosynthesis and metabolism,SYNW0730,2-isopropylmalate synthase ,-3.62,-0.46
Amino acid biosynthesis and metabolism,SYNW1746,acetolactate synthase,-3.46,-0.36
Amino acid biosynthesis and metabolism,SYNW2347,lactoylglutathione lyase ,-3.32,-0.29
Amino acid biosynthesis and metabolism,SYNW2374,Glycine cleavage system P-protein,-3.26,-0.9
Amino acid biosynthesis and metabolism,SYNW1310,3-dehydroquinate synthase,-3.22,-0.23
,,,,
,,,,
Co-factor biosynthesis and metabolism,SYNW1263,"possible GTP cyclohydrolase II /3,4-dihydroxy-2-butanone 4-phosphate synthase",-7.88,-0.59
Co-factor biosynthesis and metabolism,SYNW1316,Quinolinate synthetase A protein,-7.57,-0.62
Co-factor biosynthesis and metabolism,SYNW0816,possible 2-octaprenyl-6-methoxyphenol 4-monoxygenase; UbiH ,-6.75,-1.68
Co-factor biosynthesis and metabolism,SYNW1933,possible delta-aminolevulinic acid dehydratase,-5.84,-0.67
Co-factor biosynthesis and metabolism,SYNW2257,phytoene desaturase,-5.37,-0.45
Co-factor biosynthesis and metabolism,SYNW1734,putative GTP cyclohydrolase I,-4.19,-0.66
Co-factor biosynthesis and metabolism,SYNW1809,"glutamate-1-semialdehyde 2,1-aminomutase",-4.13,-0.4
Co-factor biosynthesis and metabolism,SYNW0929,Lipoic acid synthetase ,-3.72,-0.36
Co-factor biosynthesis and metabolism,SYNW1847,probable 4-hydroxybenzoate-octaprenyl transferase ,-3.6,-0.3
Co-factor biosynthesis and metabolism,SYNW2309,putative glutathione synthetase ,-3.51,-0.27
Co-factor biosynthesis and metabolism,SYNW0140,thiamin biosynthesis protein ,-3.43,-0.49
Co-factor biosynthesis and metabolism,SYNW2468,molybdenum cofactor biosynthesis protein C ,-3.41,-0.18
Co-factor biosynthesis and metabolism,SYNW1240,cobalamin biosynthetic protein CobN,-3.18,-0.46
Co-factor biosynthesis and metabolism,SYNW0822,putative dihydropteroate synthase ,-3.09,-0.19
,,,,
,Nucleotide biosynthesis,,,
,None,,,
,,,,
,,,,
Energy Metabolism,SYNW0939,putative glycerol dehydrogenase ,-5.87,-1.27
Energy Metabolism,SYNW2329,phosphoglycerate kinase ,-5.36,-0.99
Energy Metabolism,SYNW1808,putative glycolate oxidase subunit GlcD ,-4.98,-0.44
Energy Metabolism,SYNW0030,glyceraldehyde 3-phosphate dehydrogenase(NADP+) ,-4.13,-1.21
Energy Metabolism,SYNW1769,inorganic pyrophosphatase ,-3.17,-0.34
Energy Metabolism,SYNW1956,putative aldehyde dehydrogenase ,-3.12,-0.36
,,,,
,,,,
Nitrogen metabolism,SYNW2449,urease alpha subunit ,-4.97,-0.54
Nitrogen metabolism,SYNW2447,urease gamma subunit ,-4.07,-0.55
,,,,
,,,,
Other metabolic functions,SYNW0092,possible carboxymethylenebutenolidase ,-6.09,-0.39
Other metabolic functions,SYNW1368,possible beta-carotene ketolase ,-5.49,-0.58
Other metabolic functions,SYNW0291,beta-carotene hydroxylase,-3.68,-0.53
Other metabolic functions,SYNW0696,fatty acid desaturase type 2,-6.27,-0.61
Other metabolic functions,SYNW2377,Delta-9 fatty acid desaturase ,-6.08,-1.23
Other metabolic functions,SYNW0940,putative 2-hydroxy-6-oxohepta-24-dienoatehydrolase ,-5.13,-0.38
Other metabolic functions,SYNW0227,similar to lignostilbene-alphabeta-dioxygenase and related enzymes ,-4.85,-1.2
Other metabolic functions,SYNW2141,probable sterol-C-methyltransferase,-4.38,-0.62
