gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,resolved_locus_tag,resolution_method
ACZ81_RS00005,-1.1676342937291002,4661.89608143276,0.0002563739205839,0.0026855670218873,RNA,C2vsC1_rna,ACZ81_00005,tier1:gene_id
ACZ81_RS00010,-0.1919899675817803,2059.3914137885563,0.4596645526258777,0.6587436184807651,RNA,C2vsC1_rna,ACZ81_00010,tier1:gene_id
ACZ81_RS00015,0.0193428483736866,557.1271017274662,0.953661914288026,0.9767850495809248,RNA,C2vsC1_rna,ACZ81_00015,tier1:gene_id
ACZ81_RS00020,-0.3452386074130448,3109.651933699262,0.3096850039424178,0.5224156024534888,RNA,C2vsC1_rna,ACZ81_00020,tier1:gene_id
ACZ81_RS00025,0.5280904427783286,160.5452115198893,0.0463401514661493,0.1418128815272243,RNA,C2vsC1_rna,ACZ81_00025,tier1:gene_id
ACZ81_RS00030,0.4727859982464686,2892.2392833721387,0.285577321897636,0.4964128566002138,RNA,C2vsC1_rna,ACZ81_00030,tier1:gene_id
ACZ81_RS00035,0.894200175810099,1662.4070368377895,0.0010566758887864,0.0081246917420545,RNA,C2vsC1_rna,ACZ81_00035,tier1:gene_id
ACZ81_RS00040,-0.2803764865384808,258.53012275560167,0.272565085479934,0.4813077125640384,RNA,C2vsC1_rna,ACZ81_00040,tier1:gene_id
ACZ81_RS00045,-0.8607924189840631,892.2474602287139,0.0095419202921283,0.0435519729374505,RNA,C2vsC1_rna,ACZ81_00045,tier1:gene_id
ACZ81_RS00050,-0.5175543990366156,964.303048675474,0.1088565790283485,0.258727840676383,RNA,C2vsC1_rna,ACZ81_00050,tier1:gene_id
ACZ81_RS00055,0.5608679982300929,424.2322444295289,0.1356260870978783,0.3021258343874818,RNA,C2vsC1_rna,ACZ81_00055,tier1:gene_id
ACZ81_RS00060,0.2007588125605975,3386.553316232701,0.3827780785100099,0.5952347484426975,RNA,C2vsC1_rna,ACZ81_00060,tier1:gene_id
ACZ81_RS00065,-0.9321831369668372,984.317160815007,1.0543641063174311e-05,0.0002045590647772,RNA,C2vsC1_rna,ACZ81_00065,tier1:gene_id
ACZ81_RS00070,1.520318077755017,1441.6967365650412,0.0003706445037998,0.0035831945764939,RNA,C2vsC1_rna,ACZ81_00070,tier1:gene_id
ACZ81_RS00075,-0.1508531893092102,696.7404360344724,0.4066306710261913,0.6177214131605754,RNA,C2vsC1_rna,ACZ81_00075,tier1:gene_id
ACZ81_RS00080,-0.289335875467298,466.4416786304536,0.2483043017941839,0.4534136683659924,RNA,C2vsC1_rna,ACZ81_00080,tier1:gene_id
ACZ81_RS00085,0.6147731519007724,462.5721350081219,0.0124961995032956,0.0532216055278364,RNA,C2vsC1_rna,ACZ81_00085,tier1:gene_id
ACZ81_RS00090,0.2712182191265475,531.7858593561232,0.4938758496023892,0.6885388470527161,RNA,C2vsC1_rna,ACZ81_00090,tier1:gene_id
ACZ81_RS00095,-0.49609248119575,1291.6300194768455,0.0955297404469975,0.2370224605277391,RNA,C2vsC1_rna,ACZ81_00095,tier1:gene_id
ACZ81_RS00100,-0.8113725498811688,5101.493465766092,0.017383538511765,0.0683752514796091,RNA,C2vsC1_rna,ACZ81_00100,tier1:gene_id
ACZ81_RS00105,0.5107052958916325,1556.081876129771,0.2087404631548661,0.4028316770525389,RNA,C2vsC1_rna,ACZ81_00105,tier1:gene_id
ACZ81_RS00110,-0.6603531190735897,613.575593861557,0.0590990816606606,0.168398803709212,RNA,C2vsC1_rna,ACZ81_00110,tier1:gene_id
ACZ81_RS00115,-0.4977719303748675,3014.3512628209605,0.0410084755057776,0.1309920411856529,RNA,C2vsC1_rna,ACZ81_00115,tier1:gene_id
ACZ81_RS00120,-0.6961293639179559,255.4590279754597,0.0272422010311656,0.0961263944916769,RNA,C2vsC1_rna,ACZ81_00120,tier1:gene_id
