gi_id,refseq_protein_id,description,molecular_weight_da,mascot_probability_pct,predicted_localization,vesicle_proteome_member,resolved_locus_tag,resolution_method
33860650,NP_892211.1,serine protease,41841.40,100.0,Periplasmic,true,PMM0090,multi:refseq_protein_id
33860657,NP_892218.1,RND family outer membrane efflux protein,54271.50,100.0,Outer Membrane,true,PMM0097,multi:refseq_protein_id
33860667,NP_892228.1,shikimate kinase,21235.20,98.1,Cytoplasmic,true,PMM0107,multi:refseq_protein_id
33860686,NP_892247.1,hypothetical protein,36882.90,100.0,Cytoplasmic,true,,unresolved
33860730,NP_892291.1,NifS-like aminotransferase class-V,42189.30,99.6,Cytoplasmic,true,,unresolved
33860745,NP_892306.1,hypothetical protein,27110.60,100.0,Unknown,true,PMM0185,multi:refseq_protein_id
33860785,NP_892346.1,cell division protein FtsH2,66746.50,99.3,Cytoplasmic Membrane,true,PMM0226,multi:refseq_protein_id
33860812,NP_892373.1,hypothetical protein,77661.80,100.0,Outer Membrane,true,PMM0254,multi:refseq_protein_id
33860888,NP_892449.1,LysM domain-containing protein,29279.50,99.6,Cytoplasmic,true,PMM0330,multi:refseq_protein_id
33861107,NP_892668.1,ribulose bisophosphate carboxylase,52574.50,100.0,Cytoplasmic,true,PMM0550,multi:refseq_protein_id
33861234,NP_892795.1,carboxyl-terminal processing protease,47966.10,100.0,Cytoplasmic Membrane,true,,unresolved
33861267,NP_892828.1,"ABC transporter, substrate binding protein, phosphate",33888.20,99.8,Periplasmic,true,PMM0710,multi:refseq_protein_id
33861350,NP_892911.1,hypothetical protein PMM0793,44284.90,97.7,Cytoplasmic,true,PMM0793,multi:refseq_protein_id
33861442,NP_893003.1,D-Ala-D-Ala carboxypeptidase 3,37303.90,99.8,Periplasmic,true,,unresolved
33861470,NP_893031.1,ABC transporter,43597.70,99.4,Cytoplasmic Membrane,true,PMM0913,multi:refseq_protein_id
33861526,NP_893087.1,"urea ABC transporter, substrate binding protein",47601.20,98.6,Cytoplasmic,true,,unresolved
33861535,NP_893096.1,hypothetical protein PMM0979,11172.20,99.9,Unknown,true,PMM0979,multi:refseq_protein_id
33861588,NP_893149.1,ABC transporter substrate-binding protein,52262.30,99.8,Unknown,true,PMM1032,multi:refseq_protein_id
33861680,NP_893241.1,natural resistance-associated macroph,53063.10,100.0,Outer Membrane,true,PMM1124,multi:refseq_protein_id
33861695,NP_893256.1,membrane fusion protein,39592.80,99.8,Cytoplasmic Membrane,true,PMM1139,multi:refseq_protein_id
33861718,NP_893279.1,hypothetical protein,68499.40,100.0,Outer Membrane,true,PMM1162,multi:refseq_protein_id
33861720,NP_893281.1,"iron ABC transporter, substrate binding protein",38211.60,99.4,Unknown,true,PMM1164,multi:refseq_protein_id
33861738,NP_893299.1,hypothetical protein,22217.80,100.0,Unknown,true,,unresolved
33861749,NP_893310.1,tetrapyrrole methylase family protein,31921.30,99.0,Unknown,true,PMM1193,multi:refseq_protein_id
33861780,NP_893341.1,polysaccharide export protein,39139.10,99.8,Unknown,true,,unresolved
33861781,NP_893342.1,hypothetical protein,68295.00,99.9,Unknown,true,PMM1225,multi:refseq_protein_id
33861795,NP_893356.1,ABC transporter,67454.60,99.3,Cytoplasmic Membrane,true,PMM1239,multi:refseq_protein_id
33861803,NP_893364.1,hypothetical protein,46457.50,100.0,Cytoplasmic,true,,unresolved
33861837,NP_893398.1,GTP-binding protein Era,33887.90,97.6,Cytoplasmic Membrane,true,PMM1281,multi:refseq_protein_id
33861894,NP_893455.1,chloroplast outer envelope membrane protein,78853.70,100.0,Outer Membrane,true,PMM1338,multi:refseq_protein_id
33861904,NP_893465.1,sporulation protein SpoIID-like,45240.70,100.0,Unknown,true,PMM1348,multi:refseq_protein_id
33861981,NP_893542.1,serine protease,49042.10,100.0,Periplasmic,true,PMM1425,multi:refseq_protein_id
33861992,NP_893553.1,molecular chaperone GroEL,57442.20,100.0,Cytoplasmic,true,PMM1436,multi:refseq_protein_id
33862007,NP_893568.1,ATP synthase F0F1 subunit alpha,54341.20,98.3,Cytoplasmic,true,PMM1451,multi:refseq_protein_id
33862088,NP_893649.1,50S ribosomal protein L13,16112.90,99.8,Cytoplasmic,true,PMM1532,multi:refseq_protein_id
33862110,NP_893671.1,30S ribosomal protein S19,10192.30,98.5,Cytoplasmic,true,PMM1554,multi:refseq_protein_id
33862114,NP_893675.1,50S ribosomal protein L3,23168.50,98.8,Cytoplasmic,true,PMM1558,multi:refseq_protein_id
33862218,NP_893779.1,50S ribosomal protein L20,13478.80,99.8,Cytoplasmic,true,PMM1662,multi:refseq_protein_id
33862249,NP_893810.1,aminotransferase class-IV,32181.00,99.2,Cytoplasmic,true,PMM1693,multi:refseq_protein_id
33862270,NP_893831.1,hypothetical protein,70284.00,99.9,Cytoplasmic Membrane,true,PMM1714,multi:refseq_protein_id
