locus_tag,genbank_protein_id,start,stop,description,avg_reads
,158987150,816334,816450,Conserved hypothetical protein,14435
TX50_RS05485,158987183,968405,968758,Conserved hypothetical protein,12615
TX50_RS04650,33634003,825859,826080,30S Ribosomal protein S18,10732
TX50_RS04655,33634004,826089,826283,50S Ribosomal protein L33,9823
TX50_RS04680,33634009,831846,832238,Uncharacterized protein conserved in bacteria,7329
TX50_RS04690,33634011,832609,836169,putative methionine synthase,7034
TX50_RS04130,33633907,736999,737385,hypothetical protein,6351
TX50_RS04685,33634010,832347,832568,conserved hypothetical,5863
TX50_RS04645,33634002,824635,825819,probable ribonuclease II,4461
TX50_RS02660,33639783,467424,468011,putative inorganic pyrophosphatase,4383
TX50_RS04475,33633970,793199,793729,conserved hypothetical protein,3754
TX50_RS02665,33639784,468018,468968,Porphobilinogen deaminase,3700
TX50_RS04675,33634008,830958,831788,possible ATP adenylyltransferase,3662
TX50_RS04585,33633992,815709,816077,hypothetical,3458
TX50_RS09690,158987152,817042,817191,Conserved hypothetical protein,3441
TX50_RS04660,33634005,826385,828850,Phenylalanyl-tRNA synthetase beta chain,3351
TX50_RS04480,33633971,793731,794351,conserved hypothetical protein,3178
TX50_RS04980,33634068,893891,894244,conserved hypothetical protein,3155
TX50_RS04985,33634069,894265,894678,Uncharacterized conserved protein,2962
TX50_RS05165,33634104,927969,929123,putative urea ABC transporter,2903
TX50_RS04640,33634001,823040,824575,Methionyl-tRNA synthetase,2832
TX50_RS05180,33634107,931010,931720,Putative ATP-binding subunit of urea ABC transport system,2832
,158987158,915907,916041,Conserved hypothetical protein,2803
TX50_RS05095,33634090,915626,915904,possible GRAM domain,2657
TX50_RS04590,33633993,816587,816823,hypothetical,2656
TX50_RS09935,158987159,916071,916208,Conserved hypothetical protein,2585
TX50_RS05090,33634089,914736,915536,Bacitracin resistance protein BacA,2490
TX50_RS05185,158987160,931750,931929,Conserved hypothetical protein,2485
TX50_RS05170,33634105,929123,930259,putative membrane protein of urea ABC transport system,2274
TX50_RS05100,33634091,916287,916514,conserved hypothetical,2210
TX50_RS03655,33639977,656275,656592,possible Elongation factor Tu domain 2,2171
TX50_RS04670,33634007,829621,830634,possible DnaJ domain,2143
TX50_RS05175,33634106,930252,931007,putative ATP binding subunit of urea ABC transport system,2132
TX50_RS05080,33634088,913686,914414,Peptide methionine sulfoxide reductase,2132
,158987151,816447,816587,Conserved hypothetical protein,2117
TX50_RS00840,33633663,156307,157452,Citrate synthase,2108
TX50_RS04030,33633887,713478,714182,30S ribosomal protein S2,2102
TX50_RS02670,33639785,469063,470253,Putative principal RNA polymerase sigma factor,2021
TX50_RS04975,33634067,893041,893874,"putative rRNA (adenine-N6,N6)-dimethyltransferase",1977
TX50_RS02605,33639772,456638,457939,"glutamate-1-semialdehyde 2,1-aminomutase",1968
TX50_RS02790,33639809,491753,492886,NAD binding site,1955
,158987148,815085,815243,Conserved hypothetical protein,1953
TX50_RS08535,33634369,1523605,1524069,conserved hypothetical protein,1941
TX50_RS04970,33634066,892101,893039,Putative 4-diphosphocytidyl-2C-methyl-D-erythritol kinase (CMK),1939
TX50_RS08525,33634367,1522121,1522831,phycoerythrobilin:ferredoxin oxidoreductase,1915
TX50_RS02785,33639808,490726,491727,Transaldolase,1913
TX50_RS04425,33633960,782376,782627,hypothetical,1854
TX50_RS04775,33634028,857094,857531,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,1813
TX50_RS09685,158987149,815484,815636,Conserved hypothetical protein,1791
TX50_RS09450,158987147,814929,815084,Conserved hypothetical protein,1755
