gi_id,refseq_protein_id,description,molecular_weight_da,mascot_probability_pct,predicted_localization,vesicle_proteome_member
33862463,NP_894023.1,LysM domain-containing protein,51020.80,97.7,Unknown,Y
33862536,NP_894096.1,Possible pilin,17169.30,99.8,Extracellular,Y
33862667,NP_894227.1,Cell wall hydrolase/autolysin,38871.40,99.9,Unknown,Y
33862915,NP_894475.1,Hypothetical protein,28722.20,100.0,Outer Membrane,Y
33863048,NP_894608.1,Carboxyl-terminal processing protease,48733.70,88.0,Unknown,Y
33863264,NP_894824.1,"ABC transporter, substrate binding protein, phosphate",34297.40,89.0,Periplasmic,Y
33863364,NP_894924.1,Hypothetical protein,18740.90,99.8,Unknown,Y
33863369,NP_894929.1,Possible cAMP phosphodiesterase class-II,14691.40,99.8,Unknown,Y
33863565,NP_895125.1,Hypothetical protein,63849.60,100.0,Cytoplasmic,Y
33863660,NP_895220.1,Hypothetical protein,18329.30,87.2,Cytoplasmic,Y
33863680,NP_895240.1,Chloroplast outer envelope membrane protein homolog,82961.20,100.0,Outer Membrane,Y
33863780,NP_895340.1,Hypothetical protein,35923.60,87.6,Outer Membrane,Y
33863782,NP_895342.1,Sulfatase,87437.90,98.4,Unknown,Y
33863784,NP_895344.1,"Possible ABC transporter, solute binding protein",31284.70,98.6,Periplasmic,Y
33863788,NP_895348.1,Hypothetical protein,56269.20,99.3,Unknown,Y
33863790,NP_895350.1,Hypothetical protein,17057.00,89.0,Unknown,Y
33863866,NP_895426.1,Putative magnesium chelatase family protein,11035.60,89.0,Cytoplasmic,Y
33863867,NP_895427.1,Hypothetical protein,25709.40,100.0,Unknown,Y
33863886,NP_895446.1,Possible protein phosphatase 2C,25307.40,100.0,Extracellular,Y
33863903,NP_895463.1,Possible serine protease,40509.30,100.0,Periplasmic,Y
33864108,NP_895668.1,Hypothetical protein,114133.80,99.8,Unknown,Y
33864141,NP_895701.1,Hypothetical protein,25745.70,100.0,Unknown,Y
33864244,NP_895804.1,Possible porin,62197.20,100.0,Extracellular,Y
33864366,NP_895926.1,Hypothetical protein,26487.30,99.8,Unknown,Y
33864411,NP_895971.1,Hypothetical protein,28534.40,99.8,Unknown,Y
33864417,NP_895977.1,Hypothetical protein,80122.50,99.9,Unknown,Y
33864493,NP_896053.1,"Putative urea ABC transporter, substrate binding protein",47029.60,89.0,Unknown,Y
