Name,gene,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
dnaN,dnaN,TX50_RS00020,PMM0001,Protein Homology,174,1331,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806737.1,DNA polymerase III subunit beta,WP_011131639.1,1157,K02338,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03030 DNA replication [PATH:ko03030];03032 DNA replication proteins [BR:ko03032];03400 DNA repair and recombination proteins [BR:ko03400];03430 Mismatch repair [PATH:ko03430];03440 Homologous recombination [PATH:ko03440],K02338  dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],Genetic Info,,dnaN,(dnaN)
TX50_RS00025,,TX50_RS00025,PMM0002,Protein Homology,1333,2040,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817479.1,hypothetical protein,WP_011131640.1,707,,,,,,Uncharacterized,,,
purL,purL,TX50_RS00030,PMM0003,Protein Homology,2044,4383,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375568.1,phosphoribosylformylglycinamidine synthase subunit PurL,WP_011131641.1,2339,K23269,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K23269  purL; phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],AA/Nucleotide,,nan,nan
purF,purF,TX50_RS00035,PMM0004,Protein Homology,4430,5890,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817481.1,amidophosphoribosyltransferase,WP_011131642.1,1460,K00764,09100 Metabolism;09180 Brite Hierarchies,09104 Nucleotide metabolism;09105 Amino acid metabolism;09181 Protein families: metabolism,"00230 Purine metabolism [PATH:ko00230];00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250];01002 Peptidases and inhibitors [BR:ko01002]","K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",AA/Nucleotide,,"purF, PPAT",(purF)
TX50_RS00040,(gyrA),TX50_RS00040,PMM0005,Protein Homology,5887,8328,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819330.1,DNA topoisomerase 4 subunit A,WP_011131643.1,2441,K02469,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032];03400 DNA repair and recombination proteins [BR:ko03400],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2],Genetic Info,,gyrA,(gyrA)
TX50_RS00045,,TX50_RS00045,PMM0006,Protein Homology,8416,9270,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819331.1,tetratricopeptide repeat protein,WP_011131644.1,854,,,,,,Other,,,
queG,queG,TX50_RS00050,PMM0007,Protein Homology,9275,10219,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375572.1,tRNA epoxyqueuosine(34) reductase QueG,WP_011131645.1,944,K18979,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K18979  queG; epoxyqueuosine reductase [EC:1.17.99.6],Genetic Info,,nan,nan
TX50_RS00055,,TX50_RS00055,PMM0008,Protein Homology,10367,11104,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819333.1,DUF502 domain-containing protein,WP_011131646.1,737,,,,,,Other,,,
nusB,nusB,TX50_RS00060,PMM0009,Protein Homology,11108,11734,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006813.1,transcription antitermination factor NusB,WP_036930720.1,626,K03625,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009];03021 Transcription machinery [BR:ko03021],K03625  nusB; transcription antitermination protein NusB,Genetic Info,,nusB,(nusB)
ftsY,ftsY,TX50_RS00065,PMM0010,Protein Homology,11793,13115,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819335.1,signal recognition particle-docking protein FtsY,WP_011131648.1,1322,K03110,09120 Genetic Information Processing;09130 Environmental Information Processing;09140 Cellular Processes;09180 Brite Hierarchies,"09123 Folding, sorting and degradation;09131 Membrane transport;09145 Cellular community - prokaryotes;09183 Protein families: signaling and cellular processes",02024 Quorum sensing [PATH:ko02024];02044 Secretion system [BR:ko02044];03060 Protein export [PATH:ko03060];03070 Bacterial secretion system [PATH:ko03070],K03110  ftsY; fused signal recognition particle receptor,Membrane transport,Membrane transport,ftsY,(ftsY)
TX50_RS00070,,TX50_RS00070,PMM0011,Protein Homology,13183,14526,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375576.1,serine/threonine-protein phosphatase,WP_011131649.1,1343,K07315,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],K07315  rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3],Genetic Info,,rsbU_P,
argH,argH,TX50_RS00075,PMM0012,Protein Homology,14585,15964,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819337.1,argininosuccinate lyase,WP_011131650.1,1379,K01755,09100 Metabolism;09180 Brite Hierarchies,09105 Amino acid metabolism;09183 Protein families: signaling and cellular processes,"00220 Arginine biosynthesis [PATH:ko00220];00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250];04147 Exosome [BR:ko04147]","K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",AA/Nucleotide,,"argH, ASL",(argH)
TX50_RS00080,,TX50_RS00080,PMM0013,Protein Homology,16081,16683,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819338.1,RNA-binding protein,WP_042116203.1,602,,,,,,Other,,,
dusA,dusA,TX50_RS00085,PMM0014,Protein Homology,16680,17684,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819339.1,tRNA dihydrouridine(20/20a) synthase DusA,WP_011131652.1,1004,K05539,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K05539  dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-],Genetic Info,,dusA,(dusA)
msrB,msrB,TX50_RS00090,PMM0015,Protein Homology,17712,18206,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819340.1,peptide-methionine (R)-S-oxide reductase MsrB,WP_011131653.1,494,K07305,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K07305  msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],Metabolism,,msrB,(msrB)
grpE,grpE,TX50_RS00095,PMM0016,Protein Homology,18283,19002,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131654.1,nucleotide exchange factor GrpE,WP_011131654.1,719,K03687,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029];03110 Chaperones and folding catalysts [BR:ko03110],K03687  GRPE; molecular chaperone GrpE,Genetic Info,,GRPE,
dnaJ,dnaJ,TX50_RS00100,PMM0017,Protein Homology,19034,20158,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375582.1,molecular chaperone DnaJ,WP_011131655.1,1124,K03686,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029];03110 Chaperones and folding catalysts [BR:ko03110],K03686  dnaJ; molecular chaperone DnaJ,Genetic Info,,dnaJ,(dnaJ)
TX50_RS00105,,TX50_RS00105,PMM0018,Protein Homology,20155,20388,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819343.1,sulfurtransferase TusA family protein,WP_011131656.1,233,,,,,,Other,,,
rsgA,rsgA,TX50_RS00110,PMM0019,Protein Homology,20378,21295,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806845.1,ribosome small subunit-dependent GTPase A,WP_011131657.1,917,K06949,09100 Metabolism;09180 Brite Hierarchies,09108 Metabolism of cofactors and vitamins;09182 Protein families: genetic information processing,00730 Thiamine metabolism [PATH:ko00730];03009 Ribosome biogenesis [BR:ko03009],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]",Genetic Info,,"rsgA, engC","(rsgA,engC)"
TX50_RS00115,(ebfC),TX50_RS00115,PMM0020,Protein Homology,21261,21611,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131658.1,YbaB/EbfC family nucleoid-associated protein,WP_011131658.1,350,K09747,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99998 Others,K09747  ebfC; nucleoid-associated protein EbfC,Genetic Info,,ebfC,(ebfC)
