Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 .1,Expression med 4.1,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3,resolved_locus_tag,resolution_method
AMHOT1A3_single_04063,hypothetical protein,1300.0,249.0,1300.01,249.01,0.001011324,5.220714028,,unresolved
AMHOT1A3_single_03580,plasmolipin,1278.0,3036.0,1278.01,3036.01,0.037833688,0.420950524,,unresolved
AMHOT1A3_single_00992,hypothetical protein,1276.0,3012.0,1276.01,3012.01,0.049928394,0.423640692,,unresolved
AMHOT1A3_single_01151,sulfotransferase,350.0,85.0,350.01,85.01,0.032629203,4.11728032,,unresolved
AMHOT1A3_single_00066,phosphopantetheine adenylyltransferase,310.0,73.0,310.01,73.01,0.018050226,4.246130667,,unresolved
AMHOT1A3_single_00820,hypothetical protein,300.0,644.0,300.01,644.01,0.01986198,0.465846804,,unresolved
AMHOT1A3_single_02768,hypothetical protein,242.0,65.0,242.01,65.01,0.049455091,3.722658053,,unresolved
AMHOT1A3_single_01403,arsenical resistance protein ArsH,224.0,36.0,224.01,36.01,5.87e-05,6.220772008,,unresolved
AMHOT1A3_single_00832,peptidase s41,222.0,465.0,222.01,465.01,0.009187206,0.477430593,,unresolved
AMHOT1A3_single_02730,Rhomboid-like protein,204.0,40.0,204.01,40.01,0.001821994,5.098975256,,unresolved
AMHOT1A3_single_01644,PilZ domain protein,162.0,359.0,162.01,359.01,0.008495547,0.451268767,,unresolved
AMHOT1A3_single_00259,hypothetical protein,157.0,371.0,157.01,371.01,0.005205254,0.42319614,,unresolved
AMHOT1A3_single_01916,hypothetical protein,128.0,414.0,128.01,414.01,1.73e-06,0.30919543,,unresolved
AMHOT1A3_single_00285,"peptidase M56, BlaR1",112.0,285.0,112.01,285.01,0.001296828,0.393003754,,unresolved
AMHOT1A3_single_00143,outer membrane protein OmpW,111.0,242.0,111.01,242.01,0.004636144,0.458700054,,unresolved
AMHOT1A3_single_01809,hypothetical protein,107.0,280.0,107.01,280.01,0.000984,0.382164923,,unresolved
AMHOT1A3_single_02007,sensor histidine kinase,106.0,314.0,106.01,314.01,7.65e-06,0.337600713,,unresolved
AMHOT1A3_single_01998,rRNA (guanine-N1-)-methyltransferase,104.0,19.0,104.01,19.01,0.033220522,5.471330878,,unresolved
AMHOT1A3_single_01657,acyltransferase 3,87.0,2.0,87.01,2.01,1.9600000000000002e-122,43.28855721,,unresolved
AMHOT1A3_single_01275,diguanylate cyclase,87.0,200.0,87.01,200.01,0.005880249,0.435028249,,unresolved
AMHOT1A3_single_00457,delta-aminolevulinic acid dehydratase,84.0,209.0,84.01,209.01,0.000764,0.401942491,,unresolved
AMHOT1A3_single_00818,hypothetical protein,83.0,192.0,83.01,192.01,0.000928,0.432321233,,unresolved
AMHOT1A3_single_00672,Signal transduction histidine kinase,76.0,7.0,76.01,7.01,3.56e-06,10.84308131,,unresolved
AMHOT1A3_single_00245,hypothetical protein,75.0,188.0,75.01,188.01,0.001739357,0.39896814,,unresolved
AMHOT1A3_single_01638,ybaK/ebsC protein,68.0,12.0,68.01,12.01,0.001946402,5.662781016,,unresolved
AMHOT1A3_single_01922,hypothetical protein,67.0,152.0,67.01,152.01,0.005503549,0.440826261,,unresolved
AMHOT1A3_single_00173,diguanylate cyclase,65.0,153.0,65.01,153.01,0.002315976,0.424874191,,unresolved
AMHOT1A3_single_01346,"cobyrinic acid a,c-diamide synthase:dethiobiotin synthase",64.0,10.0,64.01,10.01,0.002540714,6.394605395,,unresolved
AMHOT1A3_single_01976,cold-shock RNA methyltransferase,63.0,3.0,63.01,3.01,9.059999999999999e-39,20.93355482,,unresolved
AMHOT1A3_single_01210,electron transport complex protein RnfC,56.0,9.0,56.01,9.01,0.002393634,6.216426193,,unresolved
AMHOT1A3_single_00522,hypothetical protein,52.0,109.0,52.01,109.01,0.006319065,0.477112192,,unresolved
AMHOT1A3_single_00692,esterase,49.0,145.0,49.01,145.01,1.22e-05,0.337976691,,unresolved
AMHOT1A3_single_02853,ribonuclease protein,49.0,100.0,49.01,100.01,0.031692479,0.490050995,,unresolved
AMHOT1A3_single_01416,TonB-dependent receptor,48.0,0.0,48.01,0.01,0.0,4801.0,,unresolved
AMHOT1A3_single_00758,toluene tolerance family protein,47.0,6.0,47.01,6.01,0.002057672,7.821963394,,unresolved
AMHOT1A3_single_01422,cytochrome c,45.0,3.0,45.01,3.01,1.06e-18,14.95348837,,unresolved
AMHOT1A3_single_00507,hypothetical protein,43.0,0.0,43.01,0.01,0.0,4301.0,,unresolved
