Synonym,Product,Expression 9313+1A3 ,Expression 9313+1A3 dil,Expression 9313+1A3 +.01,Expression 9313+1A3 dil+.01,qValue 9313+1A3  vs 9313+1A3 dil,fold change 9313/9313DIL,resolved_locus_tag,resolution_method
AMHOT1A3_single_00005,flavodoxin,20,0,20.01,0.01,0.0,2001.0,,unresolved
AMHOT1A3_single_00009,inner membrane protein,34,71,34.01,71.01,0.011775436,0.478946627,,unresolved
AMHOT1A3_single_00023,methyltransferase-like protein,46,4,46.01,4.01,1.03e-05,11.47381546,,unresolved
AMHOT1A3_single_00026,DNA polymerase I,29,97,29.01,97.01,6.3e-06,0.299041336,,unresolved
AMHOT1A3_single_00060,hypothetical protein,7,25,7.01,25.01,1.02e-05,0.280287885,,unresolved
AMHOT1A3_single_00061,hypothetical protein,6,30,6.01,30.01,3e-15,0.200266578,,unresolved
AMHOT1A3_single_00087,hypothetical protein,23,83,23.01,83.01,7.4e-09,0.277195519,,unresolved
AMHOT1A3_single_00088,hypothetical protein,18,0,18.01,0.01,0.0,1801.0,,unresolved
AMHOT1A3_single_00090,hypothetical protein,32,2,32.01,2.01,1.2e-06,15.92537313,,unresolved
AMHOT1A3_single_00092,hypothetical protein,46,0,46.01,0.01,0.0,4601.0,,unresolved
AMHOT1A3_single_00102,hypothetical protein,37,1,37.01,1.01,7.8e-82,36.64356436,,unresolved
AMHOT1A3_single_00114,porphobilinogen deaminase,89,7,89.01,7.01,2.06e-06,12.69757489,,unresolved
AMHOT1A3_single_00123,16S rRNA methyltransferase,165,2,165.01,2.01,0.0,82.09452736,,unresolved
AMHOT1A3_single_00131,hypothetical protein,22,0,22.01,0.01,0.0,2201.0,,unresolved
AMHOT1A3_single_00133,mechanosensitive ion channel family protein,30,3,30.01,3.01,0.001336917,9.970099668,,unresolved
AMHOT1A3_single_00135,ECF subfamily RNA polymerase sigma-24 factor,95,235,95.01,235.01,0.001633591,0.404280669,,unresolved
AMHOT1A3_single_00146,diguanylate cyclase,158,23,158.01,23.01,0.007744686,6.867014342,,unresolved
AMHOT1A3_single_00151,DnaJ-like protein,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_00157,glutaredoxin,71,1,71.01,1.01,6.75e-292,70.30693069,,unresolved
AMHOT1A3_single_00158,"Secreted protein, containing thioredoxin-like domain",29,73,29.01,73.01,0.000293,0.39734283,,unresolved
AMHOT1A3_single_00159,methyl-accepting chemotaxis protein,183,23,183.01,23.01,0.001332297,7.953498479,,unresolved
AMHOT1A3_single_00162,GTP cyclohydrolase II,151,22,151.01,22.01,0.0128426,6.860972285,,unresolved
AMHOT1A3_single_00163,signal transduction protein,18,2,18.01,2.01,0.039283043,8.960199005,,unresolved
AMHOT1A3_single_00172,serine acetyltransferase,976,74,976.01,74.01,9.05e-13,13.18754222,,unresolved
AMHOT1A3_single_00176,hypothetical protein,125,749,125.01,749.01,3.92e-22,0.166900308,,unresolved
AMHOT1A3_single_00179,hypothetical protein,133,778,133.01,778.01,1.23e-22,0.170961813,,unresolved
AMHOT1A3_single_00202,hypothetical protein,23,0,23.01,0.01,0.0,2301.0,,unresolved
AMHOT1A3_single_00213,TonB-dependent receptor,291,22,291.01,22.01,8.39e-13,13.2217174,,unresolved
AMHOT1A3_single_00216,glycerol-3-phosphate dehydrogenase,17,113,17.01,113.01,1.52e-33,0.150517653,,unresolved
AMHOT1A3_single_00217,hypothetical protein,16,41,16.01,41.01,0.000491,0.390392587,,unresolved
