gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,gene_synonym,locus_tag,ec_numbers
ppnK,ppnK,DEH24_19275,Protein Homology,1,357,-,catalyzes the phosphorylation of NAD to NADP,,COORDINATES: similar to AA sequence:RefSeq:WP_014997922.1,NAD(+) kinase,HBY41580.1,,DEH24_19275,2.7.1.23
DEH24_19280,,DEH24_19280,Protein Homology,466,1233,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007641630.1,3-hydroxybutyrate dehydrogenase,HBY41581.1,,DEH24_19280,
DEH24_19285,,DEH24_19285,Protein Homology,1243,2244,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012517885.1,polyhydroxybutyrate depolymerase,HBY41582.1,,DEH24_19285,
DEH24_19290,,DEH24_19290,Protein Homology,2254,3444,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007641633.1,homoserine O-acetyltransferase,HBY41583.1,,DEH24_19290,
DEH24_19295,,DEH24_19295,Protein Homology,3454,4339,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014109157.1,citrate transporter,HBY41584.1,,DEH24_19295,
DEH24_19425,,DEH24_19425,Protein Homology,1,158,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_016404052.1,hypothetical protein,HBY41610.1,,DEH24_19425,
acnD,acnD,DEH24_19430,Protein Homology,485,2664,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008983669.1,Fe/S-dependent 2-methylisocitrate dehydratase AcnD,HBY41611.1,,DEH24_19430,
DEH24_19435,,DEH24_19435,Protein Homology,2733,3857,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977262.1,2-methylcitrate synthase,HBY41612.1,,DEH24_19435,
DEH24_19440,,DEH24_19440,Protein Homology,3953,4831,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010370196.1,methylisocitrate lyase,HBY41613.1,,DEH24_19440,
DEH24_19445,,DEH24_19445,Protein Homology,4849,5511,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012519562.1,GntR family transcriptional regulator,HBY41614.1,,DEH24_19445,
DEH24_19450,,DEH24_19450,Protein Homology,5781,6932,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019029874.1,D-alanyl-D-alanine carboxypeptidase,HBY41615.1,,DEH24_19450,
DEH24_19455,,DEH24_19455,Protein Homology,7150,7654,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018983301.1,BON domain-containing protein,HBY41616.1,,DEH24_19455,
DEH24_13775,,DEH24_13775,GeneMarkS+,1,865,-,,,COORDINATES: ab initio prediction:GeneMarkS+,DNA polymerase III subunit epsilon,HBY40487.1,,DEH24_13775,
DEH24_13780,,DEH24_13780,Protein Homology,915,1211,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008042096.1,hypothetical protein,HBY40488.1,,DEH24_13780,
DEH24_13785,,DEH24_13785,Protein Homology,1280,1471,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011234539.1,CPXCG motif-containing cysteine-rich protein,HBY40489.1,,DEH24_13785,
DEH24_13790,,DEH24_13790,Protein Homology,1524,2144,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002536158.1,flavin oxidoreductase,HBY40490.1,,DEH24_13790,
DEH24_13795,,DEH24_13795,Protein Homology,2322,2615,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014110597.1,high-potential iron sulfur protein 2,HBY40491.1,,DEH24_13795,
