MIT9313,,,,,,,,,,,,
Up regulated genes ,,,,,,,,,,,,
log2 fold change (+ means upregulated in chitosan),gene,ncbi_cds_locus_tag,ncbi_gene_locus_tag,ncbi_gene_old_locus_tag,geneFunction,NCBI alignment,NCBI query cover,NCBI percent identity,,,,
0.850837219,MIT9313_00156,AKG35_RS00740,AKG35_RS00740,"PMT0148,PMT_0148,RG24_RS00740",Hypothetical protein,NA,NA,NA,,,,
0.770007327,MIT9313_00238,AKG35_RS01120,AKG35_RS01120,"PMT0213,PMT_0213,RG24_RS01125",Hypothetical protein,ribosome-associated translation inhibitor RaiA,99%,100,,,,
2.199116612,MIT9313_00252,AKG35_RS01200,AKG35_RS01200,"PMT0226,PMT_0226,RG24_RS01205",putative cystathionine gamma-synthase,NA,NA,NA,,,,
1.779530343,MIT9313_00260,AKG35_RS01235,AKG35_RS01235,"PMT0233,PMT_0233,RG24_RS01240",putative L-cysteine/cystine lyase,NA,NA,NA,,,,
5.526406533,MIT9313_00266,AKG35_RS01255,AKG35_RS01255,"PMT0237,PMT_0237,RG24_RS01260",Hypothetical protein,NA,NA,NA,,,,
5.162683218,MIT9313_00292,nan,nan,nan,Hypothetical protein,NA,NA,NA,,,,
4.703640061,MIT9313_00334,nan,nan,nan,Hypothetical protein,PREDICTED: TMV resistance protein N-like,80%,31.17,,,,
2.890806083,MIT9313_00403,AKG35_RS01885,AKG35_RS01885,"PMT_2358,RG24_RS01895",Hypothetical protein,MULTISPECIES: DUF202 domain-containing protein,98%,96.3,,,,
0.593267184,MIT9313_00486,AKG35_RS02280,AKG35_RS02280,"PMT0429,PMT_0429,RG24_RS02290",Hypothetical protein,possible Arginine repressor C-terminal domain,99%,93.55,,,,
0.941389799,MIT9313_00616,AKG35_RS12235,AKG35_RS12235,PMT_2396,Hypothetical protein,MULTISPECIES: DUF4278 domain-containing protein,98%,100,,,,
5.678590759,MIT9313_00617,AKG35_RS12710,AKG35_RS12710,PMT_2397,Hypothetical protein,NA,NA,NA,,,,
0.794587355,MIT9313_00699,AKG35_RS03250,AKG35_RS03250,"PMT0620,PMT_0620,RG24_RS03260",Hypothetical protein,MULTISPECIES: DUF3082 domain-containing protein,99%,100,,,,
4.843545749,MIT9313_00703,AKG35_RS03275,AKG35_RS03275,"PMT0624,PMT_0624,RG24_RS03285",Hypothetical protein,YraN family protein,87%,100,,,,
5.308904965,MIT9313_00864,AKG35_RS04020,AKG35_RS04020,"PMT0773,PMT_0773,RG24_RS04030",Hypothetical protein,NA,NA,NA,,,,
0.78039205,MIT9313_00978,AKG35_RS04550,AKG35_RS04550,"PMT0869,PMT_0869,RG24_RS04560",Hypothetical protein,DOMON-like domain-containing protein,99%,100,,,,
5.264433596,MIT9313_01000,AKG35_RS04620,AKG35_RS04620,"PMT0884,PMT_0884,RG24_RS04630",Hypothetical protein,possible Herpesvirus VP23 like capsid protein,81%,57.41,,,,
4.583449326,MIT9313_01010,AKG35_RS12785,AKG35_RS12785,PMT_2468,Hypothetical protein,possible Sec7 domain,56%,60,,,,
4.368468067,MIT9313_01011,AKG35_RS12790,AKG35_RS12790,None,Hypothetical protein,NA,NA,NA,,,,
5.232486974,MIT9313_01079,AKG35_RS04955,nan,nan,Hypothetical protein,transposase,93%,81.25,,,,
4.831688792,MIT9313_01085,AKG35_RS04980,AKG35_RS04980,"PMT0941,PMT_0941,RG24_RS04995",Hypothetical protein,MULTISPECIES: lipid A export permease/ATP-binding protein MsbA... 38.5   38.5  81%   1.5   32.00  WP_036995483.1,81%,32,,,,
3.40174425,MIT9313_01092,nan,nan,nan,Hypothetical protein,NA,NA,NA,,,,
1.680543746,MIT9313_01145,AKG35_RS12875,AKG35_RS12875,PMT_2544,Hypothetical protein,NA,NA,NA,,,,
1.416062966,MIT9313_01179,AKG35_RS05400,AKG35_RS05400,"PMT1014,PMT_1014,RG24_RS05410",Hypothetical protein,DUF1543 domain-containing protein,99%,100,,,,
3.353528937,MIT9313_01187,nan,nan,nan,Hypothetical protein,type I glutamate--ammonia ligase,94%,36.11,,,,
4.991261158,MIT9313_01192,AKG35_RS05465,AKG35_RS05465,"PMT1024,PMT_1024,RG24_RS05475",Hypothetical protein,NA,NA,NA,,,,
5.191275635,MIT9313_01216,AKG35_RS05580,AKG35_RS05580,"PMT_1041,RG24_RS05590",Hypothetical protein,YibE/F family protein,58%,35.42,,,,
0.618946624,MIT9313_01283,AKG35_RS05870,AKG35_RS05870,"PMT1093,PMT_1093,RG24_RS05890",Hypothetical protein,NA,NA,NA,,,,
6.177241555,MIT9313_01311,AKG35_RS06005,AKG35_RS06005,"PMT1118,PMT_1118,RG24_RS06025",Hypothetical protein,Nif11-like leader peptide family natural product precursor...     153    153   98%   9e-47 98.77  WP_011130490.1,98%,98.77,,,,
