baseMean,log2FoldChange (positive means more highly expressed in mitomycin C treatment),lfcSE,stat,pvalue,padj,gene,resolved_locus_tag,resolution_method
2433.1033,-0.334976744,0.131769602,-2.542139749,0.011017611,0.014016812,MIT0604_00001,EW14_0001,tier1:gene
761.4387999,0.145411211,0.13306229,1.092805559,0.27447918,0.304036192,MIT0604_00002,EW14_0002,tier1:gene
3465.670682,0.918112646,0.100016125,9.179646226,4.33e-20,1.13e-19,MIT0604_00003,EW14_0003,tier1:gene
1374.315041,1.512334163,0.096448312,15.68025545,2.0599999999999998e-55,1.15e-54,MIT0604_00004,EW14_0004,tier1:gene
1447.745546,-0.74740834,0.133324188,-5.605947079,2.07e-08,3.6e-08,MIT0604_00005,EW14_0005,tier1:gene
319.1624502,2.369804035,0.246584854,9.610501208,7.22e-22,1.97e-21,MIT0604_00006,EW14_0006,tier1:gene
377.088032,0.574751568,0.143774221,3.997598208,6.4e-05,9.39e-05,MIT0604_00007,EW14_0007,tier1:gene
2836.898487,-1.467066667,0.099048549,-14.81159163,1.23e-49,6.13e-49,MIT0604_00008,EW14_0008,tier1:gene
1036.14727,-0.86302638,0.139433476,-6.18952065,6.03e-10,1.11e-09,MIT0604_00009,EW14_0009,tier1:gene
850.2865357,0.73231492,0.165784644,4.417266303,1e-05,1.54e-05,MIT0604_00010,EW14_0010,tier1:gene
374.6716944,1.477092183,0.186640662,7.914096338,2.49e-15,5.48e-15,MIT0604_00011,EW14_0011,tier1:gene
1064.539848,0.022253486,0.101999855,0.218171737,0.827295305,0.8412685,MIT0604_00012,EW14_0012,tier1:gene
1612.861648,-0.415620223,0.177972121,-2.335310833,0.019527189,0.024313963,MIT0604_00013,EW14_0013,tier1:gene
546.5300291,1.331256039,0.106883406,12.45521717,1.31e-35,4.89e-35,MIT0604_00014,EW14_0014,tier1:gene
2239.004836,2.045603787,0.180180439,11.3530847,7.16e-30,2.3500000000000002e-29,MIT0604_00015,EW14_0015,tier1:gene
10625.52128,2.994887314,0.072541303,41.28527049,0.0,0.0,MIT0604_00016,EW14_0016,tier1:gene
9746.143931,3.752860219,0.077694917,48.30251906,0.0,0.0,MIT0604_00017,EW14_0017,tier1:gene
1060.136286,3.146546586,0.153811487,20.45716246,5.19e-93,4.98e-92,MIT0604_00018,EW14_0018,tier1:gene
2401.192417,5.635469795,0.162925463,34.58925138,3.67e-262,1.71e-260,MIT0604_00019,EW14_0019,tier1:gene
1535.056666,-2.826309462,0.150170076,-18.8207234,5.1100000000000005e-79,3.96e-78,MIT0604_00020,EW14_0020,tier1:gene
469.723781,0.471750346,0.165359462,2.852877853,0.004332527,0.005714358,MIT0604_00021,EW14_0021,tier1:gene
659.2060182,0.080729916,0.158028497,0.510856698,0.609451404,0.637153741,MIT0604_00022,,unresolved
5129.504085,-2.660276088,0.178649338,-14.89104922,3.77e-50,1.91e-49,MIT0604_00023,EW14_0023,tier1:gene
719.6723564,0.225665264,0.100695255,2.241071485,0.025021445,0.030854758,MIT0604_00024,EW14_0024,tier1:gene
2249.259534,-2.207117376,0.131700235,-16.75864417,4.9e-63,3.09e-62,MIT0604_00025,EW14_0025,tier1:gene
2584.422234,-2.828330195,0.096167824,-29.41035868,4.05e-190,1.17e-188,MIT0604_00026,EW14_0026,tier1:gene
2626.719209,-2.388895247,0.091045105,-26.23859069,9.65e-152,1.9e-150,MIT0604_00027,EW14_0027,tier1:gene
658.8192691,1.063906098,0.136546913,7.791506058,6.62e-15,1.44e-14,MIT0604_00028,EW14_0028,tier1:gene
