baseMean,log2FoldChange (positive means more highly expressed in UV treatment),lfcSE,stat,pvalue,padj,gene
2433.1033,-0.349625342,0.131591711,-2.656894871,0.007886403,0.024275891,MIT0604_00001
761.4387999,-0.178977494,0.133924655,-1.336404373,0.181417138,0.30895248,MIT0604_00002
3465.670682,0.30319833,0.101164648,2.997077902,0.00272581,0.010017476,MIT0604_00003
1374.315041,0.048208796,0.099937357,0.482390147,0.629528819,0.742980841,MIT0604_00004
1447.745546,-0.502219934,0.132250358,-3.797493949,1.46E-04,7.57E-04,MIT0604_00005
319.1624502,-0.057720435,0.255865938,-0.225588585,0.82152142,0.886948495,MIT0604_00006
377.088032,0.0997502,0.148213848,0.673015386,0.500937503,0.639687503,MIT0604_00007
2836.898487,0.173658993,0.098105915,1.770117465,0.076707575,0.157335076,MIT0604_00008
1036.14727,0.356296436,0.139296935,2.557819638,0.010533071,0.031259911,MIT0604_00009
850.2865357,-0.050529042,0.167526454,-0.301618286,0.762943066,0.844186193,MIT0604_00010
374.6716944,-0.481520601,0.190827985,-2.523322781,0.011625164,0.033850228,MIT0604_00011
1064.539848,-0.617304812,0.10166568,-6.071909525,1.26E-09,1.80E-08,MIT0604_00012
1612.861648,0.308435923,0.17826577,1.730202738,0.083594059,0.168256676,MIT0604_00013
546.5300291,0.713437426,0.117886691,6.051891194,1.43E-09,2.01E-08,MIT0604_00014
2239.004836,-0.124289975,0.181641676,-0.68425913,0.49381155,0.634148208,MIT0604_00015
10625.52128,-0.583962363,0.073536462,-7.941126742,2.00E-15,5.06E-14,MIT0604_00016
9746.143931,-0.43333551,0.079506586,-5.4503096,5.03E-08,5.66E-07,MIT0604_00017
1060.136286,-0.363430713,0.159697804,-2.275740207,0.022861563,0.059189277,MIT0604_00018
2401.192417,-0.107689049,0.177302321,-0.607375291,0.543601883,0.67439579,MIT0604_00019
1535.056666,0.143119014,0.14537793,0.984461763,0.324888523,0.480525149,MIT0604_00020
469.723781,0.155815876,0.1684279,0.925119155,0.35490393,0.509394169,MIT0604_00021
659.2060182,0.314237863,0.159913525,1.965048689,0.049408602,0.110898475,MIT0604_00022
5129.504085,0.814274438,0.177945024,4.575988814,4.74E-06,3.70E-05,MIT0604_00023
719.6723564,-0.049786004,0.102484005,-0.485792922,0.627113993,0.741595808,MIT0604_00024
2249.259534,-0.254245551,0.12898596,-1.971110279,0.048711263,0.1094533,MIT0604_00025
2584.422234,0.398936601,0.092231984,4.325360727,1.52E-05,1.05E-04,MIT0604_00026
2626.719209,0.425927155,0.088379875,4.819277627,1.44E-06,1.28E-05,MIT0604_00027
658.8192691,0.263156554,0.141127077,1.86467798,0.062226555,0.132303959,MIT0604_00028
494.3370716,0.413594071,0.180475249,2.291694144,0.021923299,0.05709541,MIT0604_00029
1386.599478,3.855268947,0.483653728,7.971134557,1.57E-15,4.02E-14,MIT0604_00030
109.9706319,-1.598134204,0.21476966,-7.441154404,9.98E-14,2.25E-12,MIT0604_00031
593.9919028,-0.417938535,0.114057174,-3.664289773,2.48E-04,0.001229319,MIT0604_00032
