gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
dnaN,dnaN,EZ55_RS00010,ALTBGP6_00002,Protein Homology,1626,2726,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_156077627.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,ALTBGP6_00002,2.7.7.7
recF,recF,EZ55_RS00015,ALTBGP6_00003,Protein Homology,2852,3940,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_156077628.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,ALTBGP6_00003,
gyrB,gyrB,EZ55_RS00020,ALTBGP6_00004,Protein Homology,3949,6369,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_156077629.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,ALTBGP6_00004,5.6.2.2
EZ55_RS00025,,EZ55_RS00025,ALTBGP6_00005,GeneMarkS-2+,6837,7169,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_231513013.1,,,,,,ALTBGP6_00005,
EZ55_RS00030,,EZ55_RS00030,ALTBGP6_00006,Protein Homology,7199,8335,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947713.1,hypothetical protein,WP_231513014.1,,,,,,ALTBGP6_00006,
EZ55_RS00035,,EZ55_RS00035,ALTBGP6_00007,Protein Homology,8403,8846,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,hypothetical protein,WP_156077631.1,,,,,,ALTBGP6_00007,
glyS,glyS,EZ55_RS00040,ALTBGP6_00008,Protein Homology,8931,11009,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_156077632.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,ALTBGP6_00008,6.1.1.14
glyQ,glyQ,EZ55_RS00045,ALTBGP6_00009,Protein Homology,11012,11917,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014947716.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,ALTBGP6_00009,6.1.1.14
EZ55_RS00050,,EZ55_RS00050,ALTBGP6_00010,Protein Homology,12064,12672,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_156077633.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,ALTBGP6_00010,3.2.2.20
EZ55_RS00055,,EZ55_RS00055,ALTBGP6_00011,Protein Homology,12785,13246,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_014975247.1,,,,,,ALTBGP6_00011,
