"JBrowse","Name","Species","SubCluster","Clade","SubClade","Pigment type","Sequencing center","Genome status","GenBank Acc.","RefSeq Acc.","Genome size","Contigs","CDS","rRNA","tRNA","GC %"
"","Pro_AS9601","Prochlorococcus marinus","HL","HLII","HLII","Lba","JCVI","Complete","CP000551","NC_008816","1,669,886","1","1,926","3","37","31.3"
"","Pro_EQPAC1","Prochlorococcus marinus","HL","HLI","HLI","Lba","MIT BioMicro Center","WGS high quality","JNAG00000000","NZ_JNAG00000000","1,655,089","1","1,951","3","37","30.8"
"","Pro_GP2","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAH00000000","NZ_JNAH00000000","1,624,810","1","1,878","3","36","31.2"
"","Pro_HNLC1","Prochlorococcus marinus","HL","HLIV","HLIV","Lba","JCVI","Metagenomes","GL947594.1","","1,569,623","1","2,026","3","34","29.8"
"","Pro_HNLC2","Prochlorococcus marinus","HL","HLIII","HLIII","Lba","JCVI","Metagenomes","GL947595.1","","1,484,494","1","1,798","3","33","30.3"
"","Pro_LG","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNAT00000000","NZ_JNAT00000000","1,754,713","1","1,970","3","40","36.4"
"","Pro_MED4","Prochlorococcus marinus","HL","HLI","HLI","Lba","JGI","Complete","BX548174","NC_005072","1,657,991","1","1,962","3","37","30.8"
"","Pro_MIT0601","Prochlorococcus marinus","LL","LLIII","LLIII","Hba","MIT BioMicro Center","WGS high quality","JNAU00000000","NZ_JNAU00000000","1,707,592","1","1,923","3","39","37"
"","Pro_MIT0602","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNAV00000000","NZ_JNAV00000000","1,751,318","1","1,986","3","40","36.3"
"","Pro_MIT0603","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNAW00000000","NZ_JNAW00000000","1,752,782","1","2,009","4","40","36.3"
