Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources
PMM0003,purL phosphoribosylformylglycinamidine synthetase II 2044:4383 forward,-0.1754357879101729,0.2386,1,F,outer membrane,iTRAQ1 protein list :: Ratio 116:115
PMM0004,purF Glutamine amidotransferase 4430:5890 forward,0.6064422281316076,,1,F,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM0013,CDS RNA-binding region RNP-1 (RNA recognition 16018:16683 forward,-0.3351278638105578,0.9068,2,R,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM0023,gap2 Glyceraldehyde 3-phosphate 24150:25172 forward,-0.33961449746382727,0.4227,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM0044,alaS Alanyl-tRNA synthetase 44305:46965 forward,0.0017301961388826133,0.9894,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM0046,CDS Nucleoside diphosphate kinase 49017:49475 forward,-0.4637481210627106,0.0912,1,F,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM0048,gatB Glutamyl-tRNA (Gln) amidotransferase subunit B 50672:52144 forward,0.18953994438850338,0.2049,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM0051,CDS conserved hypothetical protein 54244:54915 reverse,0.17491769523958806,,1,D,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM0075,CDS conserved hypothetical protein 79845:80951 forward,-0.2658648628688433,0.6674,1,S,unknown,iTRAQ2 protein list :: Ratio 115:114
PMM0090,CDS possible serine protease 95155:96303 reverse,0.1555492730618173,0.5674,2,O,periplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM0109,CDS possible POLO box duplicated region. 111615:112325 forward,0.07093882134343751,0.7773,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM0128,rpaA two-component response regulator 125358:126113 forward,0.12525433903146602,0.3382,1,T&K,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM0134,rpaB two-component response regulator 132148:132894 forward,-0.7742315035704033,0.0375,1,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM0142,CDS RNA-binding region RNP-1 (RNA recognition 139098:139517 forward,0.39966330388801763,0.2389,1,R,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM0144,"pds,crtD phytoene desaturase 140446:141867 reverse",-0.02782202965362751,0.8627,1,S,unknown,iTRAQ1 protein list :: Ratio 116:115
PMM0152,CDS Putative sugar-phosphate nucleotidyl 149447:150625 forward,0.2879450386445189,0.3013,1,M&J,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114
PMM0195,"pgk, cbbK Phosphoglycerate kinase 188883:190091 forward",-0.025470687516118178,0.8727,1,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
PMM0208,eno Enolase 201456:202748 forward,-0.4254624786979365,,1,G,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114
PMM0211,trxB FAD-dependent pyridine nucleotide-disulphide 204992:205948 forward,-0.6290390940917866,0.9578,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM0214,CDS putative sulfate transporter 207261:208916 reverse,0.9218171398466215,0.0017,1,P,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114
PMM0226,ftsH2 cell division protein FtsH2 219760:221616 reverse,0.0604624879861069,0.8988,1,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114
PMM0228,psbO Photosystem II manganese-stabilizing protein 222913:223707 reverse,0.04313073789025072,0.7261,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114
PMM0238,ileS Isoleucyl-tRNA synthetase 230206:233103 forward,-0.004334590263891128,0.9911,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115
