Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources,resolved_locus_tag,resolution_method
PMM0003,purL phosphoribosylformylglycinamidine synthetase II 2044:4383 forward,-0.0492581015086282,0.8624,2,F,outer membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0003,locus_tag:Accession
PMM0004,purF Glutamine amidotransferase 4430:5890 forward,0.4514353304370038,,1,F,unknown,iTRAQ1 protein list :: Ratio 114:115,PMM0004,locus_tag:Accession
PMM0013,CDS RNA-binding region RNP-1 (RNA recognition 16018:16683 forward,-0.1747280063299962,0.9283,4,R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0013,locus_tag:Accession
PMM0023,gap2 Glyceraldehyde 3-phosphate 24150:25172 forward,-0.4739430303438542,0.8744,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0023,locus_tag:Accession
PMM0044,alaS Alanyl-tRNA synthetase 44305:46965 forward,0.1058763038421311,0.4382,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0044,locus_tag:Accession
PMM0046,CDS Nucleoside diphosphate kinase 49017:49475 forward,-0.2824653146572674,0.3644,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0046,locus_tag:Accession
PMM0048,gatB Glutamyl-tRNA (Gln) amidotransferase subunit B 50672:52144 forward,0.1797771372226498,0.2134,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0048,locus_tag:Accession
PMM0051,CDS conserved hypothetical protein 54244:54915 reverse,0.1336679731223635,,2,D,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0051,locus_tag:Accession
PMM0075,CDS conserved hypothetical protein 79845:80951 forward,-0.5102521522177258,0.8169,2,S,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0075,locus_tag:Accession
PMM0090,CDS possible serine protease 95155:96303 reverse,0.3057494356921345,0.8788,4,O,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0090,locus_tag:Accession
PMM0109,CDS possible POLO box duplicated region. 111615:112325 forward,0.0986062796886551,0.4688,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0109,locus_tag:Accession
PMM0128,rpaA two-component response regulator 125358:126113 forward,-0.0109585037274983,0.4353,2,T&K,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0128,locus_tag:Accession
PMM0134,rpaB two-component response regulator 132148:132894 forward,-0.6176158744661762,0.2068,2,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0134,locus_tag:Accession
PMM0142,CDS RNA-binding region RNP-1 (RNA recognition 139098:139517 forward,0.7244147296713044,0.0249,2,R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0142,locus_tag:Accession
PMM0144,"pds,crtD phytoene desaturase 140446:141867 reverse",-0.0442719809367974,0.6233,2,S,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0144,locus_tag:Accession
PMM0152,CDS Putative sugar-phosphate nucleotidyl 149447:150625 forward,0.8275723992351004,0.2901,2,M&J,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0152,locus_tag:Accession
PMM0195,"pgk, cbbK Phosphoglycerate kinase 188883:190091 forward",-0.0609016095677836,0.788,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0195,locus_tag:Accession
PMM0208,eno Enolase 201456:202748 forward,1.3365824662183026,,2,G,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0208,locus_tag:Accession
