ID,start,end,em_Preferred_name,em_BRITE,em_CAZy,em_COG_cat,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_ko,em_PFAMs,em_Preferred_name,em_desc,product,uniprot_entry_name,uniprot_protein_name,uniprot_gene_name
2626311743,83,1477,dnaA,"ko00000,ko00001,ko03032,ko03036",,F,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1990837,GO:2000112",,"ko02020,ko04112,map02020,map04112",ko:K02313,"Bac_DnaA,Bac_DnaA_C,DnaA_N",dnaA,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,chromosomal replication initiator protein DnaA,DNAA_PROM0,Chromosomal replication initiator protein DnaA,dnaA P9301_05911
2626311744,1485,2714,,"ko00000,ko00001,ko01000,ko02000",,O,,,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",ko:K00799,GST_N_3,,Alternative locus ID,"Glutathione S-transferase, N-terminal domain",A3PBU0_PROM0,Glutathione S-transferase,P9301_05921
2626311745,2767,4131,gor,"ko00000,ko00001,ko01000",,C,"GO:0000166,GO:0003674,GO:0003824,GO:0004362,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0006518,GO:0006575,GO:0006749,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009055,GO:0009636,GO:0009987,GO:0015036,GO:0015037,GO:0015038,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0019725,GO:0022900,GO:0034641,GO:0036094,GO:0042221,GO:0042592,GO:0043167,GO:0043168,GO:0043603,GO:0044237,GO:0044424,GO:0044464,GO:0045454,GO:0048037,GO:0050660,GO:0050661,GO:0050662,GO:0050789,GO:0050794,GO:0050896,GO:0051186,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0071704,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901265,GO:1901363,GO:1901564,GO:1990748",,"ko00480,ko04918,map00480,map04918",ko:K00383,"Pyr_redox_2,Pyr_redox_dim",gor,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,NADPH-glutathione reductase (EC 1.8.1.7),A3PBU1_PROM0,Probable glutathione reductase (NADPH) (EC 1.8.1.7),gor P9301_05931
2626311746,4134,5213,ecm27,"ko00000,ko02000",,P,,,,ko:K07301,Na_Ca_ex,ecm27,calcium sodium proton antiporter,K+-dependent Na+/Ca+ exchanger related-protein,A3PBU2_PROM0,Putative CaCA family sodium/calcium exchanger,ecm27 P9301_05941
2626311747,5344,6393,pyrC,"ko00000,ko00001,ko00002,ko01000",,F,"GO:0003674,GO:0003824,GO:0004151,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006207,GO:0006213,GO:0006220,GO:0006221,GO:0006222,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016787,GO:0016810,GO:0016812,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019856,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0043167,GO:0043169,GO:0044205,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046049,GO:0046112,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",M00051,"ko00240,ko01100,map00240,map01100",ko:K01465,Amidohydro_1,pyrC,Catalyzes the reversible cyclization of carbamoyl aspartate to dihydroorotate,dihydroorotase (EC 3.5.2.3),A3PBU3_PROM0,Dihydroorotase (DHOase) (EC 3.5.2.3),pyrC P9301_05951
2626311748,6493,6578,,,,,,,,,,,,,,,
2626311749,6657,6890,ndhL,"ko00000,ko00001,ko00002,ko01000",,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0008150,GO:0008152,GO:0009579,GO:0016020,GO:0016021,GO:0016491,GO:0016651,GO:0016655,GO:0031224,GO:0034357,GO:0042651,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0048037,GO:0048038,GO:0055114",M00145,"ko00190,ko01100,map00190,map01100",ko:K05583,NdhL,ndhL,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration",NADH dehydrogenase transmembrane subunit,NDHL_PROM0,NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L),ndhL P9301_05961
2626311750,6895,7215,,,,S,,,,,DUF3007,,Alternative locus ID,Protein of unknown function (DUF3007),A3PBU5_PROM0,DUF3007 domain-containing protein,P9301_05971
2626311751,7244,8086,trpA,"ko00000,ko00001,ko00002,ko01000",,E,"GO:0000162,GO:0003674,GO:0003824,GO:0004834,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00023,"ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230",ko:K01695,Trp_syntA,trpA,The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate,"tryptophan synthase, alpha chain (EC 4.2.1.20)",A3PBU6_PROM0,Tryptophan synthase alpha chain (EC 4.2.1.20),trpA P9301_05981
2626311752,8169,8525,,,,K,,,,,AbrB-like,,Alternative locus ID,AbrB-like transcriptional regulator,A3PBU7_PROM0,Transcriptional regulator AbrB,P9301_05991
