filename,locus_tag,type,start,end,strand,gene,product,db_xref,EC_number,KO,KEGG_KM,KEGG_manual,antiSMASH,BioV_transp,blast_phytohormones,blast_vibrioferrin,blast_DMSP,dbCAN_CAZy,Species,recommended_name,systematic_name,synonyms,Unnamed: 0,main,sub,path,ecpath,path_id,signal_product,SignalP,EC_number1,EC_number2,category_x,N Enzyme name,EC numbers,Unnamed: 3,_merge,EC_number_pattern,category_y,enzyme name,category,is_signal
28108.53,IHCOGGJP_00264,CDS,288697,290727,-,ftsH_1,ATP-dependent zinc metalloprotease FtsH,,3.4.24.-,,,,,,,,,,Alteromonas macleodii 1A3,,,,,,,,,,ATP-dependent zinc metalloprotease FtsH,OTHER,3.4.24.-,3.4.-.-,Proteases,Metalloendopeptidases ,3.4.24.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_00278,CDS,306026,306970,-,htpX,Protease HtpX,,3.4.24.-,,,,,,,,,,Alteromonas macleodii 1A3,,,,,,,,,,Protease HtpX,OTHER,3.4.24.-,3.4.-.-,Proteases,Metalloendopeptidases ,3.4.24.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_00426,CDS,482986,484956,+,macB,Macrolide export ATP-binding/permease protein MacB,COG:COG0577,3.6.3.-,K02004,,,,,,,,,Alteromonas macleodii 1A3,,,,47370.0,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K02004  ABC.CD.P; putative ABC transport system permease protein,K02004,Macrolide export ATP-binding_permease protein MacB,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_00472,CDS,530621,532729,-,dpp5_1,Dipeptidyl-peptidase 5,COG:COG1506,3.4.14.-,K01303,,,,,,,,,Alteromonas macleodii 1A3,,,,36524.0,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K01303  APEH; acylaminoacyl-peptidase [EC:3.4.19.1],K01303,Dipeptidyl-peptidase 5,SP,3.4.14.-,3.4.-.-,Proteases,Du/tripeptidyl-peptidases ,3.4.14.x,,both,,,,Proteases,Is Signal
28108.53,IHCOGGJP_00600,CDS,663168,664613,+,ftsH_2,ATP-dependent zinc metalloprotease FtsH,,3.4.24.-,,,,,,,,,,Alteromonas macleodii 1A3,,,,,,,,,,ATP-dependent zinc metalloprotease FtsH,OTHER,3.4.24.-,3.4.-.-,Proteases,Metalloendopeptidases ,3.4.24.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_00625,CDS,689914,692463,+,nasD,Nitrite reductase [NAD(P)H],COG:COG1251,1.7.1.4,K00362,,,,,,,,,Alteromonas macleodii 1A3,nitrite reductase [NAD(P)H],ammonia:NAD(P)+ oxidoreductase,NiR;nitrite reductase [NAD(P)H2];EC 1.6.6.4;NADPH-nitrite reductase;NirK;nitrite reductase;assimilitory nitrite reductase;NrfA reductase;NADH-nitrite oxidoreductase;copper-containing Nir;copper-containing nitrite reductase;nitrite reductase (reduced nicotinamide adenine dinucleotide (phosphate));NAD(P)H:nitrite oxidoreductase,2082.0,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],K00362  nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15],K00362,Nitrite reductase _NAD_P_H_,OTHER,1.7.1.-,1.7.-.-,"Uptake, reduction and assimilation",Nitrite reductase (assimilatory) ,1.7.1.4, (NAD(P)H-bispecific),both,,,,"Uptake, reduction and assimilation",Not Signal
28108.53,IHCOGGJP_00627,CDS,692959,695862,+,napA,Periplasmic nitrate reductase,,1.9.6.1,K00372,,,,,,,,,Alteromonas macleodii 1A3,nitrate reductase (cytochrome),ferrocytochrome:nitrate oxidoreductase,"benzyl viologen-nitrate reductase;single subunit Nap-type periplasmic nitrate reductase;NAP enzyme;nitrate reductase, periplasmic;napA-beta;NapA;reductase, nitrate (cytochrome);EC 1.7.99.4;NapAB;periplasmic nitrate reductase;NapABC;NapDAGHB;respiratory nitrate reductase;Nap-alpha;NAP;periplasmic nitrate reductases;NAP-beta;More;NapEDABC;mmol_1648",2079.0,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],K00372  nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],K00372,Periplasmic nitrate reductase,OTHER,1.9.6.-,1.9.-.-,electron sources or sinks,Nitrate reductase (dissimilatory) ,1.9.6.1, (Cytochrome),both,,,,electron sources or sinks,Not Signal
28108.53,IHCOGGJP_00751,CDS,839253,839978,-,lptB,Lipopolysaccharide export system ATP-binding protein LptB,COG:COG1137,3.6.3.-,K06861,,,,,,,,,Alteromonas macleodii 1A3,,,,10553.0,09130 Environmental Information Processing,09131 Membrane transport,02010 ABC transporters [PATH:ko02010],K06861  lptB; lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5],K06861,Lipopolysaccharide export system ATP-binding protein LptB,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_00757,CDS,844416,845216,+,mlaF,Intermembrane phospholipid transport system ATP-binding protein MlaF,COG:COG1127,3.6.3.-,K02065,,,,,,,,,Alteromonas macleodii 1A3,,,,10271.0,09130 Environmental Information Processing,09131 Membrane transport,02010 ABC transporters [PATH:ko02010],"K02065  mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein",K02065,Intermembrane phospholipid transport system ATP-binding protein MlaF,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_00805,CDS,906181,908307,+,dpp5_2,Dipeptidyl-peptidase 5,COG:COG1506,3.4.14.-,K01303,,,,,,,,,Alteromonas macleodii 1A3,,,,36524.0,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K01303  APEH; acylaminoacyl-peptidase [EC:3.4.19.1],K01303,Dipeptidyl-peptidase 5,SP,3.4.14.-,3.4.-.-,Proteases,Du/tripeptidyl-peptidases ,3.4.14.x,,both,,,,Proteases,Is Signal
