partner,treatment,product,logFC,logFC_rel_axenic,Pvalue
General_coculture,400ppm,nitrogen regulatory protein P-II family,6.017172374,6.017172374,1.31E-20
General_coculture,400ppm,phosphoglycolate phosphatase,-0.002091084,-0.002091084,0.985118293
General_coculture,400ppm,glycine/D-amino acid oxidase-like deaminating,0.988531013,0.988531013,7.18E-19
General_coculture,400ppm,glycerate dehydrogenase,0.693304643,0.693304643,7.89E-09
General_coculture,400ppm,D-lactate dehydrogenase-like protein,2.453280933,2.453280933,2.99E-23
General_coculture,400ppm,3-hydroxyisobutyrate dehydrogenase,1.349692332,1.349692332,0.000356854
General_coculture,400ppm,choline dehydrogenase,-1.105346835,-1.105346835,5.22E-05
General_coculture,400ppm,Fis family nitrogen metabolism transcriptional,2.06025747,2.06025747,1.65E-13
General_coculture,400ppm,hydroxypyruvate isomerase,3.521527397,3.521527397,7.12E-17
General_coculture,400ppm,acetate kinase,0.568199824,0.568199824,2.62E-06
General_coculture,400ppm,methylmalonate-semialdehyde dehydrogenase,1.391399455,1.391399455,0.000381319
General_coculture,400ppm,phosphotransacetylase,1.211237582,1.211237582,3.83E-16
General_coculture,400ppm,pyruvate dehydrogenase E2 component,1.034158121,1.034158121,9.93E-05
General_coculture,400ppm,propionyl-CoA synthetase,2.430859028,2.430859028,2.09E-15
General_coculture,400ppm,betaine aldehyde dehydrogenase,-1.872276492,-1.872276492,1.65E-06
General_coculture,400ppm,acyl-CoA dehydrogenase,1.240036671,1.240036671,1.62E-06
General_coculture,400ppm,acetyl-CoA C-acetyltransferase,1.357848766,1.357848766,5.60E-06
General_coculture,400ppm,pyruvate dehydrogenase E1 component,1.033471594,1.033471594,5.41E-06
General_coculture,400ppm,serine hydroxymethyltransferase,1.220103017,1.220103017,8.80E-14
General_coculture,400ppm,acetyl-coenzyme A synthetase,1.003931877,1.003931877,0.000130738
General_coculture,400ppm,glycine cleavage system H protein,0.309234575,0.309234575,0.218798474
General_coculture,400ppm,3-hydroxyacyl-CoA dehydrogenase,1.261401601,1.261401601,1.06E-05
General_coculture,400ppm,malate dehydrogenase (NAD),1.314410809,1.314410809,4.75E-11
General_coculture,400ppm,L-glutamine synthetase,2.876536806,2.876536806,5.83E-16
General_coculture,400ppm,methylisocitrate lyase,-1.982864106,-1.982864106,4.67E-10
General_coculture,400ppm,glycine dehydrogenase,0.958012924,0.958012924,0.001274359
General_coculture,400ppm,2-methylcitrate synthase,-1.835956129,-1.835956129,6.34E-08
General_coculture,400ppm,2-methylcitrate dehydratase,-1.217323383,-1.217323383,0.00212154
General_coculture,400ppm,aminomethyltransferase,-0.371133396,-0.371133396,0.165265282
General_coculture,400ppm,malate synthase,0.668837294,0.668837294,0.139738238
General_coculture,400ppm,isocitrate lyase,0.660071102,0.660071102,0.170211321
Procholorococcus_MIT9312,400ppm,nitrogen regulatory protein P-II family,0.711765663,6.728938037,0.085423926
Procholorococcus_MIT9312,400ppm,phosphoglycolate phosphatase,-0.213357241,-0.215448326,0.044306016
Procholorococcus_MIT9312,400ppm,glycine/D-amino acid oxidase-like deaminating,-0.665081983,0.32344903,1.01E-10
Procholorococcus_MIT9312,400ppm,glycerate dehydrogenase,-0.200726941,0.492577702,0.062669896
Procholorococcus_MIT9312,400ppm,D-lactate dehydrogenase-like protein,-0.269876905,2.183404028,0.183299956
Procholorococcus_MIT9312,400ppm,3-hydroxyisobutyrate dehydrogenase,-1.050072262,0.29962007,0.002610973
Procholorococcus_MIT9312,400ppm,choline dehydrogenase,1.12246149,0.017114655,2.62E-06
Procholorococcus_MIT9312,400ppm,Fis family nitrogen metabolism transcriptional,0.315300167,2.375557637,0.164100414
Procholorococcus_MIT9312,400ppm,hydroxypyruvate isomerase,-0.082823258,3.43870414,0.798050351
Procholorococcus_MIT9312,400ppm,acetate kinase,-0.75061611,-0.182416286,3.09E-11
Procholorococcus_MIT9312,400ppm,methylmalonate-semialdehyde dehydrogenase,-1.185621699,0.205777755,0.001154126
Procholorococcus_MIT9312,400ppm,phosphotransacetylase,-0.763561675,0.447675907,1.61E-08
Procholorococcus_MIT9312,400ppm,pyruvate dehydrogenase E2 component,1.355789656,2.389947777,8.40E-10
Procholorococcus_MIT9312,400ppm,propionyl-CoA synthetase,-0.963700939,1.467158089,0.000292997
Procholorococcus_MIT9312,400ppm,betaine aldehyde dehydrogenase,1.479244624,-0.393031868,1.30E-05
Procholorococcus_MIT9312,400ppm,acyl-CoA dehydrogenase,0.615993538,1.856030209,0.004291101
Procholorococcus_MIT9312,400ppm,acetyl-CoA C-acetyltransferase,0.730376164,2.08822493,0.003150577
Procholorococcus_MIT9312,400ppm,pyruvate dehydrogenase E1 component,1.627465956,2.66093755,8.17E-18
Procholorococcus_MIT9312,400ppm,serine hydroxymethyltransferase,-0.72294661,0.497156407,1.00E-06
Procholorococcus_MIT9312,400ppm,acetyl-coenzyme A synthetase,-0.288603439,0.715328438,0.212707783
Procholorococcus_MIT9312,400ppm,glycine cleavage system H protein,-1.458881429,-1.149646854,5.21E-09
Procholorococcus_MIT9312,400ppm,3-hydroxyacyl-CoA dehydrogenase,0.50278869,1.76419029,0.035906598
Procholorococcus_MIT9312,400ppm,malate dehydrogenase (NAD),-0.776122472,0.538288337,1.70E-05
Procholorococcus_MIT9312,400ppm,L-glutamine synthetase,0.280127789,3.156664595,0.312228373
Procholorococcus_MIT9312,400ppm,methylisocitrate lyase,0.909140015,-1.073724091,0.001024919
Procholorococcus_MIT9312,400ppm,glycine dehydrogenase,-1.483787208,-0.525774284,2.96E-07
Procholorococcus_MIT9312,400ppm,2-methylcitrate synthase,0.787347435,-1.048608694,0.007945132
Procholorococcus_MIT9312,400ppm,2-methylcitrate dehydratase,0.172330298,-1.044993086,0.628203288
Procholorococcus_MIT9312,400ppm,aminomethyltransferase,-2.033866035,-2.404999431,7.93E-13
Procholorococcus_MIT9312,400ppm,malate synthase,-0.566002769,0.102834525,0.170207021
Procholorococcus_MIT9312,400ppm,isocitrate lyase,-0.077867827,0.582203276,0.854377831
Synechococcus_CC9311,400ppm,nitrogen regulatory protein P-II family,0.529780502,6.546952876,0.202887518
Synechococcus_CC9311,400ppm,phosphoglycolate phosphatase,0.003322407,0.001231323,0.973646266
Synechococcus_CC9311,400ppm,glycine/D-amino acid oxidase-like deaminating,0.23161483,1.220145843,0.014023221
Synechococcus_CC9311,400ppm,glycerate dehydrogenase,0.377526137,1.070830781,0.000231441
Synechococcus_CC9311,400ppm,D-lactate dehydrogenase-like protein,-0.277988209,2.175292724,0.168659771
Synechococcus_CC9311,400ppm,3-hydroxyisobutyrate dehydrogenase,1.107704737,2.457397069,0.000359649
Synechococcus_CC9311,400ppm,choline dehydrogenase,-1.461989892,-2.567336728,1.38E-07
Synechococcus_CC9311,400ppm,Fis family nitrogen metabolism transcriptional,0.476486576,2.536744046,0.034029981
Synechococcus_CC9311,400ppm,hydroxypyruvate isomerase,-0.009749543,3.511777854,0.975854298
Synechococcus_CC9311,400ppm,acetate kinase,0.373742618,0.941942442,0.000337774
Synechococcus_CC9311,400ppm,methylmalonate-semialdehyde dehydrogenase,1.122869726,2.514269181,0.000471781
Synechococcus_CC9311,400ppm,phosphotransacetylase,0.336488842,1.547726424,0.007241147
Synechococcus_CC9311,400ppm,pyruvate dehydrogenase E2 component,-0.378762904,0.655395217,0.10766576
Synechococcus_CC9311,400ppm,propionyl-CoA synthetase,-0.115610277,2.315248751,0.643434597
Synechococcus_CC9311,400ppm,betaine aldehyde dehydrogenase,-2.191989651,-4.064266143,1.99E-07
Synechococcus_CC9311,400ppm,acyl-CoA dehydrogenase,0.372956688,1.612993359,0.086520549
Synechococcus_CC9311,400ppm,acetyl-CoA C-acetyltransferase,0.384997938,1.742846704,0.124023302
Synechococcus_CC9311,400ppm,pyruvate dehydrogenase E1 component,-0.63344353,0.400028064,0.002023846
Synechococcus_CC9311,400ppm,serine hydroxymethyltransferase,0.689133874,1.909236891,4.23E-07
Synechococcus_CC9311,400ppm,acetyl-coenzyme A synthetase,0.406363089,1.410294966,0.068179005
Synechococcus_CC9311,400ppm,glycine cleavage system H protein,1.230754625,1.5399892,9.63E-09
Synechococcus_CC9311,400ppm,3-hydroxyacyl-CoA dehydrogenase,0.741010468,2.002412069,0.00183318
Synechococcus_CC9311,400ppm,malate dehydrogenase (NAD),0.604124109,1.918534918,0.000278216
Synechococcus_CC9311,400ppm,L-glutamine synthetase,0.587480808,3.464017614,0.031889605
Synechococcus_CC9311,400ppm,methylisocitrate lyase,-1.680894434,-3.66375854,2.82E-07
Synechococcus_CC9311,400ppm,glycine dehydrogenase,1.001113974,1.959126898,5.69E-05
Synechococcus_CC9311,400ppm,2-methylcitrate synthase,-1.933048919,-3.769005048,6.57E-08
Synechococcus_CC9311,400ppm,2-methylcitrate dehydratase,-1.633232561,-2.850555944,6.30E-05
Synechococcus_CC9311,400ppm,aminomethyltransferase,1.442004679,1.070871283,4.89E-10
Synechococcus_CC9311,400ppm,malate synthase,-0.621259536,0.047577759,0.133825955
Synechococcus_CC9311,400ppm,isocitrate lyase,-1.093616939,-0.433545837,0.016875416
Synechococus_WH8102,400ppm,nitrogen regulatory protein P-II family,-1.241546165,4.775626209,0.008020124
Synechococus_WH8102,400ppm,phosphoglycolate phosphatase,0.210034835,0.20794375,0.034035574
Synechococus_WH8102,400ppm,glycine/D-amino acid oxidase-like deaminating,0.433467153,1.421998166,3.28E-06
Synechococus_WH8102,400ppm,glycerate dehydrogenase,-0.176799196,0.516505447,0.093924993
Synechococus_WH8102,400ppm,D-lactate dehydrogenase-like protein,0.547865114,3.001146046,0.004592971
Synechococus_WH8102,400ppm,3-hydroxyisobutyrate dehydrogenase,-0.057632475,1.292059857,0.858794897
Synechococus_WH8102,400ppm,choline dehydrogenase,0.339528402,-0.765818433,0.163340923
Synechococus_WH8102,400ppm,Fis family nitrogen metabolism transcriptional,-0.791786743,1.268470727,0.001127039
Synechococus_WH8102,400ppm,hydroxypyruvate isomerase,0.092572801,3.614100198,0.772538455
Synechococus_WH8102,400ppm,acetate kinase,0.376873492,0.945073316,0.000297149
Synechococus_WH8102,400ppm,methylmalonate-semialdehyde dehydrogenase,0.062751973,1.454151428,0.850289676
Synechococus_WH8102,400ppm,phosphotransacetylase,0.427072833,1.638310416,0.000619169
Synechococus_WH8102,400ppm,pyruvate dehydrogenase E2 component,-0.977026752,0.057131368,7.42E-05
Synechococus_WH8102,400ppm,propionyl-CoA synthetase,1.079311215,3.510170243,6.14E-06
Synechococus_WH8102,400ppm,betaine aldehyde dehydrogenase,0.712745027,-1.159531465,0.037116411
