symbol,product,logFC,PValue
EZ55_03067,plasmid segregation oscillating ATPase ParF,-3.184232465,3.28E-12
EZ55_02372,hypothetical protein,-2.83762187,3.66E-06
EZ55_01782,uncharacterized protein DUF3718,-2.754231991,1.64E-07
EZ55_01776,uncharacterized protein DUF3718,-2.686031629,2.34E-06
EZ55_01810,SM-20-related protein,-2.644982238,3.92E-06
EZ55_02371,hypothetical protein,-2.566433729,3.99E-06
EZ55_02586,hypothetical protein,-2.414202531,1.01E-05
EZ55_03068,plasmid segregation centromere-binding protein,-2.40160152,5.99E-13
EZ55_01777,uncharacterized protein DUF3718,-2.387912606,7.60E-07
EZ55_02642,predicted secreted protein with PEP-CTERM sorting,-2.318945584,1.82E-08
EZ55_01769,hypothetical protein,-2.213511852,6.36E-09
EZ55_00427,type IV pilus assembly protein PilM,-2.046489529,1.44E-13
EZ55_02712,type IV pilus assembly protein PilV,-2.03896263,1.70E-10
EZ55_02978,aminomethyltransferase,-2.033866035,7.93E-13
EZ55_04284,hypothetical protein,-1.998262062,1.96E-09
EZ55_00268,restriction system protein,-1.981940689,3.59E-09
EZ55_03021,type IV pilus assembly protein PilC,-1.922366661,2.01E-12
EZ55_00904,ATPase subunit of ABC transporter with duplicated,-1.918406088,6.09E-07
EZ55_02922,fucose permease,-1.908590361,3.63E-06
EZ55_03177,hypothetical protein,-1.852818666,4.11E-10
EZ55_04283,alkane 1-monooxygenase/xylene monooxygenase,-1.828603346,6.89E-09
EZ55_01530,peptidyl-tRNA hydrolase,-1.815025997,2.12E-11
EZ55_04255,2-hydroxymuconate semialdehyde hydrolase,-1.815020429,5.38E-09
EZ55_02711,type IV pilus assembly protein PilW,-1.734699693,6.57E-10
EZ55_03221,hypothetical protein,-1.70930749,5.83E-10
EZ55_00104,hypothetical protein,-1.701965271,3.19E-08
EZ55_04250,"benzoate/toluate 1, 2-dioxygenase reductase subunit",-1.700220121,8.00E-09
EZ55_02165,putative oxidoreductase,-1.665369536,0.003241749
EZ55_00532,hypothetical protein,-1.663178051,8.16E-09
EZ55_04282,benzaldehyde dehydrogenase (NAD+),-1.663093966,6.20E-08
EZ55_01395,glutathione synthase/RimK-type ligase-like,-1.654729962,1.66E-05
EZ55_04257,acetaldehyde dehydrogenase,-1.63674229,2.43E-08
EZ55_04249,"benzoate/toluate 1, 2-dioxygenase beta subunit",-1.627010498,3.95E-06
EZ55_02397,glyceraldehyde 3-phosphate dehydrogenase,-1.590990171,1.32E-10
EZ55_00709,periplasmic binding family protein,-1.566965885,1.17E-07
EZ55_04254,2-hydroxymuconate semialdehyde dehydrogenase,-1.557818695,6.72E-08
EZ55_03257,hypothetical protein,-1.556682619,3.33E-08
EZ55_00424,type IV pilus assembly protein PilP,-1.531942756,9.97E-08
EZ55_03359,ATP-dependent RNA helicase RhlE,-1.521453952,9.91E-10
EZ55_02710,type IV pilus assembly protein PilX,-1.519708107,5.36E-07
EZ55_03020,type IV pilus assembly protein PilA,-1.517541472,3.83E-07
EZ55_04258,4-hydroxy-2-oxovalerate aldolase,-1.512285793,2.84E-07
EZ55_00425,type IV pilus assembly protein PilO,-1.509926099,3.18E-08
EZ55_04256,2-oxopent-4-enoate/cis-2-oxohex-4-enoate,-1.505097134,5.05E-07
EZ55_01068,flagellin,-1.501678424,7.31E-11
EZ55_02976,glycine dehydrogenase,-1.483787208,2.96E-07
EZ55_03829,glycosyl hydrolase family 16,-1.464139427,9.63E-08
EZ55_02977,glycine cleavage system H protein,-1.458881429,5.21E-09
EZ55_00533,glycine hydroxymethyltransferase,-1.406272025,7.22E-06
EZ55_00323,hypothetical protein,-1.401812088,1.14E-08
EZ55_02513,amidophosphoribosyltransferase,-1.396479394,3.45E-09
EZ55_02164,aromatic ring-opening dioxygenase catalytic,-1.391928503,0.000118124
EZ55_04286,benzyl alcohol dehydrogenase,-1.384397463,7.52E-06
EZ55_03769,lipase chaperone LimK,-1.374627546,3.46E-06
EZ55_00394,group II intron reverse transcriptase/maturase,-1.373881045,6.28E-12
EZ55_00359,LSU ribosomal protein L3P,-1.367049688,2.31E-05
EZ55_03959,phosphoribosylaminoimidazolecarboxamide,-1.363049199,4.58E-09
EZ55_00426,type IV pilus assembly protein PilN,-1.362466466,1.19E-07
EZ55_04285,xylene monooxygenase electron transfer subunit,-1.357285655,3.77E-06
EZ55_00828,uncharacterized circularly permuted ATP-grasp,-1.347133091,8.89E-14
EZ55_03258,hypothetical protein,-1.338637709,2.97E-06
EZ55_02702,type IV fimbrial biogenesis protein FimT,-1.328026047,2.13E-11
EZ55_04248,"benzoate 1, 2-dioxygenase alpha subunit",-1.327373981,5.19E-05
EZ55_04253,"catechol 2, 3-dioxygenase",-1.311358813,5.93E-07
EZ55_03037,methyl-accepting chemotaxis protein,-1.293056438,0.000333998
EZ55_02068,L-serine ammonia-lyase,-1.29112358,8.68E-09
EZ55_03218,GTP-binding protein,-1.288493331,4.25E-07
EZ55_04251,"1, 2-dihydroxycyclohexa-3, 5-diene-1-carboxylate dehydrogenase",-1.275578873,0.000242962
EZ55_03531,type III pantothenate kinase,-1.27065855,7.41E-05
EZ55_01035,phosphoribosylformylglycinamidine synthase,-1.264551704,2.07E-08
EZ55_00360,LSU ribosomal protein L4P,-1.257290161,4.33E-05
EZ55_00361,LSU ribosomal protein L23P,-1.242636208,2.62E-05
EZ55_04259,4-oxalocrotonate decarboxylase,-1.239614391,8.10E-06
EZ55_04260,4-oxalocrotonate tautomerase,-1.230742442,2.14E-05
EZ55_01189,cysteine synthase A,-1.227248049,1.14E-05
EZ55_03544,putative zinc- or iron-chelating protein,-1.219664092,0.000835141
EZ55_00358,SSU ribosomal protein S10P,-1.217830147,0.000326474
EZ55_02665,exodeoxyribonuclease VII small subunit,-1.215407886,4.87E-08
EZ55_02221,phosphoribosylformylglycinamidine cyclo-ligase,-1.209332738,6.56E-09
EZ55_00829,transglutaminase-like putative cysteine protease,-1.204241399,8.77E-09
EZ55_00827,uncharacterized alpha-E superfamily protein,-1.190389511,1.58E-12
EZ55_03339,methylmalonate-semialdehyde dehydrogenase,-1.185621699,0.001154126
EZ55_04023,D-xylose isomerase,-1.175899561,3.78E-06
EZ55_00363,SSU ribosomal protein S19P,-1.145896947,0.000181929
EZ55_03811,SSU ribosomal protein S6P,-1.143009083,9.45E-09
EZ55_02514,membrane protein required for colicin V  production,-1.130729207,0.000118822
EZ55_02778,myo-inositol-1(or 4)-monophosphatase,-1.11938474,9.50E-07
EZ55_00179,putative lipoprotein,-1.118572524,1.35E-09
EZ55_01331,dihydroneopterin triphosphate pyrophosphatase,-1.113243021,2.28E-11
EZ55_03729,LSU ribosomal protein L11P,-1.102623689,5.95E-06
EZ55_01555,MoxR-like ATPase,-1.101402166,3.51E-12
EZ55_01345,quinolinate synthetase,-1.098830529,9.50E-12
EZ55_00362,LSU ribosomal protein L2P,-1.096024978,0.000218935
EZ55_03244,VCBS repeat-containing protein,-1.089022126,0.000514636
EZ55_04261,hypothetical protein,-1.083931977,1.30E-05
EZ55_01893,L-asparaginase,-1.074633423,3.61E-09
EZ55_03000,signal transduction histidine kinase,-1.063932128,5.79E-13
EZ55_01875,high frequency lysogenization protein,-1.058207941,1.00E-10
EZ55_03340,3-hydroxyisobutyrate dehydrogenase,-1.050072262,0.002610973
EZ55_02666,farnesyl diphosphate synthase,-1.050025436,1.45E-11
EZ55_02297,DDE family transposase,-1.049952611,3.64E-19
EZ55_03849,ketosteroid isomerase-like protein,-1.046569848,5.88E-05
EZ55_02752,inosine-5'-monophosphate dehydrogenase,-1.042131033,4.21E-06
EZ55_03727,LSU ribosomal protein L10P,-1.037568468,3.28E-06
EZ55_03508,hypothetical protein,-1.029330785,0.000540651
EZ55_03768,glutathione S-transferase,-1.028879961,5.35E-06
EZ55_03302,carboxylate/amino acid/amine transporter,-1.027112006,1.25E-07
EZ55_01727,Ig-like protein group 1,-1.018825919,2.50E-09
EZ55_01531,LSU ribosomal protein L25P,-1.013196311,2.17E-05
EZ55_01292,hypothetical protein,-1.011067079,7.71E-05
EZ55_03753,agmatine/peptidylarginine deiminase,-1.010506736,3.68E-07
EZ55_03736,regulator of RNase E activity RraA,-1.008680878,0.002679614
EZ55_03902,hypothetical protein,-1.008369368,1.91E-08
EZ55_00832,hypothetical protein,-1.001493176,2.73E-09
EZ55_03988,succinate-semialdehyde,1.003337129,0.001826356
EZ55_00909,fungalysin metallopeptidase (M36),1.006510305,0.006580461
EZ55_03853,MerC mercury resistance protein,1.010604942,0.000110896
EZ55_01450,anthranilate synthase component II,1.010687621,2.04E-07
EZ55_04065,ketol-acid reductoisomerase,1.011293829,0.001802113
EZ55_02183,hypothetical protein,1.014398864,0.000346783
EZ55_03943,peptidase M23-like protein,1.01769856,0.000349542
EZ55_03052,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",1.019888633,9.18E-09
EZ55_03208,azurin,1.024476929,1.02E-06
EZ55_01359,cytochrome b561,1.026290859,6.88E-17
EZ55_02470,uncharacterized protein with ParB-like and HNH,1.028315782,1.97E-08
EZ55_02298,D-alanine transaminase,1.030363455,7.55E-06
EZ55_04318,site-specific recombinase XerD,1.031822013,1.47E-15
EZ55_04336,cation efflux family protein,1.032374694,1.07E-15
EZ55_02377,hypothetical protein,1.034032026,5.24E-08
EZ55_01588,CO/xanthine dehydrogenase Mo-binding subunit,1.034172308,1.81E-11
EZ55_04132,chromosome partitioning protein,1.034566909,8.67E-07
EZ55_02918,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,1.036452219,0.001018695
EZ55_02972,DNA polymerase family A,1.038118539,1.01E-12
EZ55_03095,osmotically inducible protein OsmC,1.040811718,0.00175768
EZ55_02059,tryptophanyl-tRNA synthetase,1.041127154,2.29E-09
EZ55_01510,hypothetical protein,1.042848838,5.42E-08
EZ55_03056,MraZ protein,1.053241902,3.25E-12
