seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_003911.12,mnmG,mnmG,SPO_RS00005,SPO0001,Protein Homology,1,1869,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011045773.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,WP_011045773.1,"GO:0002098,GO:0008033",,,"tRNA wobble uridine modification|0002098||IEA,tRNA processing|0008033||IEA",,SPO0001,
NC_003911.12,rsmG,rsmG,SPO_RS22355,SPO0002,Protein Homology,1866,2480,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011045774.1,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,WP_011045774.1,"GO:0031167,GO:0046118,GO:0008168",,methyltransferase activity|0008168||IEA,"rRNA methylation|0031167||IEA,7-methylguanosine biosynthetic process|0046118||IEA",,SPO0002,2.1.1.170
NC_003911.12,SPO_RS00015,,SPO_RS00015,SPO0003,Protein Homology,2473,3276,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019295312.1,ParA family protein,WP_011045775.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,,SPO0003,
NC_003911.12,SPO_RS00020,,SPO_RS00020,SPO0004,Protein Homology,3299,4189,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011045776.1,ParB/RepB/Spo0J family partition protein,WP_011045776.1,GO:0003677,,DNA binding|0003677||IEA,,,SPO0004,
NC_003911.12,SPO_RS00025,,SPO_RS00025,SPO0005,Protein Homology,4179,4532,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011045777.1,YbaN family protein,WP_011045777.1,"GO:0005886,GO:0016020","plasma membrane|0005886||IEA,membrane|0016020||IEA",,,,SPO0005,
NC_003911.12,hemW,hemW,SPO_RS00030,SPO0006,Protein Homology,4536,5693,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011045778.1,radical SAM family heme chaperone HemW,WP_011045778.1,"GO:0006779,GO:0051539,GO:0051989,GO:0005737",cytoplasm|0005737||IEA,"4 iron%2C 4 sulfur cluster binding|0051539||IEA,coproporphyrinogen dehydrogenase activity|0051989||IEA",porphyrin-containing compound biosynthetic process|0006779||IEA,,SPO0006,
NC_003911.12,rdgB,rdgB,SPO_RS00035,SPO0007,Protein Homology,5683,6297,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008560596.1,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,WP_011045779.1,"GO:0006281,GO:0035870,GO:0036222",,"dITP diphosphatase activity|0035870||IEA,XTP diphosphatase activity|0036222||IEA",DNA repair|0006281||IEA,,SPO0007,3.6.1.66
NC_003911.12,rph,rph,SPO_RS00040,SPO0008,Protein Homology,6294,7007,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005979825.1,ribonuclease PH,WP_011045780.1,"GO:0008033,GO:0000049,GO:0009022",,"tRNA binding|0000049||IEA,tRNA nucleotidyltransferase activity|0009022||IEA",tRNA processing|0008033||IEA,,SPO0008,2.7.7.56
NC_003911.12,hrcA,hrcA,SPO_RS00045,SPO0009,Protein Homology,7130,8194,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_005979827.1,heat-inducible transcriptional repressor HrcA,WP_011045781.1,"GO:0006355,GO:0003677",,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA,,SPO0009,
NC_003911.12,SPO_RS00050,,SPO_RS00050,SPO0010,Protein Homology,8205,8768,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009825720.1,nucleotide exchange factor GrpE,WP_011045782.1,"GO:0006457,GO:0000774,GO:0042803,GO:0051082,GO:0051087",,"adenyl-nucleotide exchange factor activity|0000774||IEA,protein homodimerization activity|0042803||IEA,unfolded protein binding|0051082||IEA,protein-folding chaperone binding|0051087||IEA",protein folding|0006457||IEA,,SPO0010,
