gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
dnaA,dnaA,MASE_RS00005,MASE_00005,Protein Homology,410,2065,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975239.1,chromosomal replication initiator protein DnaA,WP_039228897.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",,MASE_00005,
dnaN,dnaN,MASE_RS00010,MASE_00010,Protein Homology,2098,3198,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_012516526.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,MASE_00010,2.7.7.7
recF,recF,MASE_RS00015,MASE_00015,Protein Homology,3324,4412,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_014947710.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,MASE_00015,
gyrB,gyrB,MASE_RS00020,MASE_00020,Protein Homology,4421,6841,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_014947711.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,MASE_00020,5.6.2.2
MASE_RS00025,,MASE_RS00025,MASE_00025,Protein Homology,7021,7707,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947712.1,hypothetical protein,WP_014947712.1,,,,,,MASE_00025,
MASE_RS00030,,MASE_RS00030,MASE_00030,Protein Homology,7737,8873,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947713.1,hypothetical protein,WP_014947713.1,,,,,,MASE_00030,
MASE_RS00035,,MASE_RS00035,MASE_00035,Protein Homology,8941,9384,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,putative periplasmic lipoprotein,WP_041693640.1,,,,,,MASE_00035,
glyS,glyS,MASE_RS00040,MASE_00040,Protein Homology,9468,11546,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_014947715.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,MASE_00040,6.1.1.14
glyQ,glyQ,MASE_RS00045,MASE_00045,Protein Homology,11549,12454,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014947716.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,MASE_00045,6.1.1.14
MASE_RS00050,,MASE_RS00050,MASE_00050,Protein Homology,12601,13209,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_014947717.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,MASE_00050,3.2.2.20
