protein_id,product,Prediction
WP_004588585.1,MULTISPECIES_ hypothetical protein _Alteromonadales_,SP
WP_006991848.1,MULTISPECIES_ hydrogenase expression_formation protein _Alteromonadaceae_,OTHER
WP_010179497.1,MULTISPECIES_ 30S ribosomal protein S10 _Alteromonadaceae_,OTHER
WP_012516526.1,MULTISPECIES_ DNA polymerase III subunit beta _Alteromonas_,OTHER
WP_012516568.1,MULTISPECIES_ nucleoid occlusion factor SlmA _Alteromonas_,OTHER
WP_012516577.1,MULTISPECIES_ 50S ribosomal protein L33 _Alteromonadaceae_,OTHER
WP_012516741.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012516807.1,MULTISPECIES_ NYN domain-containing protein _Alteromonas_,OTHER
WP_012516820.1,MULTISPECIES_ HupE_UreJ family protein _Gammaproteobacteria_,SP
WP_012516822.1,MULTISPECIES_ HlyD family efflux transporter periplasmic adaptor subunit _Alteromonas_,SP
WP_012516825.1,MULTISPECIES_ BlaI_MecI_CopY family transcriptional regulator _Alteromonas_,OTHER
WP_012516826.1,MULTISPECIES_ tyrosine-type recombinase_integrase _Alteromonas_,OTHER
WP_012516845.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012516846.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_012516848.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_012516849.1,MULTISPECIES_ hypothetical protein _Alteromonas_,LIPO
WP_012516859.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012516860.1,MULTISPECIES_ HypC_HybG_HupF family hydrogenase formation chaperone _Alteromonas_,OTHER
WP_012516863.1,MULTISPECIES_ hydrogenase formation protein HypD _Alteromonas_,OTHER
WP_012516866.1,MULTISPECIES_ MerR family DNA-binding protein _Alteromonas_,OTHER
WP_012516868.1,MULTISPECIES_ cupredoxin domain-containing protein _Alteromonas_,OTHER
WP_012516877.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012516879.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012516888.1,MULTISPECIES_ DUF3955 domain-containing protein _Gammaproteobacteria_,OTHER
WP_012516900.1,MULTISPECIES_ copper resistance protein CopC _Gammaproteobacteria_,SP
WP_012516902.1,MULTISPECIES_ nuclear transport factor 2 family protein _Gammaproteobacteria_,SP
WP_012516906.1,MULTISPECIES_ MerR family DNA-binding protein _Gammaproteobacteria_,OTHER
WP_012516909.1,MULTISPECIES_ DUF2933 domain-containing protein _Gammaproteobacteria_,OTHER
WP_012516911.1,MULTISPECIES_ hypothetical protein _Gammaproteobacteria_,SP
WP_012516914.1,MULTISPECIES_ hypothetical protein _Gammaproteobacteria_,OTHER
WP_012516916.1,MULTISPECIES_ copper resistance protein B _Gammaproteobacteria_,SP
WP_012516919.1,MULTISPECIES_ DUF305 domain-containing protein _Gammaproteobacteria_,OTHER
WP_012516940.1,MULTISPECIES_ LacI family transcriptional regulator _Alteromonas_,OTHER
WP_012516958.1,MULTISPECIES_ 50S ribosomal protein L4 _Alteromonas_,OTHER
WP_012516959.1,MULTISPECIES_ 50S ribosomal protein L23 _Alteromonas_,OTHER
WP_012516961.1,MULTISPECIES_ 30S ribosomal protein S19 _Alteromonas_,OTHER
WP_012516988.1,MULTISPECIES_ P-II family nitrogen regulator _Alteromonas_,OTHER
WP_012517074.1,MULTISPECIES_ thioredoxin TrxA _Alteromonas_,OTHER
WP_012517169.1,MULTISPECIES_ 50S ribosomal protein L21 _Alteromonas_,OTHER
WP_012517170.1,MULTISPECIES_ 50S ribosomal protein L27 _Alteromonas_,OTHER
WP_012517256.1,MULTISPECIES_ GatB_YqeY domain-containing protein _Alteromonas_,OTHER
WP_012517258.1,MULTISPECIES_ 30S ribosomal protein S21 _Alteromonadaceae_,OTHER
WP_012517276.1,MULTISPECIES_ TonB-dependent receptor _Alteromonas_,SP
WP_012517279.1,MULTISPECIES_ MotA_TolQ_ExbB proton channel family protein _Alteromonas_,OTHER
WP_012517332.1,MULTISPECIES_ stringent starvation protein A _Alteromonas_,OTHER
WP_012517338.1,MULTISPECIES_ ribosome hibernation promoting factor _Alteromonas_,OTHER
WP_012517351.1,MULTISPECIES_ BolA family transcriptional regulator _Alteromonas_,OTHER
WP_012517538.1,MULTISPECIES_ transcriptional regulator NrdR _Alteromonas_,OTHER
WP_012517627.1,MULTISPECIES_ flagellar basal body rod protein FlgC _Alteromonas_,OTHER
WP_012517628.1,MULTISPECIES_ flagellar hook assembly protein FlgD _Alteromonas_,OTHER
WP_012517630.1,MULTISPECIES_ flagellar basal body rod protein FlgF _Alteromonas_,OTHER
WP_012517675.1,MULTISPECIES_ flagellar biosynthesis protein FliQ _Alteromonas_,OTHER
WP_012517682.1,MULTISPECIES_ chemotaxis response regulator CheY _Alteromonadaceae_,OTHER
