seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,ec_numbers
NZ_JNAX01000001.1,EV03_RS00010,,EV03_RS00010,EV03_0001,GeneMarkS-2+,264.0,644.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_036904023.1,,,,,EV03_0001,264.0,644.0,-,CK_Pro_PAC1_00001,,,CK_00048637,,,,,,,,conserved hypothetical protein,,,856,Not Found,
NZ_JNAX01000001.1,EV03_RS00015,,EV03_RS00015,EV03_0002,GeneMarkS-2+,644.0,1201.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_052038621.1,,,,,EV03_0002,644.0,1201.0,+,CK_Pro_PAC1_00002,,,CK_00039975,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00020,,EV03_RS00020,EV03_0003,Protein Homology,1325.0,1624.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824004.1,hypothetical protein,WP_036904025.1,,,,,EV03_0003,1325.0,1624.0,+,CK_Pro_PAC1_00003,,,CK_00044838,R.2,Conserved hypothetical proteins,"NOG135207,bactNOG89127,cyaNOG09166","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein DUF4278,"PF14105,IPR025458","Domain of unknown function (DUF4278),Protein of unknown function DUF4278",156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS10545,,EV03_RS10545,EV03_0004,GeneMarkS-2+,1732.0,1881.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_156095758.1,,,,,EV03_0004,1732.0,1881.0,-,CK_Pro_PAC1_00004,,,CK_00044279,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00025,,EV03_RS00025,EV03_0005,Protein Homology,1951.0,2199.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011125606.1,hypothetical protein,WP_241434756.1,,,,,EV03_0005,1951.0,2169.0,-,CK_Pro_PAC1_00005,,,CK_00004165,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00030,,EV03_RS00030,EV03_0006,Protein Homology,2320.0,2577.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824008.1,DUF3104 domain-containing protein,WP_036904030.1,,,,,EV03_0006,2320.0,2577.0,+,CK_Pro_PAC1_00006,,,CK_00035937,R.2,Conserved hypothetical proteins,"NOG124702,bactNOG80858,cyaNOG08930","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein (DUF3104),"PF11302,IPR021453","Protein of unknown function (DUF3104),Protein of unknown function DUF3104",156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00035,,EV03_RS00035,EV03_0008,Protein Homology,3384.0,4130.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824010.1,amino acid ABC transporter ATP-binding protein,WP_036904032.1,"GO:0005524,GO:0015424,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ABC-type amino acid transporter activity|0015424||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,EV03_0008,3384.0,4130.0,-,CK_Pro_PAC1_00008,,"GO:0006865,GO:0015171",CK_00008060,Q.1,Amino acids%2C peptides and amines,"COG1126,bactNOG00298,cyaNOG00878","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",3.6.3.21,Transferred to 7.4.2.1,"amino acid transport,amino acid transport,amino acid transmembrane transporter activity",BgtA-like ABC-type uptake transporter for acidic and neutral polar amino acids (N-II)%2C ATPase subunit,"PF00005,PS00211,PS50893,IPR003439,IPR017871","ABC transporter,ABC transporters family signature.,ATP-binding cassette%2C ABC transporter-type domain profile.,ABC transporter-like,ABC transporter%2C conserved site",142,Transport and binding proteins / Amino acids%2C peptides and amines,
NZ_JNAX01000001.1,EV03_RS00040,,EV03_RS00040,EV03_0009,Protein Homology,4137.0,5171.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294701.1,amino acid ABC transporter permease,WP_036904034.1,"GO:0006865,GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",amino acid transport|0006865||IEA,EV03_0009,4137.0,5171.0,-,CK_Pro_PAC1_00009,natH,"GO:0006865,GO:0015171",CK_00001488,Q.1,Amino acids%2C peptides and amines,"COG0765,bactNOG03469,cyaNOG01430,cyaNOG00598","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"amino acid transport,amino acid transport,amino acid transmembrane transporter activity",ABC-type uptake transporter for acidic and neutral polar amino acids (N-II)%2C membrane protein,"TIGR01726,PF00528,PS50928,IPR010065,IPR000515","amino ABC transporter%2C permease protein%2C 3-TM region%2C His/Glu/Gln/Arg/opine family,Binding-protein-dependent transport system inner membrane component,ABC transporter integral membrane type-1 domain profile.,Amino acid ABC transporter%2C permease protein%2C 3-TM domain,ABC transporter type 1%2C transmembrane domain MetI-like",142,Transport and binding proteins / Amino acids%2C peptides and amines,
NZ_JNAX01000001.1,EV03_RS00045,,EV03_RS00045,EV03_0010,Protein Homology,5175.0,6074.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294702.1,ABC transporter permease subunit,WP_036904036.1,"GO:0055085,GO:0016020",membrane|0016020||IEA,,transmembrane transport|0055085||IEA,EV03_0010,5175.0,6074.0,-,CK_Pro_PAC1_00010,natG,"GO:0006865,GO:0015171,GO:0016020",CK_00001624,Q.1,Amino acids%2C peptides and amines,"COG4597,COG0765,bactNOG13719,bactNOG21850,bactNOG05304,bactNOG18448,cyaNOG01846","COG: METABOLISM [E] Amino acid transport and metabolism,COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"amino acid transport,amino acid transport,amino acid transmembrane transporter activity,amino acid transport,amino acid transmembrane transporter activity,membrane",ABC-type uptake transporter for acidic and neutral polar amino acids (N-II)%2C membrane protein,"TIGR01726,PF00528,PS50928,IPR000515,IPR010065","amino ABC transporter%2C permease protein%2C 3-TM region%2C His/Glu/Gln/Arg/opine family,Binding-protein-dependent transport system inner membrane component,ABC transporter integral membrane type-1 domain profile.,ABC transporter type 1%2C transmembrane domain MetI-like,Amino acid ABC transporter%2C permease protein%2C 3-TM domain",142,Transport and binding proteins / Amino acids%2C peptides and amines,
NZ_JNAX01000001.1,EV03_RS00050,,EV03_RS00050,EV03_0011,Protein Homology,6093.0,7154.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824013.1,amino acid ABC transporter substrate-binding protein,WP_036904038.1,"GO:0042626,GO:0140359,GO:0055052",ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,EV03_0011,6093.0,7154.0,-,CK_Pro_PAC1_00011,natF,"GO:0006865,GO:0015171",CK_00001489,Q.1,Amino acids%2C peptides and amines,"COG0834,bactNOG04241,bactNOG03265,cyaNOG01470","COG: ET,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"amino acid transport,amino acid transport,amino acid transmembrane transporter activity",ABC-type uptake transporter for acidic and neutral polar amino acids (N-II)%2C substrate binding protein,"PF00497,PS51257","Bacterial extracellular solute-binding proteins%2C family 3,Prokaryotic membrane lipoprotein lipid attachment site profile.",142,Transport and binding proteins / Amino acids%2C peptides and amines,
