gene,dark-tolerant_cluster,parental_cluster,same_periodicity_pattern
AtpT,4,10,FALSE
Yfr1,1,11,FALSE
Yfr10.like_1,15,15,TRUE
Yfr10.like_2,7,6,FALSE
Yfr10.like_4,14,2,FALSE
Yfr103_1,6,6,TRUE
Yfr103_2,6,6,TRUE
Yfr106,1,1,TRUE
Yfr107,4,8,FALSE
Yfr108,7,7,TRUE
Yfr13,10,9,FALSE
Yfr22_1,15,15,TRUE
Yfr22_2,9,9,TRUE
Yfr22_3,9,9,TRUE
Yfr23,9,9,TRUE
Yfr2_1,9,9,TRUE
Yfr2_2,14,1,FALSE
Yfr2_3,15,11,FALSE
Yfr2_4,2,1,FALSE
cds-PMN2A_RS01135,7,10,FALSE
cds-PMN2A_RS05260,14,12,FALSE
cds-PMN2A_RS09840,12,12,TRUE
cds-WP_009788866.1,5,11,FALSE
cds-WP_011125327.1-2,1,15,FALSE
cds-WP_011125327.1-3,1,1,TRUE
cds-WP_011125758.1,5,11,FALSE
cds-WP_011130577.1,5,11,FALSE
cds-WP_011293535.1,9,9,TRUE
cds-WP_011293536.1,14,11,FALSE
cds-WP_011293537.1,10,8,FALSE
cds-WP_011293538.1,4,8,FALSE
cds-WP_011293539.1,8,8,TRUE
cds-WP_011293540.1,7,9,FALSE
cds-WP_011293541.1,7,9,FALSE
cds-WP_011293542.1,12,12,TRUE
cds-WP_011293543.1,2,7,FALSE
cds-WP_011293544.1,7,7,TRUE
cds-WP_011293546.1,10,9,FALSE
cds-WP_011293547.1,10,9,FALSE
cds-WP_011293548.1,10,9,FALSE
cds-WP_011293549.1,9,7,FALSE
cds-WP_011293550.1,11,15,FALSE
cds-WP_011293551.1,13,3,FALSE
cds-WP_011293552.1,14,13,FALSE
cds-WP_011293553.1,14,13,FALSE
cds-WP_011293554.1,14,3,FALSE
cds-WP_011293555.1,13,12,FALSE
cds-WP_011293556.1,6,12,FALSE
cds-WP_011293557.1,12,13,FALSE
cds-WP_011293558.1,13,13,TRUE
cds-WP_011293559.1,6,9,FALSE
cds-WP_011293560.1,12,6,FALSE
cds-WP_011293561.1,12,6,FALSE
cds-WP_011293562.1,12,8,FALSE
cds-WP_011293563.1,1,5,FALSE
cds-WP_011293564.1,11,11,TRUE
cds-WP_011293565.1,11,11,TRUE
cds-WP_011293566.1,14,11,FALSE
cds-WP_011293567.1,5,11,FALSE
cds-WP_011293568.1,5,11,FALSE
cds-WP_011293569.1,5,11,FALSE
cds-WP_011293570.1,6,12,FALSE
cds-WP_011293571.1,12,12,TRUE
cds-WP_011293572.1,14,13,FALSE
cds-WP_011293573.1,14,12,FALSE
cds-WP_011293574.1,14,12,FALSE
cds-WP_011293575.1,11,11,TRUE
cds-WP_011293576.1,3,3,TRUE
cds-WP_011293577.1,14,3,FALSE
cds-WP_011293579.1,12,12,TRUE
cds-WP_011293580.1,4,4,TRUE
cds-WP_011293581.1,10,7,FALSE
cds-WP_011293582.1,6,12,FALSE
cds-WP_011293583.1,6,13,FALSE
cds-WP_011293585.1,1,1,TRUE
cds-WP_011293586.1,15,15,TRUE
cds-WP_011293588.1,1,2,FALSE
cds-WP_011293589.1,11,11,TRUE
cds-WP_011293590.1,6,13,FALSE
cds-WP_011293591.1,10,10,TRUE
cds-WP_011293592.1,12,4,FALSE
cds-WP_011293593.1,10,8,FALSE
cds-WP_011293594.1,4,10,FALSE
cds-WP_011293595.1,14,12,FALSE
cds-WP_011293596.1,11,11,TRUE
cds-WP_011293597.1,11,14,FALSE
cds-WP_011293598.1,8,10,FALSE
cds-WP_011293599.1,4,4,TRUE
cds-WP_011293600.1,5,3,FALSE
cds-WP_011293601.1,14,13,FALSE
cds-WP_011293602.1,3,13,FALSE
cds-WP_011293603.1,6,8,FALSE
cds-WP_011293604.1,8,7,FALSE
cds-WP_011293605.1,4,8,FALSE
cds-WP_011293606.1,6,12,FALSE
cds-WP_011293607.1,6,6,TRUE
cds-WP_011293608.1,9,2,FALSE
cds-WP_011293609.1,10,7,FALSE
cds-WP_011293610.1,4,2,FALSE
cds-WP_011293612.1,6,4,FALSE
cds-WP_011293613.1,13,3,FALSE
cds-WP_011293614.1,6,4,FALSE
cds-WP_011293615.1,6,8,FALSE
cds-WP_011293616.1,9,9,TRUE
cds-WP_011293617.1,10,7,FALSE
cds-WP_011293618.1,10,7,FALSE
cds-WP_011293620.1,15,11,FALSE
cds-WP_011293621.1,15,15,TRUE
cds-WP_011293622.1,14,13,FALSE
cds-WP_011293623.1,6,15,FALSE
cds-WP_011293624.1,13,2,FALSE
cds-WP_011293625.1,14,3,FALSE
cds-WP_011293626.1,4,7,FALSE
cds-WP_011293627.1,9,9,TRUE
cds-WP_011293628.1,15,3,FALSE
cds-WP_011293629.1,15,15,TRUE
cds-WP_011293630.1,3,11,FALSE
cds-WP_011293631.1,6,10,FALSE
cds-WP_011293632.1,6,9,FALSE
cds-WP_011293633.1,7,7,TRUE
cds-WP_011293634.1,7,7,TRUE
cds-WP_011293635.1,6,12,FALSE
cds-WP_011293636.1,13,14,FALSE
cds-WP_011293637.1,12,4,FALSE
cds-WP_011293638.1,12,3,FALSE
cds-WP_011293639.1,12,13,FALSE
cds-WP_011293640.1,12,12,TRUE
cds-WP_011293641.1,1,11,FALSE
cds-WP_011293642.1,5,3,FALSE
cds-WP_011293644.1,13,3,FALSE
cds-WP_011293645.1,5,5,TRUE
cds-WP_011293646.1,5,5,TRUE
cds-WP_011293647.1,9,14,FALSE
cds-WP_011293648.1,11,11,TRUE
cds-WP_011293649.1,1,12,FALSE
cds-WP_011293650.1,13,12,FALSE
cds-WP_011293651.1,15,9,FALSE
cds-WP_011293652.1,13,13,TRUE
cds-WP_011293653.1,4,2,FALSE
cds-WP_011293654.1,14,3,FALSE
cds-WP_011293655.1,4,4,TRUE
cds-WP_011293656.1,7,9,FALSE
cds-WP_011293657.1,9,7,FALSE
cds-WP_011293658.1,7,7,TRUE
cds-WP_011293659.1,10,2,FALSE
cds-WP_011293660.1,1,5,FALSE
cds-WP_011293661.1,9,9,TRUE
cds-WP_011293662.1,13,13,TRUE
cds-WP_011293663.1,1,1,TRUE
cds-WP_011293664.1,4,8,FALSE
cds-WP_011293665.1,5,5,TRUE
cds-WP_011293666.1,10,7,FALSE
cds-WP_011293667.1,3,13,FALSE
cds-WP_011293668.1,15,2,FALSE
cds-WP_011293669.1,1,14,FALSE
cds-WP_011293670.1,11,11,TRUE
cds-WP_011293671.1,11,3,FALSE
cds-WP_011293672.1,3,12,FALSE
cds-WP_011293673.1,2,14,FALSE
cds-WP_011293674.1,14,11,FALSE
cds-WP_011293675.1,9,15,FALSE
cds-WP_011293676.1,14,3,FALSE
cds-WP_011293677.1,13,1,FALSE
cds-WP_011293678.1,14,13,FALSE
cds-WP_011293679.1,6,7,FALSE
cds-WP_011293680.1,10,2,FALSE
cds-WP_011293681.1,10,7,FALSE
cds-WP_011293682.1,11,14,FALSE
cds-WP_011293683.1,14,13,FALSE
cds-WP_011293684.1,3,3,TRUE
cds-WP_011293685.1,12,14,FALSE
cds-WP_011293686.1,3,11,FALSE
cds-WP_011293687.1,11,3,FALSE
cds-WP_011293688.1,5,11,FALSE
cds-WP_011293690.1,14,3,FALSE
cds-WP_011293691.1,11,3,FALSE
cds-WP_011293692.1,14,3,FALSE
cds-WP_011293693.1,14,13,FALSE
cds-WP_011293694.1,2,7,FALSE
cds-WP_011293697.1,7,9,FALSE
cds-WP_011293698.1,12,12,TRUE
cds-WP_011293699.1,7,7,TRUE
cds-WP_011293700.1,1,5,FALSE
cds-WP_011293701.1,5,5,TRUE
cds-WP_011293702.1,5,3,FALSE
cds-WP_011293703.1,3,12,FALSE
cds-WP_011293704.1,1,2,FALSE
cds-WP_011293705.1,6,4,FALSE
cds-WP_011293706.1,14,11,FALSE
cds-WP_011293707.1,11,3,FALSE
cds-WP_011293708.1,14,3,FALSE
cds-WP_011293709.1,14,11,FALSE
cds-WP_011293710.1,15,9,FALSE
cds-WP_011293711.1,15,9,FALSE
cds-WP_011293712.1,15,15,TRUE
cds-WP_011293713.1,15,9,FALSE
cds-WP_011293714.1,9,10,FALSE
cds-WP_011293715.1,10,6,FALSE
cds-WP_011293716.1,5,3,FALSE
cds-WP_011293717.1,3,3,TRUE
cds-WP_011293718.1,14,13,FALSE
cds-WP_011293720.1,10,9,FALSE
cds-WP_011293721.1,10,9,FALSE
cds-WP_011293722.1,14,11,FALSE
cds-WP_011293723.1,3,13,FALSE
cds-WP_011293724.1,3,3,TRUE
cds-WP_011293725.1,3,3,TRUE
cds-WP_011293727.1,3,3,TRUE
cds-WP_011293728.1,3,3,TRUE
cds-WP_011293729.1,14,13,FALSE
cds-WP_011293730.1,8,8,TRUE
cds-WP_011293732.1,7,7,TRUE
cds-WP_011293733.1,2,2,TRUE
cds-WP_011293734.1,2,2,TRUE
cds-WP_011293735.1,4,8,FALSE
cds-WP_011293736.1,4,8,FALSE
cds-WP_011293737.1,4,8,FALSE
cds-WP_011293738.1,3,13,FALSE
cds-WP_011293739.1,14,3,FALSE
cds-WP_011293740.1,3,13,FALSE
cds-WP_011293741.1,9,9,TRUE
cds-WP_011293742.1,3,3,TRUE
cds-WP_011293743.1,14,3,FALSE
cds-WP_011293744.1,3,3,TRUE
cds-WP_011293745.1,13,12,FALSE
cds-WP_011293746.1,13,3,FALSE
cds-WP_011293747.1,12,13,FALSE
cds-WP_011293748.1,14,3,FALSE
cds-WP_011293749.1,1,14,FALSE
cds-WP_011293750.1,1,14,FALSE
cds-WP_011293751.1,13,3,FALSE
cds-WP_011293752.1,3,3,TRUE
cds-WP_011293753.1,4,4,TRUE
cds-WP_011293755.1,3,12,FALSE
cds-WP_011293756.1,5,6,FALSE
cds-WP_011293757.1,2,7,FALSE
cds-WP_011293758.1,9,10,FALSE
cds-WP_011293759.1,15,13,FALSE
cds-WP_011293760.1,15,9,FALSE
cds-WP_011293762.1,3,13,FALSE
cds-WP_011293763.1,3,13,FALSE
cds-WP_011293764.1,3,3,TRUE
cds-WP_011293765.1,15,15,TRUE
cds-WP_011293767.1,10,2,FALSE
cds-WP_011293768.1,5,4,FALSE
cds-WP_011293769.1,5,2,FALSE
cds-WP_011293770.1,5,2,FALSE
cds-WP_011293771.1,7,7,TRUE
cds-WP_011293772.1,6,12,FALSE
cds-WP_011293773.1,13,13,TRUE
cds-WP_011293775.1,11,3,FALSE
cds-WP_011293776.1,14,14,TRUE
cds-WP_011293777.1,10,7,FALSE
cds-WP_011293778.1,4,8,FALSE
cds-WP_011293779.1,3,13,FALSE
cds-WP_011293780.1,10,7,FALSE
cds-WP_011293781.1,6,2,FALSE
cds-WP_011293782.1,10,7,FALSE
cds-WP_011293783.1,8,8,TRUE
cds-WP_011293785.1,9,15,FALSE
cds-WP_011293786.1,15,2,FALSE
cds-WP_011293787.1,13,12,FALSE
cds-WP_011293788.1,3,13,FALSE
cds-WP_011293789.1,2,3,FALSE
cds-WP_011293790.1,14,11,FALSE
cds-WP_011293791.1,5,11,FALSE
cds-WP_011293792.1,9,7,FALSE
cds-WP_011293793.1,15,7,FALSE
cds-WP_011293795.1,9,9,TRUE
cds-WP_011293796.1,15,9,FALSE
cds-WP_011293797.1,11,15,FALSE
cds-WP_011293798.1,11,11,TRUE
cds-WP_011293799.1,9,15,FALSE
cds-WP_011293800.1,5,11,FALSE
cds-WP_011293801.1,14,11,FALSE
cds-WP_011293802.1,4,8,FALSE
cds-WP_011293803.1,6,10,FALSE
cds-WP_011293804.1,12,2,FALSE
cds-WP_011293805.1,6,9,FALSE
cds-WP_011293806.1,6,13,FALSE
cds-WP_011293807.1,13,3,FALSE
cds-WP_011293808.1,13,3,FALSE
cds-WP_011293809.1,13,15,FALSE
cds-WP_011293811.1,15,15,TRUE
cds-WP_011293812.1,4,8,FALSE
cds-WP_011293813.1,13,13,TRUE
cds-WP_011293814.1,13,13,TRUE
cds-WP_011293815.1,13,3,FALSE
cds-WP_011293816.1,12,12,TRUE
cds-WP_011293817.1,12,12,TRUE
cds-WP_011293819.1,11,11,TRUE
cds-WP_011293820.1,6,12,FALSE
cds-WP_011293821.1,10,9,FALSE
cds-WP_011293822.1,13,3,FALSE
cds-WP_011293823.1,5,5,TRUE
cds-WP_011293825.1,5,5,TRUE
cds-WP_011293826.1,15,9,FALSE
cds-WP_011293827.1,11,11,TRUE
cds-WP_011293828.1,14,13,FALSE
cds-WP_011293829.1,14,3,FALSE
cds-WP_011293830.1,15,15,TRUE
cds-WP_011293831.1,7,5,FALSE
cds-WP_011293832.1,4,10,FALSE
cds-WP_011293833.1,9,10,FALSE
cds-WP_011293834.1,3,3,TRUE
cds-WP_011293835.1,3,3,TRUE
cds-WP_011293836.1,11,3,FALSE
cds-WP_011293837.1,3,3,TRUE
cds-WP_011293838.1,11,11,TRUE
cds-WP_011293839.1,11,11,TRUE
cds-WP_011293840.1,15,9,FALSE
cds-WP_011293841.1,8,10,FALSE
cds-WP_011293842.1,9,9,TRUE
cds-WP_011293843.1,12,14,FALSE
cds-WP_011293844.1,10,11,FALSE
cds-WP_011293845.1,10,11,FALSE
cds-WP_011293846.1,10,7,FALSE
cds-WP_011293847.1,10,7,FALSE
cds-WP_011293848.1,6,10,FALSE
cds-WP_011293849.1,6,10,FALSE
cds-WP_011293850.1,7,9,FALSE
cds-WP_011293851.1,13,3,FALSE
cds-WP_011293852.1,15,15,TRUE
cds-WP_011293853.1,9,9,TRUE
cds-WP_011293854.1,10,15,FALSE
cds-WP_011293855.1,11,11,TRUE
cds-WP_011293856.1,4,8,FALSE
cds-WP_011293857.1,8,8,TRUE
cds-WP_011293858.1,2,2,TRUE
cds-WP_011293859.1,2,2,TRUE
cds-WP_011293860.1,12,13,FALSE
cds-WP_011293861.1,11,11,TRUE
cds-WP_011293862.1,13,11,FALSE
cds-WP_011293863.1,6,4,FALSE
cds-WP_011293865.1,7,7,TRUE
cds-WP_011293866.1,5,3,FALSE
cds-WP_011293867.1,14,12,FALSE
cds-WP_011293868.1,14,3,FALSE
cds-WP_011293869.1,6,8,FALSE
cds-WP_011293870.1,15,15,TRUE
cds-WP_011293871.1,9,9,TRUE
cds-WP_011293872.1,14,11,FALSE
cds-WP_011293873.1,14,11,FALSE
cds-WP_011293874.1,14,11,FALSE
cds-WP_011293875.1,14,11,FALSE
cds-WP_011293876.1,3,3,TRUE
cds-WP_011293877.1,13,14,FALSE
cds-WP_011293878.1,13,14,FALSE
cds-WP_011293879.1,6,4,FALSE
cds-WP_011293880.1,6,12,FALSE
cds-WP_011293881.1,7,8,FALSE
cds-WP_011293882.1,10,15,FALSE
cds-WP_011293884.1,6,4,FALSE
cds-WP_011293885.1,1,14,FALSE
cds-WP_011293886.1,14,11,FALSE
cds-WP_011293887.1,10,9,FALSE
cds-WP_011293888.1,3,11,FALSE
cds-WP_011293889.1,10,15,FALSE
cds-WP_011293890.1,10,9,FALSE
cds-WP_011293891.1,7,7,TRUE
cds-WP_011293892.1,6,12,FALSE
cds-WP_011293894.1,2,4,FALSE
cds-WP_011293895.1,15,10,FALSE
cds-WP_011293896.1,6,12,FALSE
cds-WP_011293898.1,5,5,TRUE
cds-WP_011293899.1,5,1,FALSE
cds-WP_011293900.1,5,5,TRUE
cds-WP_011293901.1,2,2,TRUE
cds-WP_011293902.1,15,15,TRUE
cds-WP_011293903.1,3,11,FALSE
cds-WP_011293904.1,5,5,TRUE
cds-WP_011293905.1,12,12,TRUE
cds-WP_011293906.1,2,2,TRUE
cds-WP_011293907.1,1,1,TRUE
cds-WP_011293908.1,1,1,TRUE
cds-WP_011293909.1,10,8,FALSE
cds-WP_011293910.1,3,14,FALSE
cds-WP_011293911.1,11,14,FALSE
cds-WP_011293912.1,1,5,FALSE
cds-WP_011293913.1,5,11,FALSE
cds-WP_011293914.1,5,11,FALSE
cds-WP_011293915.1,3,13,FALSE
cds-WP_011293916.1,3,3,TRUE
cds-WP_011293917.1,11,14,FALSE
cds-WP_011293918.1,14,3,FALSE
cds-WP_011293919.1,12,13,FALSE
cds-WP_011293920.1,13,13,TRUE
cds-WP_011293921.1,13,13,TRUE
cds-WP_011293922.1,12,12,TRUE
cds-WP_011293923.1,12,12,TRUE
cds-WP_011293924.1,5,14,FALSE
cds-WP_011293925.1,9,9,TRUE
cds-WP_011293926.1,14,6,FALSE
cds-WP_011293927.1,3,13,FALSE
cds-WP_011293928.1,12,12,TRUE
cds-WP_011293929.1,1,5,FALSE
cds-WP_011293930.1,1,1,TRUE
cds-WP_011293931.1,14,3,FALSE
cds-WP_011293932.1,3,3,TRUE
cds-WP_011293933.1,3,3,TRUE
cds-WP_011293934.1,2,12,FALSE
cds-WP_011293935.1,4,4,TRUE
cds-WP_011293936.1,12,12,TRUE
cds-WP_011293937.1,10,10,TRUE
cds-WP_011293938.1,1,1,TRUE
cds-WP_011293940.1,6,12,FALSE
cds-WP_011293941.1,10,7,FALSE
cds-WP_011293942.1,8,7,FALSE
cds-WP_011293943.1,8,7,FALSE
cds-WP_011293944.1,12,12,TRUE
cds-WP_011293945.1,4,4,TRUE
cds-WP_011293946.1,10,9,FALSE
cds-WP_011293948.1,4,4,TRUE
cds-WP_011293949.1,10,7,FALSE
cds-WP_011293950.1,10,7,FALSE
cds-WP_011293951.1,5,1,FALSE
cds-WP_011293952.1,1,1,TRUE
cds-WP_011293952.1-2,5,1,FALSE
cds-WP_011293952.1-3,1,15,FALSE
cds-WP_011293953.1,5,1,FALSE
cds-WP_011293955.1,3,3,TRUE
cds-WP_011293956.1,1,2,FALSE
cds-WP_011293957.1,2,2,TRUE
cds-WP_011293958.1,8,2,FALSE
cds-WP_011293959.1,7,9,FALSE
cds-WP_011293960.1,7,7,TRUE
cds-WP_011293961.1,9,9,TRUE
cds-WP_011293962.1,9,9,TRUE
cds-WP_011293963.1,9,9,TRUE
cds-WP_011293964.1,9,9,TRUE
cds-WP_011293965.1,10,7,FALSE
cds-WP_011293966.1,4,7,FALSE
cds-WP_011293967.1,4,4,TRUE
cds-WP_011293969.1,6,4,FALSE
cds-WP_011293970.1,4,10,FALSE
cds-WP_011293971.1,7,8,FALSE
cds-WP_011293972.1,4,10,FALSE
cds-WP_011293973.1,13,3,FALSE
cds-WP_011293974.1,14,3,FALSE
cds-WP_011293975.1,14,11,FALSE
cds-WP_011293976.1,1,15,FALSE
cds-WP_011293977.1,1,15,FALSE
cds-WP_011293978.1,15,15,TRUE
cds-WP_011293979.1,1,15,FALSE
cds-WP_011293980.1,9,9,TRUE
cds-WP_011293981.1,10,9,FALSE
cds-WP_011293982.1,7,2,FALSE
cds-WP_011293983.1,5,11,FALSE
cds-WP_011293984.1,14,11,FALSE
cds-WP_011293985.1,11,11,TRUE
cds-WP_011293986.1,13,3,FALSE
cds-WP_011293987.1,3,13,FALSE
cds-WP_011293988.1,15,7,FALSE
cds-WP_011293989.1,4,8,FALSE
cds-WP_011293990.1,12,14,FALSE
cds-WP_011293991.1,10,9,FALSE
cds-WP_011293992.1,4,7,FALSE
cds-WP_011293993.1,8,14,FALSE
cds-WP_011293994.1,7,9,FALSE
cds-WP_011293995.1,5,13,FALSE
cds-WP_011293996.1,7,9,FALSE
cds-WP_011293997.1,4,2,FALSE
cds-WP_011293998.1,3,12,FALSE
cds-WP_011293999.1,4,7,FALSE
cds-WP_011294000.1,8,9,FALSE
cds-WP_011294001.1,1,15,FALSE
cds-WP_011294002.1,15,9,FALSE
cds-WP_011294003.1,4,7,FALSE
cds-WP_011294004.1,4,4,TRUE
cds-WP_011294005.1,4,8,FALSE
cds-WP_011294006.1,13,12,FALSE
cds-WP_011294007.1,5,5,TRUE
cds-WP_011294008.1,11,14,FALSE
cds-WP_011294009.1,6,12,FALSE
cds-WP_011294010.1,2,8,FALSE
cds-WP_011294011.1,5,14,FALSE
cds-WP_011294012.1,15,6,FALSE
cds-WP_011294013.1,13,3,FALSE
cds-WP_011294014.1,10,7,FALSE
cds-WP_011294015.1,4,8,FALSE
cds-WP_011294016.1,8,7,FALSE
cds-WP_011294017.1,10,8,FALSE
cds-WP_011294018.1,7,7,TRUE
cds-WP_011294019.1,4,8,FALSE
cds-WP_011294020.1,4,8,FALSE
cds-WP_011294022.1,6,2,FALSE
cds-WP_011294026.1,8,7,FALSE
cds-WP_011294028.1,15,15,TRUE
cds-WP_011294029.1,2,4,FALSE
cds-WP_011294030.1,10,7,FALSE
cds-WP_011294031.1,4,7,FALSE
cds-WP_011294032.1,4,7,FALSE
cds-WP_011294033.1,2,7,FALSE
cds-WP_011294034.1,6,13,FALSE
cds-WP_011294035.1,8,8,TRUE
cds-WP_011294039.1,10,7,FALSE
cds-WP_011294041.1,8,9,FALSE
cds-WP_011294042.1,4,7,FALSE
cds-WP_011294043.1,1,1,TRUE
cds-WP_011294044.1,2,2,TRUE
cds-WP_011294045.1,10,7,FALSE
cds-WP_011294046.1,7,14,FALSE
cds-WP_011294047.1,8,4,FALSE
cds-WP_011294048.1,6,7,FALSE
cds-WP_011294049.1,6,7,FALSE
cds-WP_011294051.1,14,3,FALSE
cds-WP_011294053.1,7,9,FALSE
cds-WP_011294054.1,6,13,FALSE
cds-WP_011294055.1,3,3,TRUE
cds-WP_011294056.1,1,14,FALSE
cds-WP_011294057.1,14,3,FALSE
cds-WP_011294058.1,14,3,FALSE
cds-WP_011294059.1,13,13,TRUE
cds-WP_011294060.1,1,1,TRUE
cds-WP_011294061.1,1,1,TRUE
cds-WP_011294062.1,2,14,FALSE
cds-WP_011294063.1,13,3,FALSE
cds-WP_011294064.1,3,3,TRUE
cds-WP_011294065.1,2,8,FALSE
cds-WP_011294066.1,2,7,FALSE
cds-WP_011294067.1,2,8,FALSE
cds-WP_011294068.1,4,8,FALSE
cds-WP_011294069.1,10,14,FALSE
cds-WP_011294070.1,5,15,FALSE
cds-WP_011294072.1,1,15,FALSE
cds-WP_011294073.1,9,9,TRUE
cds-WP_011294075.1,3,3,TRUE
cds-WP_011294077.1,3,3,TRUE
cds-WP_011294079.1,6,6,TRUE
cds-WP_011294080.1,2,12,FALSE
cds-WP_011294081.1,4,6,FALSE
cds-WP_011294082.1,4,6,FALSE
cds-WP_011294083.1,2,15,FALSE
cds-WP_011294084.1,6,8,FALSE
cds-WP_011294085.1,4,8,FALSE
cds-WP_011294087.1,2,10,FALSE
cds-WP_011294088.1,6,7,FALSE
cds-WP_011294089.1,13,13,TRUE
cds-WP_011294090.1,15,10,FALSE
cds-WP_011294091.1,9,9,TRUE
cds-WP_011294092.1,2,2,TRUE
