Gene ID,NCBI ID,NCBI ID_2,NCBI ID_3,0 hours,4 hours,8 hours,13 hours,16 hours,20 hours,24 hours,Gene Name,product,pathway_plot,locus_tag
cds-WP_011293535.1,NATL2_06021,PMN2A_RS02940,PMN2A_0001,0.477902273813847***,0.205759708,-0.418796447927721***,-0.307363503307833***,-0.219791358,0.066733492,0.331125158041346***,dnaA,chromosomal replication initiator protein DnaA,,PMN2A_0001
cds-WP_011293536.1,NATL2_06031,PMN2A_RS02945,PMN2A_0002,-0.221097335557519***,-0.305655530579277***,0.099112498,0.223372322,-0.76729181417684***,-1.3342182587147***,-0.97967662217505***,,glutathione S-transferase,,PMN2A_0002
cds-WP_011293537.1,NATL2_06041,PMN2A_RS02950,PMN2A_0003,0.9372974795551***,0.195739643,0.036772588,-0.002893036,0.577020060875603***,1.20493450985641***,1.68224873114741***,gor,glutathione-disulfide reductase,,PMN2A_0003
cds-WP_011293538.1,NATL2_06051,PMN2A_RS02955,PMN2A_0004,1.78851805558678***,0.435026631227582***,0.27693038,0.111509633,0.267245006461824***,0.957562120447858***,1.74012065070568***,ECM27,calcium/sodium antiporter,,PMN2A_0004
cds-WP_011293539.1,NATL2_06061,PMN2A_RS02960,PMN2A_0005,1.2337182870143***,0.849985279417451***,0.079463206,-0.136806529,-0.30232231758507***,0.223127492005016***,0.804898753739676***,pyrC,dihydroorotase,,PMN2A_0005
cds-WP_011293540.1,NATL2_06081,PMN2A_RS02970,PMN2A_0006,0.638186290927821***,0.473974706604436***,-0.502824326627486***,0.073979274,0.897509978394984***,1.28306781583743***,1.22902877945875***,ndhL,NAD(P)H-quinone oxidoreductase subunit L,,PMN2A_0006
cds-WP_011293541.1,NATL2_06091,PMN2A_RS02975,PMN2A_0007,0.454278200216663***,0.234689507,-0.213305921,-0.048709628,0.764544586788931***,1.41985405375944***,1.04453995967915***,,DUF3007 family protein,,PMN2A_0007
cds-WP_011293542.1,NATL2_06101,PMN2A_RS02980,PMN2A_0008,0.150352299,0.039557698,0.255799842598608***,0.011316442,-0.455150741359939***,-1.17814537897664***,-0.926841672768073***,trpA,tryptophan synthase subunit alpha,,PMN2A_0008
cds-WP_011293543.1,NATL2_06111,PMN2A_RS02985,PMN2A_0009,0.867672015078981***,0.146742288,-0.307681282797501***,-0.386509516975772***,-0.548539396292752***,-1.05258367233501***,-0.907471295081684***,,hypothetical protein,,PMN2A_0009
cds-WP_011293544.1,NATL2_06121,PMN2A_RS02990,PMN2A_0010,1.38858876637463***,0.155995704,-0.063261452,-0.178862741,0.67316428849544***,1.06253972126676***,0.612671304986484***,,cytochrome c,,PMN2A_0010
cds-WP_011823357.1,NATL2_06131,PMN2A_RS02995,PMN2A_0011,1.80159140016984***,0.253337059,-0.025714246,-0.084118485,0.574795938027951***,2.01398389329009***,1.63605286024397***,,hypothetical protein,,PMN2A_0011
cds-WP_011293546.1,NATL2_06141,PMN2A_RS03000,PMN2A_0012,2.55366587962001***,0.212397645,-0.17769058,0.142424489,1.00904246287197***,3.22731233303694***,2.87721048290404***,,DUF1232 domain-containing protein,,PMN2A_0012
cds-WP_011293547.1,NATL2_06151,PMN2A_RS03005,PMN2A_0013,2.24968148821984***,0.282635829,-0.511319422578604***,-0.004366507,1.0640111130024***,2.96300808423369***,2.85386968705039***,,sigma-70 family RNA polymerase sigma factor,,PMN2A_0013
cds-WP_011293548.1,NATL2_06171,PMN2A_RS03010,PMN2A_0014,0.583609852625344***,0.140139011,-0.56423840301719***,0.141521945,0.703786550127342***,0.711210447167152***,1.1244815359254***,hisI,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,,PMN2A_0014
cds-WP_011293549.1,NATL2_06181,PMN2A_RS03015,PMN2A_0015,-0.017230795,0.205035183,0.291492898053813***,0.021536934,-0.159694835,-0.189852108,0.15934746,,6-carboxytetrahydropterin synthase,,PMN2A_0015
cds-WP_011293550.1,NATL2_06191,PMN2A_RS03020,PMN2A_0016,-0.631949711924968***,0.262430337682029***,-0.724379875826431***,-1.07833528669342***,0.667708852112415***,1.90384059163598***,1.00983075420816***,clpB,ATP-dependent chaperone ClpB,,PMN2A_0016
cds-WP_011293551.1,NATL2_06201,PMN2A_RS03025,PMN2A_0017,-0.526117285074496***,-0.459522220645291***,-0.427755832440396***,0.337191995,0.015771874,-0.481021682508699***,-0.374296848731485***,petE,plastocyanin,ETC,PMN2A_0017
