Gene ID,NCBI ID,0 hours,4 hours,8 hours,13 hours,16 hours,20 hours,24 hours,Gene Name,product
cds-TK37_RS02135,,-0.061055834,0.256497883,1.121542564,-0.068355212,0.26407392,0.387887854,0.456810656,,hypothetical protein
cds-TK37_RS02730,MIT1002_00998,0.016518858,0.307275585,0.319006714,-1.249419168,0.136599211,0.128350007,0.012255656,truC,tRNA pseudouridine(65) synthase TruC
cds-TK37_RS03585,MIT1002_02978,0.231697853,0.046637677,0.028409326,0.441355044,0.863251671,0.064842067,0.972681673,,exopolyphosphatase
cds-TK37_RS03985,,-0.856709541,-0.42498905,-0.09243504,-0.519031714,0.049207893,-1.382676731,-0.316693993,,alpha-E domain-containing protein
cds-TK37_RS04645,,-0.076561503,-0.129942633,0.356126479,0.09062406,0.030552187,-0.073142816,-0.818911078,merC,organomercurial transporter MerC
cds-TK37_RS04705,MIT1002_02070,1.897644517,0.557046947,0.615707277,-0.81822475,-0.278653841,-1.0818619,0.97921382,,two-component sensor histidine kinase
cds-TK37_RS05490,,0.398603422,0.133542222,0.012527485,-0.472293926,-0.785310824,0.248545886,-0.356135978,,FIST C-terminal domain-containing protein
cds-TK37_RS06170,MIT1002_01756,0.629396562,2.288654618,0,-1.796476658,-1.345118764,-0.149811398,0,,sugar-binding transcriptional regulator
cds-TK37_RS06290,MIT1002_01783,0.244173688,-0.380907259,0.569629668,-0.014067104,-0.307006205,-0.086138086,-0.743043095,,DUF2252 family protein
cds-TK37_RS06380,MIT1002_01801,-0.781810147,1.335695569,-0.554990014,-0.50230933,-0.887054386,0.0091856,0.162295527,,DUF3526 domain-containing protein
cds-TK37_RS06540,,0.416641543,0.763775677,0.034828088,-0.60750675,0.846501137,0.90487347,-0.276974867,,arginyltransferase
cds-TK37_RS06545,,-1.293796828,0,0,1.131465751,0.63976726,0,0,,hypothetical protein
cds-TK37_RS06550,MIT1002_03577,-0.22123651,0.271907047,-0.175901272,0.232411052,0.52547411,-0.117047282,0.999939174,,sulfatase-like hydrolase/transferase
cds-TK37_RS07175,,0.544796496,1.473405175,1.022560819,-0.908343264,1.06726618,0.627816257,-0.721452632,,arsenate reductase family protein
cds-TK37_RS07395,,-0.297590013,-0.272298835,-0.12449435,0.538394166,1.08922634,0.036742271,0.826842712,,AhpC/TSA family protein
cds-TK37_RS07695,MIT1002_02450,1.111462432,1.223658951,0.389441279,0.103775897,1.655604244,-1.062422178,-0.243609725,,response regulator
cds-TK37_RS08160,,0.400890718,-0.200433481,0.274691983,0.50785792,-0.034716737,0.194887441,0.011706736,,5'-nucleotidase C-terminal domain-containing protein
cds-TK37_RS08430,MIT1002_00764,0.866757414,0.068120038,-1.166966312,1.779040858,0.301958762,0.525110796,1.218865246,,response regulator
cds-TK37_RS08715,MIT1002_00132,-0.015490291,-0.319785228,-0.007413953,-0.831561241,-0.514820488,-0.185225312,-0.301782323,,DUF1499 domain-containing protein
cds-TK37_RS08765,MIT1002_00122,0.636862155,-0.379387329,-0.440963217,-0.556097445,0.10691641,0.019680424,0.672555698,,DEAD/DEAH box helicase
cds-TK37_RS10050,MIT1002_04157,0.999360656,1.14246971,-0.105222831,1.053946398,0.539548676,0.907495679,2.075309117,,IS481 family transposase
cds-TK37_RS10095,MIT1002_04148,0.072702523,0.52892327,-0.312364024,0.00889508,-0.747557583,0.310857656,-0.214669273,,Tn3 family transposase
cds-TK37_RS10100,MIT1002_04147,-0.162252232,0.250475727,0.011283183,0.360077173,0.023130419,0.125683719,0.168057427,,IS481 family transposase
cds-TK37_RS10120,,0.649336541,0.20729756,-0.818410782,-0.086873131,0.691494783,0.329257742,0.198755784,,IS5 family transposase
cds-TK37_RS10275,,-1.294127744,-1.240307633,1.371307027,0.984035734,-2.215887351,-1.907886057,-1.595665261,,hypothetical protein
cds-TK37_RS10410,,0.026493368,-0.349254177,0.068869082,-0.001566569,0.062159226,-0.064552605,0.179336378,,IS481 family transposase
cds-TK37_RS10545,,1.31675443,-1.005583326,0.833299915,0.215167789,-0.122542435,1.001939452,2.330706451,,cytochrome c
cds-TK37_RS10555,,0.419634628,0.408506171,0.769412363,0.104083612,0.208827222,0.682154354,0.349742757,,hypothetical protein
